name,address,LHIN,licensee,management,home_type,beds,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,number_of_beds,last_rqi_date,first_inspection_date,last_inspection_date,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders
CENTENNIAL PLACE LONG-TERM CARE HOME,2 Centennial Lane North,Central East,Centennial Place Millbrook Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,No,Yes,,Millbrook, L0A1G0,128.0,2018-05-29,2011-08-04,2020-06-26,27.0,17.0,5.0,9.0,4.0,2.0,12.0,7.0,2.0,5.0,3.0,1.0
CENTRE D'ACCUEIL CHAMPLAIN,275 Perrier Street,Champlain,City Of Ottawa,,Municipal,Home with approximately 160 beds,No,Yes,Yes,Yes,,Vanier, K1L5C6,160.0,2018-06-21,2010-09-09,2020-07-31,120.0,84.0,42.0,34.0,18.0,4.0,64.0,38.0,24.0,22.0,20.0,10.0
CENTRE D'ACCUEIL ROGER SEGUIN,435 Lemay Street,Champlain,Centre D'accueil Roger Seguin,,Non-Profit,Home with approximately 110 beds,Yes,Yes,Yes,No,,Clarence Creek, K0A1N0,110.0,2018-01-08,2011-11-01,2020-10-13,51.0,30.0,20.0,10.0,2.0,,21.0,14.0,14.0,16.0,8.0,4.0
CHAMPLAIN LONG TERM CARE RESIDENCE,428 Front Road West,Champlain,"Dtoc Ii Long Term Care Lp, By Its General Partner, Dtoc Ii Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Ii Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Responsive Health Management Inc.,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,L'Orignal, K0B1K0,60.0,2018-06-22,2011-10-25,2020-02-04,28.0,17.0,8.0,2.0,,,11.0,6.0,4.0,6.0,4.0,2.0
CHARTWELL AURORA LONG TERM CARE RESIDENCE,32 Mill Street,Central,Chartwell Master Care Lp,,For-Profit,Home with approximately 235 beds,Yes,Yes,Yes,Yes,,Aurora, L4G2R9,235.0,2018-01-11,2010-08-18,2020-05-25,25.0,10.0,5.0,16.0,4.0,3.0,7.0,1.0,1.0,1.0,,
CHARTWELL AYLMER LONG TERM CARE RESIDENCE,465 Talbot Street West,South West,Chartwell Master Care Lp,,For-Profit,Home with approximately 64 beds,No,Yes,No,Yes,,Aylmer, N5H1K8,64.0,2018-07-25,2010-09-27,2020-10-21,29.0,9.0,4.0,4.0,1.0,1.0,17.0,2.0,,4.0,2.0,1.0
CHARTWELL BALLYCLIFFE LONG TERM CARE RESIDENCE,70 Station Street,Central East,Chartwell Master Care Lp,,For-Profit,Home with approximately 100 beds,No,Yes,Yes,Yes,,Ajax, L1S1R9,100.0,2018-01-30,2010-09-10,2020-05-29,63.0,41.0,5.0,28.0,20.0,3.0,19.0,11.0,1.0,12.0,5.0,
CHARTWELL BRANT CENTRE LONG TERM CARE RESIDENCE,1182 Northshore Blvd. East,Hamilton Niagara Haldimand Brant (Hnhb),Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 175 beds,No,Yes,Yes,Yes,,Burlington, L7S1C5,175.0,2017-10-11,2010-10-05,2020-05-26,41.0,12.0,5.0,21.0,6.0,3.0,16.0,2.0,2.0,2.0,1.0,
CHARTWELL ELMIRA LONG TERM CARE RESIDENCE,11 Herbert Street,Waterloo Wellington,Chartwell Master Care Lp,,For-Profit,Home with approximately 48 beds,No,Yes,No,Yes,,Elmira, N3B2B8,48.0,2017-11-06,2011-10-13,2020-06-25,16.0,8.0,3.0,1.0,1.0,1.0,10.0,3.0,1.0,2.0,1.0,1.0
CHARTWELL GIBSON LONG TERM CARE RESIDENCE,1925 Steeles Avenue East,Central,Chartwell Master Care Lp,,For-Profit,Home with approximately 202 beds,No,Yes,No,Yes,,North York, M2H2H3,202.0,2018-08-20,2010-12-13,2020-02-10,57.0,10.0,5.0,20.0,2.0,1.0,21.0,3.0,3.0,9.0,1.0,
CHARTWELL LONDON LONG TERM CARE RESIDENCE,2000 Blackwater Road,South West,Chartwell Master Care Lp,,For-Profit,Home with approximately 95 beds,No,Yes,No,Yes,,London, N5X4K6,95.0,2018-05-24,2010-07-20,2020-11-05,42.0,18.0,7.0,11.0,6.0,2.0,28.0,8.0,4.0,1.0,,
CHARTWELL PARKHILL LONG TERM CARE RESIDENCE,250 Tain Street P.O. Box 129,South West,Chartwell Master Care Lp,,For-Profit,Home with approximately 59 beds,No,Yes,No,Yes,,Parkhill, N0M2K0,59.0,2018-01-30,2010-10-19,2020-09-11,18.0,11.0,7.0,6.0,2.0,1.0,7.0,3.0,2.0,4.0,3.0,3.0
CHARTWELL PINE GROVE LONG TERM CARE RESIDENCE,8403 Islington Avenue North,Central West,Chartwell Master Care Lp,,For-Profit,Home with approximately 101 beds,Yes,Yes,Yes,Yes,,Woodbridge, L4L1X3,101.0,2018-07-04,2011-07-25,2020-06-29,15.0,10.0,5.0,6.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0
CHARTWELL ROYAL OAK LONG TERM CARE RESIDENCE,1750 Division Road North,Erie St. Clair,Chartwell Master Care Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Kingsville, N9Y4G7,160.0,2018-09-13,2010-08-23,2020-10-28,68.0,36.0,10.0,39.0,15.0,3.0,32.0,15.0,6.0,5.0,2.0,
CHARTWELL TRILOGY LONG TERM CARE RESIDENCE,340 McCowan Road,Central East,Trilogy Ltc Inc.,,For-Profit,Home with approximately 197 beds,Yes,Yes,Yes,Yes,,Scarborough, M1J3P4,197.0,2018-07-23,2011-06-15,2020-05-26,31.0,19.0,9.0,12.0,6.0,4.0,15.0,8.0,3.0,4.0,4.0,2.0
CHARTWELL WATERFORD LONG TERM CARE RESIDENCE,2140 Baronwood Drive,Mississauga Halton,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 168 beds,No,Yes,Yes,Yes,,Oakville, L6M4V6,168.0,2018-04-24,2010-08-24,2020-10-13,40.0,19.0,9.0,19.0,7.0,3.0,13.0,5.0,4.0,9.0,5.0,1.0
CHARTWELL WENLEIGH LONG TERM CARE RESIDENCE,2065 Leanne Boulevard,Mississauga Halton,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 161 beds,No,Yes,Yes,Yes,,Mississauga, L5K2L6,161.0,2017-07-06,2010-11-16,2019-12-09,27.0,13.0,7.0,13.0,5.0,3.0,8.0,4.0,3.0,2.0,2.0,
CHARTWELL WESTBURY LONG TERM CARE RESIDENCE,495 The West Mall,Mississauga Halton,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 187 beds,No,Yes,Yes,Yes,,Etobicoke, M9C5S3,187.0,2017-10-24,2010-10-28,2020-11-03,20.0,12.0,3.0,12.0,6.0,1.0,4.0,2.0,2.0,2.0,,
CHARTWELL WESTMOUNT LONG TERM CARE RESIDENCE,200 David Bergey Drive,Waterloo Wellington,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 161 beds,No,Yes,Yes,Yes,,Kitchener, N2E3Y4,161.0,2017-12-27,2010-08-23,2020-07-17,43.0,18.0,8.0,18.0,8.0,3.0,21.0,5.0,3.0,3.0,3.0,2.0
CHARTWELL WHITE EAGLE LONG TERM CARE RESIDENCE,138 Dowling Avenue,Toronto Central,Chartwell Master Care Lp,,For-Profit,Home with approximately 57 beds,Yes,Yes,Yes,Yes,,Toronto, M6K3A6,57.0,2018-10-17,2011-10-18,2020-07-08,12.0,8.0,2.0,2.0,,,4.0,1.0,1.0,2.0,2.0,
CHARTWELL WILLOWGROVE LONG TERM CARE RESIDENCE,1217 Old Mohawk Road,Hamilton Niagara Haldimand Brant (Hnhb),Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 169 beds,No,Yes,Yes,Yes,,Ancaster, L9K1P6,169.0,2018-07-19,2010-12-14,2020-11-17,24.0,13.0,7.0,9.0,1.0,1.0,8.0,5.0,3.0,4.0,4.0,1.0
CHARTWELL WOODHAVEN LONG TERM CARE RESIDENCE,380 Church Street,Central,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 192 beds,Yes,No,Yes,Yes,,Markham, L6B1E1,192.0,2018-10-01,2010-08-17,2020-10-08,28.0,16.0,7.0,14.0,6.0,4.0,12.0,6.0,1.0,12.0,8.0,4.0
CHARTWELL WYNFIELD LONG TERM CARE RESIDENCE,451 Woodmount Drive,Central East,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 172 beds,No,Yes,Yes,Yes,,Oshawa, L1G8E3,172.0,2017-05-29,2011-01-20,2020-02-27,26.0,17.0,9.0,12.0,6.0,5.0,10.0,7.0,4.0,2.0,1.0,
CHATEAU PARK LONG TERM CARE HOME,2990 B Riverside Drive West,Erie St. Clair,"Dtoc Long Term Care Lp, By Its General Partner, Dtoc Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Universalcare Canada Inc.,For-Profit,Home with approximately 59 beds,No,Yes,Yes,Yes,,Windsor, N9C1A2,59.0,2017-12-29,2011-05-04,2020-10-08,16.0,8.0,3.0,6.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,
CHELSEY PARK,310 Oxford Street West,South West,"Cvh (No. 3) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)","Diversicare Canada Management Services Co., Inc.",For-Profit,Home with approximately 247 beds,Yes,Yes,Yes,Yes,,London, N6H4N6,247.0,2018-09-14,2010-11-02,2020-09-15,71.0,34.0,14.0,25.0,12.0,3.0,40.0,17.0,9.0,5.0,2.0,1.0
CHELTENHAM CARE COMMUNITY,5935 Bathurst Street,Central,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Home with approximately 170 beds,Yes,Yes,Yes,Yes,,North York, M2R1Y8,170.0,2017-10-05,2011-03-03,2020-01-21,28.0,14.0,7.0,12.0,4.0,2.0,9.0,5.0,4.0,9.0,4.0,1.0
CHESTER VILLAGE,3555 Danforth Avenue,Toronto Central,Broadview Foundation,,Non-Profit,Home with approximately 203 beds,No,Yes,Yes,Yes,,Toronto, M1L1E3,203.0,2017-10-13,2010-10-19,2020-02-26,22.0,6.0,3.0,10.0,1.0,1.0,7.0,2.0,2.0,5.0,,
CLARION NURSING HOME,337 Highway #8,Hamilton Niagara Haldimand Brant (Hnhb),Clarion Nursing Homes Limited,,For-Profit,Home with approximately 100 beds,No,Yes,Yes,Yes,,Stoney Creek, L8G1E7,100.0,2018-05-29,2011-01-10,2020-01-21,21.0,13.0,6.0,5.0,2.0,2.0,5.0,2.0,2.0,8.0,5.0,1.0
COLEMAN CARE CENTRE,140 Cundles Road West,North Simcoe Muskoka,Oakwood Retirement Communities Inc.,,For-Profit,Home with approximately 112 beds,No,Yes,Yes,Yes,,Barrie, L4N9X8,112.0,2017-12-19,2011-05-26,2020-10-08,18.0,9.0,6.0,8.0,,,6.0,4.0,4.0,3.0,2.0,1.0
COLLINGWOOD NURSING HOME,250 Campbell Street,North Simcoe Muskoka,Collingwood Nursing Home Limited,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,No,,Collingwood, L9Y4J9,60.0,2018-01-04,2011-03-17,2020-09-30,22.0,14.0,12.0,8.0,3.0,3.0,7.0,3.0,3.0,8.0,6.0,6.0
COLUMBIA FOREST,650 Mountain Maple Avenue,Waterloo Wellington,Revera Long Term Care Inc.,,For-Profit,Home with approximately 156 beds,No,Yes,Yes,Yes,,Waterloo, N2V2P7,156.0,2018-04-24,2010-08-06,2020-10-30,43.0,11.0,4.0,16.0,3.0,1.0,23.0,3.0,2.0,7.0,5.0,1.0
COOKSVILLE CARE CENTRE,55 The Queensway West,Mississauga Halton,Rykka Care Centres Lp,,For-Profit,Home with approximately 192 beds,Yes,Yes,Yes,Yes,,Mississauga, L5B1B5,192.0,2018-05-30,2010-08-11,2020-10-30,65.0,24.0,11.0,39.0,9.0,5.0,19.0,5.0,4.0,14.0,6.0,1.0
COPERNICUS LODGE,66 Roncesvalles Avenue,Toronto Central,Copernicus Lodge,,Non-Profit,Home with approximately 228 beds,Yes,Yes,Yes,No,,Toronto, M6R3A7,228.0,2018-10-09,2011-04-27,2020-01-29,21.0,15.0,6.0,12.0,8.0,4.0,4.0,2.0,1.0,5.0,4.0,1.0
COPPER TERRACE,91 Tecumseh Road,Erie St. Clair,Copper Terrace Limited,Apans Inc.,For-Profit,Home with approximately 138 beds,Yes,Yes,Yes,Yes,,Chatham, N7M1B3,138.0,2018-05-28,2010-07-28,2020-10-19,89.0,45.0,15.0,33.0,16.0,6.0,46.0,21.0,5.0,14.0,9.0,6.0
COUNTRY LANE LONG TERM CARE RESIDENCE,"R. R. #3, 317079 Hwy 6 & 10",South West,Grosvenor Health Care Partnership (No. 3),Revera Long Term Care Inc.,For-Profit,Home with approximately 34 beds,No,Yes,Yes,Yes,,Chatsworth, N0H1G0,34.0,2017-11-30,2011-04-14,2020-11-06,21.0,8.0,2.0,5.0,1.0,,6.0,1.0,1.0,8.0,3.0,
COUNTRY TERRACE,10072 Oxbow Drive R.R. #3,South West,Omni Healthcare (Ct) Gpco Ltd. As General Partner Of Omni Healthcare (Country Terrace) Limited Partnershippartner,,For-Profit,Home with approximately 120 beds,Yes,Yes,No,Yes,,Komoka, N0L1R0,120.0,2018-07-13,2010-07-22,2020-06-15,83.0,30.0,11.0,32.0,13.0,4.0,42.0,10.0,5.0,5.0,4.0,2.0
COUNTRY VILLAGE HOMES - WOODSLEE,440 County Road 8 R. R. #2,Erie St. Clair,"Cvh (No. 5) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",Kanata Living Inc.,For-Profit,Home with approximately 104 beds,No,Yes,Yes,Yes,,Woodslee, N0R1V0,104.0,2018-01-09,2010-10-12,2020-09-24,62.0,25.0,9.0,35.0,12.0,4.0,17.0,9.0,3.0,6.0,2.0,1.0
CRAIGHOLME,221 Main Street R. R. #1,South West,Craigwiel Gardens,,Non-Profit,Home with approximately 83 beds,Yes,Yes,Yes,No,stutti@craigwielgardens.on.ca   ,Ailsa Craig, N0M1A0,83.0,2018-09-21,2010-11-18,2020-09-23,49.0,19.0,8.0,18.0,8.0,3.0,32.0,6.0,2.0,5.0,4.0,4.0
CRAIGLEE NURSING HOME,102 Craiglee Drive,Central East,Craiglee Nursing Home Limited,Extendicare (Canada) Inc.,For-Profit,Home with approximately 169 beds,No,Yes,Yes,Yes,,Scarborough, M1N2M7,169.0,2018-08-28,2010-07-28,2020-07-30,58.0,19.0,10.0,36.0,11.0,7.0,19.0,2.0,2.0,13.0,7.0,5.0
CREEDAN VALLEY CARE COMMUNITY,143 Mary Street,North Simcoe Muskoka,2063412 Ontario Limited As General Partner Of 2063412 Investment Lp,,For-Profit,Home with approximately 95 beds,No,Yes,Yes,Yes,,Creemore, L0M1G0,95.0,2017-11-24,2010-09-28,2020-08-26,24.0,14.0,9.0,8.0,1.0,1.0,6.0,2.0,2.0,13.0,8.0,6.0
CREEK WAY VILLAGE,5200 Corporate Drive,Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Halton,,Municipal,Home with approximately 144 beds,No,Yes,Yes,Yes,,Burlington, L7L7G7,144.0,2017-10-23,2010-09-24,2020-08-06,29.0,14.0,6.0,13.0,4.0,2.0,12.0,5.0,3.0,8.0,6.0,3.0
CRESCENT PARK LODGE,4 Hagey Avenue,Hamilton Niagara Haldimand Brant (Hnhb),955464 Ontario Limited,,For-Profit,Home with approximately 68 beds,Yes,Yes,Yes,Yes,,Fort Erie, L2A5M5,68.0,2018-09-14,2011-04-05,2020-02-04,24.0,15.0,6.0,10.0,5.0,2.0,7.0,4.0,3.0,5.0,3.0,
CROWN RIDGE PLACE,106 Crown Street,South East,Crown Ridge Health Care Services Inc.,,For-Profit,Home with approximately 116 beds,Yes,Yes,Yes,Yes,,Trenton, K8V6R3,116.0,2017-11-22,2010-09-15,2020-07-14,23.0,15.0,3.0,6.0,2.0,,12.0,8.0,3.0,2.0,1.0,
CUMMER LODGE,205 Cummer Avenue,Central,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 391 beds,Yes,Yes,Yes,Yes,,North York, M2M2E8,391.0,2018-11-05,2010-09-21,2020-03-13,45.0,22.0,8.0,25.0,10.0,4.0,16.0,6.0,3.0,8.0,3.0,1.0
DEARNESS HOME FOR SENIOR CITIZENS,710 Southdale Road East,South West,The Corporation Of The City Of London,,Municipal,Home with approximately 243 beds,Yes,Yes,Yes,Yes,"datars bere, dearness home managing director ",London, N6E1R8,243.0,2017-12-06,2010-07-27,2020-09-17,75.0,32.0,15.0,32.0,12.0,6.0,40.0,17.0,9.0,3.0,1.0,
DEER PARK VILLA,150 Central Avenue,Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Niagara,,Municipal,Home with approximately 39 beds,No,Yes,No,Yes,,Grimsby, L3M4Z3,39.0,2017-09-28,2010-11-02,2020-05-25,13.0,7.0,3.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0
DEERWOOD CREEK CARE COMMUNITY,70 Humberline Drive,Central West,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Etobicoke, M9W7H3,160.0,2018-04-11,2010-12-10,2020-02-07,31.0,17.0,9.0,18.0,8.0,4.0,9.0,3.0,3.0,6.0,3.0,2.0
DELHI LONG TERM CARE CENTRE,750 Gibraltar Street,Hamilton Niagara Haldimand Brant (Hnhb),Delhi Nursing Home Ltd.,,For-Profit,Home with approximately 60 beds,No,Yes,No,Yes,,Delhi, N4B3B3,60.0,2018-06-27,2010-11-23,2020-10-13,27.0,13.0,3.0,6.0,3.0,,9.0,4.0,1.0,11.0,6.0,1.0
DERBECKER'S HERITAGE HOUSE,54 Eby Street,Waterloo Wellington,Derbecker's Heritage House Limited,,For-Profit,Home with approximately 73 beds,No,Yes,No,No,,St. Jacobs, N0B2N0,73.0,2017-09-06,2011-09-12,2020-10-21,10.0,6.0,3.0,3.0,1.0,1.0,4.0,2.0,2.0,,,
DOM LIPA,52 Neilson Drive,Mississauga Halton,Slovenian Linden Foundation,,Non-Profit,Home with approximately 66 beds,No,Yes,No,No,,Etobicoke, M9C1V7,66.0,2017-11-05,2011-11-14,2020-03-16,10.0,6.0,2.0,1.0,,,4.0,2.0,2.0,2.0,2.0,1.0
DOUGLAS H. RAPELJE LODGE,277 Plymouth Road,Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Niagara,,Municipal,Home with approximately 120 beds,Yes,Yes,Yes,Yes,,Welland, L3B6E3,120.0,2018-02-15,2010-08-17,2020-05-26,32.0,10.0,7.0,15.0,4.0,4.0,12.0,3.0,2.0,4.0,1.0,
DOVER CLIFFS,501 St George Street P.O. BOX 430,Hamilton Niagara Haldimand Brant (Hnhb),Dover Cliffs Operating Inc.,,For-Profit,Home with approximately 70 beds,Yes,Yes,Yes,Yes,,Port Dover, N0A1N0,70.0,2018-11-13,2010-09-09,2020-06-16,36.0,14.0,5.0,11.0,4.0,1.0,11.0,4.0,2.0,9.0,5.0,2.0
DOWNSVIEW LONG TERM CARE CENTRE,3595 Keele Street,Central,Gem Health Care Group Limited,Humber River Hospital,For-Profit,Home with approximately 252 beds,Yes,Yes,Yes,Yes,,North York, M3J1M7,252.0,2017-12-28,2011-06-10,2020-10-21,63.0,22.0,6.0,43.0,10.0,5.0,9.0,2.0,1.0,19.0,7.0,
DUFFERIN OAKS,151 Centre Street,Central West,Corporation Of The County Of Dufferin,,Municipal,Home with approximately 160 beds,No,Yes,Yes,No,,Shelburne, L0N1S4,160.0,2017-05-23,2010-09-28,2020-02-18,23.0,13.0,5.0,8.0,6.0,3.0,9.0,3.0,2.0,3.0,2.0,
DUNDAS MANOR NURSING HOME,533 Clarence Street P.O. Box 970,Champlain,Rural Healthcare Innovations Inc.,Winchester District Memorial Hospital,Non-Profit,Home with approximately 98 beds,No,Yes,Yes,Yes,,Winchester, K0C2K0,98.0,2018-07-09,2011-06-28,2020-11-13,39.0,25.0,13.0,11.0,4.0,3.0,18.0,12.0,8.0,8.0,4.0,1.0
DUNDURN PLACE CARE CENTRE,39 Mary Street,Hamilton Niagara Haldimand Brant (Hnhb),Rykka Care Centres Lp,,For-Profit,Home with approximately 201 beds,Yes,Yes,Yes,Yes,,Hamilton, L8R3L8,201.0,2018-02-07,2010-08-19,2020-03-05,51.0,20.0,7.0,24.0,7.0,2.0,15.0,6.0,4.0,12.0,5.0,1.0
E. J. MCQUIGGE LODGE,38 Black Diamond Road P.O. Box 68,South East,Keay Nursing Homes Inc.,,For-Profit,Home with approximately 57 beds,Yes,Yes,No,Yes,,Cannifton, K0K1K0,57.0,2017-05-18,2011-10-19,2020-10-01,23.0,9.0,4.0,10.0,2.0,2.0,9.0,4.0,2.0,1.0,,
EAGLE TERRACE,329 Eagle Street,Central,Revera Long Term Care Inc.,,For-Profit,Home with approximately 70 beds,No,Yes,Yes,Yes,,Newmarket, L3Y1K3,70.0,2017-11-27,2011-07-07,2019-06-03,13.0,6.0,2.0,4.0,,,3.0,2.0,2.0,,,
EARLS COURT VILLAGE,"1390 Highbury Avenue, North",South West,Sharon Farms & Enterprises Limited,Responsive Health Management Inc.,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,London, N5Y0B6,128.0,2018-05-24,2014-10-21,2020-09-24,88.0,81.0,19.0,53.0,44.0,7.0,19.0,16.0,5.0,31.0,29.0,11.0
EASTHOLME HOME FOR THE AGED,62 Big Bend Avenue P.O. Box 400,North East,East District Of Parry Sound Home For The Aged,,Municipal,Home with approximately 128 beds,No,Yes,Yes,No,,Powassan, P0H1Z0,128.0,2017-08-10,2011-09-12,2020-09-24,18.0,12.0,4.0,4.0,2.0,,11.0,6.0,3.0,3.0,1.0,1.0
EATONVILLE CARE CENTRE,420 The East Mall,Mississauga Halton,Rykka Care Centres Lp,,For-Profit,Home with approximately 247 beds,No,Yes,Yes,Yes,,Etobicoke, M9B3Z9,247.0,2017-10-10,2009-12-13,2020-07-16,37.0,15.0,6.0,24.0,5.0,2.0,13.0,4.0,3.0,4.0,3.0,1.0
EDEN HOUSE NURSING HOME,5016 Wellington County Road 29 R. R. #2,Waterloo Wellington,Eden House Care Facility Inc.,Assured Care Consulting Inc.,For-Profit,Home with approximately 59 beds,No,Yes,Yes,Yes,,Guelph, N1H6H8,59.0,2018-07-09,2011-02-28,2020-10-13,17.0,12.0,7.0,3.0,3.0,2.0,5.0,3.0,2.0,3.0,2.0,
EDGEWATER GARDENS LONG TERM CARE CENTRE,428 Broad Street West,Hamilton Niagara Haldimand Brant (Hnhb),Haldimand War Memorial Hospital,,Non-Profit,Home with approximately 64 beds,No,Yes,Yes,Yes,,Dunnville, N1A1T3,64.0,2018-11-05,2010-12-07,2020-02-25,20.0,14.0,9.0,10.0,5.0,4.0,3.0,2.0,2.0,6.0,5.0,2.0
EHATARE NURSING HOME,40 Old Kingston Road,Central East,Estonian Relief Committee In Canada,,Non-Profit,Home with approximately 32 beds,No,Yes,Yes,No,,Scarborough, M1E3J5,32.0,2019-01-22,2011-09-21,2019-11-06,9.0,5.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,
ELGIN ABBEY NURSING HOME,380 First Avenue North P.O. Box 7,South West,Capricorn Investments Corporation Limited,Extendicare (Canada) Inc.,For-Profit,Home with approximately 27 beds,No,Yes,No,Yes,,Chesley, N0G1L0,27.0,2018-08-07,2010-09-09,2020-10-01,33.0,20.0,7.0,8.0,4.0,2.0,5.0,3.0,2.0,20.0,10.0,5.0
ELGIN MANOR,39262 Fingal Line R. R. #1,South West,The Corporation Of The County Of Elgin Municipal Homes,,Municipal,Home with approximately 90 beds,Yes,Yes,Yes,No,,St. Thomas, N5P3S5,90.0,2017-12-12,2010-11-05,2020-11-02,34.0,15.0,10.0,2.0,2.0,2.0,32.0,10.0,8.0,,,
ELGINWOOD,182 Yorkland Street,Central,Axr Operating (National) Lp,,For-Profit,Home with approximately 124 beds,Yes,Yes,Yes,Yes,,Richmond Hill, L4S2M9,124.0,2019-02-26,2010-10-04,2020-02-03,23.0,15.0,10.0,11.0,6.0,5.0,7.0,5.0,3.0,3.0,2.0,2.0
ÉLISABETH-BRUYÈRE RESIDENCE,75 Bruyere Street,Champlain,Bruyère Continuing Care Inc.,,Non-Profit,Home with approximately 71 beds,No,Yes,Yes,Yes,,Ottawa, K1N5C8,71.0,2019-02-12,2010-08-09,2020-07-03,62.0,48.0,20.0,20.0,13.0,4.0,20.0,11.0,6.0,14.0,10.0,4.0
ELIZABETH CENTRE,2100 Main Street,North East,Valley East Long Term Care Centre Inc.,,For-Profit,Home with approximately 128 beds,Yes,Yes,Yes,Yes,,Val Caron, P3N1S7,128.0,2018-04-19,2010-07-05,2020-06-23,49.0,27.0,15.0,21.0,9.0,4.0,17.0,7.0,4.0,15.0,10.0,6.0
ELM GROVE LIVING CENTRE,35 Elm Grove Avenue,Toronto Central,Elm Grove Living Centre Inc.,,For-Profit,Home with approximately 126 beds,No,Yes,No,Yes,,Toronto, M6K2J2,126.0,2018-08-24,2011-06-27,2020-02-05,14.0,9.0,4.0,7.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
ELMWOOD PLACE,46 Elmwood Place West,South West,Revera Long Term Care Inc.,,For-Profit,Home with approximately 78 beds,No,Yes,Yes,Yes,,London, N6J1J2,78.0,2017-12-18,2010-04-04,2020-10-09,48.0,18.0,9.0,19.0,7.0,2.0,20.0,5.0,4.0,5.0,3.0,2.0
EMO HEALTH CENTRE,170 Front Street P. O. Box 390,North West,Riverside Health Care Facilities Inc.,,Non-Profit,Home with approximately 12 beds,No,Yes,No,Yes,,Emo, P0W1E0,12.0,2018-11-16,2011-11-04,2020-10-27,9.0,5.0,2.0,,,,1.0,,,2.0,2.0,
ERIN MILLS LODGE NURSING HOME,2132 Dundas Street West,Mississauga Halton,Schlegel Villages Inc.,,For-Profit,Home with approximately 86 beds,No,Yes,Yes,Yes,,Mississauga, L5K2K7,86.0,2018-02-12,2010-10-06,2020-09-24,35.0,21.0,6.0,14.0,6.0,1.0,7.0,4.0,2.0,8.0,6.0,1.0
ERRINRUNG LONG TERM CARE HOME,67 Bruce Street P.O. Box 7069,South West,"Cvh (No. 8) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 60 beds,Yes,Yes,Yes,Yes,,Thornbury, N0H2P0,60.0,2017-10-05,2010-11-12,2020-02-06,28.0,11.0,3.0,19.0,6.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0
ESPANOLA GENERAL HOSPITAL (OPERATING AS ESPANOLA NURSING HOME-ELDCAP),825  Mckinnon Drive,North East,Espanola General Hospital,,Non-Profit,Home with approximately 30 beds,No,Yes,Yes,Yes,,Espanola, P5E1R4,30.0,2018-01-22,2011-09-29,2020-06-04,10.0,6.0,3.0,,,,6.0,1.0,1.0,1.0,1.0,
