name,address,LHIN,home_type,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,first_inspection_date,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,cleaned_name,outbreak,number_beds,CSDname,CSDuid,latitude,longitude
CHARTWELL WHITE EAGLE LONG TERM CARE RESIDENCE,138 Dowling Avenue,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,,Toronto, M6K3A6,2011-10-18,14,10,4,2,,,4,3,3,2,2,,chartwell white eagle long term care residence,1,56,Toronto,3520005,43.63717128,-79.4392265
CHARTWELL WILLOWGROVE LONG TERM CARE RESIDENCE,1217 Old Mohawk Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Ancaster, L9K1P6,2010-12-14,24,13,7,8,1,1,8,5,3,4,4,1,chartwell willowgrove long term care residence,0,169,Hamilton,3525005,43.23324649,-79.93527582
CHARTWELL WOODHAVEN LONG TERM CARE RESIDENCE,380 Church Street,Central,For-Profit,Yes,No,Yes,Yes,,Markham, L6B1E1,2010-08-17,34,22,13,14,8,6,12,9,4,12,10,6,chartwell woodhaven long term care residence,1,192,Markham,3519036,43.88586653,-79.23093356
CHARTWELL WYNFIELD LONG TERM CARE RESIDENCE,451 Woodmount Drive,Central East,For-Profit,No,Yes,Yes,Yes,,Oshawa, L1G8E3,2011-01-20,27,18,10,12,7,6,10,7,4,2,1,,chartwell wynfield long term care residence,1,172,Oshawa,3518013,43.94673256,-78.87267965
CHATEAU PARK LONG TERM CARE HOME,2990 B Riverside Drive West,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Windsor, N9C1A2,2011-05-04,16,8,3,6,1,1,3,3,2,1,1,,chateau park long term care home,0,59,Windsor,3537039,42.30747117,-83.07313582
CHELSEY PARK,310 Oxford Street West,South West,For-Profit,Yes,Yes,Yes,Yes,,London, N6H4N6,2010-11-02,76,39,19,25,13,4,40,21,13,5,2,1,chelsey park,1,247,London,3539036,42.98760838,-81.27670392
CHELTENHAM CARE COMMUNITY,5935 Bathurst Street,Central,For-Profit,Yes,Yes,Yes,Yes,,North York, M2R1Y8,2011-03-03,30,16,9,12,5,3,9,6,5,9,5,2,cheltenham care community,0,170,Toronto,3520005,43.7818402,-79.44446061
CHESTER VILLAGE,3555 Danforth Avenue,Toronto Central,Non-Profit,No,Yes,Yes,Yes,,Toronto, M1L1E3,2010-10-19,24,8,5,10,1,1,7,4,4,5,2,2,chester village,1,203,Toronto,3520005,43.6936488,-79.27484865
CLARION NURSING HOME,337 Highway #8,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Stoney Creek, L8G1E7,2011-01-10,22,14,7,5,2,2,5,3,3,8,5,1,clarion nursing home,0,100,Hamilton,3525005,43.22037979,-79.72817146
COLEMAN CARE CENTRE,140 Cundles Road West,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,,Barrie, L4N9X8,2011-05-26,21,12,9,7,2,2,6,5,5,3,2,1,coleman care centre,0,112,Barrie,3543042,44.4011191,-79.71536396
COLLINGWOOD NURSING HOME,250 Campbell Street,North Simcoe Muskoka,For-Profit,No,Yes,Yes,No,,Collingwood, L9Y4J9,2011-03-17,25,17,15,8,3,3,7,6,6,8,7,7,collingwood nursing home,1,64,Collingwood,3543031,44.48264419,-80.22895893
COLUMBIA FOREST,650 Mountain Maple Avenue,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Waterloo, N2V2P7,2010-08-06,47,15,8,15,4,2,23,6,5,7,5,1,columbia forest,1,156,Waterloo,3530016,43.4649426,-80.59136415
COOKSVILLE CARE CENTRE,55 The Queensway West,Mississauga Halton,For-Profit,Yes,Yes,Yes,Yes,,Mississauga, L5B1B5,2010-08-11,70,29,16,38,11,7,18,8,7,13,6,1,cooksville care centre,1,192,Mississauga,3521005,43.57334286,-79.60968605
COPERNICUS LODGE,66 Roncesvalles Avenue,Toronto Central,Non-Profit,Yes,Yes,Yes,No,,Toronto, M6R3A7,2011-04-27,24,18,9,12,10,6,4,3,2,5,4,1,copernicus lodge,1,228,Toronto,3520005,43.64020808,-79.447311
COPPER TERRACE,91 Tecumseh Road,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,,Chatham, N7M1B3,2010-07-28,97,53,23,33,19,9,45,23,7,14,11,8,copper terrace,0,138,Chatham-Kent,3536020,42.39831463,-82.20038906
COUNTRY LANE LONG TERM CARE RESIDENCE,"R. R. #3, 317079 Hwy 6 & 10",South West,For-Profit,No,Yes,Yes,Yes,,Chatsworth, N0H1G0,2011-04-14,21,8,2,5,1,,6,1,1,7,3,,country lane long term care residence,0,34,Chatsworth,3542037,44.4657069,-80.9030782
COUNTRY TERRACE,10072 Oxbow Drive R.R. #3,South West,For-Profit,Yes,Yes,No,Yes,,Komoka, N0L1R0,2010-07-22,86,33,14,32,14,5,42,11,6,5,4,2,country terrace,1,120,Middlesex Centre,3539033,42.95867137,-81.43757387
COUNTRY VILLAGE HOMES - WOODSLEE,440 County Road 8 R. R. #2,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Woodslee, N0R1V0,2010-10-12,64,27,11,35,14,6,17,9,3,6,2,1,country village homes - woodslee,1,104,Kingsville,3537013,42.1724111,-82.7212974
CRAIGHOLME,221 Main Street R. R. #1,South West,Non-Profit,Yes,Yes,Yes,No,stutti@craigwielgardens.on.ca   ,Ailsa Craig, N0M1A0,2010-11-18,58,28,17,18,11,6,32,10,6,5,5,5,craigholme,0,83,North Middlesex,3539041,43.14535469,-81.53006982
CRAIGLEE NURSING HOME,102 Craiglee Drive,Central East,For-Profit,No,Yes,Yes,Yes,,Scarborough, M1N2M7,2010-07-28,67,28,19,36,16,12,19,5,5,13,9,7,craiglee nursing home,1,169,Toronto,3520005,43.706865,-79.25329325
CREEDAN VALLEY CARE COMMUNITY,143 Mary Street,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,,Creemore, L0M1G0,2010-09-28,30,20,15,8,3,3,6,3,3,13,12,10,creedan valley care community,1,95,Clearview,3543005,44.32664057,-80.09982767
CREEK WAY VILLAGE,5200 Corporate Drive,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,,Burlington, L7L7G7,2010-09-24,31,16,8,13,5,3,12,6,4,8,6,3,creek way village,1,144,Burlington,3524002,43.39302822,-79.77985319
CRESCENT PARK LODGE,4 Hagey Avenue,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,,Fort Erie, L2A5M5,2011-04-05,26,17,8,10,6,3,7,5,4,5,3,,crescent park lodge,1,68,Fort Erie,3526003,42.91044887,-78.92320857
CROWN RIDGE PLACE,106 Crown Street,South East,For-Profit,Yes,Yes,Yes,Yes,,Trenton, K8V6R3,2010-09-15,26,18,6,6,3,1,12,10,5,2,1,,crown ridge place,0,116,Quinte West,3512015,44.10639945,-77.56149694
CUMMER LODGE,205 Cummer Avenue,Central,Municipal,Yes,Yes,Yes,Yes,,North York, M2M2E8,2010-09-21,50,27,13,25,12,6,16,9,6,8,5,3,cummer lodge,1,391,Toronto,3520005,43.78816171,-79.4075617
DEARNESS HOME FOR SENIOR CITIZENS,710 Southdale Road East,South West,Municipal,Yes,Yes,Yes,Yes,"datars bere, dearness home managing director ",London, N6E1R8,2010-07-27,79,36,19,32,14,8,40,19,11,3,1,,dearness home for senior citizens,0,243,London,3539036,42.94410837,-81.2242039
DEER PARK VILLA,150 Central Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,No,Yes,,Grimsby, L3M4Z3,2010-11-02,15,9,5,3,1,1,4,3,3,1,1,1,deer park villa,0,39,Grimsby,3526065,43.1895365,-79.54142639
DEERWOOD CREEK CARE COMMUNITY,70 Humberline Drive,Central West,For-Profit,No,Yes,Yes,Yes,,Etobicoke, M9W7H3,2010-12-10,35,21,13,18,10,6,9,5,5,6,3,2,deerwood creek care community,1,160,Toronto,3520005,43.73160489,-79.61744587
DELHI LONG TERM CARE CENTRE,750 Gibraltar Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,Yes,,Delhi, N4B3B3,2010-11-23,27,13,3,5,3,,8,4,1,11,6,1,delhi long term care centre,1,60,Norfolk County,3528052,42.8420406,-80.4905752
DERBECKER'S HERITAGE HOUSE,54 Eby Street,Waterloo Wellington,For-Profit,No,Yes,No,No,,St. Jacobs, N0B2N0,2011-09-12,11,7,4,2,2,2,4,2,2,,,,derbecker's heritage house,0,73,Woolwich,3530035,43.54089651,-80.54914374
DOM LIPA,52 Neilson Drive,Mississauga Halton,Non-Profit,No,Yes,No,No,,Etobicoke, M9C1V7,2011-11-14,12,8,4,1,,,4,4,4,2,2,1,dom lipa,1,66,Toronto,3520005,43.62949697,-79.56513824
DOUGLAS H. RAPELJE LODGE,277 Plymouth Road,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,Yes,Yes,Yes,Yes,,Welland, L3B6E3,2010-08-17,33,11,8,15,5,5,12,3,2,4,1,,douglas h. rapelje lodge,1,120,Welland,3526032,42.97774267,-79.24618498
DOVER CLIFFS,501 St George Street P.O. BOX 430,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,,Port Dover, N0A1N0,2010-09-09,41,19,10,11,6,3,11,6,4,9,5,2,dover cliffs,0,70,Norfolk County,3528052,42.78788949,-80.20786437
DOWNSVIEW LONG TERM CARE CENTRE,3595 Keele Street,Central,For-Profit,Yes,Yes,Yes,Yes,,North York, M3J1M7,2011-06-10,72,31,15,43,15,10,9,4,3,19,10,3,downsview long term care centre,1,252,Toronto,3520005,43.7511842,-79.48559573
DUFFERIN OAKS,151 Centre Street,Central West,Municipal,No,Yes,Yes,No,,Shelburne, L0N1S4,2010-09-28,24,14,6,8,6,3,8,4,3,2,2,,dufferin oaks,1,160,Shelburne,3522021,44.07675832,-80.20035498
DUNDAS MANOR NURSING HOME,533 Clarence Street P.O. Box 970,Champlain,Non-Profit,No,Yes,Yes,Yes,,Winchester, K0C2K0,2011-06-28,42,28,16,10,5,4,18,14,10,8,4,1,dundas manor nursing home,0,98,North Dundas,3501030,45.08860351,-75.3555682
DUNDURN PLACE CARE CENTRE,39 Mary Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,,Hamilton, L8R3L8,2010-08-19,53,22,9,24,7,2,15,8,6,12,5,1,dundurn place care centre,1,201,Hamilton,3525005,43.25642639,-79.8639432
E. J. MCQUIGGE LODGE,38 Black Diamond Road P.O. Box 68,South East,For-Profit,Yes,Yes,No,Yes,,Cannifton, K0K1K0,2011-10-19,26,12,7,10,3,3,9,6,4,1,,,e. j. mcquigge lodge,0,57,Belleville,3512005,44.19803357,-77.39029009
EAGLE TERRACE,329 Eagle Street,Central,For-Profit,No,Yes,Yes,Yes,,Newmarket, L3Y1K3,2011-07-07,13,6,2,4,,,3,2,2,,,,eagle terrace,1,70,Newmarket,3519048,44.04894845,-79.46340434
EARLS COURT VILLAGE,"1390 Highbury Avenue, North",South West,For-Profit,No,Yes,Yes,Yes,,London, N5Y0B6,2014-10-21,95,88,26,53,47,10,19,19,8,31,30,12,earls court village,1,128,London,3539036,43.02686099,-81.21868721
EASTHOLME HOME FOR THE AGED,62 Big Bend Avenue P.O. Box 400,North East,Municipal,No,Yes,Yes,No,,Powassan, P0H1Z0,2011-09-12,22,16,8,4,2,,11,8,5,3,3,3,eastholme home for the aged,1,128,Powassan,3549060,46.0786957,-79.3588835
EATONVILLE CARE CENTRE,420 The East Mall,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,,Etobicoke, M9B3Z9,2009-12-13,45,23,14,24,9,6,13,8,7,4,3,1,eatonville care centre,1,247,Toronto,3520005,43.64760318,-79.56046144
EDEN HOUSE NURSING HOME,5016 Wellington County Road 29 R. R. #2,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Guelph, N1H6H8,2011-02-28,18,13,8,3,3,2,4,4,3,3,2,,eden house nursing home,0,59,Guelph/Eramosa,3523009,43.58078794,-80.16785633
EDGEWATER GARDENS LONG TERM CARE CENTRE,428 Broad Street West,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,,Dunnville, N1A1T3,2010-12-07,21,15,10,10,6,5,3,2,2,6,5,2,edgewater gardens long term care centre,0,64,Haldimand County,3528018,42.90614674,-79.625957
EHATARE NURSING HOME,40 Old Kingston Road,Central East,Non-Profit,No,Yes,Yes,No,,Scarborough, M1E3J5,2011-09-21,9,5,2,1,,,1,1,1,1,,,ehatare nursing home,1,32,Toronto,3520005,43.77551412,-79.18320493
ELGIN ABBEY NURSING HOME,380 First Avenue North P.O. Box 7,South West,For-Profit,No,Yes,No,Yes,,Chesley, N0G1L0,2010-09-09,34,21,8,8,4,2,5,3,2,19,11,6,elgin abbey nursing home,1,27,Arran-Elderslie,3541043,44.31058562,-81.09967099
ELGIN MANOR,39262 Fingal Line R. R. #1,South West,Municipal,Yes,Yes,Yes,No,,St. Thomas, N5P3S5,2010-11-05,37,18,13,2,2,2,30,13,11,,,,elgin manor,0,90,Southwold,3534024,42.76901044,-81.23754879
ELGINWOOD,182 Yorkland Street,Central,For-Profit,Yes,Yes,Yes,Yes,,Richmond Hill, L4S2M9,2010-10-04,25,17,12,11,6,5,7,6,4,3,2,2,elginwood,0,124,Richmond Hill,3519038,43.90172983,-79.44169122
ÉLISABETH-BRUYÈRE RESIDENCE,75 Bruyere Street,Champlain,Non-Profit,No,Yes,Yes,Yes,,Ottawa, K1N5C8,2010-08-09,66,52,24,20,13,4,20,15,10,14,12,6,elisabeth-bruyere residence,1,71,Ottawa,3506008,45.43220386,-75.69601434
ELIZABETH CENTRE,2100 Main Street,North East,For-Profit,Yes,Yes,Yes,Yes,,Val Caron, P3N1S7,2010-07-05,54,32,20,21,10,5,17,9,6,15,12,8,elizabeth centre,1,128,Greater Sudbury / Grand Sudbury,3553005,46.6119611,-81.02674901
ELM GROVE LIVING CENTRE,35 Elm Grove Avenue,Toronto Central,For-Profit,No,Yes,No,Yes,,Toronto, M6K2J2,2011-06-27,15,10,5,7,2,2,3,3,2,1,1,1,elm grove living centre,1,126,Toronto,3520005,43.64031588,-79.4307008
ELMWOOD PLACE,46 Elmwood Place West,South West,For-Profit,No,Yes,Yes,Yes,,London, N6J1J2,2010-04-04,50,20,11,18,8,3,20,6,5,5,3,2,elmwood place,1,90,London,3539036,42.96948268,-81.26521352
EMO HEALTH CENTRE,170 Front Street P. O. Box 390,North West,Non-Profit,No,Yes,No,Yes,,Emo, P0W1E0,2011-11-04,9,5,2,,,,,,,2,2,,emo health centre,0,12,Emo,3559019,48.631491,-93.842073
ERIN MILLS LODGE NURSING HOME,2132 Dundas Street West,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,,Mississauga, L5K2K7,2010-10-06,35,21,6,13,6,1,6,4,2,7,6,1,erin mills lodge nursing home,1,86,Mississauga,3521005,43.53474615,-79.66736096
ERRINRUNG LONG TERM CARE HOME,67 Bruce Street P.O. Box 7069,South West,For-Profit,Yes,Yes,Yes,Yes,,Thornbury, N0H2P0,2010-11-12,30,13,5,19,7,2,3,1,1,2,2,2,errinrung long term care home,0,60,The Blue Mountains,3542045,44.55940799,-80.45518861
ESPANOLA GENERAL HOSPITAL (OPERATING AS ESPANOLA NURSING HOME-ELDCAP),825  Mckinnon Drive,North East,Non-Profit,No,Yes,Yes,Yes,,Espanola, P5E1R4,2011-09-29,11,7,4,,,,6,2,2,1,1,,espanola general hospital (operating as espanola nursing home-eldcap),0,30,Espanola,3552026,46.2482946,-81.78317101
ESPANOLA GENERAL HOSPITAL (OPERATING AS ESPANOLA NURSING HOME-LTC),825 Mckinnon Drive,North East,Non-Profit,No,Yes,Yes,Yes,,Espanola, P5E1R4,2011-09-29,17,13,5,2,2,1,8,4,3,3,3,,espanola general hospital (operating as espanola nursing home-ltc),0,32,Espanola,3552026,46.2484521,-81.7808318
EXETER VILLA,155 John Street East,South West,For-Profit,Yes,Yes,No,Yes,,Exeter, N0M1S1,2011-02-15,20,13,9,6,4,4,7,4,3,1,1,1,exeter villa,1,47,South Huron,3540005,43.34653763,-81.47441712
EXTENDICARE BAYVIEW,550 Cummer Avenue,Central,For-Profit,Yes,Yes,Yes,Yes,,North York, M2K2M2,2010-09-08,34,11,4,13,3,1,11,2,2,5,2,,extendicare bayview,1,205,Toronto,3520005,43.79341251,-79.3906724
EXTENDICARE BRAMPTON,7891 Mclaughlin Road,Central West,For-Profit,No,Yes,Yes,Yes,,Brampton, L6Y5H8,2010-09-01,27,18,11,13,6,4,4,4,4,8,7,4,extendicare brampton,1,150,Brampton,3521010,43.65536347,-79.7356338
EXTENDICARE COBOURG,130 New Densmore Road,Central East,For-Profit,No,Yes,Yes,Yes,,Cobourg, K9A5W2,2011-07-26,43,21,8,21,10,4,11,6,3,5,,,extendicare cobourg,0,69,Cobourg,3514021,43.9837753,-78.17209322
EXTENDICARE FALCONBRIDGE,281 Falconbridge Road,North East,For-Profit,Yes,Yes,Yes,Yes,,Sudbury, P3A5K4,2010-10-05,70,43,22,25,16,8,23,14,8,18,13,6,extendicare falconbridge,1,234,Greater Sudbury / Grand Sudbury,3553005,46.50713379,-80.93753367
EXTENDICARE GUILDWOOD,60 Guildwood Parkway,Central East,For-Profit,Yes,Yes,Yes,Yes,,Scarborough, M1E1N9,2010-07-19,44,23,15,19,5,5,14,8,5,14,12,7,extendicare guildwood,1,169,Toronto,3520005,43.74686311,-79.20313123
EXTENDICARE HALIBURTON,167 Park Street P.O. Box 780,Central East,For-Profit,No,Yes,Yes,Yes,,Haliburton, K0M1S0,2011-11-10,21,14,7,6,2,2,5,5,4,8,5,2,extendicare haliburton,0,60,Dysart et al,3546024,45.051712,-78.502471
EXTENDICARE HALTON HILLS,9 Lindsay Court,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,,Georgetown, L7G6G9,2010-11-19,48,26,12,28,13,5,9,4,3,14,12,8,extendicare halton hills,1,130,Halton Hills,3524015,43.64922616,-79.94812796
EXTENDICARE HAMILTON,90 Chedmac Drive,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Hamilton, L9C7S6,2010-09-30,44,22,10,21,8,3,11,5,5,10,7,2,extendicare hamilton,1,160,Hamilton,3525005,43.23730029,-79.92136612
EXTENDICARE KAPUSKASING,45 Ontario Street P.O. Box 460,North East,For-Profit,Yes,Yes,Yes,Yes,,Kapuskasing, P5N2Y5,2011-11-15,29,21,13,9,8,6,11,7,7,1,1,1,extendicare kapuskasing,0,61,Kapuskasing,3556066,49.41769224,-82.41017831
EXTENDICARE KAWARTHA LAKES,125 Colborne Street East,Central East,For-Profit,No,Yes,No,Yes,,Lindsay, K0L2V0,2010-11-08,16,11,5,3,1,,7,6,4,1,1,,extendicare kawartha lakes,0,64,Kawartha Lakes,3516010,44.36383334,-78.72369584
EXTENDICARE KINGSTON,309 Queen Mary Road,South East,For-Profit,No,Yes,Yes,Yes,,Kingston, K7M6P4,2011-10-17,28,15,4,7,2,1,12,7,2,4,2,,extendicare kingston,0,150,Kingston,3510010,44.23934601,-76.53531092
EXTENDICARE KIRKLAND LAKE,155 Government Road East,North East,For-Profit,Yes,Yes,Yes,Yes,,Kirkland Lake, P2N3P4,2011-06-14,23,17,6,5,3,1,9,6,3,3,3,,extendicare kirkland lake,0,100,Kirkland Lake,3554068,48.15597609,-80.02268375
EXTENDICARE LAKEFIELD,19 Fraser Street,Central East,For-Profit,Yes,Yes,Yes,Yes,,Lakefield, K0L2H0,2010-11-25,21,15,6,7,6,3,6,3,2,5,2,,extendicare lakefield,1,100,Selwyn,3515015,44.42419477,-78.2815351
EXTENDICARE LAURIER MANOR,1715 Montreal Road,Champlain,For-Profit,No,Yes,Yes,Yes,,Gloucester, K1J6N4,2010-09-10,87,54,17,43,26,8,34,20,8,7,7,2,extendicare laurier manor,1,242,Ottawa,3506008,45.44640676,-75.61084101
EXTENDICARE LONDON,860 Waterloo Street,South West,For-Profit,Yes,Yes,Yes,Yes,,London, N6A3W6,2010-09-02,62,26,13,29,10,3,25,12,8,3,1,1,extendicare london,0,170,London,3539036,43.00042548,-81.24860602
EXTENDICARE MAPLE VIEW OF SAULT STE. MARIE,650 Northern Avenue,North East,For-Profit,No,Yes,Yes,Yes,,Sault Ste. Marie, P6B4J3,2013-12-17,50,43,28,18,16,12,17,13,8,17,15,7,extendicare maple view of sault ste. marie,1,256,Sault Ste. Marie,3557061,46.5350635,-84.30335325
EXTENDICARE MEDEX,1865 Baseline Road,Champlain,For-Profit,No,Yes,No,Yes,,Ottawa, K2C3K6,2010-08-13,64,38,20,24,14,8,28,19,9,6,4,2,extendicare medex,1,193,Ottawa,3506008,45.35435184,-75.75821985
EXTENDICARE MISSISSAUGA,855 John Watt Boulevard,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,,Mississauga, L5W1G2,2010-08-11,23,13,7,10,5,3,9,5,4,3,1,,extendicare mississauga,0,140,Mississauga,3521005,43.63238897,-79.72791359
EXTENDICARE NEW ORCHARD LODGE,99 New Orchard Avenue,Champlain,For-Profit,No,Yes,No,Yes,,Ottawa, K2B5E6,2011-05-30,30,18,6,12,9,3,14,6,3,,,,extendicare new orchard lodge,0,111,Ottawa,3506008,45.37526254,-75.77907516
EXTENDICARE OSHAWA,82 Park Road North,Central East,For-Profit,Yes,Yes,Yes,Yes,,Oshawa, L1J4L1,2011-03-02,41,28,8,13,9,4,18,11,3,5,2,,extendicare oshawa,1,175,Oshawa,3518013,43.89733765,-78.87514724
EXTENDICARE PETERBOROUGH,80 Alexander Avenue,Central East,For-Profit,Yes,Yes,Yes,Yes,,Peterborough, K9J6B4,2011-06-02,32,21,12,13,7,4,11,8,6,3,2,1,extendicare peterborough,0,174,Peterborough,3515014,44.29856245,-78.34564511
EXTENDICARE PORT HOPE,360 Croft Street,Central East,For-Profit,No,Yes,Yes,Yes,,Port Hope, L1A4K8,2010-08-26,29,21,5,12,5,2,9,8,3,5,4,,extendicare port hope,0,128,Port Hope,3514020,43.96724219,-78.28414406
EXTENDICARE PORT STANLEY,4551 East Road,South West,For-Profit,Yes,Yes,Yes,Yes,,Port Stanley, N5L1J6,2010-09-23,32,19,9,7,2,,13,7,5,8,7,4,extendicare port stanley,0,60,Central Elgin,3534020,42.67066023,-81.20881357
EXTENDICARE ROUGE VALLEY,551 Conlins Road,Central East,For-Profit,Yes,Yes,Yes,Yes,,Toronto, M1B5S1,2010-09-14,37,25,13,15,10,4,10,7,5,7,5,2,extendicare rouge valley,1,192,Toronto,3520005,43.80332132,-79.18867764
EXTENDICARE SCARBOROUGH,3830 Lawrence Avenue East,Central East,For-Profit,Yes,Yes,Yes,Yes,,Scarborough, M1G1R6,2011-03-24,36,20,11,18,9,6,10,4,3,5,4,1,extendicare scarborough,1,154,Toronto,3520005,43.76375641,-79.21012454
EXTENDICARE SOUTHWOOD LAKES,1255 North Talbot Road,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Windsor, N9G3A4,2010-07-27,102,32,16,72,20,10,20,6,5,3,2,1,extendicare southwood lakes,1,150,Windsor,3537039,42.24130106,-82.97743668
EXTENDICARE ST. CATHARINES,283 Pelham Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,St. Catharines, L2S1X7,2010-10-15,27,16,9,11,5,5,9,4,3,7,6,2,extendicare st. catharines,0,153,St. Catharines,3526053,43.1300249,-79.2583408
EXTENDICARE STARWOOD,114 Starwood Road,Champlain,For-Profit,No,Yes,Yes,Yes,,Nepean, K2G3N5,2010-09-08,54,26,14,25,12,6,21,10,7,5,1,1,extendicare starwood,1,192,Ottawa,3506008,45.35366004,-75.75058715
EXTENDICARE TECUMSEH,2475 St. Alphonse Street,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Tecumseh, N8N2X2,2010-08-04,73,34,21,48,16,9,18,13,10,4,3,3,extendicare tecumseh,1,128,Tecumseh,3537048,42.28214117,-82.88283156
EXTENDICARE TIMMINS,62 St-Jean Avenue,North East,For-Profit,No,Yes,Yes,Yes,,Timmins, P4R0A6,2011-05-31,41,27,11,15,9,4,14,8,5,11,9,1,extendicare timmins,1,180,Timmins,3556027,48.47746467,-81.37922804
EXTENDICARE TRI-TOWN,143 Bruce Street P.O. Box 999,North East,For-Profit,Yes,Yes,Yes,Yes,,Haileybury, P0J1K0,2011-11-07,17,12,5,7,4,2,2,2,1,3,2,2,extendicare tri-town,0,60,Temiskaming Shores,3554020,47.4407208,-79.63014404
EXTENDICARE VAN DAELE,39 Van Daele Street,North East,For-Profit,Yes,Yes,Yes,Yes,,Sault Ste Marie, P6B4V3,2011-03-21,23,13,10,7,5,5,6,3,3,5,3,2,extendicare van daele,0,100,Sault Ste. Marie,3557061,46.5295084,-84.32443156
EXTENDICARE WEST END VILLA,2179 Elmira Drive,Champlain,For-Profit,No,Yes,Yes,Yes,,Ottawa, K2C3S1,2010-11-18,106,59,22,57,33,11,42,22,10,5,1,1,extendicare west end villa,1,242,Ottawa,3506008,45.35438354,-75.77592346
EXTENDICARE YORK,333 York Street,North East,For-Profit,Yes,Yes,Yes,Yes,,Sudbury, P3E5J3,2010-09-21,65,36,16,25,12,6,24,13,7,17,11,3,extendicare york,1,288,Greater Sudbury / Grand Sudbury,3553005,46.47514368,-81.00771419
F. J. DAVEY HOME,733 Third Line East,North East,Non-Profit,No,Yes,Yes,Yes,,Sault Ste Marie, P6A7C1,2010-08-16,68,28,13,29,9,5,16,10,5,22,6,2,f. j. davey home,0,374,Sault Ste. Marie,3557061,46.5521221,-84.3119845
FAIRFIELD PARK,1934 Dufferin Avenue,Erie St. Clair,For-Profit,No,Yes,No,No,,Wallaceburg, N8A4M2,2010-09-01,33,17,12,12,5,4,14,8,7,1,,,fairfield park,0,99,Chatham-Kent,3536020,42.59425785,-82.41318124
FAIRHAVEN,881 Dutton Road,Central East,Municipal,Yes,Yes,Yes,Yes,,Peterborough, K9H7S4,2011-05-10,39,27,15,14,10,6,17,11,9,7,5,2,fairhaven,0,256,Peterborough,3515014,44.32761635,-78.3181676
FAIRMOUNT HOME FOR THE AGED,2069 Battersea Road R. R. #1,South East,Municipal,No,Yes,No,Yes,,Glenburnie, K0H1S0,2010-11-01,35,23,11,12,8,4,17,11,6,1,,,fairmount home for the aged,0,128,Kingston,3510010,44.31346333,-76.4650418
FAIRVERN NURSING HOME,14 Mill Street,North Simcoe Muskoka,Non-Profit,No,Yes,Yes,Yes,,Huntsville, P1H2A4,2011-11-22,21,11,6,4,2,2,7,4,4,4,,,fairvern nursing home,0,76,Huntsville,3544042,45.32656618,-79.21252868
FAIRVIEW LODGE,632 Dundas Street West P.O. Box 300,Central East,Municipal,No,Yes,Yes,Yes,,Whitby, L1N5S3,2010-08-25,48,29,13,19,12,8,20,9,4,2,2,,fairview lodge,1,198,Whitby,3518009,43.87912064,-78.95110927
FAIRVIEW MANOR,75 Spring Street,Champlain,Non-Profit,Yes,Yes,Yes,Yes,,Almonte, K0A1A0,2011-08-09,29,19,11,7,5,5,11,9,4,4,,,fairview manor,0,112,Mississippi Mills,3509030,45.2287855,-76.18998128
FAIRVIEW MENNONITE HOME,515 Langs Drive,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,,Cambridge, N3H5E4,2010-09-01,19,14,7,6,5,2,4,3,3,6,6,3,fairview mennonite home,0,84,Cambridge,3530010,43.3985564,-80.34314607
