name,inspection_types,inspection_dates
COUNTRY TERRACE,Complaints Inspection,2010-08-17
COUNTRY TERRACE,Critical Incident Inspection,2010-07-22
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2020-09-24
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2020-06-25
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2019-12-23
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2019-11-25
COUNTRY VILLAGE HOMES - WOODSLEE,Critical Incident Inspection,2019-11-25
COUNTRY VILLAGE HOMES - WOODSLEE,Follow-Up Inspection,2019-08-27
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection  with Order(s) of the Inspector,2019-07-25
COUNTRY VILLAGE HOMES - WOODSLEE,Critical Incident Inspection,2019-03-15
COUNTRY VILLAGE HOMES - WOODSLEE,Critical Incident Inspection,2018-11-23
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2018-11-22
COUNTRY VILLAGE HOMES - WOODSLEE,Resident Quality Inspection,2018-01-09
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2017-06-28
COUNTRY VILLAGE HOMES - WOODSLEE,Critical Incident Inspection,2017-06-28
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection  with Order(s) of the Inspector,2017-06-16
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2017-05-08
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2017-03-29
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2017-03-28
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2017-02-01
COUNTRY VILLAGE HOMES - WOODSLEE,Critical Incident Inspection,2016-11-01
COUNTRY VILLAGE HOMES - WOODSLEE,Resident Quality Inspection,2016-09-28
COUNTRY VILLAGE HOMES - WOODSLEE,Critical Incident Inspection,2016-03-16
COUNTRY VILLAGE HOMES - WOODSLEE,Critical Incident Inspection,2016-02-18
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2016-02-04
COUNTRY VILLAGE HOMES - WOODSLEE,Critical Incident Inspection,2016-02-04
COUNTRY VILLAGE HOMES - WOODSLEE,Critical Incident Inspection,2015-08-10
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2015-05-28
COUNTRY VILLAGE HOMES - WOODSLEE,Resident Quality Inspection,2015-04-14
COUNTRY VILLAGE HOMES - WOODSLEE,Critical Incident Inspection,2014-12-10
COUNTRY VILLAGE HOMES - WOODSLEE,Critical Incident Inspection,2014-12-10
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2014-09-10
COUNTRY VILLAGE HOMES - WOODSLEE,Resident Quality Inspection,2014-09-04
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2014-09-03
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2014-09-02
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2014-07-22
COUNTRY VILLAGE HOMES - WOODSLEE,Critical Incident Inspection,2014-04-29
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2014-01-21
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2013-12-30
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2013-10-02
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2013-06-25
COUNTRY VILLAGE HOMES - WOODSLEE,Critical Incident Inspection,2012-12-18
COUNTRY VILLAGE HOMES - WOODSLEE,Critical Incident Inspection,2012-12-17
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2012-12-04
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2012-09-06
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2012-09-04
COUNTRY VILLAGE HOMES - WOODSLEE,Other Inspection with Order(s) of the Inspector,2012-04-27
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2012-04-24
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2012-03-22
COUNTRY VILLAGE HOMES - WOODSLEE,Follow-Up Inspection with Order(s) of the Inspector,2012-02-17
COUNTRY VILLAGE HOMES - WOODSLEE,Follow-Up Inspection,2011-12-26
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection  with Order(s) of the Inspector,2011-12-06
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2011-09-20
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2011-09-20
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2011-09-20
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2011-09-20
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection  with Order(s) of the Inspector,2011-07-26
COUNTRY VILLAGE HOMES - WOODSLEE,Critical Incident Inspection,2011-05-31
COUNTRY VILLAGE HOMES - WOODSLEE,Other Inspection,2011-03-21
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2010-12-10
COUNTRY VILLAGE HOMES - WOODSLEE,Follow-Up Inspection,2010-11-18
COUNTRY VILLAGE HOMES - WOODSLEE,Follow-Up Inspection,2010-11-03
COUNTRY VILLAGE HOMES - WOODSLEE,Follow-Up Inspection,2010-10-26
COUNTRY VILLAGE HOMES - WOODSLEE,Complaints Inspection,2010-10-12
COUNTRY VILLAGE HOMES - WOODSLEE,Critical Incident Inspection,2010-10-12
COUNTRY VILLAGE HOMES - WOODSLEE,Critical Incident Inspection,2010-10-12
CRAIGHOLME,Follow-Up Inspection,2020-09-23
CRAIGHOLME,Critical Incident Inspection,2020-09-23
CRAIGHOLME,Complaints Inspection,2020-07-13
CRAIGHOLME,Critical Incident Inspection,2020-07-13
CRAIGHOLME,Complaints Inspection,2020-05-26
CRAIGHOLME,Follow-Up Inspection with Order(s) of the Inspector,2020-05-26
CRAIGHOLME,Critical Incident Inspection,2020-05-26
CRAIGHOLME,Complaints Inspection,2020-02-06
CRAIGHOLME,Critical Incident Inspection,2020-02-06
CRAIGHOLME,Complaints Inspection  with Order(s) of the Inspector,2019-11-18
CRAIGHOLME,Critical Incident Inspection  with Order(s) of the Inspector,2019-11-18
CRAIGHOLME,Complaints Inspection,2019-07-05
CRAIGHOLME,Follow-Up Inspection,2019-02-05
CRAIGHOLME,Critical Incident Inspection,2019-02-05
CRAIGHOLME,Resident Quality Inspection with Order(s) of the Inspector,2018-09-21
CRAIGHOLME,Complaints Inspection  with Order(s) of the Inspector,2018-04-27
CRAIGHOLME,Resident Quality Inspection,2018-01-11
CRAIGHOLME,Critical Incident Inspection,2017-07-07
CRAIGHOLME,Complaints Inspection,2017-05-17
CRAIGHOLME,Resident Quality Inspection,2017-01-23
CRAIGHOLME,Critical Incident Inspection,2016-07-29
CRAIGHOLME,Complaints Inspection,2016-07-28
CRAIGHOLME,Complaints Inspection,2016-01-20
CRAIGHOLME,Resident Quality Inspection,2015-09-17
CRAIGHOLME,Complaints Inspection,2015-05-11
CRAIGHOLME,Complaints Inspection,2015-04-08
CRAIGHOLME,Critical Incident Inspection,2015-02-11
CRAIGHOLME,Critical Incident Inspection,2015-02-10
CRAIGHOLME,Complaints Inspection,2014-09-10
CRAIGHOLME,Critical Incident Inspection,2014-09-10
CRAIGHOLME,Resident Quality Inspection,2014-03-25
CRAIGHOLME,Critical Incident Inspection,2013-12-30
CRAIGHOLME,Critical Incident Inspection,2013-11-20
CRAIGHOLME,Critical Incident Inspection,2013-10-30
CRAIGHOLME,Complaints Inspection,2013-09-06
CRAIGHOLME,Critical Incident Inspection,2013-09-06
CRAIGHOLME,Complaints Inspection,2013-07-18
CRAIGHOLME,Critical Incident Inspection,2013-05-31
CRAIGHOLME,Critical Incident Inspection,2013-05-21
CRAIGHOLME,Complaints Inspection,2013-03-20
CRAIGHOLME,Critical Incident Inspection,2013-01-21
CRAIGHOLME,Critical Incident Inspection,2013-01-11
CRAIGHOLME,Critical Incident Inspection,2012-11-05
CRAIGHOLME,Complaints Inspection,2012-09-20
CRAIGHOLME,Complaints Inspection,2012-07-17
CRAIGHOLME,Complaints Inspection,2012-03-28
CRAIGHOLME,Critical Incident Inspection,2011-12-20
CRAIGHOLME,Critical Incident Inspection,2011-10-24
CRAIGHOLME,Critical Incident Inspection,2011-10-24
CRAIGHOLME,Critical Incident Inspection,2011-10-24
CRAIGHOLME,Critical Incident Inspection,2011-10-03
CRAIGHOLME,Critical Incident Inspection,2011-07-27
CRAIGHOLME,Critical Incident Inspection,2011-07-27
CRAIGHOLME,Critical Incident Inspection,2011-07-27
CRAIGHOLME,Critical Incident Inspection,2011-05-11
CRAIGHOLME,Critical Incident Inspection,2011-01-06
CRAIGHOLME,Critical Incident Inspection,2010-12-21
CRAIGHOLME,Critical Incident Inspection,2010-11-18
CRAIGLEE NURSING HOME,Complaints Inspection,2020-07-30
CRAIGLEE NURSING HOME,Critical Incident Inspection  with Order(s) of the Inspector,2020-07-30
CRAIGLEE NURSING HOME,Critical Incident Inspection,2020-03-03
CRAIGLEE NURSING HOME,Complaints Inspection,2020-02-28
CRAIGLEE NURSING HOME,Critical Incident Inspection  with Order(s) of the Inspector,2020-02-18
CRAIGLEE NURSING HOME,Complaints Inspection,2020-01-30
CRAIGLEE NURSING HOME,Complaints Inspection,2020-01-30
CRAIGLEE NURSING HOME,Complaints Inspection,2020-01-22
CRAIGLEE NURSING HOME,Follow-Up Inspection,2020-01-22
CRAIGLEE NURSING HOME,Complaints Inspection  with Order(s) of the Inspector,2019-09-10
CRAIGLEE NURSING HOME,Complaints Inspection,2019-06-20
CRAIGLEE NURSING HOME,Critical Incident Inspection,2019-06-20
CRAIGLEE NURSING HOME,Complaints Inspection,2019-02-04
CRAIGLEE NURSING HOME,Critical Incident Inspection  with Order(s) of the Inspector,2019-02-04
CRAIGLEE NURSING HOME,Complaints Inspection  with Order(s) of the Inspector,2018-09-21
CRAIGLEE NURSING HOME,Resident Quality Inspection with Order(s) of the Inspector,2018-08-28
CRAIGLEE NURSING HOME,Complaints Inspection,2018-02-26
CRAIGLEE NURSING HOME,Complaints Inspection,2018-02-26
CRAIGLEE NURSING HOME,Complaints Inspection  with Order(s) of the Inspector,2018-02-26
CRAIGLEE NURSING HOME,Follow-Up Inspection,2017-11-28
CRAIGLEE NURSING HOME,Resident Quality Inspection with Order(s) of the Inspector,2017-10-10
CRAIGLEE NURSING HOME,Complaints Inspection,2017-10-03
CRAIGLEE NURSING HOME,Resident Quality Inspection,2016-12-05
CRAIGLEE NURSING HOME,Resident Quality Inspection,2015-10-21
CRAIGLEE NURSING HOME,Complaints Inspection  with Order(s) of the Inspector,2015-03-12
CRAIGLEE NURSING HOME,Complaints Inspection,2015-03-10
CRAIGLEE NURSING HOME,Resident Quality Inspection,2015-01-02
CRAIGLEE NURSING HOME,Complaints Inspection,2015-01-02
CRAIGLEE NURSING HOME,Complaints Inspection,2014-09-19
CRAIGLEE NURSING HOME,Complaints Inspection,2014-02-28
CRAIGLEE NURSING HOME,Critical Incident Inspection,2013-10-28
CRAIGLEE NURSING HOME,Complaints Inspection,2012-12-05
CRAIGLEE NURSING HOME,Critical Incident Inspection,2012-12-05
CRAIGLEE NURSING HOME,Follow-Up Inspection,2012-09-19
CRAIGLEE NURSING HOME,Follow-Up Inspection,2012-09-19
CRAIGLEE NURSING HOME,Complaints Inspection,2012-08-13
CRAIGLEE NURSING HOME,Complaints Inspection,2012-08-01
CRAIGLEE NURSING HOME,Complaints Inspection,2012-07-04
CRAIGLEE NURSING HOME,Follow-Up Inspection with Order(s) of the Inspector,2012-07-04
CRAIGLEE NURSING HOME,Critical Incident Inspection  with Order(s) of the Inspector,2012-03-19
CRAIGLEE NURSING HOME,Critical Incident Inspection,2012-03-13
CRAIGLEE NURSING HOME,Complaints Inspection,2012-01-23
CRAIGLEE NURSING HOME,Critical Incident Inspection  with Order(s) of the Inspector,2011-12-08
CRAIGLEE NURSING HOME,Complaints Inspection,2011-11-07
CRAIGLEE NURSING HOME,Complaints Inspection,2011-11-07
CRAIGLEE NURSING HOME,Critical Incident Inspection,2011-11-07
CRAIGLEE NURSING HOME,Resident Quality Inspection,2011-08-29
CRAIGLEE NURSING HOME,Complaints Inspection,2011-08-05
CRAIGLEE NURSING HOME,Follow-Up Inspection,2011-07-13
CRAIGLEE NURSING HOME,Critical Incident Inspection,2011-07-13
CRAIGLEE NURSING HOME,Complaints Inspection,2011-01-12
CRAIGLEE NURSING HOME,Critical Incident Inspection,2011-01-12
CRAIGLEE NURSING HOME,Complaints Inspection,2010-10-21
CRAIGLEE NURSING HOME,Complaints Inspection  with Order(s) of the Inspector,2010-10-21
CRAIGLEE NURSING HOME,Complaints Inspection,2010-09-27
CRAIGLEE NURSING HOME,Complaints Inspection,2010-09-27
CRAIGLEE NURSING HOME,Complaints Inspection,2010-09-27
CRAIGLEE NURSING HOME,Complaints Inspection,2010-09-23
CRAIGLEE NURSING HOME,Complaints Inspection,2010-09-23
CRAIGLEE NURSING HOME,Critical Incident Inspection,2010-09-23
CRAIGLEE NURSING HOME,Critical Incident Inspection,2010-09-23
CRAIGLEE NURSING HOME,Critical Incident Inspection,2010-08-12
CRAIGLEE NURSING HOME,Critical Incident Inspection,2010-08-11
CRAIGLEE NURSING HOME,Complaints Inspection,2010-08-10
CRAIGLEE NURSING HOME,Critical Incident Inspection,2010-08-10
CRAIGLEE NURSING HOME,Complaints Inspection,2010-07-28
CRAIGLEE NURSING HOME,Critical Incident Inspection,2010-07-28
CREEDAN VALLEY CARE COMMUNITY,Complaints Inspection  with Order(s) of the Inspector,2020-08-26
CREEDAN VALLEY CARE COMMUNITY,Director’s Order(s),2020-08-07
CREEDAN VALLEY CARE COMMUNITY,Follow-Up Inspection with Order(s) of the Inspector,2020-06-08
CREEDAN VALLEY CARE COMMUNITY,Director Order Follow up Inspection,2020-06-08
CREEDAN VALLEY CARE COMMUNITY,Complaints Inspection  with Order(s) of the Inspector,2020-02-06
CREEDAN VALLEY CARE COMMUNITY,Critical Incident Inspection,2020-02-06
CREEDAN VALLEY CARE COMMUNITY,Follow-Up Inspection,2019-10-31
CREEDAN VALLEY CARE COMMUNITY,Director’s Order(s),2019-10-25
CREEDAN VALLEY CARE COMMUNITY,Notification of Cease of Admissions,2019-10-25
CREEDAN VALLEY CARE COMMUNITY,Follow-Up Inspection with Order(s) of the Inspector,2019-10-03
CREEDAN VALLEY CARE COMMUNITY,Follow-Up Inspection with Order(s) of the Inspector,2019-08-15
CREEDAN VALLEY CARE COMMUNITY,Follow-Up Inspection with Order(s) of the Inspector,2019-05-22
CREEDAN VALLEY CARE COMMUNITY,Critical Incident Inspection,2018-09-11
CREEDAN VALLEY CARE COMMUNITY,Complaints Inspection  with Order(s) of the Inspector,2018-08-29
CREEDAN VALLEY CARE COMMUNITY,Critical Incident Inspection  with Order(s) of the Inspector,2018-08-28
CREEDAN VALLEY CARE COMMUNITY,Resident Quality Inspection,2017-11-24
CREEDAN VALLEY CARE COMMUNITY,Resident Quality Inspection with Order(s) of the Inspector,2017-02-22
CREEDAN VALLEY CARE COMMUNITY,Resident Quality Inspection,2015-11-18
CREEDAN VALLEY CARE COMMUNITY,Follow-Up Inspection,2015-04-02
CREEDAN VALLEY CARE COMMUNITY,Resident Quality Inspection with Order(s) of the Inspector,2015-01-02
CREEDAN VALLEY CARE COMMUNITY,Other Inspection,2014-02-20
CREEDAN VALLEY CARE COMMUNITY,Complaints Inspection,2013-09-16
CREEDAN VALLEY CARE COMMUNITY,Complaints Inspection,2012-07-24
CREEDAN VALLEY CARE COMMUNITY,Complaints Inspection,2012-07-24
CREEDAN VALLEY CARE COMMUNITY,Critical Incident Inspection,2012-06-20
CREEDAN VALLEY CARE COMMUNITY,Critical Incident Inspection,2012-02-13
CREEDAN VALLEY CARE COMMUNITY,Follow-Up Inspection,2012-02-09
CREEDAN VALLEY CARE COMMUNITY,Complaints Inspection,2011-03-22
CREEDAN VALLEY CARE COMMUNITY,Critical Incident Inspection  with Order(s) of the Inspector,2011-03-22
CREEDAN VALLEY CARE COMMUNITY,Complaints Inspection,2010-09-28
CREEK WAY VILLAGE,Critical Incident Inspection,2020-08-06
CREEK WAY VILLAGE,Complaints Inspection,2020-02-19
CREEK WAY VILLAGE,Complaints Inspection  with Order(s) of the Inspector,2019-12-18
CREEK WAY VILLAGE,Critical Incident Inspection,2019-12-18
CREEK WAY VILLAGE,Follow-Up Inspection,2019-07-08
CREEK WAY VILLAGE,Critical Incident Inspection  with Order(s) of the Inspector,2019-05-22
CREEK WAY VILLAGE,Complaints Inspection  with Order(s) of the Inspector,2019-05-03
CREEK WAY VILLAGE,Critical Incident Inspection,2019-01-14
CREEK WAY VILLAGE,Resident Quality Inspection,2017-10-23
CREEK WAY VILLAGE,Complaints Inspection,2017-08-14
CREEK WAY VILLAGE,Complaints Inspection,2017-05-09
CREEK WAY VILLAGE,Resident Quality Inspection,2016-07-27
CREEK WAY VILLAGE,Follow-Up Inspection,2016-07-04
CREEK WAY VILLAGE,Critical Incident Inspection  with Order(s) of the Inspector,2016-04-26
CREEK WAY VILLAGE,Critical Incident Inspection  with Order(s) of the Inspector,2015-09-15
CREEK WAY VILLAGE,Resident Quality Inspection with Order(s) of the Inspector,2015-07-23
CREEK WAY VILLAGE,Resident Quality Inspection,2014-11-17
CREEK WAY VILLAGE,Critical Incident Inspection,2014-09-17
CREEK WAY VILLAGE,Critical Incident Inspection  with Order(s) of the Inspector,2014-06-26
CREEK WAY VILLAGE,Complaints Inspection,2013-11-25
CREEK WAY VILLAGE,Complaints Inspection  with Order(s) of the Inspector,2013-11-25
CREEK WAY VILLAGE,Complaints Inspection,2013-01-25
CREEK WAY VILLAGE,Complaints Inspection,2012-11-28
CREEK WAY VILLAGE,Critical Incident Inspection,2012-08-14
CREEK WAY VILLAGE,Complaints Inspection,2011-10-21
CREEK WAY VILLAGE,Complaints Inspection,2011-05-20
CREEK WAY VILLAGE,Critical Incident Inspection,2011-04-20
CREEK WAY VILLAGE,Critical Incident Inspection,2011-04-20
CREEK WAY VILLAGE,Complaints Inspection,2011-01-20
CREEK WAY VILLAGE,Complaints Inspection,2010-12-02
CREEK WAY VILLAGE,Critical Incident Inspection,2010-09-24
CRESCENT PARK LODGE,Complaints Inspection,2020-02-04
CRESCENT PARK LODGE,Critical Incident Inspection,2020-02-04
CRESCENT PARK LODGE,Critical Incident Inspection,2019-09-23
CRESCENT PARK LODGE,Resident Quality Inspection,2018-09-14
CRESCENT PARK LODGE,Complaints Inspection,2018-04-27
CRESCENT PARK LODGE,Critical Incident Inspection,2018-04-04
CRESCENT PARK LODGE,Complaints Inspection,2018-02-26
CRESCENT PARK LODGE,Critical Incident Inspection,2018-02-26
CRESCENT PARK LODGE,Resident Quality Inspection,2017-11-21
CRESCENT PARK LODGE,Complaints Inspection,2016-10-26
CRESCENT PARK LODGE,Critical Incident Inspection,2016-08-15
CRESCENT PARK LODGE,Resident Quality Inspection,2016-07-18
CRESCENT PARK LODGE,Follow-Up Inspection,2016-04-07
CRESCENT PARK LODGE,Resident Quality Inspection with Order(s) of the Inspector,2015-12-02
CRESCENT PARK LODGE,Complaints Inspection  with Order(s) of the Inspector,2015-08-21
CRESCENT PARK LODGE,Follow-Up Inspection,2015-08-17
CRESCENT PARK LODGE,Complaints Inspection  with Order(s) of the Inspector,2015-04-07
CRESCENT PARK LODGE,Resident Quality Inspection with Order(s) of the Inspector,2014-07-23
CRESCENT PARK LODGE,Complaints Inspection,2013-11-15
CRESCENT PARK LODGE,Critical Incident Inspection  with Order(s) of the Inspector,2013-11-15
CRESCENT PARK LODGE,Critical Incident Inspection,2012-05-12
CRESCENT PARK LODGE,Other Inspection,2012-01-19
CRESCENT PARK LODGE,Complaints Inspection,2011-12-22
CRESCENT PARK LODGE,Complaints Inspection,2011-08-16
CRESCENT PARK LODGE,Complaints Inspection,2011-07-20
CRESCENT PARK LODGE,Mandatory Inspection,2011-04-05
CROWN RIDGE PLACE,Complaints Inspection,2020-07-14
CROWN RIDGE PLACE,Critical Incident Inspection,2020-07-14
CROWN RIDGE PLACE,Critical Incident Inspection,2020-01-30
CROWN RIDGE PLACE,Critical Incident Inspection,2019-10-27
CROWN RIDGE PLACE,Critical Incident Inspection,2019-03-10
CROWN RIDGE PLACE,Critical Incident Inspection,2018-11-22
CROWN RIDGE PLACE,Complaints Inspection,2017-11-27
CROWN RIDGE PLACE,Resident Quality Inspection,2017-11-22
CROWN RIDGE PLACE,Critical Incident Inspection,2017-07-13
CROWN RIDGE PLACE,Critical Incident Inspection,2017-03-20
CROWN RIDGE PLACE,Follow-Up Inspection,2016-12-19
CROWN RIDGE PLACE,Critical Incident Inspection,2016-11-24
CROWN RIDGE PLACE,Critical Incident Inspection  with Order(s) of the Inspector,2016-11-16
CROWN RIDGE PLACE,Resident Quality Inspection,2016-08-26
CROWN RIDGE PLACE,Resident Quality Inspection,2015-07-29
CROWN RIDGE PLACE,Complaints Inspection,2015-01-12
CROWN RIDGE PLACE,Critical Incident Inspection,2015-01-12
CROWN RIDGE PLACE,Follow-Up Inspection,2015-01-08
CROWN RIDGE PLACE,Resident Quality Inspection with Order(s) of the Inspector,2014-04-07
CROWN RIDGE PLACE,Other Inspection,2013-11-25
CROWN RIDGE PLACE,Other Inspection,2012-09-27
CROWN RIDGE PLACE,Complaints Inspection,2011-11-16
CROWN RIDGE PLACE,Critical Incident Inspection,2011-06-06
CROWN RIDGE PLACE,Complaints Inspection,2011-05-12
CROWN RIDGE PLACE,Complaints Inspection,2010-09-15
CROWN RIDGE PLACE,Critical Incident Inspection,2010-09-15
CUMMER LODGE,Complaints Inspection,2020-03-13
CUMMER LODGE,Critical Incident Inspection,2020-03-13
CUMMER LODGE,Complaints Inspection  with Order(s) of the Inspector,2020-01-22
CUMMER LODGE,Critical Incident Inspection,2020-01-22
CUMMER LODGE,Critical Incident Inspection  with Order(s) of the Inspector,2020-01-22
CUMMER LODGE,Complaints Inspection,2019-10-08
CUMMER LODGE,Critical Incident Inspection,2019-10-08
CUMMER LODGE,Complaints Inspection  with Order(s) of the Inspector,2019-08-06
CUMMER LODGE,Critical Incident Inspection,2019-08-06
CUMMER LODGE,Complaints Inspection,2019-04-10
CUMMER LODGE,Critical Incident Inspection,2019-04-10
CUMMER LODGE,Complaints Inspection,2019-01-17
CUMMER LODGE,Resident Quality Inspection,2018-11-05
CUMMER LODGE,Resident Quality Inspection with Order(s) of the Inspector,2017-07-13
CUMMER LODGE,Complaints Inspection,2017-04-05
CUMMER LODGE,Follow-Up Inspection,2017-03-28
CUMMER LODGE,Complaints Inspection,2017-02-17
CUMMER LODGE,Complaints Inspection,2017-02-14
CUMMER LODGE,Complaints Inspection,2017-01-13
CUMMER LODGE,Resident Quality Inspection with Order(s) of the Inspector,2016-11-25
CUMMER LODGE,Critical Incident Inspection,2016-11-23
CUMMER LODGE,Critical Incident Inspection,2016-11-08
CUMMER LODGE,Complaints Inspection,2016-08-10
CUMMER LODGE,Complaints Inspection,2015-12-03
CUMMER LODGE,Resident Quality Inspection,2015-12-02
CUMMER LODGE,Critical Incident Inspection,2015-07-30
CUMMER LODGE,Follow-Up Inspection,2015-03-10
CUMMER LODGE,Resident Quality Inspection,2014-11-18
CUMMER LODGE,Complaints Inspection  with Order(s) of the Inspector,2014-09-29
CUMMER LODGE,Complaints Inspection,2014-09-25
CUMMER LODGE,Critical Incident Inspection,2014-04-15
CUMMER LODGE,Complaints Inspection,2014-01-14
CUMMER LODGE,Complaints Inspection,2013-12-18
CUMMER LODGE,Critical Incident Inspection,2013-10-01
CUMMER LODGE,Critical Incident Inspection,2013-08-06
CUMMER LODGE,Complaints Inspection,2013-06-04
CUMMER LODGE,Complaints Inspection,2013-01-29
CUMMER LODGE,Complaints Inspection,2012-10-19
CUMMER LODGE,Follow-Up Inspection,2012-10-17
CUMMER LODGE,Complaints Inspection,2012-06-11
CUMMER LODGE,Critical Incident Inspection  with Order(s) of the Inspector,2012-06-11
CUMMER LODGE,Complaints Inspection,2012-03-28
CUMMER LODGE,Complaints Inspection,2012-02-27
CUMMER LODGE,Critical Incident Inspection  with Order(s) of the Inspector,2012-02-27
CUMMER LODGE,Complaints Inspection,2010-12-21
CUMMER LODGE,Critical Incident Inspection,2010-12-17
CUMMER LODGE,Complaints Inspection,2010-12-16
CUMMER LODGE,Other Inspection,2010-12-16
CUMMER LODGE,Critical Incident Inspection,2010-09-23
CUMMER LODGE,Complaints Inspection,2010-09-21
DAWSON COURT,Follow-Up Inspection with Order(s) of the Inspector,2016-01-28
DAWSON COURT,Complaints Inspection,2016-01-26
DAWSON COURT,Critical Incident Inspection,2016-01-26
DAWSON COURT,Follow-Up Inspection with Order(s) of the Inspector,2015-08-13
DAWSON COURT,Critical Incident Inspection,2015-08-13
DAWSON COURT,Critical Incident Inspection,2015-05-18
DAWSON COURT,Resident Quality Inspection with Order(s) of the Inspector,2015-02-27
DAWSON COURT,Complaints Inspection,2014-08-08
DAWSON COURT,Complaints Inspection,2014-08-08
DAWSON COURT,Follow-Up Inspection,2013-12-13
DAWSON COURT,Critical Incident Inspection,2013-12-13
DAWSON COURT,Critical Incident Inspection  with Order(s) of the Inspector,2012-12-13
DAWSON COURT,Complaints Inspection,2011-12-20
DAWSON COURT,Critical Incident Inspection,2011-12-20
DAWSON COURT,Critical Incident Inspection,2011-09-27
DAWSON COURT,Critical Incident Inspection,2011-09-27
DAWSON COURT,Critical Incident Inspection,2011-06-08
DAWSON COURT,Mandatory Inspection,2011-06-08
DAWSON COURT,Complaints Inspection,2010-11-15
DAWSON COURT,Critical Incident Inspection,2010-11-15
DAWSON COURT,Critical Incident Inspection,2010-11-15
DEARNESS HOME FOR SENIOR CITIZENS,Complaints Inspection,2020-09-17
DEARNESS HOME FOR SENIOR CITIZENS,Critical Incident Inspection,2020-09-17
DEARNESS HOME FOR SENIOR CITIZENS,Complaints Inspection,2020-09-16
DEARNESS HOME FOR SENIOR CITIZENS,Critical Incident Inspection,2020-01-27
DEARNESS HOME FOR SENIOR CITIZENS,Complaints Inspection,2019-11-28
DEARNESS HOME FOR SENIOR CITIZENS,Complaints Inspection,2019-10-22
DEARNESS HOME FOR SENIOR CITIZENS,Critical Incident Inspection,2019-10-22
DEARNESS HOME FOR SENIOR CITIZENS,Complaints Inspection,2019-08-20
DEARNESS HOME FOR SENIOR CITIZENS,Complaints Inspection,2019-06-14
DEARNESS HOME FOR SENIOR CITIZENS,Critical Incident Inspection,2019-05-15
DEARNESS HOME FOR SENIOR CITIZENS,Critical Incident Inspection,2019-05-15
DEARNESS HOME FOR SENIOR CITIZENS,Complaints Inspection,2019-03-22
DEARNESS HOME FOR SENIOR CITIZENS,Critical Incident Inspection,2019-01-28
DEARNESS HOME FOR SENIOR CITIZENS,Complaints Inspection,2018-10-25
DEARNESS HOME FOR SENIOR CITIZENS,Critical Incident Inspection,2018-10-25
DEARNESS HOME FOR SENIOR CITIZENS,Critical Incident Inspection,2018-10-25
DEARNESS HOME FOR SENIOR CITIZENS,Critical Incident Inspection,2018-07-20
DEARNESS HOME FOR SENIOR CITIZENS,Critical Incident Inspection,2018-05-23
DEARNESS HOME FOR SENIOR CITIZENS,Critical Incident Inspection,2018-05-23
DEARNESS HOME FOR SENIOR CITIZENS,Resident Quality Inspection,2017-12-06
DEARNESS HOME FOR SENIOR CITIZENS,Critical Incident Inspection,2017-06-07
DEARNESS HOME FOR SENIOR CITIZENS,Critical Incident Inspection,2016-09-01
DEARNESS HOME FOR SENIOR CITIZENS,Resident Quality Inspection,2016-08-12
DEARNESS HOME FOR SENIOR CITIZENS,Complaints Inspection,2016-08-02
