FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,REGULATION,ACCRED_STATUS,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,latitude,longitude,Total Confirmed Cases,Total Deaths,outbreak,RESIDENT_COUNCIL,FAMILY_COUNCIL,BEDS_PRIVATEprop
Central City Lodge,99A78,Vancouver Coastal Health,PNP,415 West Pender St,Vancouver,V6B1V2,Community Care & Assisted Living Act,Not Accredited,2.59,0.32,2.91,2.89,0.32,3.21,100,84,8,0,0,0,2,0,5,2,0,3,1,1,2.0,0.0,5.0,2.0,0.0,3.0,1.0,1.0,70,19.7%,6.7%,30.9%,"1,481",32.0%,15.6%,24.2%,52.8%,9.5%,3.0,39.1%,0.54,19.8%,65.3%,7.3%,58.9%,34.2%,9.2%,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.28313320000001,-123.1119351,1.0,0.0,1,True,False,0.0
Cerwydden Seniors Community,9244A,Vancouver Island Health,PFP,3243 Cowichan Lake R,Duncan,V9L4B8,Community Care & Assisted Living Act,Unknown,3.02,0.12,3.14,3.03,0.13,3.16,56,44,6,0,1,1,1,1,9,0,0,1,0,0,1.8,1.8,16.1,0.0,0.0,1.8,0.0,0.0,87,79.2%,63.8%,3.3%,839,17.8%,22.2%,22.7%,61.8%,7.6%,2.6,48.9%,0.57,1.3%,0.0%,0.4%,51.6%,17.1%,2.5%,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48.77872,-123.69876000000001,,,0,True,True,0.07142857142857142
Chemainus Health Care Centre,9BF66,Vancouver Island Health,HA,9909 Esplanade Street,Chemainus,V0R1K1,Hospital Act,Accredited,2.81,0.35,3.16,2.81,0.35,3.16,75,55,10,0,1,0,,,,,,,,,,,,,,,,,86,80.3%,64.9%,4.0%,808,25.7%,33.3%,26.0%,65.3%,4.0%,3.5,35.3%,0.58,29.0%,0.3%,9.3%,66.3%,18.1%,7.4%,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.927226,-123.715913,,,0,True,True,0.0
Cherington Place,9B889,Fraser Health,PFP,13453 111A Ave,Surrey,V3R2C5,Community Care & Assisted Living Act,Unknown,2.47,0.31,2.79,2.64,0.31,2.95,75,33,21,0,3,1,1,0,4,0,0,0,0,1,1.3,0.0,5.3,0.0,0.0,0.0,0.0,1.3,87,72.3%,65.9%,1.8%,353,20.7%,20.7%,25.4%,68.2%,5.7%,3.6,27.5%,0.56,1.3%,20.4%,0.7%,43.5%,16.0%,5.1%,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.20565300000001,-122.849334,,,0,True,False,0.0
Chetwynd Hospital and Health Centre,922CD,Northern Health,HA,5500 Hospital road,Chetwynd,V0C1J0,Hospital Act,Accredited,3.29,0.26,3.55,3.66,0.27,3.93,7,7,0,0,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,88.6%,36.4%,9.1%,897,59.1%,27.3%,13.6%,18.2%,0.0%,3.5,31.8%,0.60,9.1%,4.5%,0.0%,63.6%,26.1%,0.0%,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,55.695633,-121.645304,,,0,False,False,0.0
Christenson Village,92I30,Vancouver Coastal Health,PNP,585 Shaw Road,Gibsons,V0N1V8,Community Care & Assisted Living Act,Accredited,3.01,0.21,3.22,3.12,0.22,3.34,80,80,0,0,0,0,0,0,10,0,0,0,0,0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,86,77.0%,67.1%,2.1%,"1,077",29.3%,32.3%,49.5%,75.8%,7.9%,2.6,54.4%,0.57,8.5%,4.8%,0.0%,65.9%,15.6%,14.3%,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,49.4045,-123.519,,,0,True,True,0.0
Columbia Garden Village,93DHA,Interior Health,PFP,"800-10 Ave., Box 578",Invermere,V0A1K0,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.93,0.35,3.28,34,34,0,0,1,0,0,1,8,0,0,0,3,2,0.0,2.9,23.5,0.0,0.0,0.0,8.8,5.9,81,61.6%,55.0%,12.6%,300,14.8%,18.5%,20.0%,63.7%,9.6%,2.4,49.6%,0.50,4.4%,55.6%,0.0%,43.7%,28.9%,3.2%,1.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.50146,-116.03312,,,0,True,False,0.0
Columbia House - Invermere District Hospital,915C7,Interior Health,HA,1030 - 10th Street,Invermere,V0A1K0,Community Care & Assisted Living Act,Accredited,2.8,0.34,3.14,2.77,0.39,3.16,35,35,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,2.9,0.0,0.0,0.0,0.0,2.9,84,61.9%,58.9%,8.9%,"1,116",23.1%,21.4%,20.5%,67.5%,4.3%,2.8,46.2%,0.56,32.5%,70.9%,4.3%,13.7%,5.7%,23.7%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5060821,-116.0328794,,,0,True,True,0.0
Columbia View Lodge,98H3C,Interior Health,HA,2920 Laburnum Dr,Trail,V1R4N2,Community Care & Assisted Living Act,Accredited,2.9,0.3,3.2,2.94,0.4,3.34,76,76,0,0,0,0,0,2,3,0,0,3,3,1,0.0,2.6,3.9,0.0,0.0,3.9,3.9,1.3,85,70.4%,59.5%,5.0%,969,34.1%,31.9%,40.5%,73.8%,5.0%,3.2,34.8%,0.57,38.7%,71.3%,26.5%,73.1%,14.4%,2.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.09953,-117.6793694,,,0,True,True,0.0
Columbus Residence,9BHG7,Vancouver Coastal Health,PNP,704 West 69th Avenue,Vancouver,V6P2W3,Community Care & Assisted Living Act,Accredited,2.62,0.24,2.86,2.73,0.21,2.94,76,74,1,0,1,0,0,0,3,0,0,1,1,0,0.0,0.0,3.9,0.0,0.0,1.3,1.3,0.0,85,77.6%,60.4%,0.9%,"1,120",18.8%,35.6%,25.7%,69.3%,7.6%,3.3,35.6%,0.54,14.2%,60.1%,0.7%,35.3%,23.6%,20.4%,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.208775,-123.121,,,0,True,True,0.0
Comox Valley Seniors Village,936F0,Vancouver Island Health,PFP,4640 Headquarters Rd.,Courtenay,V9N7J3,Community Care & Assisted Living Act,Accredited,2.92,0.19,3.11,2.86,0.24,3.11,136,128,4,0,17,4,1,3,10,0,0,0,3,0,0.7,2.2,7.4,0.0,0.0,0.0,2.2,0.0,83,59.7%,50.7%,4.2%,858,31.8%,22.2%,21.7%,65.8%,13.3%,3.2,36.4%,0.55,7.7%,24.1%,0.5%,50.1%,39.3%,11.8%,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.702595,-124.99339,,,0,True,True,0.11029411764705882
Cormorant Island Health Centre,9A72D,Vancouver Island Health,HA,49 School Road,Alert Bay,V0N1A0,Hospital Act,Accredited,3.03,0.67,3.7,3.03,0.67,3.7,10,10,0,0,0,0,,,,,,,,,,,,,,,,,80,71.4%,64.3%,19.0%,"1,107",23.1%,20.5%,17.9%,46.2%,5.1%,3.7,25.6%,0.48,2.6%,0.0%,0.0%,28.2%,16.4%,0.0%,1.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.594297,-126.9423575,,,0,True,True,0.0
Cottage and Worthington Pavilions - MSA Hospital,9A6GA,Fraser Health,HA,33457 Cottage Lane,Abbotsford,V2S0B3,Hospital Act,Unknown,3.05,0.3,3.35,3.05,0.3,3.35,119,11,6,24,3,1,1,0,0,0,0,0,0,0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,65.6%,73.9%,3.2%,90,17.3%,38.8%,27.1%,32.0%,5.8%,2.3,62.6%,0.58,25.2%,75.7%,1.2%,48.6%,20.7%,7.8%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.04118560000001,-122.2963164,7.0,1.0,1,True,True,0.0
Cottonwoods Care Centre,9A6EF,Interior Health,HA,2255 Ethel Street,Kelowna,V1Y2Z9,Hospital Act,Accredited,2.86,0.34,3.2,2.91,0.35,3.26,221,34,29,33,0,0,4,3,22,0,1,41,11,0,1.8,1.4,10.0,0.0,0.5,18.6,5.0,0.0,85,66.2%,64.0%,6.3%,668,28.1%,31.1%,30.1%,60.7%,6.7%,2.9,38.7%,0.61,6.0%,36.6%,25.4%,39.2%,25.8%,4.3%,1.0,5.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.8729257,-119.482555,,,0,True,True,0.0
Creekside Landing,934BA,Interior Health,PFP,6190 Okanagan Landing Rd,Vernon,V1H1M3,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.98,0.35,3.33,70,70,0,0,1,1,0,0,8,0,0,1,3,0,0.0,0.0,11.4,0.0,0.0,1.4,4.3,0.0,84,57.7%,57.4%,3.6%,"1,037",52.3%,21.2%,36.7%,66.4%,2.1%,2.7,45.6%,0.70,4.9%,57.6%,2.1%,64.0%,23.1%,1.9%,2.0,6.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.2465633,-119.3223493,,,0,True,True,0.0
Crescent Gardens,91GD7,Fraser Health,PFP,1222 King George Boulevard,Surrey,V4A9W6,Community Care & Assisted Living Act,Unknown,2.47,0.31,2.79,2.64,0.31,2.95,75,69,3,0,2,0,2,0,9,0,0,1,1,1,2.7,0.0,12.0,0.0,0.0,1.3,1.3,1.3,89,70.6%,72.7%,1.7%,638,8.0%,13.7%,9.0%,44.0%,6.7%,2.6,51.3%,0.54,1.0%,1.3%,0.0%,34.7%,22.2%,5.5%,3.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.02467100000001,-122.76523600000002,,,0,True,True,0.29333333333333333
Crest View Village,92DG0,Interior Health,PFP,800 Cavell Street,Creston,V0B1G4,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.98,0.35,3.33,32,32,0,0,0,0,1,1,1,0,0,0,1,0,3.1,3.1,3.1,0.0,0.0,0.0,3.1,0.0,88,63.1%,78.0%,0.0%,534,33.3%,28.9%,11.9%,66.7%,4.4%,2.9,39.3%,0.56,0.7%,2.2%,0.7%,37.8%,23.3%,10.8%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1042985,-116.5148918,,,0,True,True,0.0625
Cumberland Lodge,995I0,Vancouver Island Health,HA,2696 Windermere Ave,Cumberland,V0R1S0,Community Care & Assisted Living Act,Accredited,2.9,0.3,3.2,2.91,0.3,3.21,66,40,13,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,70.8%,62.9%,2.1%,730,31.0%,29.5%,17.9%,66.4%,6.7%,4.2,16.8%,0.57,26.9%,37.7%,2.2%,56.3%,26.9%,11.3%,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.62206725,-125.03102586836599,,,0,True,False,0.0
Czorny Alzheimer Centre,9327A,Fraser Health,HA,16850 66th Avenue,Surrey,V3S5M1,Hospital Act,Unknown,3.29,0.21,3.5,3.29,0.21,3.5,72,72,0,0,0,0,0,0,8,0,0,0,3,0,0.0,0.0,11.1,0.0,0.0,0.0,4.2,0.0,83,54.3%,40.4%,2.2%,656,4.6%,27.2%,60.2%,65.1%,12.6%,1.5,74.3%,0.53,0.8%,59.4%,0.0%,34.9%,45.7%,0.0%,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.12241,-122.75509,1.0,0.0,1,False,False,0.0
Dania Home,99C1E,Fraser Health,PNP,4175 Norland Avenue,Burnaby,V5G3S7,Community Care & Assisted Living Act,Accredited,2.95,0.26,3.21,3.07,0.29,3.36,102,102,0,0,1,0,1,2,6,0,0,0,1,0,1.0,2.0,5.9,0.0,0.0,0.0,1.0,0.0,83,64.7%,56.3%,9.9%,"1,356",19.3%,16.7%,14.1%,59.0%,5.0%,2.9,40.2%,0.61,15.4%,56.7%,0.3%,41.0%,13.1%,12.4%,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.247584,-122.975187,1.0,0.0,1,True,True,0.0
David Lloyd Jones Home,99127,Interior Health,HA,934 Bernard Ave,Kelowna,V1Y6P8,Community Care & Assisted Living Act,Accredited,2.83,0.35,3.18,2.83,0.37,3.2,64,64,0,0,0,0,3,3,1,1,0,1,1,0,4.7,4.7,1.6,1.6,0.0,1.6,1.6,0.0,86,65.3%,63.3%,5.5%,625,33.2%,43.0%,26.2%,70.3%,8.6%,2.9,37.5%,0.57,2.7%,19.9%,29.7%,54.7%,35.8%,3.9%,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.8869222,-119.4815286,,,0,True,True,0.0
Delta View Habilitation Centre,9C280,Fraser Health,PFP,9341 Burns Drive,Delta,V4K3N3,Hospital Act,Accredited,,,,2.58,0.22,2.8,80,72,4,0,0,0,0,0,4,0,0,1,0,0,0.0,0.0,5.0,0.0,0.0,1.3,0.0,0.0,79,66.7%,33.3%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.09220420000001,-122.96504725675072,,,0,True,True,0.1125
Delta View Life Enrichment Centre,9940H,Fraser Health,PFP,9321 Burns Drive,Delta,V4K3N3,Hospital Act,Accredited,2.77,0.35,3.13,3.0,0.36,3.36,212,172,20,0,0,0,0,0,13,0,0,0,1,0,0.0,0.0,6.1,0.0,0.0,0.0,0.5,0.0,85,66.2%,55.0%,2.8%,942,26.4%,39.7%,48.4%,73.9%,18.7%,1.9,69.6%,0.61,38.2%,0.0%,0.0%,47.0%,15.9%,0.3%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.09130415,-122.96486604215154,1.0,0.0,1,True,True,0.29245283018867924
Deni House,93B40,Interior Health,HA,517 6th Ave N.,Williams Lake,V2G2G8,Hospital Act,Accredited,2.89,0.36,3.25,3.09,0.67,3.76,28,13,0,5,0,0,0,1,8,0,0,2,0,0,0.0,3.6,28.6,0.0,0.0,7.1,0.0,0.0,80,43.3%,48.4%,17.8%,381,23.4%,29.9%,39.0%,61.0%,5.2%,3.7,27.3%,0.58,0.0%,24.7%,0.0%,51.9%,41.0%,8.8%,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1378197,-122.1436286,,,0,True,False,0.0
Discovery Harbour Seniors Community,9353A,Vancouver Island Health,PFP,850 14th Avenue,Campbell River,V9W4H4,Community Care & Assisted Living Act,Unknown,2.89,0.26,3.15,2.83,0.37,3.2,142,90,4,0,16,9,1,9,21,0,1,6,0,7,0.7,6.3,14.8,0.0,0.7,4.2,0.0,4.9,84,57.6%,56.4%,2.5%,912,26.8%,22.0%,31.3%,73.9%,9.7%,1.2,81.5%,0.62,0.6%,0.0%,0.2%,58.8%,28.2%,9.9%,5.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,50.0293746,-125.2748504,,,0,True,True,0.0
Dogwood Lodge,999F1,Vancouver Coastal Health,HA,500 West 57th Avenue,Vancouver,V6P6E8,Community Care & Assisted Living Act,Accredited,2.73,0.12,2.85,2.83,0.29,3.12,83,83,0,0,0,0,0,0,3,0,0,0,0,0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,84,78.0%,56.0%,1.6%,914,25.9%,43.5%,42.3%,61.7%,6.8%,2.6,53.4%,0.54,35.8%,2.2%,0.3%,44.4%,20.4%,0.9%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.218578,-123.118,,,0,True,True,0.0
Dr. Andrew Pavilion - Summerland Health Centre,9AJF4,Interior Health,HA,12815 Atkinson Rd.,Summerland,V0H1Z0,Hospital Act,Accredited,2.81,0.34,3.15,2.81,0.33,3.14,50,4,5,8,0,0,1,1,1,0,0,0,0,0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,89,75.5%,76.7%,0.4%,619,22.3%,45.1%,18.7%,71.5%,1.0%,2.2,60.1%,0.58,0.0%,0.0%,0.0%,34.7%,23.7%,6.7%,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.6027035,-119.6679222,,,0,True,True,0.0
Dr. F. W. Green Memorial Home,98F1A,Interior Health,HA,1700 4th Street St. South,Cranbrook,V1C6E1,Community Care & Assisted Living Act,Accredited,2.94,0.32,3.26,2.96,0.55,3.51,58,60,0,0,0,0,1,0,6,0,0,2,1,0,1.7,0.0,10.3,0.0,0.0,3.4,1.7,0.0,84,62.9%,59.5%,7.9%,"1,033",29.1%,45.5%,30.7%,85.2%,4.2%,2.3,55.6%,0.59,0.0%,0.0%,0.0%,47.6%,25.6%,6.9%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.50527,-115.75737,,,0,False,True,0.0
Dufferin Care Centre,919C4,Fraser Health,PFP,1131 Dufferin St,Coquitlam,V3B7X5,Hospital Act,Accredited,2.43,0.31,2.73,2.64,0.31,2.95,153,0,0,0,4,1,1,0,23,0,0,1,2,0,0.7,0.0,15.0,0.0,0.0,0.7,1.3,0.0,84,73.9%,53.6%,1.4%,601,19.0%,39.1%,49.8%,77.3%,15.6%,0.9,88.4%,0.57,0.0%,55.3%,0.0%,43.1%,27.3%,4.6%,3.0,6.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,49.2791682,-122.80399579999998,22.0,4.0,1,False,False,0.16339869281045752
Dufferin Place,9A6D2,Vancouver Island Health,HA,1200 Dufferin Crescent,Nanaimo,V9S2B7,Hospital Act,Accredited,2.96,0.3,3.26,2.98,0.34,3.31,146,14,8,29,1,0,,,,,,,,,,,,,,,,,84,74.5%,55.5%,4.4%,463,37.4%,26.4%,22.7%,44.6%,2.5%,3.8,26.4%,0.58,44.4%,0.0%,30.1%,54.2%,6.1%,2.0%,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1848743,-123.96984534779169,,,0,True,True,0.0
Dunrovin Park Lodge,99617,Northern Health,HA,900 St Laurent Avenue,Quesnel,V2J3S3,Community Care & Assisted Living Act,Accredited,3.26,0.31,3.56,3.1,0.32,3.42,117,107,3,0,1,1,0,1,9,0,0,2,1,0,0.0,0.9,7.7,0.0,0.0,1.7,0.9,0.0,82,64.4%,48.2%,12.2%,885,34.1%,33.2%,34.1%,72.1%,17.3%,2.6,51.9%,0.56,12.5%,37.5%,5.8%,67.3%,32.8%,13.6%,1.0,13.0,1.0,4.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,52.979626,-122.48601,,,0,True,True,0.0
Eagle Park Health Care Facility,9154A,Vancouver Island Health,HA,777 Jones St,Qualicum Beach,V9K2L1,Hospital Act,Accredited,2.85,0.31,3.16,2.85,0.31,3.16,75,55,20,0,1,0,,,,,,,,,,,,,,,,,83,62.6%,51.2%,5.5%,463,27.4%,26.7%,35.8%,76.1%,4.6%,3.7,28.4%,0.58,0.7%,0.4%,71.2%,57.2%,53.4%,10.9%,1.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,49.3409296,-124.4492447,,,0,True,True,0.0
Eagle Ridge Manor - Port Hardy,923C0,Vancouver Island Health,HA,9120 Granville Street,Port Hardy,V0N2P0,Hospital Act,Accredited,3.15,0.34,3.49,3.15,0.34,3.49,22,22,0,0,0,0,,,,,,,,,,,,,,,,,83,58.5%,46.8%,4.3%,"1,126",11.0%,19.5%,29.3%,74.4%,8.5%,2.9,40.2%,0.56,1.2%,1.2%,0.0%,50.0%,30.4%,14.3%,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.71997325,-127.5028512640254,,,0,True,True,0.0
Eagle Ridge Manor - Port Moody,9C6EC,Fraser Health,HA,475 Guildford Way,Port Moody,V3H3W9,Hospital Act,Unknown,3.1,0.36,3.46,3.1,0.36,3.46,75,39,18,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86,55.7%,61.1%,3.0%,"1,103",31.6%,52.5%,33.8%,48.7%,1.9%,3.6,30.0%,0.63,26.2%,57.4%,7.6%,41.8%,14.0%,7.4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.28553745,-122.82369973641943,,,0,True,True,0.0
Echo Village,9C2F7,Vancouver Island Health,PNP,4200 10th Avenue,Port Alberni,V9Y4X3,Hospital Act,Accredited,2.84,0.33,3.17,2.74,0.31,3.05,67,67,0,0,2,0,,,,,,,,,,,,,,,,,83,61.2%,52.7%,7.8%,443,15.4%,39.1%,26.3%,62.4%,3.0%,3.8,21.6%,0.59,0.0%,0.0%,0.0%,54.1%,29.2%,0.0%,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2367453,-124.7978368,,,0,True,False,0.029850746268656716
Eden Care Centre,9AB4F,Fraser Health,PFP,9100 Charles Street,Chilliwack,V2P5K6,Community Care & Assisted Living Act,Not Accredited,2.48,0.31,2.79,2.67,0.31,2.98,89,89,0,0,7,3,4,0,12,0,0,2,0,1,4.5,0.0,13.5,0.0,0.0,2.2,0.0,1.1,88,64.6%,66.1%,0.2%,586,16.8%,3.5%,20.4%,57.1%,2.7%,2.5,64.6%,0.48,0.0%,76.1%,0.0%,43.4%,35.9%,8.5%,7.0,8.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,49.1672383,-121.9419001,8.0,1.0,1,True,True,0.0
Eden Gardens,9951E,Vancouver Island Health,PNP,1917 Northfield Road,Nanaimo,V9S3B6,Community Care & Assisted Living Act,Unknown,2.86,0.14,3.0,3.1,0.16,3.25,130,130,0,0,8,2,0,5,13,0,0,2,1,4,0.0,3.8,10.0,0.0,0.0,1.5,0.8,3.1,83,64.0%,47.0%,2.7%,778,22.4%,31.8%,43.3%,89.8%,8.6%,2.0,63.8%,0.57,0.8%,4.2%,1.0%,57.5%,36.5%,10.4%,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.191744,-123.98389,,,0,True,True,0.0
Elim Village - The Harrison / Harrison West,9371A,Fraser Health,PNP,9025 160 Street,Surrey,V4N2X7,Community Care & Assisted Living Act,Accredited,2.95,0.24,3.19,2.98,0.38,3.36,194,181,6,0,2,0,4,1,17,0,0,1,1,0,2.1,0.5,8.8,0.0,0.0,0.5,0.5,0.0,87,67.5%,67.2%,2.1%,772,22.9%,36.8%,23.5%,63.2%,11.8%,2.8,46.5%,0.61,0.7%,6.4%,0.0%,42.6%,24.2%,4.2%,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.167023,-122.7815006,1.0,0.0,1,True,True,0.09278350515463918
Evergreen - The Terraces / The Pointe,99420,Fraser Health,PNP,1550 Oxford St,White Rock,V4B3R5,Community Care & Assisted Living Act,Accredited,2.96,0.29,3.25,3.0,0.36,3.36,252,252,0,0,4,1,6,2,31,0,0,2,3,2,2.4,0.8,12.3,0.0,0.0,0.8,1.2,0.8,87,65.1%,64.7%,1.2%,861,12.3%,18.1%,21.2%,66.3%,14.7%,2.5,53.2%,0.56,0.3%,0.0%,0.0%,50.1%,33.9%,8.3%,12.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.0264665,-122.8122029,,,0,True,True,0.011904761904761904
Evergreen Extended Care - Powell River Hospital,9A551,Vancouver Coastal Health,HA,4970 Joyce Ave.,Powell River,V8A5P2,Hospital Act,Accredited,2.75,0.23,2.98,2.75,0.23,2.98,75,6,4,15,0,0,1,0,3,0,0,0,0,0,1.3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,84,63.1%,61.1%,4.1%,777,11.3%,32.5%,27.4%,42.0%,5.7%,2.2,59.0%,0.58,1.9%,0.5%,0.5%,50.9%,34.8%,24.4%,2.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.8489957,-124.5226255,,,0,True,True,0.0
Evergreen House - Lions Gate Hospital,9A55C,Vancouver Coastal Health,HA,231 East 15th Street,North Vancouver,V7L2L7,Hospital Act,Accredited,3.0,0.29,3.29,3.0,0.3,3.3,289,22,11,60,0,0,1,0,25,0,0,3,8,1,0.3,0.0,8.7,0.0,0.0,1.0,2.8,0.3,84,63.7%,55.8%,5.7%,575,23.6%,36.4%,28.0%,55.9%,5.6%,3.0,39.1%,0.61,28.2%,14.6%,6.9%,55.5%,28.6%,1.6%,3.0,9.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,49.32097835,-123.06767192461285,1.0,0.0,1,True,True,0.0
