,HCC_CODE,FACILITY_NAME,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,PHONE,OPERATOR_NAME,OPEN_DATE,COUNCIL,MEETINGS_HELD,PARKING_COSTS,REGULATION,ACCRED_STATUS,ACCRED_EXPIRY,COMPLAINT_CONTACT,COMPLAINT_PHONE,SPENDING_ACCOUNT,FOOD_SERVICE,FOOD_PREP,FOOD_COST_LASTYR,FOOD_COST_CURRENTYR,LANGUAGES,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,FEES_CABLE,FEES_TELE,FEES_INTERNET,FEES_OTHER,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,ADVERSE_EVENT,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,WEBPAGE,SURVEY_URL,MISSING_SURVEY,CONTRACTED_NURSING,CONTRACTED_CARE_AIDES,CONTRACTED_HOUSEKEEPING,CONTRACTED_PLANT,PER_DIEM_LASTYR,PER_DIEM_CURRENTYR,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,facility_name,index,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,address,location,point,geo_lat,geo_lon
75,9371A,Elim Village - The Harrison / Harrison West,Fraser Health,PNP,9025 160 Street,Surrey,V4N2X7,(604) 587-8999,Elim Christian Care Society,2009 / 2016,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,October 2021,Director of Care,(604) 587-8999,Yes,Outside Contractor,Yes,$6.79,,"English, Dutch, German, Spanish, French, Thai, Italian, Mandarin, Punjabi, Russian, Polish, Tagalog, Chinese",2.95,0.24,3.19,2.98,0.38,3.36,Yes,Yes,No,"Sundries, specialty services",18,176,194,181,6,0,2,0,4,1,17,0,0,1,1,0,2.1,0.5,8.8,0.0,0.0,0.5,0.5,0.0,not applicable,87,67.5%,67.2%,2.1%,772,22.9%,36.8%,23.5%,63.2%,11.8%,2.8,46.5%,0.61,0.7%,6.4%,0.0%,42.6%,24.2%,4.2%,https://elimvillage.com/surrey/housing/residential-care/,https://surveybcseniors.org/carehomeresults/elim-village-the-harrisonharrison-west-fha/,,No,No,Yes,No,$216.03,$227.99,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,elim village - the harrison / harrison west,,,,,,,,,,,,,,,49.167023,-122.7815006,"9025 160 Street, Surrey, British Columbia, Canada","Rexall, 9025, 160 Street, Fleetwood, Surrey, Metro Vancouver Regional District, British Columbia, V4N 3A5, Canada","(49.167023, -122.7815006, 0.0)",49.167023,-122.7815006
76,99420,Evergreen - The Terraces / The Pointe,Fraser Health,PNP,1550 Oxford St,White Rock,V4B3R5,(604) 536-3344,Baptist Housing,1996,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,December 2022,Administrator,(604) 541-3813,Yes,Operator,Yes,$6.98,$7.15,"Tagalog, Punjabi, Japanese, Arabic, Spanish, Mandarin, Hindi, Cantonese, Mandarin, French, Polish, Farsi",2.96,0.29,3.25,3.0,0.36,3.36,No,No,No,"Clothing labelling, identification bracelet, nominal monthly administration and recreation fees",3,249,252,252,0,0,4,1,6,2,31,0,0,2,3,2,2.4,0.8,12.3,0.0,0.0,0.8,1.2,0.8,not applicable,87,65.1%,64.7%,1.2%,861,12.3%,18.1%,21.2%,66.3%,14.7%,2.5,53.2%,0.56,0.3%,0.0%,0.0%,50.1%,33.9%,8.3%,https://www.baptisthousing.org/communities/evergreen-care-white-rock,https://surveybcseniors.org/carehomeresults/evergreen-baptist-home-fha/,,No,No,Yes,No,$228.72,$237.71,12.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,evergreen - the terraces / the pointe,,,,,,,,,,,,,,,49.0264665,-122.8122029,"1550 Oxford St, White Rock, British Columbia, Canada","Oxford Street, Five Corners, West Beach, White Rock, Metro Vancouver Regional District, British Columbia, V4B 3R2, Canada","(49.0264665, -122.8122029, 0.0)",49.0264665,-122.8122029
77,9A551,Evergreen Extended Care - Powell River Hospital,Vancouver Coastal Health,HA,4970 Joyce Ave.,Powell River,V8A5P2,(604) 485-2208,Vancouver Coastal Health,1980,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,September 2020,Manager / Residential Care Coordinator,(604) 485-3237,Yes,Outside Contractor,Yes,$8.35,$8.52,"English, Dutch, Russian, Italian, Filipino, French",2.75,0.23,2.98,2.75,0.23,2.98,No,No,No,Personal Care fee for personal items,0,75,75,6,4,15,0,0,1,0,3,0,0,0,0,0,1.3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,not applicable,84,63.1%,61.1%,4.1%,777,11.3%,32.5%,27.4%,42.0%,5.7%,2.2,59.0%,0.58,1.9%,0.5%,0.5%,50.9%,34.8%,24.4%,http://www.vch.ca/locations-services/result?res_id=3,https://surveybcseniors.org/carehomeresults/powell-river-general-hospital-evergreen-ecu-vcha/,,No,No,Yes,No,,,2.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,evergreen extended care - powell river hospital,,,,,,,,,,,,,,,49.8489957,-124.5226255,"4970 Joyce Ave., Powell River, British Columbia, Canada","Joyce Avenue, Powell River, qathet Regional District, British Columbia, V8A 5P4, Canada","(49.8489957, -124.5226255, 0.0)",49.8489957,-124.5226255
78,9A55C,Evergreen House - Lions Gate Hospital,Vancouver Coastal Health,HA,231 East 15th Street,North Vancouver,V7L2L7,(604) 984-5811,Vancouver Coastal Health,1971,"Resident Council, Family Council",Regular Schedule,Yes (fee charged),Hospital Act,Accredited,September 2020,"Melanie Leckovic, Manager",(604) 984-5927,,Outside Contractor,No,$7.94,$8.10,"English, Farsi, Tagalog, Cantonese, Russian, Mandarin, German",3.0,0.29,3.29,3.0,0.3,3.3,No,No,No,"Hairdressing, podiatry, dentistry",0,289,289,22,11,60,0,0,1,0,25,0,0,3,8,1,0.3,0.0,8.7,0.0,0.0,1.0,2.8,0.3,not applicable,84,63.7%,55.8%,5.7%,575,23.6%,36.4%,28.0%,55.9%,5.6%,3.0,39.1%,0.61,28.2%,14.6%,6.9%,55.5%,28.6%,1.6%,http://www.vch.ca/locations-services/result?res_id=42,https://surveybcseniors.org/carehomeresults/evergreen-house-ec-lions-gate-hospital-vcha/,,No,No,Yes,No,,,3.0,9.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,evergreen house - lions gate hospital,,,,,,,,,,,,,,,49.320978350000004,-123.06767192461284,"231 East 15th Street, North Vancouver, British Columbia, Canada","Lions Gate Hospital, 231, East 15th Street, Central Lonsdale, Keith-Lynn, North Vancouver City, Metro Vancouver Regional District, British Columbia, V7M, Canada","(49.320978350000004, -123.06767192461284, 0.0)",49.320978350000004,-123.06767192461284
80,99C49,Fair Haven - Burnaby,Fraser Health,PNP,7557 Sussex Ave.,Burnaby,V5J3V6,(604) 435-0525,Fair Haven Homes Society,1994,"Resident Council, Family Council",Regular Schedule,Yes (fee charged),Community Care & Assisted Living Act,Accredited,November 2022,Nurse Manager,(604) 435-0525x304 or x320,Yes,Operator,Yes,$7.48,$7.53,,2.67,0.33,3.0,2.74,0.34,3.08,No,No,No,"Clothing labelling fee, specialized wheelchairs, hairdressing",0,100,100,100,0,0,2,1,1,5,12,0,0,0,2,6,1.0,5.0,12.0,0.0,0.0,0.0,2.0,6.0,not applicable,87,66.8%,63.7%,0.8%,"1,698",16.7%,43.8%,48.7%,57.8%,11.4%,2.2,58.5%,0.57,9.2%,84.3%,0.0%,36.6%,25.4%,12.6%,http://www.fairhaven.bc.ca/care/,https://surveybcseniors.org/carehomeresults/the-fair-haven-united-church-home-burnaby-fha/,,No,No,No,No,$197.98,$205.01,3.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,fair haven - burnaby,,,,,,,,,,,,,,,49.21526995,-123.00590568055972,"7557 Sussex Ave., Burnaby, British Columbia, Canada","Fair Haven United Church Home, 7557, Sussex Avenue, Fairways at Nelson, South Slope, Burnaby, Metro Vancouver Regional District, British Columbia, V5J 5C2, Canada","(49.21526995, -123.00590568055972, 0.0)",49.21526995,-123.00590568055972
81,999HG,Fair Haven - Vancouver,Vancouver Coastal Health,PNP,2720 East 48th Ave.,Vancouver,V5S1G7,(604) 433-2939,Fair Haven United Church Homes Society,1979,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,November 2022,Clinical Nurse Manager,(604) 433-2939x2232 or x2222,Yes,Operator,Yes,$7.70,$7.98,,2.7,0.23,2.93,2.85,0.23,3.08,No,No,No,"Clothing labelling fee, specialized wheelchairs, hairdressing",0,82,82,70,6,0,1,1,0,0,9,0,0,2,1,0,0.0,0.0,11.0,0.0,0.0,2.4,1.2,0.0,not applicable,84,65.8%,54.8%,2.6%,"1,174",19.2%,43.3%,32.9%,71.6%,11.3%,2.9,45.4%,0.59,9.8%,67.7%,3.7%,45.7%,25.8%,14.1%,http://www.fairhaven.bc.ca/care/,https://surveybcseniors.org/carehomeresults/the-fair-haven-united-church-home-vancouver-vcha/,,No,No,No,No,$199.74,$213.24,3.0,8.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fair haven - vancouver,,,,,,,,,,,,,,,49.225452,-123.0365843,"2720 East 48th Ave., Vancouver, British Columbia, Canada","East 48th Avenue, Killarney, Vancouver, Metro Vancouver Regional District, British Columbia, V5S, Canada","(49.225452, -123.0365843, 0.0)",49.225452,-123.0365843
82,93860,Fair Haven - Vancouver - Special Unit,Vancouver Coastal Health,PNP,2720 East 48th Ave.,Vancouver,V5S1G7,(604) 433-2939,Fair Haven United Church Homes Society,1979,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,November 2022,Clinical Nurse Manager,(604) 433-2939x2232 or x2222,Yes,Operator,Yes,$7.60,$8.08,,3.95,0.23,4.18,3.95,0.23,4.18,No,No,No,"Clothing labelling fee, specialized wheelchairs, hairdressing",0,19,19,19,0,0,,,,,,,,,,,,,,,,,,,not applicable,80,27.5%,29.7%,1.4%,273,7.8%,19.5%,66.2%,85.7%,19.5%,2.0,58.4%,0.54,1.3%,59.7%,0.0%,76.6%,75.4%,9.1%,http://www.fairhaven.bc.ca/care/,https://surveybcseniors.org/carehomeresults/the-fair-haven-united-church-home-vancouver-vcha/,,No,No,No,No,$281.61,$272.35,,,,,,,,,,,,,,,fair haven - vancouver - special unit,,,,,,,,,,,,,,,49.225452,-123.0365843,"2720 East 48th Ave., Vancouver, British Columbia, Canada","East 48th Avenue, Killarney, Vancouver, Metro Vancouver Regional District, British Columbia, V5S, Canada","(49.225452, -123.0365843, 0.0)",49.225452,-123.0365843
83,9A575,Fellburn Care Centre,Fraser Health,HA,6050 Hastings St.,Burnaby,V5B1R6,(604) 412-6503,Fraser Health,1964,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Hospital Act,Accredited,October 2022,"Marie Van Bergen, Manager Operational Services",(604) 412-6504,Yes,Operator,No,$7.14,$7.07,"English, Cantonese, Mandarin, Punjabi, Tagalog, Spanish, Polish, Hindi, Italian",3.08,0.34,3.43,3.08,0.34,3.42,No,No,No,Bus outing ¿ personal spending money,0,81,81,10,16,10,3,0,0,3,0,0,1,0,0,0,0.0,3.7,0.0,0.0,1.2,0.0,0.0,0.0,not applicable,87,66.8%,64.6%,7.3%,606,15.4%,43.0%,35.5%,51.5%,14.0%,2.2,59.7%,0.65,14.7%,39.6%,4.4%,31.7%,10.4%,2.4%,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/6/4/fellburn-care-centre---residential-care#.XROFJEmouUk,https://surveybcseniors.org/carehomeresults/fellburn-care-centre-fha/,,Yes,Yes,Yes,Yes,,,2.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,fellburn care centre,,,,,,,,,,,,,,,49.2803168,-122.9624341,"6050 Hastings St., Burnaby, British Columbia, Canada","Hastings Street, Westridge, Burnaby, Metro Vancouver Regional District, British Columbia, V5B 1S0, Canada","(49.2803168, -122.9624341, 0.0)",49.2803168,-122.9624341
86,9B9DF,Fischer Place/Mill Site Lodge,Interior Health,HA,555 Cedar Ave. South,100 Mile House,V0K2E0,(250) 395-7696,Interior Health,1987,Resident Council,Regular Schedule,Yes (no fee),Hospital Act & Community Care & Assisted Living Act,Accredited,September 2019,Resident Care Coordinator,(250) 395-7628,Yes,Operator,Primarily,$7.81,$8.53,"English, German, French",2.99,0.31,3.3,3.02,0.37,3.4,No,No,Yes,,0,93,93,93,0,0,0,0,0,0,13,0,0,1,6,0,0.0,0.0,14.0,0.0,0.0,1.1,6.5,0.0,not applicable,84,64.9%,53.1%,3.8%,761,48.1%,26.7%,26.7%,74.5%,7.3%,2.8,41.3%,0.57,0.3%,37.0%,0.3%,60.4%,29.0%,7.0%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Mill%20Site%20Lodge%20and%20Fischer%20Place,https://surveybcseniors.org/carehomeresults/fischer-placemill-site-lodge-iha/,,No,No,No,No,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fischer place/mill site lodge,,,,,,,,,,,,,,,51.6444141,-121.2939045,"555 Cedar Ave. South, 100 Mile House, British Columbia, Canada","Cedar Avenue South, 100 Mile House, Cariboo Regional District, British Columbia, V0K 3E0, Canada","(51.6444141, -121.2939045, 0.0)",51.6444141,-121.2939045
88,92960,Forest View Place,Interior Health,HA,640 Park Dr.,Clearwater,V0E1N1,(250) 674-2244,Interior Health,2002,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,September 2019,Residential Care coordinator,(250) 674-4100,Yes,Operator,Primarily,$7.11,$8.37,English,2.98,0.31,3.29,2.97,0.31,3.28,No,No,Yes,,0,21,21,21,0,0,0,0,0,0,2,0,0,0,0,1,0.0,0.0,9.5,0.0,0.0,0.0,0.0,4.8,not applicable,90,52.9%,66.5%,2.4%,"1,317",26.3%,12.3%,14.0%,75.4%,8.8%,2.7,52.6%,0.53,0.0%,1.8%,0.0%,45.6%,35.2%,6.3%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Forest%20View%20Place,https://surveybcseniors.org/carehomeresults/forest-view-place-iha/,,,,,,,,0.0,7.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,forest view place,795.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V0E1N0,clearwater,bc,,Clearwater,,59.0,51.64507195,-120.01774781423934,"640 Park Dr., Clearwater, British Columbia, Canada","Dr. Helmcken Memorial Hospital, 640, Park Drive, Clearwater, Thompson-Nicola Regional District, British Columbia, V0E 3Z0, Canada","(51.64507195, -120.01774781423934, 0.0)",51.64507195,-120.01774781423934
89,9ACEC,Fort Langley Seniors Community,Fraser Health,PFP,8838 Glover Road,Langley,V1M2R4,(604) 888-0711,Park Place Seniors Living Inc.,2008,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Unknown,not available,Director of Care,(604) 888-0711x121,No,Operator,Yes,$5.33,$6.01,"English, Hindi, Polish, French",2.54,0.32,2.86,2.76,0.34,3.1,No,No,No,Clothing labelling fee,5,91,96,68,14,0,4,1,0,0,10,0,0,0,1,1,0.0,0.0,10.4,0.0,0.0,0.0,1.0,1.0,not applicable,90,66.2%,75.7%,0.4%,"1,120",17.0%,38.3%,31.6%,73.5%,5.3%,2.6,37.7%,0.60,25.4%,69.8%,0.0%,47.5%,20.1%,0.0%,https://www.parkplaceseniorsliving.com/find-a-location/british-columbia/lower-mainland/fort-langley/,https://surveybcseniors.org/carehomeresults/fort-langley-seniors-community-fha/,,No,No,,,$225.17,$238.47,10.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,fort langley seniors community,,,,,,,,,,,,,,,49.1132513,-122.6442649,"8838 Glover Road, Langley, British Columbia, Canada","Glover Road, City of Langley, Metro Vancouver Regional District, British Columbia, V3A 0A3, Canada","(49.1132513, -122.6442649, 0.0)",49.1132513,-122.6442649
90,91552,Fort Nelson Multi Level Unit,Northern Health,HA,5315 Liard St,Fort Nelson,V0C1R0,(250) 774-8100,Northern Health,1963,No Councils,,Yes (no fee),Hospital Act,Accredited,June 2022,Nurse Manager,(250) 774-8100,No,Operator,Yes,$18.67,$16.84,English,3.18,0.15,3.32,3.21,0.15,3.36,Yes,No,Yes,,0,7,7,7,0,0,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not applicable,78,57.6%,33.3%,3.0%,"3,872",12.5%,12.5%,0.0%,25.0%,0.0%,3.6,25.0%,0.50,0.0%,0.0%,0.0%,25.0%,8.5%,11.9%,https://www.northernhealth.ca/locations/long-term-care/fort-nelson-hospital,,Residential care survey results for facilities with fewer than 10 respondents are not accessible.,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fort nelson multi level unit,800.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V0C1R0,fort nelson,bc,,,,59.0,58.8089455,-122.7049735049242,"5315 Liard St, Fort Nelson, British Columbia, Canada","Fort Nelson General Hospital, 5315, Liard Street, Fort Nelson, Northern Rockies Regional Municipality, British Columbia, V0C 1R0, Canada","(58.8089455, -122.7049735049242, 0.0)",58.8089455,-122.7049735049242
92,9BJC6,Fraser Hope Lodge,Fraser Health,HA,1275-7th Avenue,Hope,V0X1L4,(604) 860-7706,Fraser Health,1991,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Unknown,not available,Manager,(604) 860-7735,Yes,Outside Contractor,Yes,$8.40,$8.23,"English, French, Spanish, Tagalog, German",2.91,0.26,3.17,2.91,0.26,3.17,No,No,No,,0,50,50,46,2,0,0,0,0,0,3,0,0,0,0,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,not applicable,89,53.6%,70.0%,3.7%,,34.6%,18.7%,33.0%,67.0%,8.8%,3.1,47.3%,0.59,22.0%,67.0%,4.9%,58.8%,22.5%,2.1%,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/A/9/fraser-hope-lodge---residential-care#.XROQe0mouUk,https://surveybcseniors.org/carehomeresults/fraser-hope-lodge-fha/,,No,No,Yes,No,,,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,fraser hope lodge,809.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V0X1L4,hope,bc,,Hope,,59.0,49.3773925,-121.42378463532327,"1275-7th Avenue, Hope, British Columbia, Canada","1275, 7th Avenue, Hope, British Columbia, V0X 1L4, Canada","(49.3773925, -121.42378463532327, 0.0)",49.3773925,-121.42378463532327
93,99BEI,Fraserview,Vancouver Coastal Health,PFP,9580 Williams Road,Richmond,V7A1H2,(604) 274-3510,Kaigo Senior Living Group,1992,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,November 2022,Administrator,(604) 274-3510,Yes,Outside Contractor,Yes,$6.21,$5.93,"English, German, Ukrainian, Polish, Punjabi, Tagalog, Mandarin, Cantonese",2.58,0.19,2.77,2.65,0.19,2.84,No,No,,,0,101,101,33,37,0,0,0,1,0,4,0,0,3,0,0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,not applicable,90,83.7%,80.7%,0.2%,"1,181",18.5%,49.0%,19.0%,75.1%,3.3%,1.9,71.1%,0.57,1.8%,1.0%,0.0%,21.1%,23.1%,3.1%,http://www.kaigo.ca/community/fraserview-intermediate-care-lodge/,https://surveybcseniors.org/carehomeresults/fraserview-retirement-community-vcha/,,RN - No; LPN - Yes,Yes,Yes,No,$212.88,$219.34,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fraserview,,,,,,,,,,,,,,,49.1407897,-123.1141556,"9580 Williams Road, Richmond, British Columbia, Canada","Williams Road, Woodward's Landing, Southarm, Richmond, Metro Vancouver Regional District, British Columbia, V7A 1H4, Canada","(49.1407897, -123.1141556, 0.0)",49.1407897,-123.1141556
94,937I0,Gateway Lodge Residential Care,Northern Health,HA,1488 20th Ave.,Prince George,V2L0A5,(250) 645-6100,Northern Health,2010,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,July 2022,Manager,(250) 565-5566,Yes,Operator,Yes,$11.60,$11.61,"French, Swahili, Kirundi, Chewa, Ukrainian, Hindi, German, Filipino, Malayan",3.29,0.43,3.72,3.18,0.36,3.54,No,No,No,,0,120,120,120,0,0,1,1,0,0,4,0,1,0,1,0,0.0,0.0,3.3,0.0,0.8,0.0,0.8,0.0,not applicable,80,52.8%,35.9%,12.0%,"1,406",25.6%,22.8%,26.8%,48.1%,5.2%,2.8,44.1%,0.55,0.6%,44.1%,1.2%,62.2%,34.2%,6.6%,https://www.northernhealth.ca/locations/long-term-care/gateway-lodge-long-term-care,https://surveybcseniors.org/carehomeresults/gateway-lodge-complex-care-nha/,,No,No,No,No,,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,gateway lodge residential care,,,,,,,,,,,,,,,53.905584,-122.7520213,"1488 20th Ave., Prince George, British Columbia, Canada","1488, 20th Avenue, College Heights, Prince George, Regional District of Fraser-Fort George, British Columbia, V2L 1M1, Canada","(53.905584, -122.7520213, 0.0)",53.905584,-122.7520213
102,9B7A0,Glenwarren Lodge,Vancouver Island Health,PFP,1230 Balmoral Rd,Victoria,V8T1B3,(250) 383-2323,Revera Long Term Care Inc.,1967,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,May 2020,Director of Care,(250) 383-2323x225,Yes,Operator,Yes,$6.05,$6.38,"English, French, Afrikaans, Punjabi, Burmese, Tagalog, Polish, Portuguese, Spanish",2.98,0.18,3.16,2.99,0.18,3.17,No,No,Yes,,0,104,104,46,20,11,1,0,,,,,,,,,,,,,,,,,2,86,85.9%,62.8%,2.9%,514,25.3%,31.1%,39.3%,70.4%,8.7%,3.1,34.7%,0.60,1.0%,10.8%,0.0%,54.2%,19.7%,4.2%,https://www.reveraliving.com/long-term-care/locations/glenwarren-lodge,https://surveybcseniors.org/carehomeresults/glenwarren-private-hospital-island/,,No,No,No,No,$223.34,$227.38,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,glenwarren lodge,,,,,,,,,,,,,,,48.4283883,-123.3486649,"1230 Balmoral Rd, Victoria, British Columbia, Canada","1230, Balmoral Road, Fernwood, Victoria, Capital Regional District, British Columbia, V8R 1L6, Canada","(48.4283883, -123.3486649, 0.0)",48.4283883,-123.3486649
104,93000,Gorge Road Hospital,Vancouver Island Health,HA,63 Gorge Road East,Victoria,V9A1L2,Arbutus View: (250) 519-3510 / Water View: (250) 519-3514,Vancouver Island Health,1953,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,April 2022,Manager,(250) 519-3501,No,Outside Contractor,Yes,$8.45,$8.55,"Filipino, French, English, Mandarin",2.94,0.31,3.25,2.96,0.31,3.27,No,No,No,,0,111,111,11,4,27,5,0,,,,,,,,,,,,,,,,,0,83,56.4%,51.3%,8.1%,332,25.6%,29.0%,26.3%,53.5%,8.3%,3.4,36.2%,0.58,1.2%,67.7%,50.7%,44.2%,25.1%,7.7%,https://www.islandhealth.ca/our-locations/long-term-care-locations/gorge-road-hospital-long-term-care,https://surveybcseniors.org/carehomeresults/gorge-road-hospital-island/,,Yes,Yes,Yes,No,,,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,gorge road hospital,866.0,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,V9A1L2,victoria,bc,,Victoria,,59.0,48.44178385,-123.38810164430217,"63 Gorge Road East, Victoria, British Columbia, Canada","Gorge Road Hospital, 63, Gorge Road East, Burnside, Victoria, Capital Regional District, British Columbia, V8T 5K3, Canada","(48.44178385, -123.38810164430217, 0.0)",48.44178385,-123.38810164430217
110,93A2A,Harmony Court Care Centre  - Special Unit,Fraser Health,PFP,7195 Canada Way,Burnaby,V5E3R7,(604) 527-3300,Age Care Investment Ltd.,2011,Family Council,Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,General Manager / Director of Care,(604) 527-3300,Yes,Outside Contractor,Yes,$3.92,$5.21,"English, French, Thai, Greek, Cantonese, Persian, Mandarin, Hindi, Spanish, Italian, Vietnamese, Hungarian, Tagalog, Punjabi, Farsi, Patwah",1.99,0.08,2.07,1.99,0.27,2.27,No,No,No,,0,25,25,25,0,0,,,,,,,,,,,,,,,,,,,not applicable,84,87.2%,56.9%,4.6%,705,13.6%,0.0%,1.0%,95.1%,1.9%,2.7,50.5%,0.44,1.9%,41.7%,0.0%,35.0%,31.0%,0.0%,http://www.agecare.ca/community/agecare-harmony-court/care/,https://surveybcseniors.org/carehomeresults/harmony-court-care-centre-fha/,,Yes,Yes,Yes,No,$171.17,$182.33,,,,,,,,,,,,,,,harmony court care centre  - special unit,,,,,,,,,,,,,,,49.2534087,-122.989119,"7195 Canada Way, Burnaby, British Columbia, Canada","Canada Way, Discovery Park, Burnaby, Metro Vancouver Regional District, British Columbia, V5G 1G1, Canada","(49.2534087, -122.989119, 0.0)",49.2534087,-122.989119
