FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,REGULATION,ACCRED_STATUS,RESIDENT_COUNCIL,FAMILY_COUNCIL,BEDS_TOTAL,BEDS_PRIVATEprop,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,latitude,longitude,outbreak
Kinsmen Lodge,9942B,Fraser Health,PNP,9650 137A Street,Surrey,V3T4H9,Community Care & Assisted Living Act,Accredited,True,True,157,0.0,143,7,0,49.1777346,-122.8417995,0
Kiwanis Care Centre,9AD1I,Fraser Health,PNP,35 Clute Street,New Westminster,V3L1Z5,Community Care & Assisted Living Act,Accredited,True,True,75,0.0,59,8,0,49.2232118,-122.9150878,0
Kiwanis Pavilion,9AC36,Vancouver Island Health,PNP,3034 Cedar Hill Road,Victoria,V8T3J3,Community Care & Assisted Living Act,Accredited,False,True,122,0.04918032786885246,122,0,0,48.4464163,-123.3467929,0
Kiwanis Village Lodge,995AE,Vancouver Island Health,PNP,1221 Kiwanis Crescent,Nanaimo,V9S5Y1,Community Care & Assisted Living Act,Unknown,True,True,75,0.0,75,0,0,49.186109,-123.96893,0
Kopernik Lodge,99A2I,Vancouver Coastal Health,PNP,3150 Rosemont Drive,Vancouver,V5S2C9,Community Care & Assisted Living Act,Not Accredited,True,True,87,0.0,45,21,0,49.21522,-123.039,0
Lady Minto Hospital,9A5G5,Vancouver Island Health,HA,135 Crofton Rd,Salt Spring Island,V8K1T1,Hospital Act,Accredited,True,True,29,0.0,1,4,5,48.8617,-123.5084,0
Lake Country Lodge,9B969,Interior Health,PFP,100-10163 Konschuh Rd,Winfield,V4V2M2,Community Care & Assisted Living Act,Unknown,True,True,49,0.08163265306122448,41,4,0,50.0291435,-119.3984578,0
Lakeshore Care Centre,992HG,Fraser Health,PFP,657 Gatensbury Street,Coquitlam,V3J5G9,Hospital Act,Not Accredited,True,True,56,0.375,42,7,0,49.2595472,-122.85635159999998,0
Lakeview Care Centre,9C477,Vancouver Coastal Health,PFP,3490 Porter Street,Vancouver,V5N5W4,Hospital Act,Accredited,True,True,177,0.0,105,36,0,49.25348995,-123.06648814723715,0
Lakeview Lodge,93DAA,Interior Health,PFP,2337 Butt Road,West Kelowna,V4T3L3,Community Care & Assisted Living Act,Unknown,True,True,114,0.12280701754385964,114,0,0,49.83701729999999,-119.6237769,0
Langley Gardens,925CA,Fraser Health,PFP,8888 202nd Street,Langley,V1M4A7,Community Care & Assisted Living Act,Accredited,True,True,92,0.20652173913043478,86,6,0,49.1663494,-122.6609691,1
Langley Lodge,98JIE,Fraser Health,PNP,5451-204th St,Langley,V3A5M9,Community Care & Assisted Living Act,Accredited,True,True,139,0.10071942446043165,127,6,0,49.10156729999999,-122.6573035,1
Langley Memorial Hospital ECU,9A5E0,Fraser Health,HA,22051 Fraser Hwy,Langley,V3A4H4,Hospital Act,Unknown,True,False,230,0.0,8,4,44,49.0944775,-122.6116674454287,1
Laurel Place,9359A,Fraser Health,PFP,9688 137A St,Surrey,V3T4H9,Community Care & Assisted Living Act,Accredited,True,True,215,0.06046511627906977,207,4,0,49.1784219,-122.8417807,0
Little Mountain Place,9BA01,Vancouver Coastal Health,PNP,330 East 36th Avenue,Vancouver,V5W3Z4,Community Care & Assisted Living Act,Not Accredited,True,True,117,0.0,117,0,0,49.2376636,-123.0998532,1
Louis Brier Home and Hospital,999G3,Vancouver Coastal Health,PNP,1055 West 41st Ave,Vancouver,V6M1W9,Hospital Act & Community Care & Assisted Living Act,Accredited,True,True,215,0.0,149,33,0,49.2346366,-123.12927274582044,0
Luther Court,99DIG,Vancouver Island Health,PNP,1525 Cedar Hill Cross Rd,Victoria,V8P5M1,Community Care & Assisted Living Act,Accredited,False,False,60,0.0,60,0,0,48.4619202,-123.3364271,0
Lynn Valley Care Centre,9B5JB,Vancouver Coastal Health,PFP,"1070 Lynn Valley Rd, North",North Vancouver,V7J1Z8,Hospital Act & Community Care & Assisted Living Act,Accredited,True,True,201,0.30845771144278605,178,13,0,49.33396,-123.045,1
MSA Manor,98H7B,Fraser Health,PNP,2510 Gladwin Rd,Abbotsford,V2T3N9,Community Care & Assisted Living Act,Accredited,True,False,34,0.0,34,0,0,49.04747485,-122.31462286620344,1
Mackenzie and District Hospital and Health Centre,93790,Northern Health,HA,45 Centennial Drive,Mackenzie,V0J2C0,Hospital Act,Accredited,False,False,5,0.0,4,0,0,55.3375782,-123.100648,0
Malaspina Gardens,99I1B,Vancouver Island Health,PFP,100 Eleventh Street,Nanaimo,V9R6R6,Community Care & Assisted Living Act,Accredited,True,True,136,0.007352941176470588,136,0,0,49.1298617,-123.9227916,0
Maple Ridge Seniors Village,9376A,Fraser Health,PFP,22141 - 119th Avenue,Maple Ridge,V2X2Y7,Community Care & Assisted Living Act,Accredited,True,True,108,0.16666666666666666,108,0,0,49.2193789,-122.6084592,1
Maplewood House,9BE34,Fraser Health,PNP,1919 Jackson St.,Abbotsford,V2S2Z8,Community Care & Assisted Living Act,Accredited,True,False,78,0.0,78,0,0,49.03660720000001,-122.3091484,0
Mariposa Gardens,935JA,Interior Health,PFP,8816 97th Street (highway 97),Osoyoos,V0H1V5,Community Care & Assisted Living Act,Unknown,True,True,109,0.045871559633027525,97,6,0,49.034727,-119.47705829999998,0
McBride and District Hospital,9A681,Northern Health,HA,1136 5th Avenue,McBride,V0J2E0,Hospital Act,Accredited,False,False,9,0.0,7,1,0,53.30163979999999,-120.1608281,0
McKinney Place - South Okanagan General Hospital,9A722,Interior Health,HA,911 McKinney Road,Oliver,V0H1T3,Hospital Act,Accredited,True,True,75,0.0,7,4,15,49.1835315,-119.53900043064311,0
Menno Home,98H8D,Fraser Health,PNP,32910 Brundige Ave,Abbotsford,V2S1N2,Community Care & Assisted Living Act,Accredited,True,True,196,0.0,186,5,0,49.0401555,-122.3081538,0
Menno Hospital,9A6H1,Fraser Health,PNP,32945 Marshall Road,Abbotsford,V2S1K1,Hospital Act,Accredited,True,True,151,0.0,59,43,2,49.03929855,-122.31110698892836,0
Minoru Residence,9A5B4,Vancouver Coastal Health,HA,7333 Gollner Avenue,Richmond,V6Y0J1,Hospital Act,Accredited,True,True,250,0.0,70,90,0,49.16897,-123.15,0
Minto House - Arrow Lakes Hospital,9A5A2,Interior Health,HA,97 1st Avenue NE,Nakusp,V0G1R0,Hospital Act,Accredited,True,True,16,0.0,15,0,0,50.2392729,-117.795712,0
Mission Creek Landing,98J5G,Interior Health,PFP,3081 Hall Rd,Kelowna,V1W2R5,Community Care & Assisted Living Act,Accredited,True,True,104,0.038461538461538464,94,5,0,49.8697756,-119.429557,0
Monashee Mews,93D80,Interior Health,PFP,2165 Norris Avenue,Lumby,V0E2G5,Community Care & Assisted Living Act,Accredited,True,True,46,0.0,46,0,0,50.2498936,-118.9617267,0
Morgan Place,926A0,Fraser Health,PFP,3288 156a St,Surrey,V3Z9T1,Community Care & Assisted Living Act,Accredited,True,True,141,0.09219858156028368,111,5,0,49.062332,-122.790069,0
Mount Cartier Court - Queen Victoria Hospital,92JJ0,Interior Health,HA,1200 Newlands Rd,Revelstoke,V0E2S1,Community Care & Assisted Living Act,Accredited,True,True,44,0.0,38,6,0,50.9769146,-118.1847111,0
Mount Ida Mews,93D60,Interior Health,PFP,100 5th Avenue SE,Salmon Arm,V1E4H4,Community Care & Assisted Living Act,Accredited,True,True,132,0.007575757575757576,72,0,0,50.69600300000001,-119.28418,0
Mount Saint Joseph Hospital,9A54J,Vancouver Coastal Health,PNP,3080 Prince Edward Street,Vancouver,V5T3N4,Hospital Act,Accredited,True,True,99,0.0,16,8,17,49.257699,-123.096358,0
Mount St. Mary Hospital,9A6A6,Vancouver Island Health,PNP,861 Fairfield Rd.,Victoria,V8V5A9,Hospital Act,Unknown,True,True,200,0.0,184,8,0,48.4132064,-123.3446919,0
Mount Tolmie Hospital,9A5JC,Vancouver Island Health,HA,3690 Richmond Rd.,Victoria,V8P4R6,Hospital Act,Accredited,True,True,72,0.0,9,14,9,48.459924,-123.330454,0
Mountain Lake Seniors Community,92HIA,Interior Health,PFP,908 11th St,Nelson,V1L7A6,Community Care & Assisted Living Act,Unknown,True,True,92,0.07608695652173914,92,0,0,49.5081403,-117.26611815013092,0
Mountain View Lodge - Lillooet Hospital and Health Centre,9A4E5,Interior Health,HA,951 Murray St. ,Lillooet,V0K1V0,Community Care & Assisted Living Act,Accredited,True,True,22,0.0,20,1,0,50.68929895,-121.93935595579315,0
Mountain View Manor - Delta Hospital,9A56E,Fraser Health,HA,5800 Mountain View Boulevard,Delta,V4K3V6,Hospital Act,Unknown,True,True,92,0.0,12,4,18,49.085682399999996,-123.06125243089485,0
Mountainview Lodge - Kitimat General Hospital,9A630,Northern Health,HA,920 Lahakas Blvd. S,Kitimat,V8C2S3,Hospital Act,Accredited,True,True,36,0.0,32,2,0,54.05427370000001,-128.6552266,0
Mountainview Village,93240,Interior Health,PNP,1540 K.L.O. Road,Kelowna,V1W3P6,Community Care & Assisted Living Act,Accredited,True,True,90,0.0,90,0,0,49.8610063,-119.4565603,0
Nanaimo Seniors Village,9261A,Vancouver Island Health,PFP,6085 Uplands Drive,Nanaimo,V9V1T8,Community Care & Assisted Living Act,Accredited,True,True,150,0.10666666666666667,150,0,0,49.236311,-124.03886,0
Nelson Jubilee Manor,98G4A,Interior Health,HA,500 Beasley St West,Nelson,V1L6G9,Community Care & Assisted Living Act,Accredited,True,True,39,0.0,39,0,0,49.4795674,-117.29899609999998,0
New Vista Care Home,99C37,Fraser Health,PNP,7550 Rosewood Street,Burnaby,V5E3Z3,Community Care & Assisted Living Act,Accredited,True,True,236,0.0,236,0,0,49.2239438,-122.94541269093858,1
Nicola Lodge,93GBA,Fraser Health,PFP,2240 Hawkins St.,Port Coquitlam,V3B0M2,Community Care & Assisted Living Act,Unknown,False,False,230,0.0782608695652174,0,0,0,49.255787,-122.737523,1
Noric House,98IF3,Interior Health,HA,1400 Mission Rd,Vernon,V1T9C3,Community Care & Assisted Living Act,Accredited,True,True,85,0.0,85,0,0,50.251193,-119.282587,0
Normanna Rest Home,9C489,Fraser Health,PNP,7725-4th St,Burnaby,V3N5B6,Community Care & Assisted Living Act,Unknown,True,True,100,0.0,90,5,0,49.22202645,-122.92761074114857,0
Northcrest Care Centre,9C5G2,Fraser Health,PFP,6771-120th Street,Delta,V4E2A7,Community Care & Assisted Living Act,Accredited,True,True,106,0.0,90,8,0,49.126449,-122.891122,0
Northern Haida Gwaii Hospital and Health Centre,91F3C,Northern Health,HA,2520 Harrison Avenue,Masset,V0T1M0,Hospital Act,Accredited,False,False,5,0.0,4,0,0,54.020576,-132.157074,0
Oak Bay Lodge,99D3D,Vancouver Island Health,HA,2251 Cadboro Bay Rd.,Victoria,V8R5H3,Community Care & Assisted Living Act,Accredited,False,False,235,0.0,87,74,0,48.432936,-123.3138,0
Orchard Haven - South Similkameen Health Centre,9252A,Interior Health,HA,700 3rd St,Keremeos,V0X1N0,Community Care & Assisted Living Act,Accredited,True,True,38,0.0,38,0,0,49.2069196,-119.8315278,0
Overlander Residential Care,9A708,Interior Health,HA,953 Southill Street,Kamloops,V2B7Z9,Hospital Act,Accredited,True,True,183,0.0,35,14,30,50.70373370000001,-120.3973241,0
Oyster Harbour Seniors Community,99G47,Vancouver Island Health,PFP,1127 4th Ave,Ladysmith,V9G1A6,Community Care & Assisted Living Act,Not Accredited,True,True,89,0.0,87,2,0,48.9966463,-123.8287358,0
Parkside Care,9AI58,Northern Health,HA,788 Ospika Boulevard,Prince George,V2M6Y2,Community Care & Assisted Living Act,Accredited,True,True,58,0.0,58,0,0,53.91781,-122.79478700000001,0
Parkview Place,98IEB,Interior Health,HA,707 3rd Ave,Enderby,V0E1V0,Community Care & Assisted Living Act,Accredited,True,True,31,0.0,31,0,0,50.5466217,-119.1407493,0
Peace Portal Seniors Village,9C47I,Fraser Health,PFP,15441 - 16th Avenue,Surrey,V4A8T8,Community Care & Assisted Living Act,Accredited,True,True,84,0.6785714285714286,67,7,0,49.031282,-122.7945296,0
Peace Villa,9BDGA,Northern Health,HA,8407 112 Avenue,Fort St John,V1J0J5,Community Care & Assisted Living Act,Accredited,True,True,124,0.0,124,0,0,56.25673199999999,-120.81792,0
Piccadilly Seniors Community,931AA,Interior Health,PFP,821 10th Avenue SW,Salmon Arm,V1E1T2,Community Care & Assisted Living Act,Accredited,True,True,59,0.13559322033898305,46,7,0,50.692591,-119.29439599999999,0
Pine Acres Home,9BDAH,Interior Health,PNP,1902 Pheasant Lane,Westbank,V4T2H4,Community Care & Assisted Living Act,Accredited,True,True,63,0.36507936507936506,33,5,0,49.839286,-119.59551,0
Pine Grove Seniors Community,9A9G2,Interior Health,PFP,313 Mcgowan Street,Kamloops,V2B2N8,Community Care & Assisted Living Act,Unknown,True,True,75,0.0,14,31,0,50.64479145,-120.3440998,0
Pinegrove Place,9AG59,Vancouver Coastal Health,PNP,11331 Mellis Drive,Richmond,V6X1L8,Community Care & Assisted Living Act,Accredited,True,True,76,0.0,76,0,0,49.1867925,-123.0984471,0
Pleasant Valley Manor,9BJG5,Interior Health,HA,3800 Patten Dr.,Armstrong,V0E1B2,Hospital Act,Accredited,True,True,82,0.0,82,0,0,50.43928579999999,-119.2079969,0
Point Grey Private Hospital,9995A,Vancouver Coastal Health,PFP,2423 Cornwall Avenue,Vancouver,V6K1B9,Hospital Act,Not Accredited,True,False,72,0.06944444444444445,31,20,0,49.2724948,-123.1496031,0
Polson Residential Care - Vernon Jubilee Hospital,9A628,Interior Health,HA,2101 32nd Street,Vernon,V1T5L2,Hospital Act,Accredited,True,True,97,0.0,15,9,16,50.256926,-119.271624,0
Ponderosa Lodge,98FA9,Interior Health,HA,425 Columbia St,Kamloops,V2C2T4,Community Care & Assisted Living Act,Accredited,False,True,98,0.0,90,1,0,50.670828,-120.331933,0
Poplar Ridge Pavilion - Kootenay Boundary Hospital,9A667,Interior Health,HA,1200 Hospital Bench,Trail,V1R4M1,Hospital Act,Accredited,True,True,49,0.0,5,14,4,49.1035546,-117.7011867,0
Purdy Pavilion - UBC Hospital,9A5C6,Vancouver Coastal Health,HA,2221 Wesbrook Mall,Vancouver,V6T1Z9,Hospital Act,Accredited,True,True,199,0.0,23,0,60,49.2632866,-123.24586939010037,0
Qualicum Manor,92EE0,Vancouver Island Health,PFP,124 Fourth Ave East,Qualicum Beach,V9K1N6,Community Care & Assisted Living Act,Unknown,True,True,59,0.3728813559322034,34,13,0,49.3449157,-124.4405245,0
Queen's Park Care Centre,9A5GG,Fraser Health,HA,315 McBride Blvd.,New Westminster,V3L5E8,Hospital Act,Unknown,True,True,148,0.0,14,2,32,49.2158542,-122.9036695,1
R. W. Large Memorial Hospital,9A773,Vancouver Coastal Health,HA,88 Waglisla Street,Bella Bella,V0T1Z0,Hospital Act,Accredited,False,False,7,0.0,7,0,0,52.1612112,-128.1433195843372,0
Rainbow Lodge,9315A,Northern Health,HA,1000 Liard Drive,Prince George,V2M3Z3,Community Care & Assisted Living Act,Accredited,True,True,18,0.0,19,0,0,49.2238303,-122.9332908,0
Renfrew Care Centre,9193F,Vancouver Coastal Health,PFP,1880 Renfrew Street,Vancouver,V5M3H9,Community Care & Assisted Living Act,Accredited,True,True,106,0.0,86,10,0,49.26786,-123.044,0
Rest Haven Lodge,9ADH2,Vancouver Island Health,PNP,2281 Mills Road,Sidney,V8L2C3,Community Care & Assisted Living Act,Accredited,True,True,73,0.0,73,0,0,48.654974,-123.40484,0
Richmond Lions Manor,99BGD,Vancouver Coastal Health,HA,9020 Bridgeport Road,Richmond,V6X1S1,Community Care & Assisted Living Act,Accredited,True,True,93,0.0,49,22,0,49.1914932,-123.1252982423324,1
Ridgeview Lodge,93530,Interior Health,PFP,920 Desmond Street,Kamloops,V2B5K6,Community Care & Assisted Living Act,Unknown,False,False,129,0.17829457364341086,129,0,0,50.7034312,-120.39313490000002,0
Ridgewood Lodge - Princeton General Hospital,9A4J6,Interior Health,HA,98 Ridgewood Drive,Princeton,V0X1W0,Community Care & Assisted Living Act,Accredited,True,True,37,0.0,33,2,0,49.45459015,-120.52645140910023,0
Rocky Mountain Village,92D60,Interior Health,PFP,55 Cokato Road,Fernie,V0B1M4,Community Care & Assisted Living Act,Unknown,True,True,62,0.016129032258064516,62,0,0,49.4906726,-115.0647647,0
Rose Wood Village,92CB0,Interior Health,PFP,8125 Devito Drive,Trail,V1R4X9,Community Care & Assisted Living Act,Unknown,True,True,46,0.021739130434782608,45,0,0,49.0957762,-117.64176299999998,0
Rosemary Heights Seniors Village,935CA,Fraser Health,PFP,15240-34th Avenue,Surrey,V3Z2J9,Community Care & Assisted Living Act,Accredited,True,False,90,0.05555555555555555,85,2,0,49.0635552,-122.8006006,0
Rosewood Manor,9ADI4,Vancouver Coastal Health,PNP,6260 Blundell Rd,Richmond,V7C5C4,Community Care & Assisted Living Act,Not Accredited,True,True,151,0.0,151,0,0,49.1551041,-123.1553156,0
Rotary Manor,9976D,Northern Health,HA,1121 90th Avenue,Dawson Creek,V1G5A3,Community Care & Assisted Living Act,Accredited,True,False,115,0.0,115,0,0,55.773403,-120.23466,0
Royal Arch Masonic Home,9AAG7,Vancouver Coastal Health,PNP,7850 Champlain Cresc,Vancouver,V5S4C7,Community Care & Assisted Living Act,Not Accredited,True,True,151,0.0,151,0,0,49.2135328,-123.0288043,1
Royal Ascot Care Centre,917JC,Vancouver Coastal Health,PFP,2455 East Broadway,Vancouver,V5M1Y1,Hospital Act,Not Accredited,True,True,82,0.024390243902439025,64,9,0,49.26239535,-123.0555417,0
Royal City Manor,91JJ3,Fraser Health,PFP,77 Jamieson Court,New Westminster,V3L5P8,Community Care & Assisted Living Act,Accredited,True,True,165,0.696969696969697,125,21,0,49.2153153,-122.8951618,0
Saanich Peninsula Hospital Residential Care,9A6B8,Vancouver Island Health,HA,2166 Mt Newton X Rd,Saanichton,V8M2B2,Hospital Act,Accredited,True,True,143,0.0,17,10,116,48.596018,-123.40711499999999,0
Selkirk Seniors Village,93570,Vancouver Island Health,PFP,385 Waterfront Crescent,Victoria,V8T5K7,Community Care & Assisted Living Act,Accredited,True,True,217,0.14746543778801843,195,11,0,48.441914,-123.37798,0
Shorncliffe,9AHA5,Vancouver Coastal Health,HA,5847 Medusa Street,Sechelt,V0N3A0,Community Care & Assisted Living Act,Accredited,True,True,59,0.0,59,0,0,49.474191,-123.765,0
Sidney Care Home,9BHDB,Vancouver Island Health,PFP,9888 Fifth St.,Sidney,V8L2X3,Community Care & Assisted Living Act,Unknown,False,True,54,0.0,44,5,0,48.6512125,-123.4010229,0
Silver Kettle Village,93CIA,Interior Health,PFP,2350 72nd Avenue,Grand Forks,V0H1H4,Community Care & Assisted Living Act,Unknown,True,True,42,0.047619047619047616,42,0,0,49.0246317,-118.4649688,0
Simon Fraser Lodge,9B65F,Northern Health,PFP,2410 Laurier Cres.,Prince George,V2M2B3,Hospital Act,Accredited,True,True,130,0.0,130,0,0,53.9153784,-122.7642509,0
Simon K.Y. Lee Seniors Care Home,926I0,Vancouver Coastal Health,PNP,555 Carrall Street,Vancouver,V6B2J8,Community Care & Assisted Living Act,Unknown,True,True,114,0.03508771929824561,104,5,0,49.2814788,-123.1043333,0
Slocan Community Health Centre - The Pavillion,98G52,Interior Health,HA,401 Galena Ave,New Denver,V0G1S0,Community Care & Assisted Living Act,Accredited,True,True,28,0.0,6,20,0,49.9843977,-117.3754623,0
Sluggett House,9373A,Vancouver Island Health,PNP,1336 Marchant Rd.,Brentwood Bay,V8M1G5,Community Care & Assisted Living Act,Accredited,True,True,16,0.0,16,0,0,48.572695,-123.44301000000002,0
Spring Valley Seniors Community,990F2,Interior Health,PFP,355 Terai Court,Kelowna,V1X5X6,Community Care & Assisted Living Act,Unknown,True,True,151,0.006622516556291391,114,8,0,49.8855029,-119.416278,0
St. Jude's Anglican Home,999GE,Vancouver Coastal Health,PNP,810 West 27th Avenue,Vancouver,V5Z2G7,Community Care & Assisted Living Act,Not Accredited,True,True,55,0.03636363636363636,45,5,0,49.2468877,-123.1227326,0
St. Michael's Centre,9A9FB,Fraser Health,PNP,7451 Sussex Avenue,Burnaby,V5J5C2,Hospital Act,Not Accredited,True,True,144,0.0,20,36,9,49.2157228,-123.0052424,0
St. Vincent's - Brock Fahrni Pavilion,9A587,Vancouver Coastal Health,PNP,4650 Oak St.,Vancouver,V6H4J4,Hospital Act,Accredited,True,False,148,0.0,12,8,30,49.2432438,-123.12301099560094,0
St. Vincent's - Langara,9C05H,Vancouver Coastal Health,PNP,255 W 62nd Ave,Vancouver,V5X4V4,Hospital Act,Accredited,True,True,197,0.0,17,8,41,49.2147869,-123.11081877119535,0
Stanford Seniors Village,93590,Vancouver Island Health,PFP,250 Craig St,Parksville,V9P0A7,Community Care & Assisted Living Act,Accredited,True,True,182,0.11538461538461539,172,5,0,49.316749,-124.31121,0
Stuart Lake Hospital,928GA,Northern Health,HA,600 Stuart Drive E,Fort St. James,V0J1P0,Hospital Act,Accredited,False,False,6,0.0,6,0,0,54.44140520000001,-124.242352,0
Stuart Nechako Manor,997BF,Northern Health,HA,3277 Hospital Road,Vanderhoof,V0J3A2,Community Care & Assisted Living Act,Accredited,True,True,53,0.0,45,4,0,54.028787,-124.00926,0
Summerland Seniors Village,92HB0,Interior Health,PFP,12803 Atkinson Road,Summerland,V0H1Z4,Community Care & Assisted Living Act,Accredited,True,True,112,0.33035714285714285,105,0,0,49.6000555,-119.6687918,0
Sun Pointe Village,92450,Interior Health,PNP,700 Rutland Road N,Kelowna,V1X7W8,Community Care & Assisted Living Act,Unknown,True,True,100,0.0,100,0,0,49.8958819,-119.3870785,0
Suncreek Village,9370A,Fraser Health,PFP,13687 62nd Avenue,Surrey,V3X0B5,Community Care & Assisted Living Act,Unknown,True,True,134,0.1044776119402985,120,0,0,49.1156408,-122.8450108,0
Sunnybank Retirement Home,98IDJ,Interior Health,HA,6553 Park Drive,Oliver,V0H1T0,Community Care & Assisted Living Act,Accredited,True,True,51,0.0,51,0,0,49.18796645,-119.53956620008628,0
Sunridge Place Seniors Community,93580,Vancouver Island Health,PFP,361 Bundock Ave,Duncan,V9L3P1,Community Care & Assisted Living Act,Not Accredited,True,True,160,0.0,160,0,0,48.7787315,-123.696975,0
Sunset Lodge,99ICF,Vancouver Island Health,PNP,952 Arm Street,Esquimalt,V9A4G7,Community Care & Assisted Living Act,Accredited,True,True,108,0.0,108,0,0,48.441883,-123.393387,0
Swan Valley Lodge,98F21,Interior Health,HA,818 Vancouver St,Creston,V0B1G4,Hospital Act & Community Care & Assisted Living Act,Accredited,True,True,90,0.0,90,0,0,49.097877200000006,-116.5163929,0
Tabor Home,98H94,Fraser Health,PNP,31944 Sunrise Cres,Abbotsford,V2T1N5,Community Care & Assisted Living Act,Unknown,True,True,118,0.0,106,6,0,49.047016,-122.338899,1
Talarico Place - Castlegar District Community Health Centre,9C0DE,Interior Health,HA,709 10th Street,Castlegar,V1N2H7,Community Care & Assisted Living Act,Accredited,True,True,60,0.0,38,11,0,49.3144174,-117.6608054,0
Terraceview Lodge,9AIHF,Northern Health,HA,4707 Kerby Avenue,Terrace,V8G2W2,Community Care & Assisted Living Act,Accredited,True,True,99,0.0,95,0,0,54.533333,-128.59333999999998,0
The Cascades Care Community,9A599,Fraser Health,PFP,45586 Mcintosh Drive,Chilliwack,V2P7W8,Community Care & Assisted Living Act,Unknown,True,True,119,0.1092436974789916,101,9,0,49.1608031,-121.9656901,0
The Gardens at Qualicum Beach,9C6H8,Vancouver Island Health,PFP,650 Berwick Road North,Qualicum Beach,V9K2T8,Community Care & Assisted Living Act,Accredited,True,True,100,0.15,86,5,0,49.348341,-124.43764,0
The Gateby,9AFCB,Interior Health,HA,3000 Gateby Place,Vernon,V1T8V8,Community Care & Assisted Living Act,Accredited,True,True,75,0.0,75,0,0,50.2642353,-119.28130149999998,0
The Hamlets at Penticton,93510,Interior Health,PFP,103 Duncan Ave West,Penticton,V2A2Y3,Community Care & Assisted Living Act,Unknown,True,True,89,0.033707865168539325,94,2,0,49.4840616,-119.5897419,0
The Hamlets at Westsyde,930H0,Interior Health,PFP,3255 Overlander Drive,Kamloops,V2B0A5,Community Care & Assisted Living Act,Unknown,True,True,112,0.026785714285714284,112,0,0,50.77082100000001,-120.341961,0
The Heights at Mount View,93F7A,Vancouver Island Health,PNP,3814 Carey Road,Victoria,V8Z4C4,Community Care & Assisted Living Act,Unknown,False,True,260,0.0,260,0,0,48.459499,-123.38131,0
The Madison Care Centre,935IA,Fraser Health,PFP,1399 Foster Avenue,Coquitlam,V3J2N1,Hospital Act,Not Accredited,True,True,137,0.29927007299270075,128,9,0,49.2568192,-122.89315220000002,0
The Mayfair,9C3GE,Fraser Health,PNP,33433 Marshall Road,Abbotsford,V2S1K8,Community Care & Assisted Living Act,Not Accredited,True,True,91,0.32967032967032966,80,2,0,49.03936815,-122.29768336109244,0
The Pines,9C373,Northern Health,HA,800 Centre St.,Burns Lake,V0J1E0,Hospital Act,Accredited,True,True,36,0.0,26,5,0,54.2365817,-125.7600106,0
The Priory - Heritage Woods,921JD,Vancouver Island Health,HA,567 Goldstream Ave.,Langford,V9B2W4,Hospital Act,Accredited,True,True,75,0.0,75,0,0,48.44513565,-123.48827996082501,0
The Priory - Hiscock,9A604,Vancouver Island Health,HA,567 Goldstream Ave.,Langford,V9B2W4,Hospital Act,Accredited,True,True,75,0.0,7,6,14,48.44513565,-123.48827996082501,0
The Residence at Clayton Heights,93CAA,Fraser Health,PFP,18788 71st Avenue,Surrey,V4N6L9,Community Care & Assisted Living Act,Not Accredited,True,False,87,0.0,87,0,0,49.1317703,-122.7026815,1
The Residence at Morgan Heights,9375A,Fraser Health,PFP,15955 27th Avenue,Surrey,V3Z3W3,Community Care & Assisted Living Act,Not Accredited,False,True,116,0.22413793103448276,108,4,0,49.051178,-122.779875,0
The Residence in Mission,93F40,Fraser Health,HA,7324 Hurd Street,Mission,V2V3H5,Community Care & Assisted Living Act,Unknown,True,True,200,0.0,190,5,0,49.135354,-122.330124,0
The Views - St. Joseph's General Hospital,9A6DD,Vancouver Island Health,PNP,2137 Comox Avenue,Comox,V9M1P2,Hospital Act,Accredited,True,True,145,0.0,23,21,13,49.67354215,-124.9422815862309,0
Three Links Care Centre,9AC12,Vancouver Coastal Health,PNP,2934 East 22nd Ave,Vancouver,V5M2Y4,Community Care & Assisted Living Act,Accredited,True,True,90,0.0,90,0,0,49.2503144,-123.0429307,0
Three Links Manor,9AHHB,Interior Health,HA,1449 Kelglen Cres,Kelowna,V1Y8P4,Community Care & Assisted Living Act,Accredited,True,True,82,0.0,82,0,0,49.883268,-119.4669195,0
Totem Lodge - Sechelt Hospital,9A563,Vancouver Coastal Health,HA,5544 Sunshine Coast Highway,Sechelt,V0N3A0,Hospital Act,Accredited,True,True,49,0.0,3,3,10,49.50828092664089,-123.89803176719371,0
Trillium Lodge,9AD7B,Vancouver Island Health,HA,401 Moilliet St,Parksville,V9P1N3,Hospital Act & Community Care & Assisted Living Act,Accredited,True,True,91,0.0,58,3,9,49.311376,-124.32514,0
Trinity Care Centre,9AGF1,Interior Health,HA,75 Green Ave West,Penticton,V2A7N6,Community Care & Assisted Living Act,Accredited,True,True,75,0.0,75,0,0,49.46314520000001,-119.5894601,0
Tsawaayuus - Rainbow Gardens,9C2FI,Vancouver Island Health,PNP,6151 Russell Place,Port Alberni,V9Y7W3,Hospital Act,Unknown,True,False,30,0.0,31,0,0,49.2690022,-124.8462038,0
Valhaven Rest Home,98H9F,Fraser Health,PNP,4212 Balmoral St,Abbotsford,V4X1Y5,Community Care & Assisted Living Act,Accredited,True,True,26,0.15384615384615385,26,0,0,49.0789671,-122.3857153,1
