FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,REGULATION,ACCRED_STATUS,BEDS_TOTAL,INCIDENT_OUTBREAK_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,latitude,longitude,Total Confirmed Cases,Total Deaths,outbreak,rooms_semi_binary,rooms_multi_binary,rooms_shared,resident_council,family_council,res_fam_council,beds_privatebinary,complaints_100,sub_complaints_100,incident_100sumXoutbreak,infractions_disease_100,infractions_100Xdisease
George Pearson Centre,9A5BF,Vancouver Coastal Health,HA,700 West 57th Ave.,Vancouver,V6P1S1,Hospital Act,Accredited,114,0.0,59.0,24.4,2.9,67.5,15.4,64.6,31.3,3.9,2.5,3.1,29.4,0.89,54.5,56.1,32.4,47.4,24.7,18.6,3.0,49.21877,-123.121144,0.0,0.0,0,1,1,1,1,0,0,0,0.8771929824561403,0.8771929824561403,16.6,0.0,7.0175438596491215
German Canadian Care Home,999D6,Vancouver Coastal Health,PNP,2010 Harrison Drive,Vancouver,V5P2P6,Community Care & Assisted Living Act,Accredited,132,0.0,83.0,47.6,52.5,5.4,14.2,36.4,37.3,52.3,7.2,2.5,42.4,0.52,37.5,76.5,42.3,40.1,40.5,10.0,7.0,49.2098793,-123.0651145,1.0,0.0,1,1,0,1,1,1,1,0,0.0,0.0,16.0,0.0,0.7575757575757576
Gillis House,9AAGI,Interior Health,HA,1699 Tutill Court,Merritt,V1K1C6,Hospital Act & Community Care & Assisted Living Act,Accredited,74,0.0,83.0,59.4,46.5,4.7,15.9,33.6,29.0,51.2,5.7,2.1,60.8,0.6,1.4,0.0,0.7,49.5,34.4,5.7,0.0,50.107526299999996,-120.7861348,0.0,0.0,0,1,1,1,1,1,1,0,2.702702702702702,1.351351351351351,20.4,0.0,2.702702702702702
Glenmore Lodge,93GE4,Interior Health,PFP,325 Drysdale Blvd.,Kelowna,V1V1P5,Community Care & Assisted Living Act,Unknown,118,0.0,85.0,60.7,59.5,4.9,9.2,10.9,15.6,44.8,5.3,2.9,42.4,0.55,0.0,0.2,36.9,36.7,18.9,3.7,1.0,49.9163179,-119.4400778,0.0,0.0,0,0,0,0,0,0,0,1,0.8474576271186439,0.0,25.5,0.0,1.6949152542372878
Glenwood Seniors Community,923FA,Fraser Health,PFP,1458 Glenwood Dr,Agassiz,V0M1A3,Community Care & Assisted Living Act,Unknown,44,0.0,89.0,64.8,73.0,0.5,25.0,12.9,22.6,80.6,21.8,2.8,50.8,0.58,4.8,81.5,0.0,38.7,7.3,0.0,4.0,49.2308549,-121.75817859999998,0.0,0.0,0,0,0,0,1,1,1,1,2.272727272727273,0.0,6.9,0.0,22.72727272727273
Guildford Seniors Village,926CA,Fraser Health,PFP,14568 104a Ave.,Surrey,V3R1R3,Community Care & Assisted Living Act,Accredited,101,0.0,83.0,44.9,50.7,4.4,22.1,33.3,40.4,69.7,11.1,2.2,61.1,0.6,0.0,62.2,0.0,44.2,26.5,15.1,7.0,49.192422,-122.8183,1.0,0.0,1,0,0,0,1,1,1,1,0.0,0.0,16.9,0.0,0.0
Hardy View Lodge,9ADB9,Interior Health,HA,7649 22nd St.,Grand Forks,V0H1H2,Community Care & Assisted Living Act,Accredited,80,0.0,85.0,64.5,56.5,3.3,21.3,32.6,13.0,59.6,3.9,3.2,32.2,0.57,0.0,10.9,0.0,41.7,31.7,5.3,1.0,49.030260999999996,-118.467798,0.0,0.0,0,1,0,1,1,1,1,0,0.0,0.0,3.9,0.0,3.75
Haro Park Centre,9A4I4,Vancouver Coastal Health,PNP,1233 Haro Street,Vancouver,V6E3Y5,Community Care & Assisted Living Act,Unknown,154,0.0,84.0,73.5,55.1,4.3,36.1,21.4,22.1,67.1,8.7,3.3,33.5,0.52,3.9,83.7,1.1,53.3,34.1,7.2,7.0,49.285771000000004,-123.12899999999999,89.0,13.0,1,0,0,0,1,0,0,0,1.2987012987012987,0.0,39.5,0.0,2.5974025974025974
Haven Hill Retirement Centre,9C2CB,Interior Health,PFP,415 Haven Hill Road,Penticton,V2A4E9,Community Care & Assisted Living Act,Accredited,152,0.0,86.0,66.6,63.1,3.5,17.8,28.9,28.3,72.6,6.5,2.5,52.4,0.57,38.9,1.3,2.4,34.1,26.3,11.0,3.0,49.497463,-119.58078,0.0,0.0,0,0,0,0,1,1,1,1,6.578947368421053,1.3157894736842104,21.7,0.6578947368421052,10.526315789473683
Hawthorne Seniors Care Community,992JA,Fraser Health,PNP,2111 Hawthorne Ave,Port Coquitlam,V3C1W3,Hospital Act,Unknown,131,0.8,82.0,55.5,49.0,6.6,12.2,41.9,44.1,53.7,12.8,2.2,65.6,0.59,0.0,56.9,0.0,41.9,32.7,2.2,1.0,49.2570112,-122.7792222,0.0,0.0,0,1,0,1,1,1,1,0,0.0,0.0,21.3,0.7633587786259541,6.106870229007634
Henry Durand Manor,9A7GF,Interior Health,HA,803 9th St South,Golden,V0A1H0,Community Care & Assisted Living Act,Accredited,28,0.0,85.0,64.7,67.6,6.3,29.4,33.3,38.2,73.5,2.9,2.1,59.8,0.57,8.8,38.2,0.0,56.9,25.3,9.3,2.0,51.2961409,-116.9734392,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,57.2,0.0,35.714285714285715
Heritage Square,9BI83,Interior Health,PFP,3904 27th St.,Vernon,V1T4X7,Community Care & Assisted Living Act,Accredited,50,0.0,86.0,64.4,66.1,5.4,53.6,18.8,12.6,68.1,2.4,3.2,29.0,0.68,4.8,75.8,6.3,67.6,9.3,6.4,1.0,50.270687,-119.26823,0.0,0.0,0,0,0,0,1,1,1,0,0.0,2.0,28.0,0.0,8.0
Heritage Village,9C5BC,Fraser Health,HA,7525 Topaz Dr,Chilliwack,V2R3C9,Hospital Act,Accredited,100,2.0,85.0,54.4,58.4,3.4,11.8,31.0,43.4,64.8,12.7,2.3,55.2,0.57,3.4,58.0,0.0,54.9,27.3,3.4,2.0,49.1407098,-121.9665418,0.0,0.0,0,1,1,1,1,1,1,0,0.0,0.0,25.0,1.0,9.0
Heron Grove,92IIA,Interior Health,PNP,4900 - 20th Street,Vernon,V1T9W3,Community Care & Assisted Living Act,Accredited,76,0.0,83.0,64.1,56.2,7.6,41.5,29.3,26.0,63.3,7.4,2.7,47.6,0.66,6.1,8.7,2.6,55.3,12.7,10.8,2.0,50.28272,-119.26055,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,14.5,0.0,2.631578947368421
Hillside Village,92FC0,Interior Health,PNP,2891 15 Ave NE,Salmon Arm,V1E2B8,Community Care & Assisted Living Act,Accredited,112,0.9,86.0,66.8,57.9,2.4,17.6,24.0,27.9,75.4,10.9,4.1,17.6,0.57,1.7,12.0,5.7,56.2,26.6,15.4,1.0,50.71122329999999,-119.25211100000001,0.0,0.0,0,0,0,0,1,1,1,0,0.8928571428571428,0.0,16.1,0.0,3.571428571428571
Hilltop House,9AIC3,Vancouver Coastal Health,HA,38146 Behrner Drive,Squamish,V8B0C8,Community Care & Assisted Living Act,Accredited,86,0.0,80.0,62.5,50.0,12.5,35.4,27.7,18.0,59.2,6.1,1.7,68.5,0.56,5.1,4.8,0.0,49.8,16.6,1.4,3.0,49.699647999999996,-123.14,0.0,0.0,0,1,0,1,1,1,1,0,0.0,0.0,15.2,0.0,4.651162790697675
Hilton Villa Seniors Community,917D8,Fraser Health,PFP,13525 Hilton Rd,Surrey,V3R5J3,Community Care & Assisted Living Act,Accredited,157,1.9,86.0,69.8,62.9,5.1,20.7,33.2,37.5,66.5,12.7,2.9,43.1,0.59,45.3,3.8,0.0,45.8,10.2,6.7,10.0,49.20242145,-122.84672725264092,0.0,0.0,0,1,0,1,1,1,1,1,1.9108280254777068,0.6369426751592357,14.0,0.0,0.6369426751592357
Hogg and Weatherby Pavilions - Peace Arch Hospital,9A58I,Fraser Health,HA,15521 Russell Ave.,White Rock,V4B2R4,Hospital Act,Unknown,234,0.9,90.0,73.9,76.9,2.2,17.7,28.0,24.2,48.3,8.6,2.6,52.3,0.57,15.5,67.0,12.4,48.2,18.8,3.2,2.0,49.03015955,-122.79236955,0.0,0.0,0,1,1,1,1,1,1,0,0.8547008547008548,0.0,11.6,0.0,1.282051282051282
Holy Family Hospital,9A5D8,Vancouver Coastal Health,PNP,7801 Argyle St.,Vancouver,V5P3L6,Hospital Act,Accredited,126,1.6,85.0,79.1,58.3,4.0,24.8,36.6,29.7,52.8,3.9,2.8,48.6,0.62,7.3,9.6,7.3,49.2,17.5,2.9,2.0,49.213284,-123.073098,88.0,21.0,1,1,1,1,1,1,1,0,0.0,0.0,5.6,0.0,3.1746031746031744
Holyrood Manor,91842,Fraser Health,PFP,22710 Holyrood Ave,Maple Ridge,V2X3E6,Hospital Act,Accredited,125,0.8,86.0,81.5,58.3,3.3,31.0,19.9,25.2,71.9,11.9,2.3,52.8,0.61,0.0,70.6,0.0,50.1,20.0,1.2,1.0,49.2122959,-122.59390420000001,0.0,0.0,0,1,0,1,0,1,0,1,0.0,0.0,17.6,0.8,1.6
Inglewood Care Centre,999J9,Vancouver Coastal Health,PFP,725 Inglewood Avenue,West Vancouver,V7T1X5,Hospital Act & Community Care & Assisted Living Act,Unknown,230,0.0,86.0,65.4,66.4,2.1,29.2,30.0,38.9,76.3,11.9,2.9,40.9,0.54,6.3,22.5,0.0,53.4,19.9,3.8,13.0,49.3354367,-123.1356688,1.0,0.0,1,1,0,1,1,1,1,0,2.1739130434782608,1.7391304347826086,26.000000000000004,0.0,3.4782608695652173
Jackman Manor,9ADHD,Fraser Health,PNP,27477 28 Ave,Aldergrove,V4W3L9,Community Care & Assisted Living Act,Not Accredited,88,0.0,88.0,70.1,72.0,1.4,22.6,28.7,36.4,77.7,7.3,2.2,58.7,0.54,7.9,2.1,0.0,44.9,15.5,4.9,3.0,49.0538233,-122.46304029999999,0.0,0.0,0,0,0,0,1,1,1,0,2.272727272727273,1.1363636363636365,1.1,0.0,10.227272727272727
Jackson House - Ashcroft Hospital and Health Centre,9A6I3,Interior Health,HA,700 Ash-Cache Creek Hwy,Ashcroft,V0K1A0,Hospital Act,Accredited,22,0.0,87.0,72.5,60.0,2.5,28.6,40.5,9.5,56.0,1.2,3.3,33.3,0.58,16.7,0.0,0.0,44.0,32.9,1.9,1.0,50.731887,-121.278471,0.0,0.0,0,1,1,1,1,1,1,0,0.0,0.0,13.5,0.0,22.72727272727273
Joseph Creek Village,92IJA,Interior Health,PFP,1901 Willowbrook Dr,Cranbrook,V1C6S4,Community Care & Assisted Living Act,Unknown,102,0.0,80.0,64.3,39.3,11.3,25.8,24.0,29.3,56.8,5.0,3.3,31.5,0.61,29.8,72.8,42.0,45.0,29.8,5.2,8.0,49.5270986,-115.74529380000001,0.0,0.0,0,0,0,0,1,1,1,1,3.92156862745098,0.9803921568627452,17.700000000000006,0.0,14.705882352941178
Jubilee Multi Generational Housing Society,99C25,Fraser Health,PNP,3460 Kalyk Avenue,Burnaby,V5G3B2,Community Care & Assisted Living Act,Not Accredited,60,3.3,89.0,68.9,71.6,0.0,20.9,37.8,47.4,28.3,4.3,3.4,33.5,0.59,12.6,1.3,0.0,40.0,7.7,1.3,3.0,49.2528169,-123.01300249999998,0.0,0.0,0,1,1,1,1,1,1,0,5.0,1.6666666666666667,21.7,5.0,13.333333333333332
Kamloops Seniors Village,92DCA,Interior Health,PFP,1220 Hugh Allan Dr.,Kamloops,V1S2B3,Community Care & Assisted Living Act,Accredited,114,1.8,85.0,65.0,61.1,4.1,14.6,38.3,21.5,75.0,6.4,2.8,42.1,0.56,0.0,46.0,19.7,53.7,17.4,6.4,0.0,50.6499607,-120.3729788,0.0,0.0,0,0,0,0,1,1,1,1,0.8771929824561403,0.0,22.7,0.0,0.0
Kimberley Special Care Home,91711,Interior Health,HA,386 2nd Ave,Kimberley,V1A2Z8,Community Care & Assisted Living Act,Accredited,55,0.0,87.0,61.5,69.2,2.9,27.8,39.6,26.4,80.2,3.3,2.8,51.9,0.58,40.6,0.0,0.9,49.5,7.6,23.4,1.0,49.6899979,-115.9896466,0.0,0.0,0,1,0,1,1,1,1,0,0.0,0.0,10.9,0.0,5.454545454545454
KinVillage West Court,9A4JH,Fraser Health,PNP,5410 10th Ave.,Delta,V4M3X8,Community Care & Assisted Living Act,Accredited,100,0.0,90.0,67.1,76.3,1.4,21.8,24.1,34.7,60.3,5.0,2.4,58.8,0.57,17.6,65.3,2.1,40.6,16.2,8.0,0.0,49.021494,-123.073658,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,4.0,0.0,0.0
Kinsmen Lodge,9942B,Fraser Health,PNP,9650 137A Street,Surrey,V3T4H9,Community Care & Assisted Living Act,Accredited,157,0.0,86.0,60.5,58.3,5.8,25.8,33.2,20.6,49.9,14.6,2.3,59.4,0.6,0.9,82.0,0.0,40.9,15.8,1.9,6.0,49.1777346,-122.84179950000001,0.0,0.0,0,1,0,1,1,1,1,0,1.9108280254777068,0.0,8.3,0.0,0.0
Kiwanis Care Centre,9AD1I,Fraser Health,PNP,35 Clute Street,New Westminster,V3L1Z5,Community Care & Assisted Living Act,Accredited,75,1.3,88.0,94.6,69.5,0.6,20.9,28.0,20.9,57.1,6.7,3.2,31.3,0.65,55.6,70.9,34.7,50.4,13.0,4.5,1.0,49.223211799999994,-122.91508780000001,0.0,0.0,0,1,0,1,1,1,1,0,0.0,0.0,13.3,0.0,1.3333333333333337
Kopernik Lodge,99A2I,Vancouver Coastal Health,PNP,3150 Rosemont Drive,Vancouver,V5S2C9,Community Care & Assisted Living Act,Not Accredited,87,1.1,87.0,86.4,65.2,2.6,34.3,38.5,26.4,53.3,12.4,2.2,56.7,0.59,1.6,12.7,0.5,50.7,29.6,11.7,3.0,49.21522,-123.039,0.0,0.0,0,1,0,1,1,1,1,0,2.2988505747126435,1.1494252873563218,24.0,0.0,4.597701149425287
Lake Country Lodge,9B969,Interior Health,PFP,100-10163 Konschuh Rd,Winfield,V4V2M2,Community Care & Assisted Living Act,Unknown,49,2.0,87.0,70.2,65.1,4.1,23.5,11.0,19.0,63.0,4.0,5.3,7.0,0.59,1.0,2.0,9.5,57.5,22.1,6.9,1.0,50.029143499999996,-119.3984578,0.0,0.0,0,1,0,1,1,1,1,1,0.0,0.0,28.6,0.0,6.1224489795918355
Lakeshore Care Centre,992HG,Fraser Health,PFP,657 Gatensbury Street,Coquitlam,V3J5G9,Hospital Act,Not Accredited,56,0.0,85.0,70.4,64.5,6.5,21.7,43.4,44.8,78.3,12.6,2.2,60.1,0.6,0.7,11.9,0.0,36.4,17.0,11.2,2.0,49.2595472,-122.85635159999998,0.0,0.0,0,1,0,1,1,1,1,1,1.7857142857142856,1.7857142857142856,3.6,0.0,5.357142857142857
Lakeview Care Centre,9C477,Vancouver Coastal Health,PFP,3490 Porter Street,Vancouver,V5N5W4,Hospital Act,Accredited,177,1.1,87.0,64.3,69.3,1.6,23.8,21.8,29.3,58.5,9.6,4.1,20.0,0.56,0.0,2.3,0.0,34.7,10.6,1.4,4.0,49.25348995,-123.06648814723715,0.0,0.0,0,1,0,1,1,1,1,0,0.0,0.0,6.699999999999998,0.5649717514124294,3.389830508474577
Lakeview Lodge,93DAA,Interior Health,PFP,2337 Butt Road,West Kelowna,V4T3L3,Community Care & Assisted Living Act,Unknown,114,0.9,85.0,68.1,62.7,4.6,8.0,17.4,32.8,76.7,6.3,3.4,33.0,0.56,12.6,50.0,0.4,53.0,12.6,7.9,1.0,49.83701729999999,-119.62377690000001,0.0,0.0,0,0,0,0,1,1,1,1,0.0,0.0,37.7,0.0,0.0
Langley Gardens,925CA,Fraser Health,PFP,8888 202nd Street,Langley,V1M4A7,Community Care & Assisted Living Act,Accredited,92,1.1,89.0,69.5,81.0,1.2,12.7,33.9,15.1,60.6,4.0,2.3,59.0,0.58,38.1,40.5,5.3,33.3,9.8,0.0,4.0,49.1663494,-122.66096909999999,6.0,0.0,1,1,0,1,1,1,1,1,1.0869565217391304,0.0,18.5,0.0,1.0869565217391304
Langley Lodge,98JIE,Fraser Health,PNP,5451-204th St,Langley,V3A5M9,Community Care & Assisted Living Act,Accredited,139,0.0,88.0,66.2,71.4,2.3,18.9,29.8,29.2,57.9,10.7,2.4,58.3,0.57,8.5,11.0,0.2,47.2,18.1,1.4,2.0,49.10156729999999,-122.6573035,68.0,26.0,1,1,0,1,1,1,1,1,0.0,0.0,0.7,0.7194244604316548,5.755395683453237
Langley Memorial Hospital ECU,9A5E0,Fraser Health,HA,22051 Fraser Hwy,Langley,V3A4H4,Hospital Act,Unknown,230,0.4,89.0,72.1,71.2,3.0,13.7,26.9,25.8,54.2,7.1,2.6,53.1,0.57,6.5,52.3,4.0,46.7,23.3,2.4,6.0,49.0944775,-122.6116674454287,3.0,1.0,1,1,1,1,1,0,0,0,2.1739130434782608,0.43478260869565216,1.7000000000000002,0.43478260869565216,3.9130434782608687
Laurel Place,9359A,Fraser Health,PFP,9688 137A St,Surrey,V3T4H9,Community Care & Assisted Living Act,Accredited,215,0.0,85.0,58.4,60.4,5.9,18.9,37.9,25.2,58.0,6.1,2.4,60.7,0.6,16.7,1.7,0.2,39.6,15.6,16.6,4.0,49.1784219,-122.8417807,0.0,0.0,0,1,0,1,1,1,1,1,0.4651162790697674,0.0,8.8,0.0,0.9302325581395348
Little Mountain Place,9BA01,Vancouver Coastal Health,PNP,330 East 36th Avenue,Vancouver,V5W3Z4,Community Care & Assisted Living Act,Not Accredited,117,1.7,84.0,55.5,51.4,3.0,22.2,33.1,21.0,60.6,10.3,2.4,57.4,0.53,0.2,1.3,0.4,37.1,18.5,9.3,3.0,49.2376636,-123.09985320000001,1.0,0.0,1,0,0,0,1,1,1,0,0.8547008547008548,0.0,34.2,0.0,1.7094017094017095
Louis Brier Home and Hospital,999G3,Vancouver Coastal Health,PNP,1055 West 41st Ave,Vancouver,V6M1W9,Hospital Act & Community Care & Assisted Living Act,Accredited,215,0.9,85.0,61.4,59.0,3.9,18.2,45.7,33.9,57.4,13.4,1.9,69.1,0.58,15.9,20.7,8.2,51.7,34.7,1.9,6.0,49.2346366,-123.12927274582044,0.0,0.0,0,1,0,1,1,1,1,0,0.4651162790697674,0.4651162790697674,20.9,0.0,7.441860465116278
Lynn Valley Care Centre,9B5JB,Vancouver Coastal Health,PFP,"1070 Lynn Valley Rd, North",North Vancouver,V7J1Z8,Hospital Act & Community Care & Assisted Living Act,Accredited,201,0.0,87.0,64.3,69.3,2.4,19.9,31.3,16.9,62.9,7.7,2.6,47.3,0.56,7.2,8.2,0.0,58.2,25.6,8.7,3.0,49.33396,-123.045,79.0,20.0,1,1,0,1,1,1,1,1,0.0,0.0,4.5,0.0,0.9950248756218906
MSA Manor,98H7B,Fraser Health,PNP,2510 Gladwin Rd,Abbotsford,V2T3N9,Community Care & Assisted Living Act,Accredited,34,0.0,90.0,61.5,73.5,0.3,21.3,27.9,23.5,51.5,4.4,2.6,47.8,0.58,1.5,5.1,0.0,61.0,36.6,2.0,1.0,49.04747485,-122.31462286620344,1.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,11.7,2.9411764705882346,5.882352941176472
Maple Ridge Seniors Village,9376A,Fraser Health,PFP,22141 - 119th Avenue,Maple Ridge,V2X2Y7,Community Care & Assisted Living Act,Accredited,108,0.0,85.0,60.1,57.5,1.5,23.9,30.9,41.2,77.0,14.9,2.3,62.9,0.57,5.8,10.3,0.3,35.8,27.3,9.5,6.0,49.2193789,-122.6084592,1.0,0.0,1,0,0,0,1,1,1,1,6.481481481481482,2.7777777777777777,34.3,0.0,1.851851851851852
Maplewood House,9BE34,Fraser Health,PNP,1919 Jackson St.,Abbotsford,V2S2Z8,Community Care & Assisted Living Act,Accredited,78,0.0,85.0,59.8,58.0,6.2,18.4,37.5,39.8,66.6,18.1,1.9,66.2,0.6,4.0,33.1,2.0,53.5,36.3,12.8,3.0,49.03660720000001,-122.30914840000001,0.0,0.0,0,0,0,0,1,0,0,0,1.282051282051282,0.0,12.9,1.282051282051282,2.5641025641025643
Mariposa Gardens,935JA,Interior Health,PFP,8816 97th Street (highway 97),Osoyoos,V0H1V5,Community Care & Assisted Living Act,Unknown,109,2.8,86.0,72.4,62.0,0.9,16.9,10.8,42.9,88.1,11.2,4.1,11.0,0.58,14.8,34.7,0.0,65.6,13.6,5.7,3.0,49.034727000000004,-119.47705829999998,0.0,0.0,0,1,0,1,1,1,1,1,1.834862385321101,0.9174311926605504,21.1,0.0,9.174311926605503
McKinney Place - South Okanagan General Hospital,9A722,Interior Health,HA,911 McKinney Road,Oliver,V0H1T3,Hospital Act,Accredited,75,1.3,86.0,62.1,66.5,2.3,25.7,22.9,28.6,66.9,3.7,1.7,74.3,0.54,9.4,22.4,2.9,28.6,15.8,4.1,0.0,49.1835315,-119.53900043064311,0.0,0.0,0,1,1,1,1,1,1,0,0.0,0.0,13.3,0.0,0.0
Menno Home,98H8D,Fraser Health,PNP,32910 Brundige Ave,Abbotsford,V2S1N2,Community Care & Assisted Living Act,Accredited,196,0.0,87.0,64.1,62.8,2.2,22.4,15.1,23.9,81.8,16.6,3.0,44.3,0.56,5.9,84.3,4.4,58.0,12.3,3.6,3.0,49.0401555,-122.3081538,0.0,0.0,0,1,0,1,1,1,1,0,1.020408163265306,0.0,11.7,0.0,0.0
Menno Hospital,9A6H1,Fraser Health,PNP,32945 Marshall Road,Abbotsford,V2S1K1,Hospital Act,Accredited,151,0.7,88.0,76.3,73.2,3.3,24.0,25.7,18.0,61.1,8.5,2.3,57.9,0.59,10.6,70.7,6.4,51.8,5.1,4.4,0.0,49.03929855,-122.31110698892836,0.0,0.0,0,1,1,1,1,1,1,0,0.0,0.0,12.6,0.0,0.0
Minoru Residence,9A5B4,Vancouver Coastal Health,HA,7333 Gollner Avenue,Richmond,V6Y0J1,Hospital Act,Accredited,250,0.8,84.0,58.3,57.2,5.5,17.5,52.7,32.8,38.5,3.8,2.1,63.5,0.6,32.8,1.8,14.9,40.2,24.0,6.2,2.0,49.16897,-123.15,0.0,0.0,0,1,0,1,1,1,1,0,0.0,0.0,5.6,0.0,3.2
Minto House - Arrow Lakes Hospital,9A5A2,Interior Health,HA,97 1st Avenue NE,Nakusp,V0G1R0,Hospital Act,Accredited,16,12.5,86.0,64.1,62.4,4.3,0.0,39.0,32.2,79.7,3.4,3.5,28.8,0.57,33.9,0.0,0.0,42.4,23.9,0.0,0.0,50.239272899999996,-117.79571200000001,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0
Mission Creek Landing,98J5G,Interior Health,PFP,3081 Hall Rd,Kelowna,V1W2R5,Community Care & Assisted Living Act,Accredited,104,1.9,88.0,76.0,75.4,1.0,28.9,22.1,23.4,74.7,4.4,3.4,31.5,0.54,1.0,0.3,12.8,54.9,7.5,2.2,5.0,49.8697756,-119.429557,0.0,0.0,0,1,0,1,1,1,1,1,0.0,1.9230769230769231,14.5,1.9230769230769231,14.423076923076925
Monashee Mews,93D80,Interior Health,PFP,2165 Norris Avenue,Lumby,V0E2G5,Community Care & Assisted Living Act,Accredited,46,0.0,85.0,62.7,67.5,8.3,51.9,27.1,30.9,73.5,10.5,2.4,58.6,0.59,10.5,37.6,18.8,71.3,23.3,17.6,1.0,50.2498936,-118.9617267,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,23.8,0.0,8.695652173913043
Morgan Place,926A0,Fraser Health,PFP,3288 156a St,Surrey,V3Z9T1,Community Care & Assisted Living Act,Accredited,141,0.0,90.0,55.4,75.3,1.1,23.7,33.1,25.1,67.1,10.3,2.6,49.2,0.6,38.9,63.4,0.0,57.0,13.8,9.1,1.0,49.062332,-122.79006899999999,0.0,0.0,0,1,0,1,1,1,1,1,0.0,0.0,2.8,0.0,0.0
Mount Cartier Court - Queen Victoria Hospital,92JJ0,Interior Health,HA,1200 Newlands Rd,Revelstoke,V0E2S1,Community Care & Assisted Living Act,Accredited,44,2.3,87.0,68.6,64.3,7.1,26.8,34.5,31.5,73.2,6.5,3.1,38.7,0.61,7.7,10.7,9.5,60.7,15.8,4.3,0.0,50.9769146,-118.1847111,0.0,0.0,0,1,0,1,1,1,1,0,0.0,0.0,11.4,0.0,0.0
Mount Ida Mews,93D60,Interior Health,PFP,100 5th Avenue SE,Salmon Arm,V1E4H4,Community Care & Assisted Living Act,Accredited,132,0.0,86.0,62.1,55.8,2.3,36.1,8.4,23.9,73.9,20.6,2.3,54.5,0.56,4.2,19.7,3.5,56.5,13.0,11.5,2.0,50.69600300000001,-119.28418,0.0,0.0,0,0,0,0,1,1,1,1,0.7575757575757576,0.0,10.7,0.0,1.5151515151515151
Mount Saint Joseph Hospital,9A54J,Vancouver Coastal Health,PNP,3080 Prince Edward Street,Vancouver,V5T3N4,Hospital Act,Accredited,99,1.0,88.0,72.8,72.3,1.7,22.3,41.5,40.2,58.8,5.0,1.8,71.9,0.62,16.5,5.2,18.1,31.5,15.4,2.1,1.0,49.257699,-123.09635800000001,0.0,0.0,0,1,1,1,1,1,1,0,0.0,0.0,8.1,0.0,0.0
Mountain Lake Seniors Community,92HIA,Interior Health,PFP,908 11th St,Nelson,V1L7A6,Community Care & Assisted Living Act,Unknown,92,0.0,84.0,65.5,59.5,8.1,26.2,14.5,25.5,67.9,10.0,3.3,31.7,0.57,3.4,0.3,0.7,40.7,25.3,0.0,2.0,49.5081403,-117.26611815013092,0.0,0.0,0,0,0,0,1,1,1,1,1.0869565217391304,1.0869565217391304,10.8,0.0,2.1739130434782608
Mountain View Lodge - Lillooet Hospital and Health Centre,9A4E5,Interior Health,HA,951 Murray St. ,Lillooet,V0K1V0,Community Care & Assisted Living Act,Accredited,22,0.0,87.0,72.3,66.0,3.9,47.0,42.2,38.6,78.3,10.8,2.6,49.4,0.65,44.6,2.4,0.0,57.8,30.6,0.3,1.0,50.68929895,-121.93935595579315,0.0,0.0,0,1,0,1,1,1,1,0,0.0,0.0,4.5,0.0,9.090909090909092
Mountain View Manor - Delta Hospital,9A56E,Fraser Health,HA,5800 Mountain View Boulevard,Delta,V4K3V6,Hospital Act,Unknown,92,0.0,90.0,64.6,73.6,1.1,11.5,44.7,28.1,45.3,5.0,1.7,72.5,0.58,21.6,63.0,1.5,37.9,22.0,3.6,1.0,49.0856824,-123.06125243089485,0.0,0.0,0,1,1,1,1,1,1,0,0.0,0.0,4.4,0.0,0.0
Mountainview Village,93240,Interior Health,PNP,1540 K.L.O. Road,Kelowna,V1W3P6,Community Care & Assisted Living Act,Accredited,90,0.0,84.0,61.8,59.8,5.3,20.4,19.6,34.9,71.5,15.3,2.9,34.7,0.59,1.1,10.2,0.3,53.0,42.9,6.8,1.0,49.8610063,-119.45656029999999,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,26.6,0.0,3.333333333333333
Nelson Jubilee Manor,98G4A,Interior Health,HA,500 Beasley St West,Nelson,V1L6G9,Community Care & Assisted Living Act,Accredited,39,2.6,85.0,71.2,61.9,8.5,29.4,48.4,22.9,52.9,3.3,2.2,61.4,0.6,10.5,0.0,10.5,49.7,22.2,9.1,1.0,49.4795674,-117.29899609999998,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,10.3,0.0,7.6923076923076925
