FACILITY_NAME,OWNERSHIP,REGULATION,ACCRED_STATUS,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,CMI,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,cleaned_name,facility_name,num_cases,num_deaths,outbreak,facility_design,RESIDENT_COUNCIL,FAMILY_COUNCIL,BEDS_PRIVATEprop,BEDS_PUBLICprop,ROOMS_TOTAL,ROOMS_PRIVATEprop,ROOMS_SEMIprop,ROOMS_MULTIprop
Fleetwood Place,PFP,Community Care & Assisted Living Act,Accredited,2.73,0.33,3.06,13,98,111,108,0,0,1,0,0,1,12,0,0,0,0,0,0.0,0.9,10.8,0.0,0.0,0.0,0.0,0.0,0.58,2.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,fleetwood place,na,na,na,no,post1994,True,True,0.11711711711711711,0.8828828828828829,108,1.0,0.0,0.0
Forest View Place,HA,Hospital Act,Accredited,2.97,0.31,3.28,0,21,21,21,0,0,0,0,0,0,2,0,0,0,0,1,0.0,0.0,9.5,0.0,0.0,0.0,0.0,4.8,0.53,0.0,7.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,forest view place,na,na,na,no,post1994,True,True,0.0,1.0,21,1.0,0.0,0.0
Fort Langley Seniors Community,PFP,Hospital Act,Unknown,2.76,0.34,3.1,5,91,96,68,14,0,4,1,0,0,10,0,0,0,1,1,0.0,0.0,10.4,0.0,0.0,0.0,1.0,1.0,0.6,10.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,fort langley seniors community,na,na,na,no,post1994,True,True,0.052083333333333336,0.9479166666666666,82,0.8292682926829268,0.17073170731707318,0.0
Foyer Maillard,PNP,Community Care & Assisted Living Act,Not Accredited,3.0,0.36,3.36,0,125,125,125,0,0,0,0,0,1,3,0,0,0,0,0,0.0,0.8,2.4,0.0,0.0,0.0,0.0,0.0,0.56,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,foyer maillard,na,na,na,no,post1994,True,True,0.0,1.0,125,1.0,0.0,0.0
Fraser Hope Lodge,HA,Hospital Act,Unknown,2.91,0.26,3.17,0,50,50,46,2,0,0,0,0,0,3,0,0,0,0,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.59,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,fraser hope lodge,na,na,na,no,pre1994,True,True,0.0,1.0,48,0.9583333333333334,0.041666666666666664,0.0
Fraserview,PFP,Community Care & Assisted Living Act,Accredited,2.65,0.19,2.84,0,101,101,33,37,0,0,0,1,0,4,0,0,3,0,0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.57,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fraserview,na,na,na,no,pre1994,True,True,0.0,1.0,70,0.4714285714285714,0.5285714285714286,0.0
George Derby Centre,PNP,Community Care & Assisted Living Act,Accredited,2.69,0.34,3.03,0,300,300,284,8,0,5,2,0,3,35,0,0,4,4,2,0.0,1.0,11.7,0.0,0.0,1.3,1.3,0.7,0.56,9.0,34.0,4.0,9.0,3.0,2.0,10.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,george derby centre,George Derby Centre,7.0,0.0,yes,pre1994,True,True,0.0,1.0,292,0.9726027397260274,0.0273972602739726,0.0
George Pearson Centre,HA,Hospital Act,Accredited,4.85,0.83,5.68,0,114,114,54,13,7,1,1,0,0,3,3,1,3,9,0,0.0,0.0,2.6,2.6,0.9,2.6,7.9,0.0,0.89,3.0,8.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,george pearson centre,na,na,na,no,pre1994,True,False,0.0,1.0,74,0.7297297297297297,0.17567567567567569,0.0945945945945946
German Canadian Care Home,PNP,Community Care & Assisted Living Act,Accredited,2.67,0.28,2.95,0,132,132,76,29,0,0,0,0,0,14,0,1,5,1,0,0.0,0.0,10.6,0.0,0.8,3.8,0.8,0.0,0.52,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,german canadian care home,German Canadian Care Home,1.0,0.0,yes,pre1994,True,True,0.0,1.0,105,0.7238095238095238,0.2761904761904762,0.0
Gillis House,HA,Hospital Act & Community Care & Assisted Living Act,Accredited,2.96,0.47,3.43,0,74,74,52,7,2,2,1,0,3,11,0,0,1,0,0,0.0,4.1,14.9,0.0,0.0,1.4,0.0,0.0,0.6,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,gillis house,na,na,na,no,pre1994,True,True,0.0,1.0,61,0.8524590163934426,0.11475409836065574,0.03278688524590164
Glenwood Seniors Community,PFP,Community Care & Assisted Living Act,Unknown,2.65,0.3,2.95,8,36,44,37,0,0,1,0,0,1,1,0,0,0,0,1,0.0,2.3,2.3,0.0,0.0,0.0,0.0,2.3,0.58,4.0,10.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,glenwood seniors community,na,na,na,no,pre1994,True,True,0.18181818181818182,0.8181818181818182,37,1.0,0.0,0.0
Guildford Seniors Village,PFP,Community Care & Assisted Living Act,Accredited,2.77,0.33,3.1,38,63,101,98,0,0,0,0,0,0,14,0,0,1,2,0,0.0,0.0,13.9,0.0,0.0,1.0,2.0,0.0,0.6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,guildford seniors village,Guildford Seniors Village,1.0,0.0,yes,post1994,True,True,0.37623762376237624,0.6237623762376238,98,1.0,0.0,0.0
Hardy View Lodge,HA,Community Care & Assisted Living Act,Accredited,2.93,0.35,3.28,0,80,80,78,2,0,0,0,0,1,1,0,0,0,0,1,0.0,1.3,1.3,0.0,0.0,0.0,0.0,1.3,0.57,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,hardy view lodge,na,na,na,no,pre1994,True,True,0.0,1.0,80,0.975,0.025,0.0
Harmony Court Care Centre,PFP,Community Care & Assisted Living Act,Unknown,2.64,0.31,2.95,0,55,55,7,24,0,2,0,0,0,9,0,0,2,3,0,0.0,0.0,16.4,0.0,0.0,3.6,5.5,0.0,0.55,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,harmony court care centre,na,na,na,no,pre1994,False,True,0.0,1.0,31,0.22580645161290322,0.7741935483870968,0.0
Haro Park Centre,PNP,Community Care & Assisted Living Act,Unknown,2.8,0.22,3.02,0,154,154,154,0,0,2,0,0,1,26,1,0,16,4,13,0.0,0.6,16.9,0.6,0.0,10.4,2.6,8.4,0.52,7.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,haro park centre,Haro Park Centre,89.0,13.0,yes,pre1994,True,False,0.0,1.0,154,1.0,0.0,0.0
Haven Hill Retirement Centre,PFP,Community Care & Assisted Living Act,Accredited,2.99,0.35,3.34,4,148,152,152,0,0,10,2,0,6,17,0,0,4,3,3,0.0,3.9,11.2,0.0,0.0,2.6,2.0,2.0,0.57,3.0,17.0,1.0,2.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,haven hill retirement centre,na,na,na,no,pre1994,True,True,0.02631578947368421,0.9736842105263158,152,1.0,0.0,0.0
Hawthorne Seniors Care Community,PNP,Hospital Act,Unknown,2.95,0.32,3.27,0,131,131,115,8,0,0,0,1,0,26,0,0,0,2,0,0.8,0.0,19.8,0.0,0.0,0.0,1.5,0.0,0.59,1.0,9.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,hawthorne seniors care community,na,na,na,no,unknown,True,True,0.0,1.0,123,0.9349593495934959,0.06504065040650407,0.0
Henry Durand Manor,HA,Community Care & Assisted Living Act,Accredited,2.87,0.33,3.2,0,28,28,28,0,0,0,0,0,0,12,0,0,0,3,1,0.0,0.0,42.9,0.0,0.0,0.0,10.7,3.6,0.57,2.0,10.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,henry durand manor,na,na,na,no,pre1994,True,True,0.0,1.0,28,1.0,0.0,0.0
Heritage Square,PFP,Community Care & Assisted Living Act,Accredited,2.98,0.35,3.33,0,50,50,50,0,0,0,1,0,0,10,0,0,1,3,0,0.0,0.0,20.0,0.0,0.0,2.0,6.0,0.0,0.68,1.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,heritage square,na,na,na,no,post1994,True,True,0.0,1.0,50,1.0,0.0,0.0
Heritage Village,HA,Hospital Act,Accredited,3.02,0.2,3.22,0,100,100,64,12,3,0,0,2,1,21,0,0,0,3,0,2.0,1.0,21.0,0.0,0.0,0.0,3.0,0.0,0.57,2.0,10.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,heritage village,na,na,na,no,pre1994,True,True,0.0,1.0,79,0.810126582278481,0.1518987341772152,0.0379746835443038
Heron Grove,PNP,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,0,76,76,76,0,0,0,0,0,1,5,0,1,0,4,0,0.0,1.3,6.6,0.0,1.3,0.0,5.3,0.0,0.66,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,heron grove,na,na,na,no,post1994,True,True,0.0,1.0,76,1.0,0.0,0.0
Hillside Village,PNP,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,0,112,112,112,0,0,1,0,1,0,16,0,0,0,2,0,0.9,0.0,14.3,0.0,0.0,0.0,1.8,0.0,0.57,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,hillside village,na,na,na,no,post1994,True,True,0.0,1.0,112,1.0,0.0,0.0
Hilltop House,HA,Community Care & Assisted Living Act,Accredited,3.04,0.26,3.3,0,86,86,82,2,0,0,0,0,0,8,0,1,0,0,4,0.0,0.0,9.3,0.0,1.2,0.0,0.0,4.7,0.56,3.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,hilltop house,na,na,na,no,pre1994,True,True,0.0,1.0,84,0.9761904761904762,0.023809523809523808,0.0
Hilton Villa Seniors Community,PFP,Community Care & Assisted Living Act,Accredited,2.76,0.34,3.1,3,154,157,83,36,0,3,1,3,1,18,0,0,0,3,0,1.9,0.6,11.5,0.0,0.0,0.0,1.9,0.0,0.59,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hilton villa seniors community,na,na,na,no,pre1994,True,True,0.01910828025477707,0.9808917197452229,119,0.6974789915966386,0.3025210084033613,0.0
Hogg and Weatherby Pavilions - Peace Arch Hospital,HA,Hospital Act,Unknown,3.01,0.39,3.4,0,234,234,30,78,12,2,0,2,0,24,0,0,1,2,0,0.9,0.0,10.3,0.0,0.0,0.4,0.9,0.0,0.57,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hogg and weatherby pavilions - peace arch hospital,na,na,na,no,pre1994,True,True,0.0,1.0,120,0.25,0.65,0.1
Holy Family Hospital,PNP,Hospital Act,Accredited,3.31,0.29,3.6,0,126,126,9,6,21,0,0,2,0,7,0,0,0,0,0,1.6,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.62,2.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holy family hospital,Holy Family Hospital,88.0,21.0,yes,pre1994,True,True,0.0,1.0,36,0.25,0.16666666666666666,0.5833333333333334
Inglewood Care Centre,PFP,Hospital Act & Community Care & Assisted Living Act,Unknown,2.81,0.23,3.04,0,230,230,196,17,0,5,4,0,2,32,1,0,7,7,11,0.0,0.9,13.9,0.4,0.0,3.0,3.0,4.8,0.54,13.0,8.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,inglewood care centre,Inglewood Lodge,1.0,0.0,yes,pre1994,True,True,0.0,1.0,213,0.92018779342723,0.07981220657276995,0.0
Jackman Manor,PNP,Community Care & Assisted Living Act,Not Accredited,2.73,0.33,3.06,0,88,88,88,0,0,2,1,0,0,1,0,0,0,0,0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.54,3.0,9.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,jackman manor,na,na,na,no,pre1994,True,True,0.0,1.0,88,1.0,0.0,0.0
Jackson House - Ashcroft Hospital and Health Centre,HA,Hospital Act,Accredited,2.84,0.47,3.31,0,22,22,20,1,1,0,0,0,1,1,0,1,0,0,0,0.0,4.5,4.5,0.0,4.5,0.0,0.0,0.0,0.58,1.0,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,jackson house - ashcroft hospital and health centre,na,na,na,no,pre1994,True,True,0.0,1.0,22,0.9090909090909091,0.045454545454545456,0.045454545454545456
Joseph Creek Village,PFP,Community Care & Assisted Living Act,Unknown,2.95,0.35,3.3,2,100,102,102,0,0,4,1,0,2,9,0,0,5,2,0,0.0,2.0,8.8,0.0,0.0,4.9,2.0,0.0,0.61,8.0,15.0,1.0,1.0,5.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,joseph creek village,na,na,na,no,post1994,True,True,0.0196078431372549,0.9803921568627451,102,1.0,0.0,0.0
Jubilee Multi Generational Housing Society,PNP,Community Care & Assisted Living Act,Not Accredited,2.69,0.31,3.0,0,60,60,12,18,3,3,1,2,3,7,0,0,2,0,1,3.3,5.0,11.7,0.0,0.0,3.3,0.0,1.7,0.59,3.0,11.0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,jubilee multi generational housing society,na,na,na,no,pre1994,True,True,0.0,1.0,33,0.36363636363636365,0.5454545454545454,0.09090909090909091
Kamloops Seniors Village,PFP,Community Care & Assisted Living Act,Accredited,2.97,0.35,3.32,14,100,114,114,0,0,1,0,2,3,11,0,0,3,7,2,1.8,2.6,9.6,0.0,0.0,2.6,6.1,1.8,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kamloops seniors village,na,na,na,no,post1994,True,True,0.12280701754385964,0.8771929824561403,114,1.0,0.0,0.0
Kimberley Special Care Home,HA,Community Care & Assisted Living Act,Accredited,2.87,0.38,3.25,0,55,55,49,3,0,0,0,0,4,0,0,0,1,1,0,0.0,7.3,0.0,0.0,0.0,1.8,1.8,0.0,0.58,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,kimberley special care home,na,na,na,no,pre1994,True,True,0.0,1.0,52,0.9423076923076923,0.057692307692307696,0.0
KinVillage West Court,PNP,Community Care & Assisted Living Act,Accredited,2.69,0.33,3.02,0,100,100,100,0,0,1,0,0,0,4,0,0,0,0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kinvillage west court,na,na,na,no,pre1994,True,False,0.0,1.0,100,1.0,0.0,0.0
Kinsmen Lodge,PNP,Community Care & Assisted Living Act,Accredited,3.03,0.33,3.36,0,157,157,143,7,0,3,0,0,0,10,0,0,0,2,1,0.0,0.0,6.4,0.0,0.0,0.0,1.3,0.6,0.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kinsmen lodge,na,na,na,no,pre1994,True,True,0.0,1.0,150,0.9533333333333334,0.04666666666666667,0.0
Kiwanis Care Centre,PNP,Community Care & Assisted Living Act,Accredited,2.69,0.31,3.0,0,75,75,59,8,0,0,0,1,0,10,0,0,0,0,0,1.3,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.65,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kiwanis care centre,na,na,na,no,pre1994,True,True,0.0,1.0,67,0.8805970149253731,0.11940298507462686,0.0
Kopernik Lodge,PNP,Community Care & Assisted Living Act,Not Accredited,2.75,0.28,3.03,0,87,87,45,21,0,2,1,1,0,7,0,0,4,3,7,1.1,0.0,8.0,0.0,0.0,4.6,3.4,8.0,0.59,3.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kopernik lodge,na,na,na,no,pre1994,True,True,0.0,1.0,66,0.6818181818181818,0.3181818181818182,0.0
Lake Country Lodge,PFP,Community Care & Assisted Living Act,Unknown,2.93,0.35,3.28,4,45,49,41,4,0,0,0,1,1,4,0,0,4,4,1,2.0,2.0,8.2,0.0,0.0,8.2,8.2,2.0,0.59,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lake country lodge,na,na,na,no,pre1994,True,True,0.08163265306122448,0.9183673469387755,45,0.9111111111111111,0.08888888888888889,0.0
Lakeshore Care Centre,PFP,Hospital Act,Not Accredited,2.63,0.32,2.95,21,35,56,42,7,0,1,1,0,1,1,0,0,0,0,0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.6,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,lakeshore care centre,na,na,na,no,unknown,True,True,0.375,0.625,49,0.8571428571428571,0.14285714285714285,0.0
Lakeview Care Centre,PFP,Hospital Act,Accredited,2.79,0.19,2.98,0,177,177,105,36,0,0,0,2,0,10,0,0,2,0,0,1.1,0.0,5.6,0.0,0.0,1.1,0.0,0.0,0.56,4.0,7.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,lakeview care centre,na,na,na,no,pre1994,True,True,0.0,1.0,141,0.7446808510638298,0.2553191489361702,0.0
Lakeview Lodge,PFP,Community Care & Assisted Living Act,Unknown,2.85,0.35,3.2,14,100,114,114,0,0,0,0,1,3,26,0,0,4,8,2,0.9,2.6,22.8,0.0,0.0,3.5,7.0,1.8,0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lakeview lodge,na,na,na,no,post1994,True,True,0.12280701754385964,0.8771929824561403,114,1.0,0.0,0.0
Langley Gardens,PFP,Community Care & Assisted Living Act,Accredited,2.64,0.31,2.95,19,73,92,86,6,0,1,0,1,0,16,0,0,0,0,1,1.1,0.0,17.4,0.0,0.0,0.0,0.0,1.1,0.58,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,langley gardens,Langley Gardens,6.0,0.0,yes,post1994,True,True,0.20652173913043478,0.7934782608695652,92,0.9347826086956522,0.06521739130434782,0.0
Langley Lodge,PNP,Community Care & Assisted Living Act,Accredited,3.01,0.35,3.36,14,125,139,127,6,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.57,2.0,9.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,langley lodge,Langley Lodge,67.0,26.0,yes,pre1994,True,True,0.10071942446043165,0.8992805755395683,133,0.9548872180451128,0.045112781954887216,0.0
Langley Memorial Hospital ECU,HA,Hospital Act,Unknown,2.92,0.27,3.19,0,230,230,8,4,44,5,1,1,0,1,0,0,3,0,0,0.4,0.0,0.4,0.0,0.0,1.3,0.0,0.0,0.57,6.0,10.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,langley memorial hospital ecu,Langley Memorial Hospital Maple Hill Long-Term Care Facility,3.0,1.0,yes,unknown,True,False,0.0,1.0,56,0.14285714285714285,0.07142857142857142,0.7857142857142857
Laurel Place,PFP,Community Care & Assisted Living Act,Accredited,2.99,0.37,3.36,13,202,215,207,4,0,1,0,0,0,17,0,0,0,2,0,0.0,0.0,7.9,0.0,0.0,0.0,0.9,0.0,0.6,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,laurel place,na,na,na,no,post1994,True,True,0.06046511627906977,0.9395348837209302,211,0.981042654028436,0.018957345971563982,0.0
Little Mountain Place,PNP,Community Care & Assisted Living Act,Not Accredited,2.8,0.23,3.03,0,117,117,117,0,0,1,0,2,0,15,0,0,6,1,18,1.7,0.0,12.8,0.0,0.0,5.1,0.9,15.4,0.53,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,little mountain place,Little Mountain Long-term Care Facility,1.0,0.0,yes,pre1994,True,True,0.0,1.0,117,1.0,0.0,0.0
Louis Brier Home and Hospital,PNP,Hospital Act & Community Care & Assisted Living Act,Accredited,2.87,0.26,3.13,0,215,215,149,33,0,1,1,2,0,22,0,0,8,3,12,0.9,0.0,10.2,0.0,0.0,3.7,1.4,5.6,0.58,6.0,16.0,2.0,5.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,0.0,louis brier home and hospital,na,na,na,no,pre1994,True,True,0.0,1.0,182,0.8186813186813187,0.1813186813186813,0.0
Lynn Valley Care Centre,PFP,Hospital Act & Community Care & Assisted Living Act,Accredited,3.0,0.26,3.26,62,139,201,178,13,0,0,0,0,0,9,0,0,0,0,0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.56,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,lynn valley care centre,Lynn Valley Care Centre,79.0,20.0,yes,pre1994,True,True,0.30845771144278605,0.6915422885572139,191,0.9319371727748691,0.06806282722513089,0.0
MSA Manor,PNP,Community Care & Assisted Living Act,Accredited,2.66,0.29,2.95,0,34,34,34,0,0,0,0,0,1,3,0,0,0,0,0,0.0,2.9,8.8,0.0,0.0,0.0,0.0,0.0,0.58,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,msa manor,MSA Manor Long-Term Care Facility,1.0,0.0,yes,pre1994,True,False,0.0,1.0,34,1.0,0.0,0.0
Maple Ridge Seniors Village,PFP,Community Care & Assisted Living Act,Accredited,3.0,0.36,3.36,18,90,108,108,0,0,7,3,0,2,20,0,0,0,6,9,0.0,1.9,18.5,0.0,0.0,0.0,5.6,8.3,0.57,6.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,maple ridge seniors village,Maple Ridge Seniors Village,1.0,0.0,yes,post1994,True,True,0.16666666666666666,0.8333333333333334,108,1.0,0.0,0.0
Maplewood House,PNP,Community Care & Assisted Living Act,Accredited,2.74,0.33,3.07,0,78,78,78,0,0,1,0,0,2,7,0,0,0,1,0,0.0,2.6,9.0,0.0,0.0,0.0,1.3,0.0,0.6,3.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,maplewood house,na,na,na,no,pre1994,True,False,0.0,1.0,78,1.0,0.0,0.0
Mariposa Gardens,PFP,Community Care & Assisted Living Act,Unknown,2.92,0.35,3.27,5,104,109,97,6,0,2,1,3,3,16,0,0,2,2,0,2.8,2.8,14.7,0.0,0.0,1.8,1.8,0.0,0.58,3.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mariposa gardens,na,na,na,no,post1994,True,True,0.045871559633027525,0.9541284403669725,103,0.941747572815534,0.05825242718446602,0.0
McKinney Place - South Okanagan General Hospital,HA,Hospital Act,Accredited,2.85,0.34,3.19,0,75,75,7,4,15,0,0,1,2,7,0,0,1,0,0,1.3,2.7,9.3,0.0,0.0,1.3,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mckinney place - south okanagan general hospital,na,na,na,no,pre1994,True,True,0.0,1.0,26,0.2692307692307692,0.15384615384615385,0.5769230769230769
Menno Home,PNP,Community Care & Assisted Living Act,Accredited,2.7,0.33,3.03,0,196,196,186,5,0,2,0,0,0,20,0,1,1,1,0,0.0,0.0,10.2,0.0,0.5,0.5,0.5,0.0,0.56,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,menno home,na,na,na,no,pre1994,True,True,0.0,1.0,191,0.9738219895287958,0.02617801047120419,0.0
Menno Hospital,PNP,Hospital Act,Accredited,2.99,0.38,3.37,0,151,151,59,43,2,0,0,1,0,16,0,0,0,2,1,0.7,0.0,10.6,0.0,0.0,0.0,1.3,0.7,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,menno hospital,na,na,na,no,pre1994,True,True,0.0,1.0,104,0.5673076923076923,0.41346153846153844,0.019230769230769232
Minoru Residence,HA,Hospital Act,Accredited,2.93,0.31,3.24,0,250,250,70,90,0,0,0,2,0,14,0,0,0,0,0,0.8,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.6,2.0,8.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,minoru residence,na,na,na,no,pre1994,True,True,0.0,1.0,160,0.4375,0.5625,0.0
Minto House - Arrow Lakes Hospital,HA,Hospital Act,Accredited,2.95,0.51,3.46,0,16,16,15,0,0,0,0,2,0,0,0,0,0,0,0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,minto house - arrow lakes hospital,na,na,na,no,pre1994,True,True,0.0,1.0,15,1.0,0.0,0.0
Mission Creek Landing,PFP,Community Care & Assisted Living Act,Accredited,2.87,0.35,3.22,4,100,104,94,5,0,0,2,2,2,9,0,1,2,1,0,1.9,1.9,8.7,0.0,1.0,1.9,1.0,0.0,0.54,5.0,17.0,3.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,mission creek landing,na,na,na,no,pre1994,True,True,0.038461538461538464,0.9615384615384616,99,0.9494949494949495,0.050505050505050504,0.0
