OPERATOR_NAME,BUSINESS_NAME,TYPE,STREET_ADDRESS,CITY,POSTAL_CODE,BUSINESS_PHONE,INSPECTION_URL,GOVERNING_ACT,GOVERNING_REGULATION,HEALTH_AUTHORITY,MENTAL_HEALTH,MENTAL_HEALTH_MAX_CAP,HOSPICE,HOSPICE_MAX_CAP,SUBSTANCE_USE,SUBSTANCE_USE_MAX_CAP,LONG_TERM_CARE,LONG_TERM_CARE_MAX_CAP,COMMUNITY_LIVING,COMMUNITY_LIVING_MAX_CAP,ACQUIRED_BRAIN_INJURY,ACQUIRED_BRAIN_INJURY_MAX_CAP,LONGITUDE,LATITUDE
Amica Senior Living Management Inc.,Amica Lions Gate,Residential Care,701 Keith Rd ,West Vancouver,V7T 1M2,(778) 280-8540,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,99,N,,N,,-123.135713,49.3313851
650603 BC Ltd,Granville House,Residential Care,7315 No. 4 Road ,Richmond,V6Y 2T4,(604) 276-0602,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,10,N,,N,,N,,N,,N,,-123.1145505,49.160037
Coast Mental Health,Bridge House,Residential Care,1435 E 19th Ave ,Vancouver,V5N 2H9,(604) 872-3794,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,7,N,,N,,N,,N,,N,,-123.074661,49.2537378
Vancouver Coastal Health,Magnolia House,Residential Care,720 E 17th St ,North Vancouver,V7L 2W8,604-984-2789,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,7,N,,N,,N,,N,,N,,-123.0538386,49.3242484
Andre Chevrier,Melody House,Residential Care,1730 Macdonald St ,Vancouver,V6K 3X8,(604) 733-4997,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,9,N,,N,,N,,N,,N,,-123.1681564,49.270557
C & E Home Care Inc.,C & E Home ,Residential Care,1818 Westview Dr ,North Vancouver,V7M 3A8,(604) 985-5683,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,6,N,,N,,N,,N,,N,,-123.0892214,49.3255315
547727 BC Ltd,Westminster House,Residential Care,11675 Bird Road ,Richmond,V6X 1N7,(604) 270-9510,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,10,N,,N,,N,,N,,N,,-123.0929868,49.1898884
"MPA - Motivation, Power & Achievement Society",Virginia House,Residential Care,1754 W 11th Ave ,Vancouver,V6J 2C3,(604) 739-3207,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,9,N,,N,,N,,N,,N,,-123.1447641,49.2615516
Marineview Housing Society,The Boulevard,Residential Care,1053 Grand Boulevard ,North Vancouver,V7L 3X1,604-971-1530,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,10,N,,N,,N,,N,,N,,-123.0580719,49.3175905
650600 BC Ltd,Francis House,Residential Care,8640 Cruikshank Drive ,Richmond,V6Y 2X6,(604) 241-0972,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,10,N,,N,,N,,N,,N,,-123.1472723,49.1497112
"MPA - Motivation, Power & Achievement Society",Sophia House,Residential Care,4824 Sophia St ,Vancouver,V5V 3W6,(604) 876-7461,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,6,N,,N,,N,,N,,N,,-123.0982494,49.2415748
Coast Foundation Society (1974),Coast Magnolia House,Residential Care,755 E 19th Ave ,Vancouver,V5V 1K4,(604) 708-9624,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,6,N,,N,,N,,N,,N,,-123.0886298,49.2539535
Vancouver Coastal Health,Venture,Residential Care,220 E 13th Ave ,Vancouver,V5T 2K4,(604) 675-3620,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,20,N,,N,,N,,N,,N,,-123.1002884,49.2590505
Coast Mental Health,Pender House,Residential Care,2596 E Pender St ,Vancouver,V5K 2B5,(604) 253-9534,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,8,N,,N,,N,,N,,N,,-123.0522329,49.2798711
Coast Mental Health,Chester House,Residential Care,5328 Chester St ,Vancouver,V5W 3A9,(604) 322-3071,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,6,N,,N,,N,,N,,N,,-123.0889024,49.2366929
Coast Foundation Society (1974),Camille House,Residential Care,5 W 15th Ave ,Vancouver,V5Y 1X7,(604) 675-3502,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,10,N,,N,,N,,N,,N,,-123.1054368,49.2577746
Vancouver Coastal Health,Chapman House,Residential Care,4491 Sunshine Coast Highway ,Sechelt,V0N 3A1,604-885-3632,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,6,N,,N,,N,,N,,N,,-123.7179765,49.4405122
Coast Mental Health,Highland Manor,Residential Care,1232 W 15th Ave ,Vancouver,V6H 1R8,(604) 731-7310,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,13,N,,N,,N,,N,,N,,-123.1322017,49.2576606
"MPA - Motivation, Power & Achievement Society",Banyan House,Residential Care,4134 Rupert St ,Vancouver,V5R 2H4,(604) 451-3441,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,6,N,,N,,N,,N,,N,,-123.0333789,49.24762
Marineview Housing Society,Cloverley House,Residential Care,1057 Cloverley Street ,North Vancouver,V7L 1N4,604-980-6243,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,10,N,,N,,N,,N,,N,,-123.0461745,49.3130596
Coast Mental Health,Shaw Place,Residential Care,488 E 41st Ave ,Vancouver,V5W 1P2,(604) 322-4678,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,6,N,,N,,N,,N,,N,,-123.0949923,49.2326234
Coast Mental Health,Journeys,Residential Care,3318 E 2nd Ave ,Vancouver,V5M 1G5,(604) 254-5538,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,10,N,,N,,N,,N,,N,,-123.0330655,49.2682035
Coast Foundation Society (1974),Birchwood House,Residential Care,4002 Maple Crescent ,Vancouver, V6J 4B2,(604) 733-8276,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,10,N,,N,,N,,N,,N,,-123.1513116,49.2504475
"MPA - Motivation, Power & Achievement Society",Byron House,Residential Care,551 E 16th Ave ,Vancouver,V5T 2V1,(604) 737-8441,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,6,N,,N,,N,,N,,N,,-123.0926041,49.2567269
Coast Mental Health,Crossroads,Residential Care,2046 Dunbar St ,Vancouver,V6R 3M4,(604) 730-2855,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,8,N,,N,,N,,N,,N,,-123.1833749,49.2679436
Coast Mental Health,Champlain House,Residential Care,2810 E 51st Ave ,Vancouver,V5S 1R3,(604) 435-1300,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,10,N,,N,,N,,N,,N,,-123.0483817,49.2227007
Nassreen Filsoof,Britannia Lodge,Residential Care,1090 Victoria Dr ,Vancouver,V5L 4G2,(604) 255-3711,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,65,N,,N,,N,,N,,N,,-123.0652695,49.2751821
The Bloom Group Community Services Society,Victory House,Residential Care,353 E Cordova St ,Vancouver,V6A 1L4,(604) 606-0331,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,48,N,,N,,N,,N,,N,,-123.096363,49.2824813
"MPA - Motivation, Power & Achievement Society",Tamarack House,Residential Care,5225 Rupert St ,Vancouver,V5R 2K2,(604) 436-9585,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,6,N,,N,,N,,N,,N,,-123.0420087,49.2369843
Coast Mental Health,Coast West,Residential Care,3436 W 3rd Ave ,Vancouver,V6R 1L5,(604) 733-0504,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,12,N,,N,,N,,N,,N,,-123.1806547,49.2694107
Coast Mental Health,Ananda House,Residential Care,1249 E 8th Ave ,Vancouver,V5T 1V3,(604) 872-7134,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,20,N,,N,,N,,N,,N,,-123.0783121,49.263592
"MPA - Motivation, Power & Achievement Society",Winston Manor,Residential Care,2805 W 7th Ave ,Vancouver,V6K 1Z5,(604) 742-1536,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,8,N,,N,,N,,N,,N,,-123.1686393,49.2660448
"MPA - Motivation, Power & Achievement Society",Berman House,Residential Care,1400 Lakewood Dr ,Vancouver,V5L 4M8,(604) 254-6065,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,6,N,,N,,N,,N,,N,,-123.0614952,49.2718547
Waterloo Rest Home Ltd.,Waterloo Rest Home Ltd,Residential Care,1835 Waterloo St ,Vancouver,V6R 3G5,(604) 731-5959,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,9,N,,N,,N,,N,,N,,-123.1799944,49.2697648
Horizon Facilities Inc,Horizon House,Residential Care,10355 McLeod Court ,Richmond,V6X 3L3,(604) 303-0972,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,8,N,,N,,N,,N,,N,,-123.1089233,49.1934432
Vancouver Coastal Health,Vista,Residential Care,3360 Fleming St ,Vancouver,V5N 3V5,(604) 736-9931,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,10,N,,N,,N,,N,,N,,-123.0709053,49.254894
Aumar Ventures Ltd,Southdale Manor,Residential Care,10691 Southdale Road ,Richmond,V7A 2W8,(604) 277-2023,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,9,N,,N,,N,,N,,N,,-123.1195313,49.1351705
Coast Mental Health,Renfrew House,Residential Care,3402 Worthington Dr ,Vancouver,V5M 3X8,(604) 437-5587,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,8,N,,N,,N,,N,,N,,-123.0301071,49.254322
Coast Foundation Society (1974),Emerald Place,Residential Care,15 Renfrew St ,Vancouver,V5K 4A5,(604) 255-3034,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,6,N,,N,,N,,N,,N,,-123.0445436,49.2845069
Vancouver Coastal Health,The Richmond Bridge House,Residential Care,10220 Granville Ave ,Richmond,V6Y 1R4,(604) 244-7840,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,10,N,,N,,N,,N,,N,,-123.1107626,49.162539
"MPA - Motivation, Power & Achievement Society",Tilikum House,Residential Care,3126 Grandview Hwy ,Vancouver,V5M 2E8,(604) 419-1883,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,6,N,,N,,N,,N,,N,,-123.0383714,49.2578371
Sunshine Coast Health Centre (2005) Ltd.,Sunshine Coast Health Centre,Residential Care,2174 Fleury Road ,Powell River,V8A 0H8,604-487-9050,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,Y,42,N,,N,,N,,-124.4292383,49.7737335
Pacifica Treatment Centre Society,Pacifica Treatment Centre,Residential Care,1755 E 11th Ave ,Vancouver,V5N 1Y9,(604) 872-5517,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,Y,35,N,,N,,N,,-123.0684104,49.2607112
Turning Point Recovery Society ,Turning Point Recovery Society North Shore Women's,Residential Care,2670 Lloyd Ave ,North Vancouver,V7R 3X1,604-971-0111,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,Y,10,N,,N,,N,,-123.1037334,49.3341264
Chopra Addiction & Wellness Center Inc,Chopra Addiction & Wellness Center,Residential Care,3501 Paradise Valley Rd ,Squamish,V0N 1T0,(604) 892-3000,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,Y,16,N,,N,,N,,-123.1521072,49.830927
The Salvation Army Vancouver Harbour Light,Salvation Army Harbour Light Centre,Residential Care,119 E Cordova St ,Vancouver,V6A 1K8,(604) 646-6800,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,Y,79,N,,N,,N,,-123.1009617,49.2825688
City Centre Care Society,Emerge Addiction Recovery Program,Residential Care,415 W Pender St ,Vancouver,V6B 1V2,(604) 639-8238,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,Y,22,N,,N,,N,,-123.1119351,49.2831332
Turning Point Recovery Society ,Turning Point Recovery Society North Shore Men's,Residential Care,2431 Burr Pl  ,North Vancouver,V7H 0B9,(604) 971-0111,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,Y,10,N,,N,,N,,-123.004034,49.3124306
Orchard Recovery Center,Orchard Recovery Center,Residential Care,687 Cates Lane ,Bowen Island,V0N 1G0,604-947-0420,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,Y,25,N,,N,,N,,-123.352193,49.3768508
Turning Point Recovery Society,Turning Point Recovery Society - Richmond Men's House,Residential Care,10411 Odlin Road ,Richmond,V6X 1E3,(604) 303-6717,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,Y,10,N,,N,,N,,-123.1082596,49.1820657
Turning Point Recovery Society,Turning Point Richmond Women's,Residential Care,10191 No. 2 Road ,Richmond,V7E 2E4,(604) 284-5354,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,Y,10,N,,N,,N,,-123.1593558,49.138995
Turning Point Recovery Society,Turning Point Recovery Society - Vancouver,Residential Care,445/455 W 13th Ave ,Vancouver, V5Y 1W4,(604) 875-1710,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,Y,23,N,,N,,N,,-123.1138887,49.2596944
Pacific Community Resources Society,Alder House,Residential Care,4349 Victoria Dr ,Vancouver,V5N 4M9,(604) 412-7950,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,Y,5,N,,N,,N,,-123.0655383,49.2461756
Vancouver Coastal Health,Vancouver Detoxification Centre,Residential Care,377 E 2nd Ave ,Vancouver,V5T 1B9,(604) 658-1280,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,Y,28,N,,N,,N,,-123.0965496,49.2672098
Together We Can Drug & Alcohol Recovery & Education Society,Together We Can,Residential Care,2831 Kingsway ,Vancouver,V5R 5H9,(604) 451-9854,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,Y,42,N,,N,,N,,-123.0467552,49.2370513
Vancouver Coastal Health,Onsite Detox and Transitional Housing,Residential Care,137 E Hastings St ,Vancouver,V6A 1N5,(604) 687-7483,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,Y,30,N,,N,,N,,-123.1012105,49.2816658
Laryssa Wolansky,17th Street Home,Residential Care,4200 17 St,Vernon,V1T 8R7,(250) 475-5633,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,4,N,,-119.255483,50.2739341
Steve Soglo,25th Avenue Group Home,Residential Care,2980 25 Ave NE,Salmon Arm,V1E 3C7,(778) 489-5634,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,6,N,,-119.2509537,50.7178575
Laryssa Wolansky,28th Avenue Home,Residential Care,4212 28 Ave,Vernon,V1T 1X6,(250) 558-0349,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,5,N,,-119.2953338,50.2622284
Heather Fletcher,29th Street House,Residential Care,404 29 St,Castlegar,V1N 3T8,(250) 365-3547,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,3,N,,-117.6461235,49.2759644
Linda Keats,30th Street Group Home,Residential Care,1201 30 St NE,Salmon Arm,V1E 2B6,(778) 489-5661,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,5,N,,-119.2511272,50.708592
Trina  Heerschop,35th Avenue Home,Residential Care,902 35 Ave,Vernon,V1T 2R3,(250) 308-4383,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,6,N,,-119.2444274,50.2671718
Catherine (Cathy) Hall,4th Street Home,Residential Care,2304 4 St N,Cranbrook,V1C 5V9,(250) 426-2223,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,5,N,,-115.748711,49.5159284
Joan Kelndorfer,7th Street,Residential Care,322 7 Street S,Cranbrook,V1C 1M7,(250) 426-0151,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,5,N,,-115.7749328,49.5021716
Audrey Baier,"880 Elder Road, Kamloops",Residential Care,880 Elder Road,Kamloops,V2B 6K8,(604) 551-6084,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,5,N,,-120.3533734,50.7606871
Kristina Pidskalny,Alexis Home,Residential Care,1561 Alexis Ave,Kamloops,V2B 4L1,(250) 376-9801,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,6,N,,-120.3833093,50.701098
Jessica Degeorgio,ALPHA House,Residential Care,1681 Bay Ave,Trail,V1R 4R7,(250) 368-9145,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,6,N,,-117.7047808,49.0939058
Joanna Macaulay,Ashnola at the Crossing,Residential Care,3865 Hwy 3,Keremeos,V0X 1N1,(250) 499-0231,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,Y,22,N,,N,,N,,-119.9513282,49.2217372
Andrea Russell,Avonlea Care Centre Ltd,Residential Care,1658 Blondeaux Crescent,Kelowna,V1Y 4J7,(250) 762-4378,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,N,,Y,15,-119.4617277,49.8937576
Ashley Parsons,Axis House Castlegar,Residential Care,2528 Columbia Ave,Castlegar,V1N 2X5,(778) 460-1901,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,Y,8,N,,N,,N,,-117.6514107,49.2826647
Elaine Phipps,Axis House Williams Lake,Residential Care,1700 Renner Rd,Williams Lake,V2G 3B3,(250) 392-1800,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,Y,4,N,,N,,N,,-122.1000214,52.1100783
Jennifer Johnson,Barriere House,Residential Care,485 Carlstrom Rd,Barriere,V0E 1E0,(250) 672-9470,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,7,N,,-120.1290682,51.1768649
Bev Graham,Berwick on the Park,Residential Care,60 Whiteshield Crescent S,Kamloops,V2E 2S9,(250) 377-7275,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,32,N,,N,,-120.3369705,50.6578036
Derek Murray,Birch Lodge,Residential Care,7446 Highway 6,Coldstream,V1B 3H4,(250) 545-6849,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,29,N,,-119.1493654,50.2203239
Sandra Donchi,Bissette,Residential Care,625 Bissette Road,Kamloops,V2B 6L3,(250) 579-8641,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,4,N,,-120.3440301,50.7616555
Elizabeth Scott,Braemore Lodge,Residential Care,2402 S Main St,Penticton,V2A 5H9,(250) 492-2969,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,Y,16,N,,Y,16,N,,N,,N,,-119.5812088,49.4712603
Gurleen Gill,Brandt's Creek Mews,Residential Care,2081 Cross Road,Kelowna,V1V 2G2,(778) 478-8800,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,102,N,,N,,-119.4354247,49.9200841
Sandra Lewis,Brocklehurst Gemstone Care Centre,Residential Care,1955 Tranquille Rd,Kamloops,V2B 3M4,(778) 470-2596,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,130,N,,N,,-120.3999925,50.6997303
Andrea Russell,Brookvale Care Centre Ltd,Residential Care,1820 Marshall St,Kelowna,V1Y 2B7,(250) 762-5667,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,N,,Y,9,-119.4932628,49.8814543
Kyla Doyle,Bruce House,Residential Care,146 Bruce Court,Penticton,V2A 6C4,(250) 486-5952,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,5,N,,-119.5894259,49.4780038
Leah Homeniuk,Bryden House,Residential Care,6780 Bryden Rd,Vernon,V1B 3T3,(250) 542-1436,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,5,N,,-119.2358482,50.3066135
Marisa Hunter,Caramillo Heights,Residential Care,547 Caramillo Ct,Kelowna,V1V 2K9,(250) 762-3901,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,6,N,,-119.4621133,49.9086172
Raj Salaria,Cariboo Place,Residential Care,185 4 Ave N,Williams Lake,V2G 2C8,(250) 267-8358,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,72,N,,N,,-122.141753,52.1311279
Della Swetlishoff,Castlegar House,Residential Care,3405 4 Ave,Castlegar,V1N 2T4,(250) 365-3306,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,3,N,,-117.6459263,49.2682638
Amanda Ovington,Castleview Care Centre,Residential Care,2300 14 Ave,Castlegar,V1N 4A6,(250) 365-7277,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,61,N,,N,,-117.6624447,49.2881065
