FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,REGULATION,ACCRED_STATUS,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,latitude,longitude,Total Confirmed Cases,Total Deaths,outbreak,RESIDENT_COUNCIL,FAMILY_COUNCIL,BEDS_PRIVATEprop,INCIDENT_OUTBREAK_100_CAT,INFRACTION_DISEASE_CAT
Chetwynd Hospital and Health Centre,922CD,Northern Health,HA,5500 Hospital road,Chetwynd,V0C1J0,Hospital Act,Accredited,3.29,0.26,3.55,3.66,0.27,3.93,7,7,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,88.60%,36.40%,9.10%,897,59.10%,27.30%,13.60%,18.20%,0.00%,3.5,31.80%,0.6,9.10%,4.50%,0.00%,63.60%,26.10%,0.00%,1,8,1,0,0,0,0,0,0,1,0,5,1,0,55.695633,-121.645304,,,0,FALSE,FALSE,0,0,0
Christenson Village,92I30,Vancouver Coastal Health,PNP,585 Shaw Road,Gibsons,V0N1V8,Community Care & Assisted Living Act,Accredited,3.01,0.21,3.22,3.12,0.22,3.34,80,80,0,0,0,0,0,0,10,0,0,0,0,0,0,0,12.5,0,0,0,0,0,86,77.00%,67.10%,2.10%,"1,077",29.30%,32.30%,49.50%,75.80%,7.90%,2.6,54.40%,0.57,8.50%,4.80%,0.00%,65.90%,15.60%,14.30%,2,4,0,0,0,1,1,0,1,0,0,1,0,0,49.4045,-123.519,,,0,TRUE,TRUE,0,0,0
Columbia Garden Village,93DHA,Interior Health,PFP,"800-10 Ave., Box 578",Invermere,V0A1K0,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.93,0.35,3.28,34,34,0,0,1,0,0,1,8,0,0,0,3,2,0,2.9,23.5,0,0,0,8.8,5.9,81,61.60%,55.00%,12.60%,300,14.80%,18.50%,20.00%,63.70%,9.60%,2.4,49.60%,0.5,4.40%,55.60%,0.00%,43.70%,28.90%,3.20%,1,4,0,0,0,0,3,0,0,0,0,1,0,0,50.50146,-116.03312,,,0,TRUE,FALSE,0,0,0
Columbia House - Invermere District Hospital,915C7,Interior Health,HA,1030 - 10th Street,Invermere,V0A1K0,Community Care & Assisted Living Act,Accredited,2.8,0.34,3.14,2.77,0.39,3.16,35,35,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2.9,0,0,0,0,2.9,84,61.90%,58.90%,8.90%,"1,116",23.10%,21.40%,20.50%,67.50%,4.30%,2.8,46.20%,0.56,32.50%,70.90%,4.30%,13.70%,5.70%,23.70%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.5060821,-116.0328794,,,0,TRUE,TRUE,0,0,0
Columbia View Lodge,98H3C,Interior Health,HA,2920 Laburnum Dr,Trail,V1R4N2,Community Care & Assisted Living Act,Accredited,2.9,0.3,3.2,2.94,0.4,3.34,76,76,0,0,0,0,0,2,3,0,0,3,3,1,0,2.6,3.9,0,0,3.9,3.9,1.3,85,70.40%,59.50%,5.00%,969,34.10%,31.90%,40.50%,73.80%,5.00%,3.2,34.80%,0.57,38.70%,71.30%,26.50%,73.10%,14.40%,2.20%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.09953,-117.6793694,,,0,TRUE,TRUE,0,0,0
Columbus Residence,9BHG7,Vancouver Coastal Health,PNP,704 West 69th Avenue,Vancouver,V6P2W3,Community Care & Assisted Living Act,Accredited,2.62,0.24,2.86,2.73,0.21,2.94,76,74,1,0,1,0,0,0,3,0,0,1,1,0,0,0,3.9,0,0,1.3,1.3,0,85,77.60%,60.40%,0.90%,"1,120",18.80%,35.60%,25.70%,69.30%,7.60%,3.3,35.60%,0.54,14.20%,60.10%,0.70%,35.30%,23.60%,20.40%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,49.208775,-123.121,,,0,TRUE,TRUE,0,0,0
Comox Valley Seniors Village,936F0,Vancouver Island Health,PFP,4640 Headquarters Rd.,Courtenay,V9N7J3,Community Care & Assisted Living Act,Accredited,2.92,0.19,3.11,2.86,0.24,3.11,136,128,4,0,17,4,1,3,10,0,0,0,3,0,0.7,2.2,7.4,0,0,0,2.2,0,83,59.70%,50.70%,4.20%,858,31.80%,22.20%,21.70%,65.80%,13.30%,3.2,36.40%,0.55,7.70%,24.10%,0.50%,50.10%,39.30%,11.80%,3,1,0,0,0,0,1,0,0,0,0,0,0,0,49.702595,-124.99339,,,0,TRUE,TRUE,0.110294118,>0,0
Cormorant Island Health Centre,9A72D,Vancouver Island Health,HA,49 School Road,Alert Bay,V0N1A0,Hospital Act,Accredited,3.03,0.67,3.7,3.03,0.67,3.7,10,10,0,0,0,0,,,,,,,,,,,,,,,,,80,71.40%,64.30%,19.00%,"1,107",23.10%,20.50%,17.90%,46.20%,5.10%,3.7,25.60%,0.48,2.60%,0.00%,0.00%,28.20%,16.40%,0.00%,1,4,0,1,0,0,2,0,0,0,0,1,0,0,50.594297,-126.9423575,,,0,TRUE,TRUE,0,unknown,0
Cottage and Worthington Pavilions - MSA Hospital,9A6GA,Fraser Health,HA,33457 Cottage Lane,Abbotsford,V2S0B3,Hospital Act,Unknown,3.05,0.3,3.35,3.05,0.3,3.35,119,11,6,24,3,1,1,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,89,65.60%,73.90%,3.20%,90,17.30%,38.80%,27.10%,32.00%,5.80%,2.3,62.60%,0.58,25.20%,75.70%,1.20%,48.60%,20.70%,7.80%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0411856,-122.2963164,7,1,1,TRUE,TRUE,0,>0,0
Cottonwoods Care Centre,9A6EF,Interior Health,HA,2255 Ethel Street,Kelowna,V1Y2Z9,Hospital Act,Accredited,2.86,0.34,3.2,2.91,0.35,3.26,221,34,29,33,0,0,4,3,22,0,1,41,11,0,1.8,1.4,10,0,0.5,18.6,5,0,85,66.20%,64.00%,6.30%,668,28.10%,31.10%,30.10%,60.70%,6.70%,2.9,38.70%,0.61,6.00%,36.60%,25.40%,39.20%,25.80%,4.30%,1,5,0,1,0,1,2,1,0,0,0,0,0,0,49.8729257,-119.482555,,,0,TRUE,TRUE,0,>0,>0
Creekside Landing,934BA,Interior Health,PFP,6190 Okanagan Landing Rd,Vernon,V1H1M3,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.98,0.35,3.33,70,70,0,0,1,1,0,0,8,0,0,1,3,0,0,0,11.4,0,0,1.4,4.3,0,84,57.70%,57.40%,3.60%,"1,037",52.30%,21.20%,36.70%,66.40%,2.10%,2.7,45.60%,0.7,4.90%,57.60%,2.10%,64.00%,23.10%,1.90%,2,6,0,0,1,1,3,0,0,0,0,0,1,0,50.2465633,-119.3223493,,,0,TRUE,TRUE,0,0,0
Crescent Gardens,91GD7,Fraser Health,PFP,1222 King George Boulevard,Surrey,V4A9W6,Community Care & Assisted Living Act,Unknown,2.47,0.31,2.79,2.64,0.31,2.95,75,69,3,0,2,0,2,0,9,0,0,1,1,1,2.7,0,12,0,0,1.3,1.3,1.3,89,70.60%,72.70%,1.70%,638,8.00%,13.70%,9.00%,44.00%,6.70%,2.6,51.30%,0.54,1.00%,1.30%,0.00%,34.70%,22.20%,5.50%,3,4,1,1,0,0,2,0,0,0,0,0,0,0,49.024671,-122.765236,,,0,TRUE,TRUE,0.293333333,>0,0
Crest View Village,92DG0,Interior Health,PFP,800 Cavell Street,Creston,V0B1G4,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.98,0.35,3.33,32,32,0,0,0,0,1,1,1,0,0,0,1,0,3.1,3.1,3.1,0,0,0,3.1,0,88,63.10%,78.00%,0.00%,534,33.30%,28.90%,11.90%,66.70%,4.40%,2.9,39.30%,0.56,0.70%,2.20%,0.70%,37.80%,23.30%,10.80%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1042985,-116.5148918,,,0,TRUE,TRUE,0.0625,>0,0
Cumberland Lodge,995I0,Vancouver Island Health,HA,2696 Windermere Ave,Cumberland,V0R1S0,Community Care & Assisted Living Act,Accredited,2.9,0.3,3.2,2.91,0.3,3.21,66,40,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,70.80%,62.90%,2.10%,730,31.00%,29.50%,17.90%,66.40%,6.70%,4.2,16.80%,0.57,26.90%,37.70%,2.20%,56.30%,26.90%,11.30%,3,2,0,0,0,1,1,0,0,0,0,0,0,0,49.62206725,-125.0310259,,,0,TRUE,FALSE,0,0,0
Czorny Alzheimer Centre,9327A,Fraser Health,HA,16850 66th Avenue,Surrey,V3S5M1,Hospital Act,Unknown,3.29,0.21,3.5,3.29,0.21,3.5,72,72,0,0,0,0,0,0,8,0,0,0,3,0,0,0,11.1,0,0,0,4.2,0,83,54.30%,40.40%,2.20%,656,4.60%,27.20%,60.20%,65.10%,12.60%,1.5,74.30%,0.53,0.80%,59.40%,0.00%,34.90%,45.70%,0.00%,2,1,0,0,1,0,0,0,0,0,0,0,0,0,49.12241,-122.75509,1,0,1,FALSE,FALSE,0,0,0
Dania Home,99C1E,Fraser Health,PNP,4175 Norland Avenue,Burnaby,V5G3S7,Community Care & Assisted Living Act,Accredited,2.95,0.26,3.21,3.07,0.29,3.36,102,102,0,0,1,0,1,2,6,0,0,0,1,0,1,2,5.9,0,0,0,1,0,83,64.70%,56.30%,9.90%,"1,356",19.30%,16.70%,14.10%,59.00%,5.00%,2.9,40.20%,0.61,15.40%,56.70%,0.30%,41.00%,13.10%,12.40%,3,2,0,0,1,0,0,1,0,0,0,0,0,0,49.247584,-122.975187,1,0,1,TRUE,TRUE,0,>0,>0
David Lloyd Jones Home,99127,Interior Health,HA,934 Bernard Ave,Kelowna,V1Y6P8,Community Care & Assisted Living Act,Accredited,2.83,0.35,3.18,2.83,0.37,3.2,64,64,0,0,0,0,3,3,1,1,0,1,1,0,4.7,4.7,1.6,1.6,0,1.6,1.6,0,86,65.30%,63.30%,5.50%,625,33.20%,43.00%,26.20%,70.30%,8.60%,2.9,37.50%,0.57,2.70%,19.90%,29.70%,54.70%,35.80%,3.90%,1,4,0,1,1,0,1,0,0,0,0,1,0,0,49.8869222,-119.4815286,,,0,TRUE,TRUE,0,>0,0
Delta View Habilitation Centre,9C280,Fraser Health,PFP,9341 Burns Drive,Delta,V4K3N3,Hospital Act,Accredited,,,,2.58,0.22,2.8,80,72,4,0,0,0,0,0,4,0,0,1,0,0,0,0,5,0,0,1.3,0,0,79,66.70%,33.30%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0922042,-122.9650473,,,0,TRUE,TRUE,0.1125,0,0
Delta View Life Enrichment Centre,9940H,Fraser Health,PFP,9321 Burns Drive,Delta,V4K3N3,Hospital Act,Accredited,2.77,0.35,3.13,3,0.36,3.36,212,172,20,0,0,0,0,0,13,0,0,0,1,0,0,0,6.1,0,0,0,0.5,0,85,66.20%,55.00%,2.80%,942,26.40%,39.70%,48.40%,73.90%,18.70%,1.9,69.60%,0.61,38.20%,0.00%,0.00%,47.00%,15.90%,0.30%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.09130415,-122.964866,1,0,1,TRUE,TRUE,0.29245283,0,0
Deni House,93B40,Interior Health,HA,517 6th Ave N.,Williams Lake,V2G2G8,Hospital Act,Accredited,2.89,0.36,3.25,3.09,0.67,3.76,28,13,0,5,0,0,0,1,8,0,0,2,0,0,0,3.6,28.6,0,0,7.1,0,0,80,43.30%,48.40%,17.80%,381,23.40%,29.90%,39.00%,61.00%,5.20%,3.7,27.30%,0.58,0.00%,24.70%,0.00%,51.90%,41.00%,8.80%,1,1,0,1,0,0,0,0,0,0,0,0,0,0,52.1378197,-122.1436286,,,0,TRUE,FALSE,0,0,0
Discovery Harbour Seniors Community,9353A,Vancouver Island Health,PFP,850 14th Avenue,Campbell River,V9W4H4,Community Care & Assisted Living Act,Unknown,2.89,0.26,3.15,2.83,0.37,3.2,142,90,4,0,16,9,1,9,21,0,1,6,0,7,0.7,6.3,14.8,0,0.7,4.2,0,4.9,84,57.60%,56.40%,2.50%,912,26.80%,22.00%,31.30%,73.90%,9.70%,1.2,81.50%,0.62,0.60%,0.00%,0.20%,58.80%,28.20%,9.90%,5,6,0,0,0,1,0,0,0,0,0,5,0,0,50.0293746,-125.2748504,,,0,TRUE,TRUE,0,>0,0
Dogwood Lodge,999F1,Vancouver Coastal Health,HA,500 West 57th Avenue,Vancouver,V6P6E8,Community Care & Assisted Living Act,Accredited,2.73,0.12,2.85,2.83,0.29,3.12,83,83,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3.6,0,0,0,0,0,84,78.00%,56.00%,1.60%,914,25.90%,43.50%,42.30%,61.70%,6.80%,2.6,53.40%,0.54,35.80%,2.20%,0.30%,44.40%,20.40%,0.90%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.218578,-123.118,,,0,TRUE,TRUE,0,0,0
Dr. Andrew Pavilion - Summerland Health Centre,9AJF4,Interior Health,HA,12815 Atkinson Rd.,Summerland,V0H1Z0,Hospital Act,Accredited,2.81,0.34,3.15,2.81,0.33,3.14,50,4,5,8,0,0,1,1,1,0,0,0,0,0,2,2,2,0,0,0,0,0,89,75.50%,76.70%,0.40%,619,22.30%,45.10%,18.70%,71.50%,1.00%,2.2,60.10%,0.58,0.00%,0.00%,0.00%,34.70%,23.70%,6.70%,0,1,0,1,0,0,0,0,0,0,0,0,0,0,49.6027035,-119.6679222,,,0,TRUE,TRUE,0,>0,0
Dr. F. W. Green Memorial Home,98F1A,Interior Health,HA,1700 4th Street St. South,Cranbrook,V1C6E1,Community Care & Assisted Living Act,Accredited,2.94,0.32,3.26,2.96,0.55,3.51,58,60,0,0,0,0,1,0,6,0,0,2,1,0,1.7,0,10.3,0,0,3.4,1.7,0,84,62.90%,59.50%,7.90%,"1,033",29.10%,45.50%,30.70%,85.20%,4.20%,2.3,55.60%,0.59,0.00%,0.00%,0.00%,47.60%,25.60%,6.90%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.50527,-115.75737,,,0,FALSE,TRUE,0,>0,0
Dufferin Care Centre,919C4,Fraser Health,PFP,1131 Dufferin St,Coquitlam,V3B7X5,Hospital Act,Accredited,2.43,0.31,2.73,2.64,0.31,2.95,153,0,0,0,4,1,1,0,23,0,0,1,2,0,0.7,0,15,0,0,0.7,1.3,0,84,73.90%,53.60%,1.40%,601,19.00%,39.10%,49.80%,77.30%,15.60%,0.9,88.40%,0.57,0.00%,55.30%,0.00%,43.10%,27.30%,4.60%,3,6,0,2,1,0,2,0,1,0,0,0,0,0,49.2791682,-122.8039958,22,4,1,FALSE,FALSE,0.163398693,>0,0
Dufferin Place,9A6D2,Vancouver Island Health,HA,1200 Dufferin Crescent,Nanaimo,V9S2B7,Hospital Act,Accredited,2.96,0.3,3.26,2.98,0.34,3.31,146,14,8,29,1,0,,,,,,,,,,,,,,,,,84,74.50%,55.50%,4.40%,463,37.40%,26.40%,22.70%,44.60%,2.50%,3.8,26.40%,0.58,44.40%,0.00%,30.10%,54.20%,6.10%,2.00%,1,1,0,0,0,0,1,0,0,0,0,0,0,0,49.1848743,-123.9698453,,,0,TRUE,TRUE,0,unknown,0
Dunrovin Park Lodge,99617,Northern Health,HA,900 St Laurent Avenue,Quesnel,V2J3S3,Community Care & Assisted Living Act,Accredited,3.26,0.31,3.56,3.1,0.32,3.42,117,107,3,0,1,1,0,1,9,0,0,2,1,0,0,0.9,7.7,0,0,1.7,0.9,0,82,64.40%,48.20%,12.20%,885,34.10%,33.20%,34.10%,72.10%,17.30%,2.6,51.90%,0.56,12.50%,37.50%,5.80%,67.30%,32.80%,13.60%,1,13,1,4,1,12,1,0,0,0,0,4,0,0,52.979626,-122.48601,,,0,TRUE,TRUE,0,0,0
Eagle Park Health Care Facility,9154A,Vancouver Island Health,HA,777 Jones St,Qualicum Beach,V9K2L1,Hospital Act,Accredited,2.85,0.31,3.16,2.85,0.31,3.16,75,55,20,0,1,0,,,,,,,,,,,,,,,,,83,62.60%,51.20%,5.50%,463,27.40%,26.70%,35.80%,76.10%,4.60%,3.7,28.40%,0.58,0.70%,0.40%,71.20%,57.20%,53.40%,10.90%,1,4,0,1,0,0,1,1,0,1,0,0,0,0,49.3409296,-124.4492447,,,0,TRUE,TRUE,0,unknown,>0
Eagle Ridge Manor - Port Hardy,923C0,Vancouver Island Health,HA,9120 Granville Street,Port Hardy,V0N2P0,Hospital Act,Accredited,3.15,0.34,3.49,3.15,0.34,3.49,22,22,0,0,0,0,,,,,,,,,,,,,,,,,83,58.50%,46.80%,4.30%,"1,126",11.00%,19.50%,29.30%,74.40%,8.50%,2.9,40.20%,0.56,1.20%,1.20%,0.00%,50.00%,30.40%,14.30%,1,3,0,0,1,0,1,0,0,0,0,1,0,0,50.71997325,-127.5028513,,,0,TRUE,TRUE,0,unknown,0
Eagle Ridge Manor - Port Moody,9C6EC,Fraser Health,HA,475 Guildford Way,Port Moody,V3H3W9,Hospital Act,Unknown,3.1,0.36,3.46,3.1,0.36,3.46,75,39,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,55.70%,61.10%,3.00%,"1,103",31.60%,52.50%,33.80%,48.70%,1.90%,3.6,30.00%,0.63,26.20%,57.40%,7.60%,41.80%,14.00%,7.40%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.28553745,-122.8236997,,,0,TRUE,TRUE,0,0,0
Echo Village,9C2F7,Vancouver Island Health,PNP,4200 10th Avenue,Port Alberni,V9Y4X3,Hospital Act,Accredited,2.84,0.33,3.17,2.74,0.31,3.05,67,67,0,0,2,0,,,,,,,,,,,,,,,,,83,61.20%,52.70%,7.80%,443,15.40%,39.10%,26.30%,62.40%,3.00%,3.8,21.60%,0.59,0.00%,0.00%,0.00%,54.10%,29.20%,0.00%,1,2,0,0,1,0,1,0,0,0,0,0,0,0,49.2367453,-124.7978368,,,0,TRUE,FALSE,0.029850746,unknown,0
Eden Care Centre,9AB4F,Fraser Health,PFP,9100 Charles Street,Chilliwack,V2P5K6,Community Care & Assisted Living Act,Not Accredited,2.48,0.31,2.79,2.67,0.31,2.98,89,89,0,0,7,3,4,0,12,0,0,2,0,1,4.5,0,13.5,0,0,2.2,0,1.1,88,64.60%,66.10%,0.20%,586,16.80%,3.50%,20.40%,57.10%,2.70%,2.5,64.60%,0.48,0.00%,76.10%,0.00%,43.40%,35.90%,8.50%,7,8,0,1,3,1,1,1,0,0,0,1,0,0,49.1672383,-121.9419001,8,1,1,TRUE,TRUE,0,>0,>0
Eden Gardens,9951E,Vancouver Island Health,PNP,1917 Northfield Road,Nanaimo,V9S3B6,Community Care & Assisted Living Act,Unknown,2.86,0.14,3,3.1,0.16,3.25,130,130,0,0,8,2,0,5,13,0,0,2,1,4,0,3.8,10,0,0,1.5,0.8,3.1,83,64.00%,47.00%,2.70%,778,22.40%,31.80%,43.30%,89.80%,8.60%,2,63.80%,0.57,0.80%,4.20%,1.00%,57.50%,36.50%,10.40%,4,3,0,0,2,0,0,0,0,0,0,1,0,0,49.191744,-123.98389,,,0,TRUE,TRUE,0,0,0
Elim Village - The Harrison / Harrison West,9371A,Fraser Health,PNP,9025 160 Street,Surrey,V4N2X7,Community Care & Assisted Living Act,Accredited,2.95,0.24,3.19,2.98,0.38,3.36,194,181,6,0,2,0,4,1,17,0,0,1,1,0,2.1,0.5,8.8,0,0,0.5,0.5,0,87,67.50%,67.20%,2.10%,772,22.90%,36.80%,23.50%,63.20%,11.80%,2.8,46.50%,0.61,0.70%,6.40%,0.00%,42.60%,24.20%,4.20%,6,0,0,0,0,0,0,0,0,0,0,0,0,0,49.167023,-122.7815006,1,0,1,TRUE,TRUE,0.092783505,>0,0
Evergreen - The Terraces / The Pointe,99420,Fraser Health,PNP,1550 Oxford St,White Rock,V4B3R5,Community Care & Assisted Living Act,Accredited,2.96,0.29,3.25,3,0.36,3.36,252,252,0,0,4,1,6,2,31,0,0,2,3,2,2.4,0.8,12.3,0,0,0.8,1.2,0.8,87,65.10%,64.70%,1.20%,861,12.30%,18.10%,21.20%,66.30%,14.70%,2.5,53.20%,0.56,0.30%,0.00%,0.00%,50.10%,33.90%,8.30%,12,3,0,0,0,1,1,0,0,0,0,1,0,0,49.0264665,-122.8122029,,,0,TRUE,TRUE,0.011904762,>0,0
Evergreen Extended Care - Powell River Hospital,9A551,Vancouver Coastal Health,HA,4970 Joyce Ave.,Powell River,V8A5P2,Hospital Act,Accredited,2.75,0.23,2.98,2.75,0.23,2.98,75,6,4,15,0,0,1,0,3,0,0,0,0,0,1.3,0,4,0,0,0,0,0,84,63.10%,61.10%,4.10%,777,11.30%,32.50%,27.40%,42.00%,5.70%,2.2,59.00%,0.58,1.90%,0.50%,0.50%,50.90%,34.80%,24.40%,2,4,0,3,0,0,0,0,0,0,0,1,0,0,49.8489957,-124.5226255,,,0,TRUE,TRUE,0,>0,0
Evergreen House - Lions Gate Hospital,9A55C,Vancouver Coastal Health,HA,231 East 15th Street,North Vancouver,V7L2L7,Hospital Act,Accredited,3,0.29,3.29,3,0.3,3.3,289,22,11,60,0,0,1,0,25,0,0,3,8,1,0.3,0,8.7,0,0,1,2.8,0.3,84,63.70%,55.80%,5.70%,575,23.60%,36.40%,28.00%,55.90%,5.60%,3,39.10%,0.61,28.20%,14.60%,6.90%,55.50%,28.60%,1.60%,3,9,0,3,0,0,3,0,0,2,0,1,0,0,49.32097835,-123.0676719,1,0,1,TRUE,TRUE,0,>0,0
Evergreen Seniors Home,92J70,Vancouver Island Health,PFP,635 Evergreen Rd,Campbell River,V9W3R7,Community Care & Assisted Living Act,Accredited,2.9,0.29,3.19,3.02,0.29,3.31,64,60,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.6,0,0,0,0,0,84,58.60%,59.60%,4.00%,789,10.20%,25.00%,21.60%,60.20%,9.10%,4.1,14.80%,0.55,21.60%,42.00%,6.80%,50.00%,18.30%,0.00%,4,0,0,0,0,0,0,0,0,0,0,0,0,0,50.007318,-125.24818,,,0,TRUE,TRUE,0.65625,0,0
Fair Haven - Burnaby,99C49,Fraser Health,PNP,7557 Sussex Ave.,Burnaby,V5J3V6,Community Care & Assisted Living Act,Accredited,2.67,0.33,3,2.74,0.34,3.08,100,100,0,0,2,1,1,5,12,0,0,0,2,6,1,5,12,0,0,0,2,6,87,66.80%,63.70%,0.80%,"1,698",16.70%,43.80%,48.70%,57.80%,11.40%,2.2,58.50%,0.57,9.20%,84.30%,0.00%,36.60%,25.40%,12.60%,3,5,0,1,0,1,0,1,0,0,0,1,1,0,49.21526995,-123.0059057,,,0,TRUE,TRUE,0,>0,>0
Fair Haven - Vancouver,999HG,Vancouver Coastal Health,PNP,2720 East 48th Ave.,Vancouver,V5S1G7,Community Care & Assisted Living Act,Accredited,2.7,0.23,2.93,2.85,0.23,3.08,82,70,6,0,1,1,0,0,9,0,0,2,1,0,0,0,11,0,0,2.4,1.2,0,84,65.80%,54.80%,2.60%,"1,174",19.20%,43.30%,32.90%,71.60%,11.30%,2.9,45.40%,0.59,9.80%,67.70%,3.70%,45.70%,25.80%,14.10%,3,8,0,1,1,2,4,0,0,0,0,0,0,0,49.225452,-123.0365843,,,0,TRUE,TRUE,0,0,0
Fair Haven - Vancouver - Special Unit,93860,Vancouver Coastal Health,PNP,2720 East 48th Ave.,Vancouver,V5S1G7,Community Care & Assisted Living Act,Accredited,3.95,0.23,4.18,3.95,0.23,4.18,19,19,0,0,,,,,,,,,,,,,,,,,,,80,27.50%,29.70%,1.40%,273,7.80%,19.50%,66.20%,85.70%,19.50%,2,58.40%,0.54,1.30%,59.70%,0.00%,76.60%,75.40%,9.10%,,,,,,,,,,,,,,,49.225452,-123.0365843,,,0,TRUE,TRUE,0,unknown,unknown
Fellburn Care Centre,9A575,Fraser Health,HA,6050 Hastings St.,Burnaby,V5B1R6,Hospital Act,Accredited,3.08,0.34,3.43,3.08,0.34,3.42,81,10,16,10,3,0,0,3,0,0,1,0,0,0,0,3.7,0,0,1.2,0,0,0,87,66.80%,64.60%,7.30%,606,15.40%,43.00%,35.50%,51.50%,14.00%,2.2,59.70%,0.65,14.70%,39.60%,4.40%,31.70%,10.40%,2.40%,2,5,0,1,0,1,0,1,0,0,0,2,0,0,49.2803168,-122.9624341,,,0,TRUE,TRUE,0,0,>0
Finnish Home,999CF,Vancouver Coastal Health,PNP,2288 Harrison Drive,Vancouver,V5P2P6,Community Care & Assisted Living Act,Not Accredited,2.63,0.2,2.83,2.8,0.22,3.02,64,64,0,0,0,0,1,0,7,0,0,1,0,0,1.6,0,10.9,0,0,1.6,0,0,86,66.70%,60.10%,1.10%,902,30.40%,36.50%,27.70%,62.70%,5.40%,2.2,61.20%,0.59,20.40%,0.00%,0.40%,54.60%,25.40%,6.30%,1,1,0,0,1,0,0,0,0,0,0,0,0,0,49.2082288,-123.0607454,,,0,TRUE,TRUE,0,>0,0
Fir Park Village,9A919,Vancouver Island Health,PNP,4411 Wallace Street,Port Alberni,V9Y7Y5,Community Care & Assisted Living Act,Accredited,2.9,0.27,3.17,2.92,0.26,3.18,66,66,0,0,1,0,2,0,13,0,0,1,1,0,3,0,19.7,0,0,1.5,1.5,0,86,67.90%,58.90%,0.00%,885,31.60%,24.90%,13.00%,63.20%,4.90%,4.7,10.80%,0.55,0.00%,0.00%,0.00%,65.10%,32.50%,0.70%,5,3,0,1,0,1,0,0,1,0,0,0,0,0,49.250749,-124.79915,,,0,TRUE,FALSE,0.015151515,>0,0
Fischer Place/Mill Site Lodge,9B9DF,Interior Health,HA,555 Cedar Ave. South,100 Mile House,V0K2E0,Hospital Act & Community Care & Assisted Living Act,Accredited,2.99,0.31,3.3,3.02,0.37,3.4,93,93,0,0,0,0,0,0,13,0,0,1,6,0,0,0,14,0,0,1.1,6.5,0,84,64.90%,53.10%,3.80%,761,48.10%,26.70%,26.70%,74.50%,7.30%,2.8,41.30%,0.57,0.30%,37.00%,0.30%,60.40%,29.00%,7.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.6444141,-121.2939045,,,0,TRUE,FALSE,0,0,0
