Up to date as of 23h July 21,,,,,,,,,,
Deaths in Canadian LTC facilities,Questions or additions: nora.loreto@gmail.com | Attribution to Nora Loreto please. ,,,,,,,,,
Facility,Location,Prov.,Number of dead,Number of beds (appx),%,Public or private,Owners,Union,,
Agecare Sunrise Garden,Brooks,AB,5,,#DIV/0!,"Private, for profit",,,,
Chateau Pierrefonds,Montreal,QC,5,,#DIV/0!,,,,,
La Marguerite,Saint-Mathieu,QC,5,,#DIV/0!,,,,,
Maison Niverville,Trois-Rivières,QC,5,,#DIV/0!,,,,,
Manoir Belle Êpoque,Montreal,QC,5,,,,,,,
Manoir Fleury,Montreal,QC,5,,#DIV/0!,,,,,
Pavillon St-Joseph,Saint-Joseph-de-Lepage,QC,5,,#DIV/0!,,,,,
Résidence Bellerive,Montreal,QC,5,,#DIV/0!,,,,,
Résidence Parc Jarry,Montreal,QC,5,,#DIV/0!,Private,,,,
Résidence Sainte-Catherine,Montreal,QC,5,,#DIV/0!,,,,,
Sélection Cherbourg,Brossard,QC,5,,#DIV/0!,,,,,
Tours Angrignon,Montreal,QC,5,,#DIV/0!,,,,,
Queens Estate Retirement Residence,Toronto,ON,5,,#DIV/0!,,,,,
Seasons Retirement Communities,Welland,ON,5,160,3.13%,Private   ,,LiUNA,,
Hillcrest Reactivation Centre,Toronto,ON,5,,#DIV/0!,Public,,ONA,,
Centre multi SSS D'Argenteuil,Lachute,QC,5,,#DIV/0!,,,,,
Antoniennes de Marie*,Chicoutimi,QC,4,48,8.33%,Private,,,*convent,
Centre d'hébergement de Saint-Henri,Montreal,QC,4,,#DIV/0!,,,,,
Centre d'hébergement du Manoir-de-l'age-d'or,Montreal,QC,4,,#DIV/0!,,,,,
Centre d'hébergement Saint-Jean-Eudes,Quebec City,QC,4,,#DIV/0!,"Private, subsidized",,,,
Centre de service pour les aînés de Saint-Lambert,Saint-Lambert,QC,4,,,,,,,
CHSLD Argyle - Saint-Lambert,Saint-Lambert,QC,4,120,3.33%,Private ,Argyle inc.,,,
CHSLD Saint-Joseph-de-la-Providence,Trois-Rivières,QC,4,,#DIV/0!,,,,,
Hopital Grace Dart,Montreal,QC,4,,,,,,,
Hopital Laurentien,Sainte-Agathe-des-Monts,QC,4,,#DIV/0!,,,,,
Manoir Beaconsfield,Beaconsfield,QC,4,,#DIV/0!,,,,,
REPAIR-Champêtre,Lanaudière,QC,4,,#DIV/0!,Private,,,,
Unité d’hébergement en santé mentale du Centre,Lanaudière,QC,4,,#DIV/0!,,,,,
Centre d'hébergement de la Villa les Tilleuls,Laval,QC,4,,,,,,,
Greenwood Court,Stratford,ON,4,45,8.89%,"Private, not for profit",Tri-county Mennonite Homes,,,
Sheridan Villa,Mississauga,ON,4,142,2.82%,Public,,"CUPE, ONA",,
Dufferin Care Centre,Coquitlam,BC,4,,#DIV/0!,"Private, for profit",,,,
Chinook Care Centre,Calgary,AB,4,,,,,,,
JB Wood Continuing Care Centre,High Prairie,AB,4,,#DIV/0!,Public,,,,
Shepherd’s Care Kensington Village,Edmonton,AB,4,,#DIV/0!,"Private, not for profit",,,,
"Chartwell, Belvédères de Lachine",Montreal,QC,4,,#DIV/0!,"Private, for profit",Chartwell,,,
CSH-HCN Lessee (Pointe aux Trembles),Saint-Sauveur,QC,4,,#DIV/0!,Private,,,,
La Sélection West Island,Pointe Claire,QC,4,,,,,,,
Le Savignon,Montreal,QC,4,,#DIV/0!,,,,,
Le Sélection West Island,Montreal,QC,4,,#DIV/0!,,,,,
Les Résidencences Le jour et la nuit - Pavillon Sainte-Marie,Mascouche,QC,4,,,,,,,
Les Résidences Quatre Saisons - Résidence Académie,Salaberry-de-Valleyfield,QC,4,,#DIV/0!,,,,,
Les Résidences Soleil Manoir Laval,Laval,QC,4,,#DIV/0!,,,,,
Les Résidences Tournesol,Montreal,QC,4,,#DIV/0!,,,,,
Lux Gouveneur,Montreal,QC,4,,#DIV/0!,,,,,
Manoir Claudette Barré,Montreal,QC,4,,,,,,,
Manoir King David,Cote St-Luc,QC,4,,#DIV/0!,,,,,
Manoir St-Rémi,Saint-Rémi,QC,4,,,,,,,
Pavillon Montfort,Montreal,QC,4,,#DIV/0!,,,,,
Résidence Anjou,Montreal,QC,4,,#DIV/0!,,,,,
Résidence au fil de l'eau,Montreal,QC,4,,,,,,,
Résidence l'image d'Outremont,Montreal,QC,4,,#DIV/0!,,,,,
Résidence Marie-Rose Inc.,L'Épiphanie,QC,4,,#DIV/0!,Private,,,,
Résidence Vent de l'Ouest,Montreal,QC,4,,,,,,,
Selecton Panorama,Laval,QC,4,,#DIV/0!,,,,,
Canterbury Place Retirement Residence,Toronto,ON,4,,#DIV/0!,"Private, for profit","Verve, which is a brand of Diversicare Canada",,,
Empress Kanata,Kanata,ON,4,,#DIV/0!,,,,,
Heritage Green,Stoney Creek,ON,4,167,2.40%,"private, not for profit",Heritage Green Nursing Home,,,
Kingsway Retirement Residence,Toronto,ON,4,,,,,,,
Promenade Retirement Residence,"Orleans, ON",ON,4,117,3.42%,"Private, for profit",,,,
Victoria Place RH,Kitchener,ON,4,,#DIV/0!,,,,,
Résidence Maxwell,Baie-D'Urfé,QC,4,,,,,,,
Four LTC homes in Vancouver - July 6,Vancouver,BC,3,,,,,,,
CHSLD Idola-Saint-Jean,Laval,QC,3,,#DIV/0!,,,,,
CHSLD St-VIncent-Marie,Montreal,QC,3,,#DIV/0!,"Private, for profit","Private, for profit",,,
Coopérative de solidarité La Brunante,Racine,QC,3,20,15.00%,co-op,,,,
"Mental health unit, Centre hospitalier de Lanaudière*",Lanaudière,QC,3,,#DIV/0!,Public,,,*hospital,
Bethany Lodge,Markham,ON,3,128,2.34%,Public,,,,
Extendicare Brampton,Brampton,ON,3,159,1.89%,,,,,
Hastings Manor,Belleville,ON,3,253,1.19%,Public,,,,
Lanark Heights,Waterloo,ON,3,160,1.88%,,Steeves & Rozema Group,,,
St. Patrick's Home,Ottawa,ON,3,288,1.04%,,,,,
Amica Edgemont Village,North Vancouver,BC,3,,#DIV/0!,"Private, for profit",BayBridge Seniors Housing,,https://seniorhousingnews.com/2015/09/02/baybridge-acquires-amica-for-578-million-in-latest-canadian-mega-deal/,
Ridge Meadows Hospital (Rehab and Unit 3W),Maple Ridge,BC,3,,,,,,,
Swedish Assisted Living,Vancouver,BC,3,,#DIV/0!,,,,,
Boisé Notre-Dame,Laval,QC,3,,#DIV/0!,,,,,
Chartwell Greenfield Park,Longeuil,QC,3,,#DIV/0!,"Private, for profit",Chartwell,,,
Domaine des Forges Phase I,Laval,QC,3,,#DIV/0!,,,,,
Le Boulevard Résidence Urbaine Pour Aînés,Montreal,QC,3,,,,,,,
Les Résidences Soleil - Manoir Brossard,Brossard,QC,3,,#DIV/0!,,,,,
Manoir Kirkland,Kirkland,QC,3,,#DIV/0!,,,,,
Pavillon Rigaud Inc.,Trois-Rivières,QC,3,,#VALUE!,Private,,,,
Résidence au coeur de la Vie de St-Antoine,Saint-Jérôme,QC,3,,,,,,,
Résidence Belle Époque,La Prairie,QC,3,,#DIV/0!,,,,,
Résidence Jazz Longeuil,Longeuil,QC,3,,#DIV/0!,,,,,
Résidence Le Wellesley,Pointe Claire,QC,3,,#DIV/0!,,,,,
Villa des Roseaux,Laval,QC,3,,#DIV/0!,,,,,
Douglas Crossing Retirement Home,Uxbridge,ON,3,,#DIV/0!,,,,,
Grand Wood Park RH,London,ON,3,,#DIV/0!,"Public, for profit",Revera,,,
Worthington Longterm Care Facility,Abbotsford,BC,3,,,,,,,
"Chartwell Manoir Saint-Jérome, Phase 5",Saint-Jérôme,QC,3,,#DIV/0!,"Private, for profit",Chartwell,,,
CHSLD Docteur-Aimé-Leduc,Salaberry-de-Valleyfield,QC,3,,,,,,,
La Loche LTC facility,La Loche,SK,2,,#DIV/0!,,,,,
Centre d'hébergement Cooke,Trois-Rivières,QC,2,,#DIV/0!,,,,,
Centre d'hébergement Waldorf,Cote St-Luc,QC,2,212,0.94%,"Private, not subsidized",,,,
CHSLD de Blainville,Blainville,QC,2,,#DIV/0!,,,,,
CHSLD Gertrude-Lafrance,Saint-Jean-sur-Richelieu,QC,2,,,,,,,
CHSLD Marie-Rollet,Montreal,QC,2,,,,,,,
CHSLD Notre-Dame-de-Lourdes,Quebec City,QC,2,,#DIV/0!,Public,,,,
CHSLD Résidence Saint-Joseph de Maria,Maria,QC,2,,#DIV/0!,,,,,
CSSS du Granit -Point de service de Lambton,Lambton,QC,2,,#DIV/0!,,,,,
Hopital de soins psychiatriques de l'est de MTL,Montreal,QC,2,,#DIV/0!,,,,,
Hopital général du lakeshore,Pointe Claire,QC,2,,,,,,,
Hopital Sainte-Anne,Sainte-Anne-de-Bellevue,QC,2,,#DIV/0!,,,,,
L’Ermitage,Drummondville,QC,2,,#DIV/0!,,,,,
Pavillon Philippe-Lapointe,Sainte-Agathe,QC,2,,#DIV/0!,,,,,
Snowdon Residence,Montreal,QC,2,,#DIV/0!,,,,,
UCDG Cloutier-du Rivage*,Trois-Rivières,QC,2,,#DIV/0!,,,,*geriatric unit,
Baycrest Apotex Centre - Jewish Home for the Aged,Toronto,ON,2,472,0.42%,"Private, not for profit",,ONA,,
CAMH,Toronto,ON,2,,#DIV/0!,,,ONA,,
Dufferin Oaks,Shelburne  ,ON,2,160,1.25%,Public,,ONA,,
Dundurn Place Care Centre,Hamilton,ON,2,201,1.00%,"Private, for profit",Rykka Care Centres Lp,,,
Emmanuel House Hospice,Hamilton,ON,2,,#DIV/0!,,,,,
Henley Place,London,ON,2,192,1.04%,"Private, for profit",Primacare Living Solutions,,,
Horizon Place,London,ON,2,,,"Private, for profit",Revera,,,
Queensway Carleton Hospital,Ottawa,ON,2,,,,,,,
Valley View Residence,Toronto,ON,2,174,1.15%,"Private, not for profit",Advent Health Care Corporation,,,
Harbourstone Enhanced Care,Sydney River,NS,2,,#DIV/0!,,Shannex,,,
Manoir de la Vallée,Atholville,NB,2,39,5.13%,Private,Groupe Lokia,,,
Chartwell Willow Long-term Care ,Maple Ridge,BC,2,,#DIV/0!,"Private, for profit",Chartwell,,,
Residence at Clayton Heights,Surrey,BC,2,,#DIV/0!,,,,,
South Granville Park Lodge,Vancouver,BC,2,,#DIV/0!,,,,,
Chartwell Bois-de-Boulogne,Montreal,QC,2,,#DIV/0!,"Private, for profit",Chartwell,,,
Le Domaine Saint-Rémi,Saint-Constant,QC,2,,#DIV/0!,,,,,
Le Manoir Laverdure inc.,Chateauguay,QC,2,,#DIV/0!,,,,,
Les Habitations Bordeleau (Phase VII),Saint-Charles-Borromée,QC,2,,#DIV/0!,,,,,
Les Loggias,Laval,QC,2,,#DIV/0!,,,,,
Les Marronniers,Laval,QC,2,,#DIV/0!,,,,,
Les Résidences Desjardins Boisbriand,Boisbriand,QC,2,,,,,,,
Les Résidences du Manoir de la Falaise Inc.,Saint-Sauveur,QC,2,,,,,,,
Les Résidences Soleil - Manoir Saint-Laurent,Montreal,QC,2,,#DIV/0!,,,,,
Les Résidences Soleil - Pointe aux trembles,Montreal,QC,2,,,,,,,
Manoir Ange-Marie,Saint-Jérôme,QC,2,,#DIV/0!,,,,,
Manoir Les Retrouvailles,Saint-Jérôme,QC,2,,#DIV/0!,,,,,
Manoir Louisiane,Montreal,QC,2,,,,,,,
Résidence Cavalier de Lasalle,Montreal,QC,2,,#DIV/0!,,,,,
Résidence JA De Sève,Montreal,QC,2,,#DIV/0!,,,,,
Résidence L'Ermitage,Drummondville,QC,2,,#DIV/0!,,,,,
Résidence La Gappe,Outaouais,QC,2,,,,,,,
Résidence LaBelle Marguerite,Longeuil,QC,2,,#DIV/0!,,,,,
Résidence LaSalle,Montreal,QC,2,,#DIV/0!,,,,,
Résidence Le Faubourg,Repentigny,QC,2,,#DIV/0!,,,,,
Résidence le Jardin de Saules Inc.,Laval,QC,2,,#DIV/0!,,,,,
Résidence le Voilier Blanc,Saint-Paul-de-l'Île,QC,2,,,,,,,
Résidence Les Cascades Inc.,Montreal,QC,2,,#DIV/0!,Private,,,,
Résidence Sheppard et James Victoria,Montreal,QC,2,,#DIV/0!,,,,,
Verrières du Golf,Montreal,QC,2,,#DIV/0!,,,,,
Villa Louiseville,Louiseville,QC,2,,#DIV/0!,,,,,
Le 15 Lesage,Sainte-Thérèse,QC,2,,#DIV/0!,,,,,
Amica Riverside ,Windsor,ON,2,96,2.08%,"Private, for profit",Axr Operating (National) Lp,SEIU,,
Maplewood Retirement Community,Ottawa,ON,2,,#DIV/0!,,,Unifor,,
Regency Retirement Home,Mississauga,ON,2,,#DIV/0!,,,,,
Richview Manor,Richmond Hill,ON,2,,,,,,,
Sunrise of Unionville,Markham,ON,2,,#DIV/0!,,,,,
Weston Gardens Retirement Residence,Toronto,ON,2,,,,,,,
La Seigneurie de Rigaud,Rigaud,QC,2,,,,,,,
Manoir Louis Joliet,Joliette,QC,2,,,,,,,
Sélection Graham,Mont-Royal,QC,2,,,,,,,
Manoir du Boisé Gagnon,Bois-des-Filion,QC,3,,,,,,,
Shepherd's Care Greenfield campus,Edmonton,QB,1,,,,,,,
Father Lacombe Nursing Home,Calgary,AB,1,,,,,,,
CHSLD et CLSC Frederick-George Heriot,Drummondville,QC,1,,,,,,,
Garden City Manor,St. Catharines,ON,1,200,0.50%,,,,,
Résidence Boréa,Blainville,QC,1,,,,,,,
Les Résidences du Manoir de la Vallée,Saint-Sauveur,QC,1,,,,,,,
Centre Multi. SSS Rivière-des-Prairies,Montreal,QC,1,,,,,,,
Centre d'hébergement Champlain-de-Gatineau,Gatineau,QC,1,,,,,,,
Centre d'hébergement de Monseigneur-Coderre,Longeuil,QC,1,,#DIV/0!,,,,,
Centre d'hébergement de Plessisville,Pessisville,QC,1,,#DIV/0!,,,,,
Centre d'hébergement de Saint-Eustache,Saint-Eustache,QC,1,195,0.51%,Public,,,,
Centre d'hébergement Hubert-Maisonneuve,Rosemère,QC,1,,#DIV/0!,,,,,
Centre d'hébergement Mgr-Ross de Gaspé,Gaspé,QC,1,,#DIV/0!,,,,,
Centre d'hébergement Yvonne-Sylvain,Quebec City,QC,1,,#DIV/0!,,,,,
Centre d'hérgement St-Joseph,Drummondville,QC,1,,,,,,,
Château Westmount,Montreal,QC,1,,#DIV/0!,,,,,
CHSLD de la Maison,Valleyfield,QC,1,,#DIV/0!,,,,,
CHSLD de Saint-Raphael,Saint-Raphaël,QC,1,,#DIV/0!,,,,,
CHSLD Healther I,Rawdon,QC,1,,,,,,,
CHSLD Roland-Leclerc,Trois-Rivières,QC,1,,,,,,,
CHSLD Vigi-Shermont,Sherbrooke,QC,1,,#DIV/0!,,,,,
CHSLD Yvonne-Sylvain,Beauport,QC,1,116,0.86%,Private,,,,
Maison des Aînés de St-Timothée,Salaberry-de-Valleyfield,QC,1,,#DIV/0!,,,,,
Providence St-Joseph,Montreal,QC,1,,#DIV/0!,,,,,
Chartwell Pickering City,Pickering,ON,1,,#DIV/0!,"Private, for profit",Chartwell,,,
Craiglee Nursing Home,Scarborough,ON,1,,#DIV/0!,"Private, for profit",Southbridge Care Homes,,,
Cummer Lodge,North York,ON,1,,#DIV/0!,,,,,
Eagle Terrace Long-Term Care Home,Newmarket,ON,1,70,1.43%,"Public, for profit",Revera,"LiUNA, ONA",,
Earls Court Village,London,ON,1,128,0.78%,"Private, for profit","Sharon Farms & Enterprises Limited, managed by Responsive","ONA, Unifor",,
Faith Manor,Brampton,ON,1,,,"Private, not for profit",Holland Christian Homes Inc.,,,
Lakeridge Health Ajax-Pickering,Ajax,ON,1,,,,,,,
Billings Court Manor,Burlington,ON,1,160,,,,,,
Mackenzie Health Reactivation Care Centre,Toronto,ON,1,129,0.78%,Public,,,,
Maple Grove Care Community,Mississauga,ON,1,,,"Private, for profit",Sienna Senior Living,,,
McCall Centre for Continuing Care,Toronto,ON,1,21,4.76%,Public,Extendicare,CUPE,,
Meadow Park Nursing Home,London ,ON,1,126,0.79%,"Private, for profit",,"ONA, Unifor",,
New Leaf Pines Residence,Newmarket,ON,1,,#DIV/0!,,,,,* residence for adults with complex disabilities
Chateau sur le lac,Montreal,ON,1,,,,,,,
Providence Healthcare,Scarborough,ON,1,288,0.35%,"Private, not for profit",Providence St. Joseph's And St. Michael's Healthcare,ONA,,
Salvation Army / Toronto Grace,Toronto,ON,1,,#DIV/0!,,,ONA,,
Sisters of St. Joseph,London,ON,1,,#DIV/0!,Convent,,,,
St. Joseph’s at Fleming*,Peterborough,ON,1,200,0.50%,,,,*palliative care facility,
St. Joseph’s Villa,Sudbury,ON,1,128,0.78%,,,,,
Sun Parlor Home for Senior Citizens,Leamington,ON,1,206,0.49%,Public,,"CUPE, ONA",,
Tendercare Living Centre,Scarborough,ON,1,254,0.39%,,,,,
The Norfolk Hospital Nursing Home,Simcoe,ON,1,80,1.25%,,,,,
True Davidson Acres,Toronto,ON,1,187,,,,,,
University of Ottawa Heart Institute,Ottawa,ON,1,,#DIV/0!,,,,,
Wesburn Manor,Etobicoke,ON,1,192,,Public,,,,
West Park Health Centre,St. Catharines,ON,1,101,0.99%,"Private, for profit",Cvh (No.1) Lp managed by Extendicare,,,
Westside,Etobicoke,ON,1,242,0.41%,"Private, for profit",Revera,,,
Admiral Long Term Care Centre,Dartmouth,NS,1,,#DIV/0!,"Public, for profit",GEM,CUPE,,
Poseidon Care Centre,Winnipeg,MB,1,,#DIV/0!,"Public, for profit",Revera,,,
Eden Care Centre,Chilliwack,BC,1,,#DIV/0!,"Private, for profit",,,,
New Vista Care Home,Burnaby,BC,1,,#DIV/0!,"Public, not for profit",,,,
Shaughnessy Care Centre,Port Coquitlam,BC,1,,#DIV/0!,,,,,
Valhaven Home,Abbotsford,BC,1,,#DIV/0!,"Private, not for profit",,,,
Windermere Care Centre,Vancouver,BC,1,,#DIV/0!,"Private, for profit",,,,
South Country Village,Medicine Hat,AB,1,,,,,,,
Bethany Care Centre,Calgary,AB,1,,#DIV/0!,"Private, not for profit",Lutheran church,,,
Chateau Romanoffe,Salaberry-de-Valleyfield,QC,1,,,,,,,
Acceuil Notre-Dame Inc.,Magog,QC,1,63,1.59%,"Private, non profit",,,,
Auberge Joie de vivre,Saguenay,QC,1,39,2.56%,Private,,,,
Beit Chai inc.,Montreal,QC,1,15,6.67%,Private,,,,
Bleu Horizon,Rouyn-Noranda,QC,1,,#DIV/0!,,,,,
Boisé Notre-Dame Phase 5,Laval,QC,1,,#DIV/0!,,,,,
Carrefour Rosemont,Montreal,QC,1,,#DIV/0!,,,,,
Centre de Santé du Couvent (Joliette) SENC,Joliette,QC,1,,,,,,,
Chartwell Domaine Harmonie,Boucherville,QC,1,,#DIV/0!,"Private, for profit",Chartwell,,,
Chartwell Domaine Notre-Dame,Gatineau,QC,1,,#DIV/0!,"Private, for profit",Chartwell,,,
Chartwell Villa Rive-Sud,Longeuil,QC,1,,#DIV/0!,"Private, for profit",,,,
Chateau B'nai Brith Inc.,Cote St-Luc,QC,1,,#DIV/0!,,,,,
Cité des Retraités NDF INC,Montreal,QC,1,,#DIV/0!,,,,,
Côte Saint-Paul,Montreal,QC,1,,#DIV/0!,,,,,
Demeure Saine-Hilaire,Mont-Saint-Hilaire,QC,1,,#DIV/0!,,,,,
FGK Étoile Filante Inc.,Lebel-sur-Quévillon,QC,1,,#DIV/0!,,,,,
Habitations Vive chez soi,Quebec City,QC,1,,#DIV/0!,,,,,
Kay's Residence,Hinchinbrooke,QC,1,,#DIV/0!,,,,,
L'Auberge de la Rivière Joliette Inc.,Saint-Charles-Borromée,QC,1,,,,,,,
La Résidence Fulford,Montreal,QC,1,,,,,,,
La Résidence Steger,Laval,QC,1,,,,,,,
La Sélection Laval,Laval,QC,1,,#DIV/0!,,,,,
La Villa des Cygnes,Bécancour,QC,1,,#DIV/0!,,,,,
Le 1313 Chomeday,Laval,QC,1,,#DIV/0!,,,,,
"Le Bellevue, Résidence Bellevue Gouin",Montreal,QC,1,,,,,,,
Le Cambridge,Montreal,QC,1,,,,,,,
Le Castel,Saint-Lambert,QC,1,,,,,,,
Le Clair Matin,Longeuil,QC,1,,#DIV/0!,,,,,
Le Havre de Trait-Carré,Quebec City,QC,1,,#DIV/0!,,,,,
Le Havre du Faubourg Inc.,Nicolet,QC,1,,#DIV/0!,,,,,
Le Mile End,Montreal,QC,1,,#DIV/0!,,,,,
Le Symbiose,Montreal,QC,1,,#DIV/0!,,,,,
Le Waldorf,Cote St-Luc,QC,1,,,,,,,
Les Habitations Bordeleau (Phase IV),Saint-Charles-Borromée,QC,1,,#DIV/0!,,,,,
Les Habitats Lafayette,Longeuil,QC,1,,#DIV/0!,,,,,
Les Jardins de la Cité,Drummondville,QC,1,,#DIV/0!,,,,,
Les Jardins Lavoilette,Trois-Rivières,QC,1,,#DIV/0!,,,,,
Les Résidences Alexandre inc.,Saint-Jérôme,QC,1,,#DIV/0!,,,,,
Les Résidences du Manoir TR inc.,Trois-Rivières,QC,1,,#DIV/0!,,,,,
Les Résidences France et Yvon Héroux,Louiseville,QC,1,,,,,,,
Les Résidences Soleil - Manoir Sainte Julie,Sainte-Julie,QC,1,,#DIV/0!,,,,,
Maison de vie Sunrise DDO,Dollard-des-Ormeaux,QC,1,,,,,,,
Manoir de l'Acadie,Montreal,QC,1,,,,,,,
Manoir de l’arbre argenté,Lévis,QC,1,,#DIV/0!,,9141-7857 Quebec inc,,,
Manoir Drummond,Drummondville,QC,1,,#DIV/0!,,,,,
Manoir Du Soleil Levant,Montreal,QC,1,,#DIV/0!,,,,,
Manoir Le Sapinois,Pincourt,QC,1,,,,,,,
Manoir Pierrefonds,Montreal,QC,1,,#DIV/0!,,,,,
Manoir Westmount Inc.,Westmount,QC,1,,,,,,,
Place St-Moritz,Montreal,QC,1,,#DIV/0!,,,,,
Providence Notre-Dame-de-Grâce,Montreal,QC,1,,,,,,,
Résidence Anjou sur le lac,Montreal,QC,1,,,,,,,
Résidence Au Coeur de l'amitié,Saint-Charles-Borromée,QC,1,,#DIV/0!,,,,,
Résidence Blue et Or,Richelieu,QC,1,,#DIV/0!,,,,,
Résidence des Jardins,Saint-André-Avellin,QC,1,,#DIV/0!,,,,,
Résidence Desjardins,Senneterre,QC,1,,#DIV/0!,,,,,
Résidence du Jardin Botanique,Montreal,QC,1,,#DIV/0!,,,,,
Résidence du Verger,Saint-Jérôme,QC,1,,#DIV/0!,,,,,
Résidence Élizabeth,Montreal,QC,1,,,,,,,
Résidence Jazz Ste Foy,Ste-Foy,QC,1,,#DIV/0!,,,,,
Résidence l'Amitié Saraguay (1874) inc.,Montreal,QC,1,,#DIV/0!,,,,,
Résidence l'Artisan,Saint-Eustache,QC,1,,#DIV/0!,,,,,
Résidence L'Avantage,Brossard,QC,1,,#DIV/0!,,,,,
Résidence l'Harmonie,Shawinigan,QC,1,,,,,,,
Résidence Le Chateau Royal,Dollard-des-Ormeaux,QC,1,,#DIV/0!,,,,,
Résidence le Citadin SEC,Montreal,QC,1,,#DIV/0!,Private,,,,
Résidence le Riverain 2016 inc.,Lotbinière,QC,1,,#DIV/0!,,,,,
Résidence le St-Malo,Longeuil,QC,1,,,,,,,
Résidence Liliana,Montreal,QC,1,,#DIV/0!,,,,,
Résidence Lionel-Bourdon,Montreal,QC,1,,#DIV/0!,,,,,
Résidence Mémoire d'Antan,Joliette,QC,1,,#DIV/0!,,,,,
Les Résidences du manoir Sainte-Adele Inc.,Sainte-Adèle,QC,1,,,Private,,,,
Résidence Mimosa,Laval,QC,1,,,,,,,
Résidence Nadia Bastien,Sainte-Marie-Salomé,QC,1,,#DIV/0!,,,,,
Résidence Phimo,Montreal,QC,1,,,,,,,
Résidence Place Belvedère inc.,Montreal,QC,1,,#DIV/0!,,,,,
Résidence Richelieu,Trois-Rivières,QC,1,,,,,,,
Résidence Rosalie-Cadron,Montreal,QC,1,,#DIV/0!,,,,,
Résidence Saint-Eugene,Montreal,QC,1,,#DIV/0!,,,,,
Résidence Saint-Michel,Dolbeau-Mistassini,QC,1,,#DIV/0!,,,,,
Résidence Saint-Raphaël,Saguenay,QC,1,,#DIV/0!,,,,,
Résidence Sainte-Anne,Rawdon,QC,1,,#DIV/0!,,,,,
Résidence St-Denis d'Ahuntsic,Montreal,QC,1,,,,,,,
Résidence St-Georges,Shawinigan,QC,1,,#DIV/0!,,,,,
Résidence Ste-Catherine,Saint-Hyacinthe,QC,1,,#DIV/0!,,,,,
Résidence Vista,Montreal,QC,1,,,,,,,
Résidences Les Deux Aires,Montreal,QC,1,,#DIV/0!,,,,,
Résidences St-Georges de St-Michel des Saints inc,Saint-Michel-des-Saints,QC,1,,#DIV/0!,,,,,
Résidence Lemieux Inc.,Saint-Jérôme,QC,1,,,,,,,
Station Est,Montreal,QC,1,,#DIV/0!,,,,,
Terraces Dominicaines 2016 Inc.,Trois-Rivières,QC,1,,#DIV/0!,,,,,
Villa Berthier,Lanoraie,QC,1,,#DIV/0!,,,,,
Villa des chutes,Rawdon,QC,1,,#DIV/0!,,,,,
Villa Mon Calme,Lanoraie,QC,1,,#DIV/0!,,,,,
Villa Ste-Rose,Laval,QC,1,,#DIV/0!,,,,,
Villlagia de l'Ile Paton,Laval,QC,1,,#DIV/0!,,,,,
Bradgate Arms RH,Toronto,ON,1,246,0.41%,"Public, for profit",Revera,ONA,,
Bramalea Retirement Residence,Brampton,ON,1,,,,,,,
Carolina Retirement Residence,Perth,ON,1,,#DIV/0!,"Private, for profit",Sienna Senior Living,,,
Greenway ,Brampton,ON,1,,#DIV/0!,"Private, for profit",Revera,,,
King Gardens Retirement Home,Mississauga,ON,1,,#DIV/0!,,,,,
Queen Victoria Place,Petrolia,ON,1,,,Co-op,,,,
Pickering City Centre Retirement Home,Pickering,ON,1,,#DIV/0!,,,,,
Scarborough Retirement Residence,Scarborough,ON,1,,,,,,,
The Village at University Gates,Waterloo,ON,1,,#DIV/0!,"Private, for profit",Schlegel Villages,,,
The Westhill retirement residence,Waterloo,ON,1,,#DIV/0!,Private ,Sifton Properties,,,
The Westwood 2,Ottawa,ON,1,,,"Private, for profit",Revera,,,
Unnamed London retirement facility - June 12,London,ON,1,,,,,,,
VIVA Thornhill Woods Retirement Community,Thornhill,ON,1,,,,,,,
Wynfield Retirement Retirement Residence,Oshawa,ON,1,,#DIV/0!,,,,,
Chartwell Eau Claire Retirement Residences,Calgary,AB,1,,,,,,,
Bordeaux Jail,Montreal,QC,1,,,Public,,,,
Domaine des Trembles,Gatineau,QC,1,,,,,,,
Federal Training Centre*,Laval,QC,1,,#DIV/0!,Public,,,*jail,
Dixon Hall School House*,Toronto,ON,1,,#DIV/0!,,,,,*shelter
Reactivation Care Centre,Toronto,ON,1,,#DIV/0!,,,,,
Reena Lebovic Community Residence*,Thornhill,ON,1,,#DIV/0!,,,,,*residential care facility for adults with disabilities
Seaton House*,Toronto,ON,1,,#DIV/0!,,,,,*shelter
Mission Institution*,"Mission, BC",BC,1,,#DIV/0!,Public correctional facility,,,,*correctional facility
,,,,,,,,,,
,,,,,,,,,,
,TOTAL,,7417,,,,,,,
,,,,,,,,,,
Medical personnel reported dead,,,24,,,,,,,
,,,,,,,,,,
Workplace outbreak deaths,,,25,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Total deaths in CAN,,8884,,,,,,,
,,,,,,,,,,
,Percentage in LTC,,0.834871679,,,,,,,
,Percentage healthcare workers,,0.002701486,,,,,,,
,Percentage workplace deaths,,0.002814048,,,,,,,
