"Facility Name","Facility Address",City,Province,Postal,Country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Riding Code","Riding Name (French)","Riding Name (English)","Statcan Census Division id","Statcan Census Division Name","Statcan Census Division Type","Statcan Census Division Type Description","Statcan Census Consolidated Subdivision id","Statcan Census Consolidated Subdivision Name","Statcan Census Subdivision id","Statcan Census Subdivision Name","Statcan Census Subdivision Type","Statcan Census Subdivision Type Description","Statcan Census Economic Region","Statcan Census Statistical Area Code","Statcan Census Statistical Area Code Description","Statcan Census Statistical Area Type","Statcan Census Statistical Area Type Description","Statcan Census CMA/CA id","Statcan Census CMA/CA Name","Statcan Census CMA/CA Type","Statcan Census CMA/CA Type Description","Statcan Census Tract","Statcan Census Year"
"Consort Hospital And Care Centre","5402 52 Avenue CONSORT, Alberta T0C 1B0",CONSORT,Alberta,"T0C 1B0",Canada,52.010335,-110.780962,1,rooftop,5402,"52nd Ave",,,Consort,AB,,T0C,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48002,"Battle River--Crowfoot","Battle River--Crowfoot",4804,"Division No.  4",CDR,"Census division / Division de recensement CT County / Comté",4804020,"Special Area No. 4",4804022,Consort,VL,Village,Camrose--Drumheller,997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Coronation Hospital And Care Centre","5000 Municipal Road CORONATION, Alberta T0C 1C0",CORONATION,Alberta,"T0C 1C0",Canada,52.092955,-111.449,0.27,place,,,,,Coronation,AB,,T0C,CA,"CanVec+ by Natural Resources Canada",48002,"Battle River--Crowfoot","Battle River--Crowfoot",4807,"Division No.  7",CDR,"Census division / Division de recensement CT County / Comté",4807011,"Paintearth County No. 18",4807012,Coronation,T,Town,Camrose--Drumheller,997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Crowsnest Pass Health Centre","2001 107 Street BLAIRMORE, Alberta T0K 0E0",BLAIRMORE,Alberta,"T0K 0E0",Canada,49.617761,-114.459347,1,rooftop,2001,"107th St",,,"Crowsnest Pass",AB,,T0K,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48022,Foothills,Foothills,4815,"Division No. 15",CDR,"Census division / Division de recensement CT County / Comté",4815045,"Ranchland No. 66",4815007,"Crowsnest Pass",SM,"Specialized municipality","Banff--Jasper--Rocky Mountain House",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Devon General Hospital","101 Erie Street South DEVON, Alberta T9G 1A6",DEVON,Alberta,"T9G 1A6",Canada,53.355607,-113.72909,0.6,street_center,,"Erie St S",,,Devon,AB,,T9G,CA,"CanVec+ by Natural Resources Canada",48021,Edmonton--Wetaskiwin,Edmonton--Wetaskiwin,4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811012,"Leduc County",4811018,Devon,T,Town,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350156.00,2016
"Devonshire Care Centre","1808 142 Street NW EDMONTON, Alberta T6R 3H2"," EDMONTON",Alberta,"T6R 3H2",Canada,53.4567,-113.5801,0.23,place,,,,,Edmonton,AB,,T6R,CA,"CanVec+ by Natural Resources Canada",48018,"Edmonton Riverbend","Edmonton Riverbend",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350005.10,2016
"Didsbury District Health Services","1210 20 Avenue DIDSBURY, Alberta T0M 0W0",DIDSBURY,Alberta,"T0M 0W0",Canada,51.660846,-114.119736,1,point,1210,"20th Ave",,,Delburne,AB,,T0M,CA,"CanVec+ by Natural Resources Canada",48029,"Red Deer--Mountain View","Red Deer--Mountain View",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806028,"Mountain View County",4806032,Didsbury,T,Town,Calgary,997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Dr. Cooke Extended Care Centre","3915 56 Avenue LLOYDMINSTER, Alberta T9V 1N9",LLOYDMINSTER,Alberta,"T9V 1N9",Canada,53.279837,-110.021411,0.5,street_center,,"56A Ave",,,Lloydminster,AB,,T9V,CA,"CanVec+ by Natural Resources Canada",48025,Lakeland,Lakeland,4810,"Division No. 10",CDR,"Census division / Division de recensement CT County / Comté",4810036,"Vermilion River County",4810039,"Lloydminster (Part)",CY,City,Camrose--Drumheller,840,"CMA or CA",3,"Census subdivision within census agglomeration having no census tracts",840,"Lloydminster (Alberta part / partie de l'Alberta)",D,"Census agglomeration (CA) that is not tracted",,2016
"Dr. W.R. Keir - Barrhead Continuing Care Centre","5336 59 Avenue BARRHEAD, Alberta T7N 1L2",BARRHEAD,Alberta,"T7N 1L2",Canada,54.128793,-114.406436,1,range_interpolation,5336,"59th Ave",,,Barrhead,AB,,T7N,CA,"CanVec+ by Natural Resources Canada",48028,"Peace River--Westlock","Peace River--Westlock",4813,"Division No. 13",CDR,"Census division / Division de recensement CT County / Comté",4813018,"Barrhead County No. 11",4813019,Barrhead,T,Town,"Athabasca--Grande Prairie--Peace River",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Drayton Valley Hospital And Care Centre","4550 Madsen Avenue DRAYTON VALLEY, Alberta T7A 1N8","DRAYTON VALLEY",Alberta,"T7A 1N8",Canada,53.210648,-114.968661,0.6,street_center,,"Madsen Ave",,,"Drayton Valley",AB,,T7A,CA,"CanVec+ by Natural Resources Canada",48034,Yellowhead,Yellowhead,4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811032,"Brazeau County",4811031,"Drayton Valley",T,Town,Edmonton,998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Drumheller Health Centre","351 9 Street NW DRUMHELLER, Alberta T0J 0Y1",DRUMHELLER,Alberta,"T0J 0Y1",Canada,51.470806,-112.723948,1,point,351,"9th St NW",,,Drumheller,AB,,T0J,CA,"CanVec+ by Natural Resources Canada",48002,"Battle River--Crowfoot","Battle River--Crowfoot",4805,"Division No.  5",CDR,"Census division / Division de recensement CT County / Comté",4805031,"Starland County",4805026,Drumheller,T,Town,Camrose--Drumheller,998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Edith Cavell Care Centre","1255 5 Avenue South LETHBRIDGE, Alberta T1J 0V6",LETHBRIDGE,Alberta,"T1J 0V6",Canada,49.694005,-112.825877,1,rooftop,1255,"5th Ave S",,,Lethbridge,AB,,T1J,CA,"City of Lethbridge",48026,Lethbridge,Lethbridge,4802,"Division No.  2",CDR,"Census division / Division de recensement CT County / Comté",4802011,"Lethbridge County",4802012,Lethbridge,CY,City,"Lethbridge--Medicine Hat",810,"CMA or CA",1,"Census subdivision within census metropolitan area",810,Lethbridge,B,"Census metropolitan area (CMA)",8100006.00,2016
"Edmonton General Continuing Care Centre","11111 Jasper Avenue EDMONTON, Alberta T5K 0L4"," EDMONTON",Alberta,"T5K 0L4",Canada,53.539876,-113.51303,0.9,rooftop,11111,"Jasper Ave NW",,,Edmonton,AB,,T5K,CA,"City of Edmonton",48014,Edmonton-Centre,"Edmonton Centre",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350032.02,2016
"Elk Point Healthcare Centre","5310 50 Avenue ELK POINT, Alberta T0A 1A0","ELK POINT",Alberta,"T0A 1A0",Canada,53.836814,-113.417196,1,range_interpolation,5310,"50th Ave",,,Redwater,AB,,T0A,CA,"CanVec+ by Natural Resources Canada",48033,"Sturgeon River--Parkland","Sturgeon River--Parkland",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811059,"Sturgeon County",4811066,"Bon Accord",T,Town,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350142.01,2016
"Extendicare Athabasca","4517 53 Street ATHABASCA, Alberta T9S 1K4",ATHABASCA,Alberta,"T9S 1K4",Canada,54.715847,-113.290937,1,range_interpolation,4517,"53rd St",,,Athabasca,AB,,T9S,CA,"CanVec+ by Natural Resources Canada",48025,Lakeland,Lakeland,4813,"Division No. 13",CDR,"Census division / Division de recensement CT County / Comté",4813044,"Athabasca County",4813048,Athabasca,T,Town,"Athabasca--Grande Prairie--Peace River",998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Extendicare Bonnyville","4602 47 Avenue BONNYVILLE, Alberta T9N 2E8",BONNYVILLE,Alberta,"T9N 2E8",Canada,54.264909,-110.730202,1,point,4602,"47th Ave",,,Bonnyville,AB,,T9N,CA,"CanVec+ by Natural Resources Canada",48025,Lakeland,Lakeland,4812,"Division No. 12",CDR,"Census division / Division de recensement CT County / Comté",4812004,"Bonnyville No. 87",4812009,Bonnyville,T,Town,"Wood Buffalo--Cold Lake",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Extendicare Cedars Villa","3330 8 Avenue SW CALGARY, Alberta T3C 0E7",CALGARY,Alberta,"T3C 0E7",Canada,51.045147,-114.133614,1,rooftop,3330,"8th Ave SW",,,Calgary,AB,,T3C,CA,"City of Calgary",48012,"Calgary Signal Hill","Calgary Signal Hill",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250048.00,2016
"Extendicare Eaux Claires","16503 95 Street EDMONTON, Alberta T5Z 0G7"," EDMONTON",Alberta,"T5Z 0G7",Canada,53.627036,-113.485915,0.9,rooftop,16503,"95th St NW",,,Edmonton,AB,,T5Z,CA,"City of Edmonton",48016,"Edmonton Manning","Edmonton Manning",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350078.12,2016
"Extendicare Fort MacLeod","654 29 Street Box 189 FORT MACLEOD, Alberta T0L 0Z0","FORT MACLEOD",Alberta,"T0L 0Z0",Canada,49.72922,-113.395542,1,rooftop,654,"29th St",,,"Fort Macleod",AB,,T0L,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48022,Foothills,Foothills,4803,"Division No.  3",CDR,"Census division / Division de recensement CT County / Comté",4803018,"Willow Creek No. 26",4803019,"Fort Macleod",T,Town,"Lethbridge--Medicine Hat",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Extendicare Hillcrest","1512 8 Avenue NW CALGARY, Alberta T2N 1C1",CALGARY,Alberta,"T2N 1C1",Canada,51.059774,-114.095334,1,rooftop,1512,"8th Ave NW",,,Calgary,AB,,T2N,CA,"City of Calgary",48005,"Calgary Confederation","Calgary Confederation",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250057.00,2016
"Extendicare Holyrood [Extendicare Holyrood (South)]","8008 95 Avenue EDMONTON, Alberta T6C 2T1"," EDMONTON",Alberta,"T6C 2T1",Canada,53.53281,-113.451725,0.9,rooftop,8008,"95th Ave NW",,,Edmonton,AB,,T6C,CA,"City of Edmonton",48019,"Edmonton Strathcona","Edmonton Strathcona",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350036.00,2016
"Extendicare Leduc","4309 50 Street Box 280 LEDUC, Alberta T9E 6K6","LEDUC,",Alberta,"T9E 6K6",Canada,53.256556,-113.548345,1,point,4309,"50th St",,,Leduc,AB,,T9E,CA,"CanVec+ by Natural Resources Canada",48021,Edmonton--Wetaskiwin,Edmonton--Wetaskiwin,4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811012,"Leduc County",4811016,Leduc,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350154.00,2016
"Extendicare Mayerthorpe","4706 54 Street MAYERTHORPE, Alberta T0E 1N0",MAYERTHORPE,Alberta,"T0E 1N0",Canada,53.891358,-114.914757,0.4,street_center,,"54th Ave",,,Sangudo,AB,,T0E,CA,"CanVec+ by Natural Resources Canada",48034,Yellowhead,Yellowhead,4813,"Division No. 13",CDR,"Census division / Division de recensement CT County / Comté",4813001,"Lac Ste. Anne County",4813001,"Lac Ste. Anne County",MD,"Municipal district","Athabasca--Grande Prairie--Peace River",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Extendicare Michener Hill (LTC)","12 Michener Boulevard RED DEER, Alberta T4P 0M1","RED DEER",Alberta,"T4P 0M1",Canada,52.269969,-113.782799,1,rooftop,12,"Michener Blvd",,,"Red Deer",AB,,T4P,CA,"City of Red Deer",48030,"Red Deer--Lacombe","Red Deer--Lacombe",4808,"Division No.  8",CDR,"Census division / Division de recensement CT County / Comté",4808001,"Red Deer County",4808011,"Red Deer",CY,City,"Red Deer",830,"CMA or CA",2,"Census subdivision within census agglomeration with at least one census tract",830,"Red Deer",K,"Census agglomeration (CA) that is tracted",8300009.00,2016
"Extendicare St. Paul","4614 47 Avenue ST. PAUL, Alberta T0A 3A3","ST. PAUL",Alberta,"T0A 3A3",Canada,53.948164,-113.103016,1,range_interpolation,4614,"47th Ave",,,"Bon Accord",AB,,T0A,CA,"CanVec+ by Natural Resources Canada",48033,"Sturgeon River--Parkland","Sturgeon River--Parkland",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811059,"Sturgeon County",4811065,Redwater,T,Town,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350142.02,2016
"Extendicare Viking","5020 57 Avenue Box 430 VIKING, Alberta T0B 4N0",VIKING,Alberta,"T0B 4N0",Canada,52.86735,-112.269989,0.7,range_interpolation,5020,"57th St",,,Daysland,AB,,T0B,CA,"CanVec+ by Natural Resources Canada",48002,"Battle River--Crowfoot","Battle River--Crowfoot",4807,"Division No.  7",CDR,"Census division / Division de recensement CT County / Comté",4807031,"Flagstaff County",4807039,Daysland,T,Town,Camrose--Drumheller,997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Extendicare Vulcan","715 2 Avenue South VULCAN, Alberta T0L 2B0",VULCAN,Alberta,"T0L 2B0",Canada,50.398927,-113.255541,1,rooftop,715,"2nd Ave S",,,Vulcan,AB,,T0L,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48003,"Bow River","Bow River",4805,"Division No.  5",CDR,"Census division / Division de recensement CT County / Comté",4805001,"Vulcan County",4805006,Vulcan,T,Town,Camrose--Drumheller,997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Fairview Health Complex [Continuing Care Centre]","10628 110 Street FAIRVIEW, Alberta T0H 1L0",FAIRVIEW,Alberta,"T0H 1L0",Canada,55.345083,-119.538328,0.26,street_center,,"Range Road 110",,,"Grande Prairie No. 1, County Of",AB,,T0H,CA,"CanVec+ by Natural Resources Canada",48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie",4819,"Division No. 19",CDR,"Census division / Division de recensement CT County / Comté",4819006,"Grande Prairie County No. 1",4819006,"Grande Prairie County No. 1",MD,"Municipal district","Athabasca--Grande Prairie--Peace River",996,Strong,4,"Census subdivision outside of census metropolitan area/census agglomeration area having strong metropolitan influence",,,,,,2016
"Father Lacombe Care Centre","270 Providence Boulevard SE, CALGARY, Alberta T2X0V6",CALGARY,Alberta," T2X0V6",Canada,50.921457,-114.061919,1,rooftop,270,"Providence Bv SE",,,Calgary,AB,,T2X,CA,"City of Calgary",48008,"Calgary Midnapore","Calgary Midnapore",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250001.08,2016
"Foyer Lacombe","1 St. Vital Avenue ST. ALBERT, Alberta T8N1K1","ST. ALBERT",Alberta," T8N1K1",Canada,53.639757,-113.62638,1,range_interpolation,1,"St Vital Ave",,,"St. Albert",AB,,T8N,CA,"CanVec+ by Natural Resources Canada",48031,"St. Albert--Edmonton","St. Albert--Edmonton",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811059,"Sturgeon County",4811062,"St. Albert",CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350120.03,2016
"Good Samaritan Society Southgate Care Centre","4225 107 Street, EDMONTON, Alberta T6J2P1",EDMONTON,Alberta," T6J2P1",Canada,53.480335,-113.506682,0.9,rooftop,4225,"107th St NW",,,Edmonton,AB,,T6J,CA,"City of Edmonton",48018,"Edmonton Riverbend","Edmonton Riverbend",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350001.04,2016
"Good Samaritan Society Pembina Village","5225 50 Street Evansburg, Alberta T0E0T0",EVANSBURG,Alberta," T0E0T0",Canada,53.559858,-114.468262,1,range_interpolation,5225,"50th St",,,Wildwood,AB,,T0E,CA,"CanVec+ by Natural Resources Canada",48034,Yellowhead,Yellowhead,4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811034,"Parkland County",4811045,Wabamun,VL,Village,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350166.02,2016
"Galahad Care Centre","1 Main St GALAHAD, Alberta T0B 1R0",GALAHAD,Alberta,"T0B 1R0",Canada,52.449868,-112.574925,1,range_interpolation,1,"Main St",,,"Wainwright No. 61, M.d. Of",AB,,T0B,CA,"CanVec+ by Natural Resources Canada",48002,"Battle River--Crowfoot","Battle River--Crowfoot",4807,"Division No.  7",CDR,"Census division / Division de recensement CT County / Comté",4807019,"Stettler County No. 6",4807019,"Stettler County No. 6",MD,"Municipal district",Camrose--Drumheller,998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"George McDougall - Smoky Lake Healthcare Centre","4212 55 Avenue SMOKY LAKE, Alberta T0A 3C0","SMOKY LAKE",Alberta,"T0A 3C0",Canada,54.119873,-112.463963,1,range_interpolation,4212,"55th Ave",,,Redwater,AB,,T0A,CA,"CanVec+ by Natural Resources Canada",48025,Lakeland,Lakeland,4812,"Division No. 12",CDR,"Census division / Division de recensement CT County / Comté",4812022,"Smoky Lake County",4812029,"Smoky Lake",T,Town,"Wood Buffalo--Cold Lake",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Glamorgan Care Centre","105 Galbraith Drive SW CALGARY, Alberta T3E 4Z5",CALGARY,Alberta,"T3E 4Z5",Canada,51.009168,-114.145228,1,rooftop,105,"Galbraith Dr SW",,,Calgary,AB,,T3E,CA,"City of Calgary",48012,"Calgary Signal Hill","Calgary Signal Hill",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250018.00,2016
"Good Samaritan Dr. Gerald Zetter Care Centre","9649 71 Avenue NW EDMONTON, Alberta T6E 5J2",EDMONTON,Alberta,"T6E 5J2",Canada,53.507062,-113.478121,1,rooftop,9649,"71st Ave NW",,,Edmonton,AB,,T6E,CA,"City of Edmonton",48019,"Edmonton Strathcona","Edmonton Strathcona",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350015.02,2016
"Good Samaritan Society Millwoods Centre","101 Youville Drive East EDMONTON, Alberta T6L 7A4",EDMONTON,Alberta,"T6L 7A4",Canada,53.460204,-113.424357,0.9,rooftop,101,"Youville Drive East NW",,,Edmonton,AB,,T6L,CA,"City of Edmonton",48017,"Edmonton Mill Woods","Edmonton Mill Woods",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350090.15,2016
"Good Samaritan Society Stony Plain Care Centre (LTC)","4800 55 Avenue STONY PLAIN, Alberta T7Z 1P9","STONY PLAIN",Alberta,"T7Z 1P9",Canada,53.524416,-114.002121,1,point,4800,"55th Ave",,,"Stony Plain",AB,,T7Z,CA,"CanVec+ by Natural Resources Canada",48033,"Sturgeon River--Parkland","Sturgeon River--Parkland",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811034,"Parkland County",4811048,"Stony Plain",T,Town,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350163.03,2016
"Good Samaritan South Ridge Village (LTC)","550 Spruce Way SE MEDICINE HAT, Alberta T1B 4P1","MEDICINE HAT",Alberta,"T1B 4P1",Canada,49.997978,-110.675195,1,rooftop,550,"Spruce Way SE",,,"Medicine Hat",AB,,T1B,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner",4801,"Division No.  1",CDR,"Census division / Division de recensement CT County / Comté",4801003,"Cypress County",4801006,"Medicine Hat",CY,City,"Lethbridge--Medicine Hat",805,"CMA or CA",2,"Census subdivision within census agglomeration with at least one census tract",805,"Medicine Hat",K,"Census agglomeration (CA) that is tracted",8050003.02,2016
"Grande Prairie Care Centre","9705 94 Avenue GRANDE PRAIRIE, Alberta T8V3A2","GRANDE PRAIRIE",Alberta," T8V3A2",Canada,55.164762,-118.786189,1,rooftop,9705,"94th Ave",,,"Grande Prairie",AB,,T8V,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie",4819,"Division No. 19",CDR,"Census division / Division de recensement CT County / Comté",4819006,"Grande Prairie County No. 1",4819012,"Grande Prairie",CY,City,"Athabasca--Grande Prairie--Peace River",850,"CMA or CA",2,"Census subdivision within census agglomeration with at least one census tract",850,"Grande Prairie",K,"Census agglomeration (CA) that is tracted",8500005.00,2016
"Grande Prairie Care Centre (LTC)","9705 94 Avenue GRANDE PRAIRIE, Alberta T8V3A2","GRANDE PRAIRIE",Alberta," T8V3A2",Canada,55.164762,-118.786189,1,rooftop,9705,"94th Ave",,,"Grande Prairie",AB,,T8V,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie",4819,"Division No. 19",CDR,"Census division / Division de recensement CT County / Comté",4819006,"Grande Prairie County No. 1",4819012,"Grande Prairie",CY,City,"Athabasca--Grande Prairie--Peace River",850,"CMA or CA",2,"Census subdivision within census agglomeration with at least one census tract",850,"Grande Prairie",K,"Census agglomeration (CA) that is tracted",8500005.00,2016
"Grimshaw/Berwyn And District Community Health Centre","5621 Wilcox Road GRIMSHAW, Alberta T0H 1W0",GRIMSHAW,Alberta,"T0H 1W0",Canada,56.187924,-117.608275,0.27,place,,,,,Grimshaw,AB,,T0H,CA,"CanVec+ by Natural Resources Canada",48028,"Peace River--Westlock","Peace River--Westlock",4819,"Division No. 19",CDR,"Census division / Division de recensement CT County / Comté",4819071,"Peace No. 135",4819074,Grimshaw,T,Town,"Athabasca--Grande Prairie--Peace River",998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Hanna Health Centre","904 Centre Street N, Box 830 HANNA, Alberta T0J 1P0",HANNA,Alberta,"T0J 1P0",Canada,51.649066,-111.92816,0.87,rooftop,904,"Centre St",,,Hanna,AB,,T0J,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48002,"Battle River--Crowfoot","Battle River--Crowfoot",4804,"Division No.  4",CDR,"Census division / Division de recensement CT County / Comté",4804004,"Special Area No. 2",4804011,Hanna,T,Town,Camrose--Drumheller,998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Hardisty Care Centre","6420 101 Avenue EDMONTON, Alberta T6A 0H5",EDMONTON,Alberta,"T6A 0H5",Canada,53.541825,-113.430504,0.9,rooftop,6420,"101st Ave NW",,,Edmonton,AB,,T6A,CA,"City of Edmonton",48019,"Edmonton Strathcona","Edmonton Strathcona",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350040.00,2016
"Hardisty Health Centre","4531 47 Avenue, Box 269 HARDISTY, Alberta T0B1V0",HARDISTY,Alberta," T0B1V0",Canada,53.657646,-111.2262,1,range_interpolation,4531,"47th Ave",,,Sedgewick,AB,,T0B,CA,"CanVec+ by Natural Resources Canada",48025,Lakeland,Lakeland,4810,"Division No. 10",CDR,"Census division / Division de recensement CT County / Comté",4810048,"Two Hills County No. 21",4810051,Myrnam,VL,Village,Camrose--Drumheller,999,"No influence",7,"Census subdivision outside of census metropolitan area/census agglomeration area having no metropolitan influence",,,,,,2016
"High River General Hospital","560 9 Avenue SW HIGH RIVER, Alberta T1V 1B3","HIGH RIVER",Alberta,"T1V 1B3",Canada,50.575086,-113.877894,1,point,560,"9th Ave SW",,,"High River",AB,,T1V,CA,"CanVec+ by Natural Resources Canada",48022,Foothills,Foothills,4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806001,"Foothills No. 31",4806006,"High River",T,Town,Calgary,821,"CMA or CA",3,"Census subdivision within census agglomeration having no census tracts",821,"High River",D,"Census agglomeration (CA) that is not tracted",,2016
