Facility Name,Location,Facility Address,Operator Name,Operator Type,LTC-Auxilary Hospital,LTC-Nursing Home,facility_name,latitude,longitude,outbreak_status
Smoky Lake Continuing Care Centre,Smoky Lake,"4607 52 Avenue SMOKY LAKE, Alberta T0A 3C0",Alberta Health Services,Alberta Health Services,False,True,smoky lake continuing care centre,53.25833000000001,-113.542882,0
South Terrace Continuing Care Centre,Edmonton,"5905 112 Street EDMONTON, Alberta T6H 3J4",Revera Long Term Care Inc.,Private,False,True,south terrace continuing care centre,53.545515,-113.481517,0
St. Joseph's Auxiliary Hospital,Edmonton,"10707 29 Avenue EDMONTON, Alberta T6J 6W1",Covenant Health,Voluntary,True,False,st. joseph's auxiliary hospital,50.881789000000005,-113.946797,0
St. Mary's Health Care Centre,Trochu,"451 Dechauney Avenue TROCHU, Alberta T0M 2C0",Covenant Health,Voluntary,True,False,st. mary's health care centre,53.528491,-113.300626,0
St. Michael's Health Centre,Lethbridge,"1400 9 Avenue South LETHBRIDGE, Alberta T1J 4V5",Covenant Health,Voluntary,True,False,st. michael's health centre,55.283991,-114.76283000000001,0
St. Michael's Long Term Care Centre,Edmonton,"7404 139 Avenue EDMONTON, Alberta T5C3H7",St. Michael's Health Group,Voluntary,True,True,st. michael's long term care centre,54.11694,-112.469578,0
St. Theresa General Hospital,Fort Vermilion,"4506 46 Avenue FORT VERMILION, Alberta T0H 1N0",Alberta Health Services,Alberta Health Services,True,False,st. theresa general hospital,58.3858843,-116.0122067,0
St. Therese - St. Paul Healthcare Centre,St Paul,"4713 48 Avenue ST. PAUL, Alberta T0A 3A3",Alberta Health Services,Alberta Health Services,True,False,st. therese - st. paul healthcare centre,53.98926700000001,-111.290463,0
Stettler Hospital And Care Centre,Stettler,"5912 47 Avenue STETTLER, Alberta T0C 2L0",Alberta Health Services,Alberta Health Services,True,False,stettler hospital and care centre,52.323974,-112.72346,0
Sundre Hospital And Care Centre,Sundre,"709 1 Street NE SUNDRE, Alberta T0M 1X0",Alberta Health Services,Alberta Health Services,True,False,sundre hospital and care centre,51.807789,-114.635486,0
Sunnyside Care Centre [South Country Village Campus]               (LTC),Medicine Hat,"1720 Bell Street SW MEDICINE HAT, Alberta T1A 5G1",Sunnyside Nursing Home Society,Voluntary,False,True,sunnyside care centre,53.602109999999996,-113.45651799999999,0
Sunrise Village Drayton Valley [Sunrise Village (Drayton) Holdings Ltd.],Drayton Valley,"3902 47 Street DRAYTON VALLEY, Alberta T7AA02",Seasons Retirement Communities (Drayton Valley) GP Inc.,Private,True,False,sunrise village drayton valley,55.754315000000005,-118.70206200000001,0
Taber Health Centre,Taber,"4326 50 Avenue TABER, Alberta T1G 1N9",Alberta Health Services,Alberta Health Services,True,False,taber health centre,49.7850125,-112.1651375,0
The Dianne And Irving Kipnes Centre For Veterans,Edmonton,"4470 McCrae Avenue EDMONTON, Alberta T5E 6M8",Capital Care Group Inc.,Alberta Health Services,True,False,the dianne and irving kipnes centre for veterans,52.322419000000004,-112.719425,0
The Valleyview (LTC),Medicine Hat,"65 Valleyview Drive SW MEDICINE HAT, Alberta T1A 7K5",Age Care Investments Ltd.,Private,False,True,valleyview,51.806934000000005,-114.63748400000001,0
Three Hills Health Centre,Three Hills,"1504 2 Street North THREE HILLS, Alberta T0M 2A0",Alberta Health Services,Alberta Health Services,True,False,three hills health centre,51.7078018,-113.25108590000002,0
Tofield Health Centre,Tofield,"5543 44 Street Box 1200 TOFIELD, Alberta T0B 4J0",Alberta Health Services,Alberta Health Services,True,True,tofield health centre,53.372657200000006,-112.6510992,0
Touchmark At Wedgewood,Edmonton,"18333 Lessard Road EDMONTON, Alberta T6M 2Y5",Touchmark at Wedgewood (Edmonton) Inc.,Private,False,True,touchmark at wedgewood,49.785827000000005,-112.164477,0
Two Hills Health Centre,Two Hills,"4401 53 Avenue TWO HILLS, Alberta T0B 4K0",Alberta Health Services,Alberta Health Services,True,True,two hills health centre,53.7132007,-111.731815,0
Valleyview Health Centre,Valleyview,"4802 Highway Street East VALLEYVIEW, Alberta T0H3N0",Alberta Health Alberta Health Services Services,Alberta Health Services,True,False,valleyview health centre,55.066647,-117.273404,0
Vegreville Care Centre,Vegreville,"4525 50 Street VEGREVILLE, Alberta T9A0A1",Alberta Health Services,Alberta Health Services,True,False,vegreville care centre,51.70714,-113.25207900000001,0
Venta Care Centre,Edmonton,"13525 102 Street EDMONTON, Alberta T5E 4K3",Venta Nursing Home Ltd.,Private,False,True,venta care centre,53.765378000000005,-112.77019399999999,0
Vermilion Health Centre,Vermilion,"5720 50 Avenue VERMILION, Alberta T9X 1K7",Alberta Health Services,Alberta Health Services,False,True,vermilion health centre,53.3547731,-110.8730789,0
Vulcan Community Health Centre,Vulcan,"610 Elizabeth Street S VULCAN, Alberta T0L 2B0",Alberta Health Services,Alberta Health Services,True,False,vulcan community health centre,50.3961012,-113.2588,0
Wainwright Health Centre,Wainwright,"530 6 Avenue WAINWRIGHT, Alberta T9W 1R6",Alberta Health Services,Alberta Health Services,True,False,wainwright health centre,52.840949,-110.865862,0
Walden Heights Seniors Community (LTC),Calgary,"250 Walden Drive SE CALGARY, Alberta T2X 0V1",Age Care Health Services Inc.,Private,False,True,walden heights seniors community,53.491521,-112.05698000000001,0
Wentworth Manor – The Court (LTC),Calgary,"5717 14 Avenue SW CALGARY, Alberta T3H3M2",The Brenda Strafford Foundation,Voluntary,False,True,wentworth manor - the court,53.597615000000005,-113.494607,0
Westlock Healthcare Centre [Westlock Continuing Care Centre],Westlock,"10220 93 Street WESTLOCK, Alberta T7P2G4",Alberta Health Services,Alberta Health Services,True,False,westlock healthcare centre,54.14653000000001,-113.853259,0
Westview Care Community,Linden,"700 Nursing Home Road LINDEN, Alberta T0M 1J0",Church Of God In Christ Mennonite,Voluntary,False,True,westview care community,50.396763,-113.257322,0
Westview Health Centre - Stony Plain,Stony Plain,"4405 Southpark Drive STONY PLAIN, Alberta T7Z2M7",Alberta Health Services,Alberta Health Services,True,False,westview health centre - stony plain,53.53827,-113.978791,0
Wetaskiwin Hospital and Care Centre,Wetaskiwin,"6910 47 Street WETASKIWIN, Alberta T9A3N3",Alberta Health Services,Alberta Health Services,False,True,wetaskiwin hospital and care centre,52.986764,-113.367947,0
William J. Cadzow - Lac La Biche Healthcare Centre,Lac La Biche,"9110 93 Street LAC LA BICHE, Alberta T0A 2C0",Alberta Health Services,Alberta Health Services,True,False,william j. cadzow - lac la biche healthcare centre,54.7643782,-111.9635723,0
Willow Creek Continuing Care Centre,Claresholm,"4221 8 Street West CLARESHOLM, Alberta T0L 0T0",Alberta Health Services,Alberta Health Services,True,True,willow creek continuing care centre,54.146330000000006,-113.851115,0
Wing Kei Care Centre,Calgary,"1212 Centre Street NE CALGARY, Alberta T2E 2R4",Chinese Christian Wing Kei Nursing Home Association,Voluntary,False,True,wing kei care centre,51.591042,-113.489125,0
Youville Auxiliary Hospital (Grey Nuns) Of St. Albert,St. Albert,"9 St. Vital Avenue ST. ALBERT, Alberta T8N 1K1",Covenant Health,Voluntary,True,False,youville auxiliary hospital (grey nuns) of st. albert,53.528985999999996,-114.004873,0
