Facility Name,Facility Address,City,Province,Postal,Country,,,,Riding Name (English),Statcan Census Division id,Statcan Census Division Name,Statcan Census Division Type,Statcan Census Division Type Description,Statcan Census Consolidated Subdivision id,Statcan Census Consolidated Subdivision Name,Statcan Census Subdivision id,Statcan Census Subdivision Name,Statcan Census Subdivision Type,Statcan Census Subdivision Type Description,Statcan Census Economic Region,Statcan Census Statistical Area Code,Statcan Census Statistical Area Code Description,Statcan Census Statistical Area Type,Statcan Census Statistical Area Type Description,Statcan Census CMA/CA id,Statcan Census CMA/CA Name,Statcan Census CMA/CA Type,Statcan Census CMA/CA Type Description,Statcan Census Tract,Statcan Census Year
Sagewood Seniors Community (LTC),"140 Cambridge Glen Drive STRATHMORE, Alberta T1P1N3",STRATHMORE,Alberta, T1P1N3,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Salem Manor Nursing Home,"4419 46 Street LEDUC, Alberta T9E 6L2","LEDUC,",Alberta,T9E 6L2,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Edmonton Chinatown Care Centre (LTC),"9539 102A Avenue EDMONTON, Alberta T5H 0G2",EDMONTON,Alberta,T5H 0G2,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Seton Seniors Community (LTC),"4963 Front Street SE CALGARY, Alberta, T3M 2M3",CALGARY,Alberta,T3M 2M3,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Sherwood Care,"2020 Brentwood Boulevard N SHERWOOD PARK, Alberta T8A 0X1",SHERWOOD PARK,Alberta,T8A 0X1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Slave Lake Healthcare Centre,"309 6 Street NE SLAVE LAKE, Alberta T0G 2A2",SLAVE LAKE,Alberta,T0G 2A2,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Smoky Lake Continuing Care Centre,"4607 52 Avenue SMOKY LAKE, Alberta T0A 3C0",SMOKY LAKE,Alberta,T0A 3C0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
South Terrace Continuing Care Centre,"5905 112 Street EDMONTON, Alberta T6H 3J4",EDMONTON,Alberta,T6H 3J4,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
St. Joseph's Auxiliary Hospital,"10707 29 Avenue EDMONTON, Alberta T6J 6W1",EDMONTON,Alberta,T6J 6W1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
St. Mary's Health Care Centre,"451 Dechauney Avenue TROCHU, Alberta T0M 2C0",TROCHU,Alberta,T0M 2C0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
St. Michael's Health Centre,"1400 9 Avenue South LETHBRIDGE, Alberta T1J 4V5",LETHBRIDGE,Alberta,T1J 4V5,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
St. Michael's Long Term Care Centre,"7404 139 Avenue EDMONTON, Alberta T5C3H7",EDMONTON,Alberta, T5C3H7,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
St. Theresa General Hospital,"4506 46 Avenue FORT VERMILION, Alberta T0H 1N0",VERMILION,Alberta,T0H 1N0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
St. Therese - St. Paul Healthcare Centre,"4713 48 Avenue ST. PAUL, Alberta T0A 3A3",ST. PAUL,Alberta,T0A 3A3,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Stettler Hospital And Care Centre,"5912 47 Avenue STETTLER, Alberta T0C 2L0",STETTLER,Alberta,T0C 2L0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Sundre Hospital And Care Centre,"709 1 Street NE SUNDRE, Alberta T0M 1X0",SUNDRE,Alberta,T0M 1X0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Sunnyside Care Centre [South Country Village Campus]               (LTC),"1720 Bell Street SW MEDICINE HAT, Alberta T1A 5G1",MEDICINE HAT,Alberta,T1A 5G1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Sunrise Village Drayton Valley [Sunrise Village (Drayton) Holdings Ltd.],"3902 47 Street DRAYTON VALLEY, Alberta T7AA02",DRAYTON VALLEY,Alberta, T7AA02,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Taber Health Centre,"4326 50 Avenue TABER, Alberta T1G 1N9",TABER,Alberta,T1G 1N9,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
The Dianne And Irving Kipnes Centre For Veterans,"4470 McCrae Avenue EDMONTON, Alberta T5E 6M8",EDMONTON,Alberta,T5E 6M8,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
The Valleyview (LTC),"65 Valleyview Drive SW MEDICINE HAT, Alberta T1A 7K5",MEDICINE HAT,Alberta,T1A 7K5,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Three Hills Health Centre,"1504 2 Street North THREE HILLS, Alberta T0M 2A0",THREE HILLS,Alberta,T0M 2A0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Tofield Health Centre,"5543 44 Street Box 1200 TOFIELD, Alberta T0B 4J0",TOFIELD,Alberta,T0B 4J0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Touchmark At Wedgewood,"18333 Lessard Road EDMONTON, Alberta T6M 2Y5",EDMONTON,Alberta,T6M 2Y5,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Two Hills Health Centre,"4401 53 Avenue TWO HILLS, Alberta T0B 4K0",TWO HILLS,Alberta,T0B 4K0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Valleyview Health Centre,"4802 Highway Street East VALLEYVIEW, Alberta T0H3N0",VALLEYVIEW,Alberta, T0H3N0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Vegreville Care Centre,"4525 50 Street VEGREVILLE, Alberta T9A0A1",VEGREVILLE,Alberta, T9A0A1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Venta Care Centre,"13525 102 Street EDMONTON, Alberta T5E 4K3",EDMONTON,Alberta,T5E 4K3,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Vermilion Health Centre,"5720 50 Avenue VERMILION, Alberta T9X 1K7",VERMILION,Alberta,T9X 1K7,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Vulcan Community Health Centre,"610 Elizabeth Street S VULCAN, Alberta T0L 2B0",VULCAN,Alberta,T0L 2B0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Wainwright Health Centre,"530 6 Avenue WAINWRIGHT, Alberta T9W 1R6",WAINWRIGHT,Alberta,T9W 1R6,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Walden Heights Seniors Community (LTC),"250 Walden Drive SE CALGARY, Alberta T2X 0V1",CALGARY,Alberta,T2X 0V1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Wentworth Manor – The Court (LTC),"5717 14 Avenue SW CALGARY, Alberta T3H3M2",CALGARY,Alberta, T3H3M2,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Westlock Healthcare Centre [Westlock Continuing Care Centre],"10220 93 Street WESTLOCK, Alberta T7P2G4",WESTLOCK,Alberta, T7P2G4,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Westview Care Community,"700 Nursing Home Road LINDEN, Alberta T0M 1J0",LINDEN,Alberta,T0M 1J0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Westview Health Centre - Stony Plain,"4405 Southpark Drive STONY PLAIN, Alberta T7Z2M7",STONY PLAIN,Alberta, T7Z2M7,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Wetaskiwin Hospital and Care Centre,"6910 47 Street WETASKIWIN, Alberta T9A3N3",WETASKIWIN,Alberta, T9A3N3,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
William J. Cadzow - Lac La Biche Healthcare Centre,"9110 93 Street LAC LA BICHE, Alberta T0A 2C0",LAC LA BICHE,Alberta,T0A 2C0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Willow Creek Continuing Care Centre,"4221 8 Street West CLARESHOLM, Alberta T0L 0T0",CLARESHOLM,Alberta,T0L 0T0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Wing Kei Care Centre,"1212 Centre Street NE CALGARY, Alberta T2E 2R4",CALGARY,Alberta,T2E 2R4,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Youville Auxiliary Hospital (Grey Nuns) Of St. Albert,"9 St. Vital Avenue ST. ALBERT, Alberta T8N 1K1",ST. ALBERT,Alberta,T8N 1K1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
