Site Name,Address 1,Visit Type,Visit Result,Site Name
RAYMOND HEALTH CENTRE,150 N 4 Street East,Consultation,Compliant,1
RAYMOND HEALTH CENTRE,150 N 4 Street East,Inspection Visit,Compliant,2
REDWATER HEALTH CENTRE,Box 39,Consultation,Compliant,1
RIMBEY HOSPITAL AND CARE CENTRE,Box 440,Consultation,Compliant,1
RIVER RIDGE SENIORS VILLAGE,4 River Ridge Drive NW,Consultation,Non-Compliant,3
RIVER RIDGE SENIORS VILLAGE,4 River Ridge Drive NW,Inspection Visit,Compliant,1
RIVER RIDGE SENIORS VILLAGE,4 River Ridge Drive NW,Inspection Visit,Non-Compliant,3
RIVERCREST CARE CENTRE,10104 101 Avenue,Consultation,Compliant,1
RIVERCREST CARE CENTRE,10104 101 Avenue,Inspection Visit,Compliant,1
RIVERCREST CARE CENTRE,10104 101 Avenue,Mini Inspection Visit,Compliant,1
RIVERVIEW CARE CENTRE - AXR OPERATING (NATIONAL) GP INC.,603 Prospect Drive SW,Consultation,Compliant,1
RIVERVIEW CARE CENTRE - AXR OPERATING (NATIONAL) GP INC.,603 Prospect Drive SW,Inspection Visit,Compliant,2
ROSEHAVEN CARE CENTRE,4612 53 Street,Consultation,Compliant,1
ROSEHAVEN CARE CENTRE,4612 53 Street,Inspection Visit,Compliant,1
ROSEHAVEN CARE CENTRE,4612 53 Street,Mini Inspection Visit,Compliant,1
SALEM MANOR NURSING HOME,4419 46 Street,Consultation,Non-Compliant,3
SALEM MANOR NURSING HOME,4419 46 Street,Inspection Visit,Compliant,1
SALEM MANOR NURSING HOME,4419 46 Street,Mini Inspection Visit,Non-Compliant,4
SHEPHERD'S CARE EDEN HOUSE,2759 109 Street NW,Consultation,Compliant,1
SHEPHERD'S CARE EDEN HOUSE,2759 109 Street NW,Inspection Visit,Non-Compliant,4
SHEPHERD'S CARE KENSINGTON VILLAGE,12603 135 Avenue,Consultation,Compliant,1
SHEPHERD'S CARE KENSINGTON VILLAGE,12603 135 Avenue,Inspection Visit,Compliant,1
SHEPHERD'S CARE KENSINGTON VILLAGE,12603 135 Avenue,Mini Inspection Visit,Compliant,1
SHERWOOD CARE,2020 Brentwood Boulevard N,Consultation,Non-Compliant,1
SHERWOOD CARE,2020 Brentwood Boulevard N,Inspection Visit,Compliant,1
SHERWOOD CARE,2020 Brentwood Boulevard N,Inspection Visit,Non-Compliant,1
SLAVE LAKE HEALTHCARE CENTRE,309 6 Street NE,Consultation,Compliant,1
SLAVE LAKE HEALTHCARE CENTRE,309 6 Street NE,Inspection Visit,Compliant,1
SLAVE LAKE HEALTHCARE CENTRE,309 6 Street NE,Inspection Visit,Non-Compliant,1
SOUTH TERRACE CONTINUING CARE CENTRE - AXR OPERATING (NATIONAL) GP INC.,5905 112 Street,Consultation,Compliant,1
SOUTH TERRACE CONTINUING CARE CENTRE - AXR OPERATING (NATIONAL) GP INC.,5905 112 Street,Inspection Visit,Compliant,2
SOUTHWOOD CARE CENTRE,"211 Heritage Drive, SE",Consultation,Compliant,1
SOUTHWOOD CARE CENTRE,"211 Heritage Drive, SE",Inspection Visit,Compliant,2
ST. JOSEPH'S AUXILIARY HOSPITAL,10707 29 Avenue,Consultation,Compliant,1
ST. JOSEPH'S AUXILIARY HOSPITAL,10707 29 Avenue,Inspection Visit,Compliant,3
ST. JOSEPH'S AUXILIARY HOSPITAL,10707 29 Avenue,Inspection Visit,Non-Compliant,2
ST. JOSEPH'S HOME,156 3 Street NE,Consultation,Compliant,1
ST. JOSEPH'S HOME,156 3 Street NE,Inspection Visit,Compliant,2
ST. MARTHA'S PLACE/BANFF MINERAL SPRINGS HOSPITAL,305 Lynx Street,Consultation,Compliant,1
ST. MARTHA'S PLACE/BANFF MINERAL SPRINGS HOSPITAL,305 Lynx Street,Inspection Visit,Compliant,2
ST. MARY'S HEALTH CARE CENTRE,451 Dechauney Avenue,Consultation,Compliant,1
ST. MARY'S HEALTH CARE CENTRE,451 Dechauney Avenue,Inspection Visit,Non-Compliant,1
ST. MARY'S HEALTH CARE CENTRE,451 Dechauney Avenue,Mini Inspection Visit,Compliant,1
ST. MICHAEL'S HEALTH CENTRE (COVENANT HEALTH),1400 9 Avenue South,Complaint,Compliant,1
ST. MICHAEL'S HEALTH CENTRE (COVENANT HEALTH),1400 9 Avenue South,Complaint,Non-Compliant,3
ST. MICHAEL'S HEALTH CENTRE (COVENANT HEALTH),1400 9 Avenue South,Consultation,Compliant,1
ST. MICHAEL'S HEALTH CENTRE (COVENANT HEALTH),1400 9 Avenue South,Follow-Up Visit,Compliant,1
ST. MICHAEL'S HEALTH CENTRE (COVENANT HEALTH),1400 9 Avenue South,Follow-Up Visit,Non-Compliant,1
ST. MICHAEL'S LONG TERM CARE CENTRE,7404 139 Avenue,Consultation,Compliant,1
ST. MICHAEL'S LONG TERM CARE CENTRE,7404 139 Avenue,Inspection Visit,Compliant,2
ST. THERESA GENERAL HOSPITAL,4506 46 Avenue,Consultation,Compliant,1
ST. THERESE - ST. PAUL HEALTHCARE CENTRE,4713 48 Avenue,Consultation,Compliant,1
ST. THERESE - ST. PAUL HEALTHCARE CENTRE,4713 48 Avenue,Inspection Visit,Compliant,1
ST. THERESE - ST. PAUL HEALTHCARE CENTRE,4713 48 Avenue,Inspection Visit,Non-Compliant,1
STETTLER HOSPITAL AND CARE CENTRE,5912 47 Avenue,Inspection Visit,Compliant,1
STETTLER HOSPITAL AND CARE CENTRE,5912 47 Avenue,Inspection Visit,Non-Compliant,1
STONY PLAIN CARE CENTRE,4800 55 Avenue,Consultation,Compliant,1
STONY PLAIN CARE CENTRE,4800 55 Avenue,Inspection Visit,Compliant,1
STONY PLAIN CARE CENTRE,4800 55 Avenue,Inspection Visit,Non-Compliant,2
SUNDRE HOSPITAL AND CARE CENTRE,709 1 Street NE,Consultation,Compliant,1
SUNDRE HOSPITAL AND CARE CENTRE,709 1 Street NE,Inspection Visit,Compliant,2
SUNNYSIDE CARE CENTRE (SOUTH COUNTRY VILLAGE),1720 Bell Street SW,Consultation,Compliant,1
TABER HEALTH CENTRE,4326 50 Avenue,Consultation,Compliant,1
THE VALLEYVIEW SUPPORTIVE LIVING,65 Valleyview Drive SW,Consultation,Compliant,1
THE VALLEYVIEW SUPPORTIVE LIVING,65 Valleyview Drive SW,Inspection Visit,Compliant,1
THE VALLEYVIEW SUPPORTIVE LIVING,65 Valleyview Drive SW,Mini Inspection Visit,Compliant,1
THREE HILLS HEALTH CENTRE,1504 2 Street North,Consultation,Non-Compliant,1
THREE HILLS HEALTH CENTRE,1504 2 Street North,Inspection Visit,Compliant,1
THREE HILLS HEALTH CENTRE,1504 2 Street North,Inspection Visit,Non-Compliant,3
TOFIELD HEALTH CENTRE,5543 44 Street,Consultation,Compliant,1
TOFIELD HEALTH CENTRE,5543 44 Street,Inspection Visit,Compliant,2
TOUCHMARK AT WEDGEWOOD THE GRANDE,18333 Lessard Road,Consultation,Compliant,1
TWO HILLS HEALTH CENTRE,4401 53 Avenue,Consultation,Compliant,1
VALLEYVIEW HEALTH CENTRE,4802 Highway Street East,Consultation,Compliant,1
VALLEYVIEW HEALTH CENTRE,4802 Highway Street East,Inspection Visit,Compliant,2
VEGREVILLE CARE CENTRE,4525 50 Street,Consultation,Compliant,1
VEGREVILLE CARE CENTRE,4525 50 Street,Inspection Visit,Compliant,2
VENTA CARE CENTRE,13525 102 Street,Consultation,Compliant,1
VERMILION HEALTH CENTRE,5720 50 Avenue,Consultation,Compliant,1
VERMILION HEALTH CENTRE,5720 50 Avenue,Inspection Visit,Compliant,2
VILLA MARIE,10 Carrington Drive,Consultation,Compliant,1
VILLA MARIE,10 Carrington Drive,Inspection Visit,Compliant,3
VILLA MARIE,10 Carrington Drive,Inspection Visit,Non-Compliant,1
VULCAN COMMUNITY HEALTH CENTRE,610 Elizabeth Street S,Consultation,Compliant,1
VULCAN COMMUNITY HEALTH CENTRE,610 Elizabeth Street S,Inspection Visit,Compliant,2
WAINWRIGHT HEALTH CENTRE,530 6 Avenue,Consultation,Compliant,1
WAINWRIGHT HEALTH CENTRE,530 6 Avenue,Inspection Visit,Compliant,1
WAINWRIGHT HEALTH CENTRE,530 6 Avenue,Mini Inspection Visit,Compliant,1
WENTWORTH MANOR - THE COURT,5709 14 Avenue SW,Consultation,Compliant,1
WENTWORTH MANOR - THE COURT,5709 14 Avenue SW,Inspection Visit,Compliant,1
WENTWORTH MANOR - THE COURT,5709 14 Avenue SW,Mini Inspection Visit,Compliant,1
WESTLOCK CONTINUING CARE CENTRE,10203 96 Street,Consultation,Compliant,1
WESTLOCK CONTINUING CARE CENTRE,10203 96 Street,Inspection Visit,Compliant,1
WESTLOCK CONTINUING CARE CENTRE,10203 96 Street,Inspection Visit,Non-Compliant,1
WESTVIEW CARE COMMUNITY,PO Box 220,Consultation,Compliant,1
WESTVIEW CARE COMMUNITY,PO Box 220,Inspection Visit,Compliant,1
WESTVIEW CARE COMMUNITY,PO Box 220,Mini Inspection Visit,Compliant,1
WESTVIEW HEALTH CENTRE,4405 Southpark Drive,Consultation,Non-Compliant,2
WESTVIEW HEALTH CENTRE,4405 Southpark Drive,Inspection Visit,Compliant,1
WESTVIEW HEALTH CENTRE,4405 Southpark Drive,Inspection Visit,Non-Compliant,2
WETASKIWIN HOSPITAL AND CARE CENTRE,6910 47 Street,Complaint,Non-Compliant,1
WETASKIWIN HOSPITAL AND CARE CENTRE,6910 47 Street,Consultation,Compliant,1
WETASKIWIN HOSPITAL AND CARE CENTRE,6910 47 Street,Inspection Visit,Compliant,1
WETASKIWIN HOSPITAL AND CARE CENTRE,6910 47 Street,Inspection Visit,Non-Compliant,3
WILLIAM J. CADZOW - LAC LA BICHE HEALTHCARE CENTRE,9110 93 Street,Consultation,Non-Compliant,3
WILLIAM J. CADZOW - LAC LA BICHE HEALTHCARE CENTRE,9110 93 Street,Inspection Visit,Compliant,1
WILLIAM J. CADZOW - LAC LA BICHE HEALTHCARE CENTRE,9110 93 Street,Inspection Visit,Non-Compliant,3
WILLOW CREEK CONTINUING CARE CENTRE,4221 8 Street West,Consultation,Compliant,1
WILLOW CREEK CONTINUING CARE CENTRE,4221 8 Street West,Inspection Visit,Compliant,2
WING KEI CARE CENTRE,1212 Centre Street NE,Inspection Visit,Compliant,2
WING KEI GREENVIEW,307 35 Avenue NE,Consultation,Compliant,1
YOUVILLE AUXILIARY HOSPITAL (GREY NUNS) OF ST. ALBERT,9 St. Vital Avenue,Complaint,Non-Compliant,2
YOUVILLE AUXILIARY HOSPITAL (GREY NUNS) OF ST. ALBERT,9 St. Vital Avenue,Consultation,Non-Compliant,2
YOUVILLE AUXILIARY HOSPITAL (GREY NUNS) OF ST. ALBERT,9 St. Vital Avenue,Inspection Visit,Compliant,1
YOUVILLE AUXILIARY HOSPITAL (GREY NUNS) OF ST. ALBERT,9 St. Vital Avenue,Inspection Visit,Non-Compliant,5
