,FACILITY_NAME,Number of dead,HCC_CODE,HLTH_AUTH,STREET_ADDRESS,CITY,POSTAL,PHONE,OPEN_DATE,COUNCIL,ACCRED_STATUS,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,outbreak_status,residents_council,family_council,accreditation,home_type,years_operating,facility_name,latitude,longitude
40,Brookside Lodge,0.0,937F0,Fraser Health,19550 Fraser Highway,Surrey,V3S6K5,(604) 530-6595,2009,"Resident Council, Family Council",Unknown,14,89,103,93,5,0,0,0,1,1,8,0,0,3,0,1,1,1,7.8,0,0,2.9,0,1,80,0.595,0.471,0.151,946,0.115,0.184,0.191,0.665,0.089,2.9,0.419,0.6,0.124,0.538,0.017,0.543,0.214,0.042,8.0,13.0,0.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,yes,yes,unknown,for-profit,11.0,brookside lodge,49.114097,-122.681031
41,Buchanan Lodge,0.0,9A500,Fraser Health,409 Blair Ave,New Westminster,V3L4A4,(604) 522-7033,1997,"Resident Council, Family Council",Unknown,0,112,112,104,4,0,1,0,3,2,10,0,0,2,1,1,2.7,1.8,8.9,0,0,1.8,0.9,0.9,86,0.692,0.6,0.033,1386,0.137,0.399,0.267,0.67,0.084,2.2,0.62,0.57,0.084,0.023,0.002,0.396,0.194,0.126,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,unknown,non-profit,23.0,buchanan lodge,49.228773149999995,-122.89808629846814
42,Bulkley Lodge,0.0,9BDH1,Northern Health,3668 11th Avenue,Smithers,V0J2N0,(250) 847-4443,1978,"Resident Council, Family Council",Accredited,0,70,70,67,3,0,0,0,0,2,0,0,0,0,1,0,0,2.9,0,0,0,0,1.4,0,82,0.55,0.45,0.065,734,0.156,0.211,0.204,0.456,0.061,2.8,0.456,0.55,0,0.639,0.381,0.51,0.287,0.224,4.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,no,yes,yes,yes,health_authority,42.0,bulkley lodge,54.779299,-127.15819
43,Cairnsmore Place,0.0,9A5F3,Vancouver Island Health,250 Cairnsmore Street,Duncan,V9L4H2,(250) 709-3080,1965,Resident & Family Council (combined),Accredited,0,100,100,8,4,21,2,0,,,,,,,,,,,,,,,,,83,0.683,0.494,0.058,752,0.27,0.33,0.187,0.57,0.017,3.7,0.293,0.64,0.633,0,0.41,0.563,0.181,0.055,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,health_authority,55.0,cairnsmore place,48.7854979,-123.7106333
44,Capilano Care Centre,0.0,9C414,Vancouver Coastal Health,525 Clyde Avenue,West Vancouver,V7T1C4,(604) 926-6856,1992,"Resident Council, Family Council",Accredited,0,205,205,76,48,11,2,0,1,0,38,0,0,4,3,30,0.5,0,18.5,0,0,2,1.5,14.6,84,0.69,0.546,0.04,1076,0.466,0.19,0.328,0.744,0.091,2.9,0.457,0.56,0.003,0.296,0.003,0.596,0.19,0.007,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,for-profit,28.0,capilano care centre,49.329066,-123.13
45,CareLife Fleetwood,0.0,9A5AD,Fraser Health,8265 159th Street,Surrey,V4N5T5,(604) 598-7200,2008,Resident Council,Unknown,0,191,191,167,12,0,1,0,1,0,3,0,0,1,1,0,0.5,0,1.6,0,0,0.5,0.5,0,80,0.607,0.475,0.163,1111,0.129,0.435,0.296,0.375,0.078,2.3,0.579,0.67,0.266,0.476,0.217,0.431,0.223,0.046,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,no,unknown,health_authority,12.0,carelife fleetwood,,
46,Cariboo Place,0.0,93GGE,Interior Health,185 Fourth Ave N,Williams Lake,V2G2C8,(778) 417-0275,2019,Resident & Family Council (combined),Accredited,2,70,72,72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,for-profit,1.0,cariboo place,52.1311279,-122.141753
47,Carlton Gardens Care Centre,0.0,99FE5,Fraser Health,4108 Norfolk Street,Burnaby,V5G0B4,(604) 419-3000,2012,"Resident Council, Family Council",Accredited,11,117,128,120,4,0,0,0,2,1,12,0,0,1,0,2,1.6,0.8,9.4,0,0,0.8,0,1.6,84,0.676,0.535,0.018,723,0.075,0.266,0.255,0.707,0.212,1.8,0.692,0.55,0.019,0.04,0.002,0.475,0.273,0.046,3.0,6.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,no,yes,yes,yes,for-profit,8.0,carlton gardens care centre,49.2550436,-123.0128497
48,Cartier House Seniors Community,0.0,992EJ,Fraser Health,1419 Cartier St,Coquitlam,V3K2C6,(604) 939-4654,1974,"Resident Council, Family Council",Unknown,0,78,78,30,24,0,1,1,2,1,8,0,0,0,0,0,2.6,1.3,10.3,0,0,0,0,0,88,0.831,0.688,0.016,346,0.402,0.248,0.267,0.743,0.106,2.6,0.511,0.59,0.042,0.273,0.006,0.492,0.237,0.083,2.0,5.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,unknown,for-profit,46.0,cartier house seniors community,49.28317715,-122.78734899022074
49,Castleview Care Centre,0.0,9C017,Interior Health,2300 14th Ave.,Castlegar,V1N4A6,(250) 365-7277,1991,Resident & Family Council (combined),Unknown,16,45,61,61,0,0,0,0,1,0,7,0,0,1,1,1,1.6,0,11.5,0,0,1.6,1.6,1.6,85,0.682,0.571,0.025,722,0.397,0.154,0.184,0.875,0.051,3.8,0.162,0.57,0.765,0.574,0,0.596,0.106,0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,unknown,for-profit,29.0,castleview care centre,49.2881065,-117.6624447
50,Cedarview Lodge,0.0,9AF9E,Vancouver Coastal Health,1200 Cedar Village Close,North Vancouver,V7J3P3,(604) 904-6400,1982,"Resident Council, Family Council",Accredited,0,89,89,89,0,0,0,0,0,0,6,0,0,2,0,0,0,0,6.7,0,0,2.2,0,0,84,0.642,0.541,0.023,968,0.224,0.333,0.458,0.816,0.075,2.3,0.623,0.54,0.034,0.542,0.022,0.682,0.497,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,health_authority,38.0,cedarview lodge,49.326053,-123.04
51,Central City Lodge,0.0,99A78,Vancouver Coastal Health,415 West Pender St,Vancouver,V6B1V2,(604) 681-9111,1993,Resident Council,Not Accredited,0,100,100,84,8,0,0,0,2,0,5,2,0,3,1,1,2,0,5,2,0,3,1,1,70,0.197,0.067,0.309,1481,0.32,0.156,0.242,0.528,0.095,3,0.391,0.54,0.198,0.653,0.073,0.589,0.342,0.092,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,no,no,non-profit,27.0,central city lodge,49.2831332,-123.1119351
52,Cerwydden Seniors Community,0.0,9244A,Vancouver Island Health,3243 Cowichan Lake R,Duncan,V9L4B8,(250) 746-4432,2000,"Resident Council, Family Council",Unknown,4,52,56,44,6,0,1,1,1,1,9,0,0,1,0,0,1.8,1.8,16.1,0,0,1.8,0,0,87,0.792,0.638,0.033,839,0.178,0.222,0.227,0.618,0.076,2.6,0.489,0.57,0.013,0,0.004,0.516,0.171,0.025,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,unknown,for-profit,20.0,cerwydden seniors community,,
53,Chemainus Health Care Centre,0.0,9BF66,Vancouver Island Health,9909 Esplanade Street,Chemainus,V0R1K1,(250) 737-2040 ,1994,"Resident Council, Family Council",Accredited,0,75,75,55,10,0,1,0,,,,,,,,,,,,,,,,,86,0.803,0.649,0.04,808,0.257,0.333,0.26,0.653,0.04,3.5,0.353,0.58,0.29,0.003,0.093,0.663,0.181,0.074,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,health_authority,26.0,chemainus health care centre,48.927226,-123.715913
54,Cherington Place,0.0,9B889,Fraser Health,13453 111A Ave,Surrey,V3R2C5,(604) 581-2885,1960,Resident Council,Unknown,0,75,75,33,21,0,3,1,1,0,4,0,0,0,0,1,1.3,0,5.3,0,0,0,0,1.3,87,0.723,0.659,0.018,353,0.207,0.207,0.254,0.682,0.057,3.6,0.275,0.56,0.013,0.204,0.007,0.435,0.16,0.051,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,no,unknown,for-profit,60.0,cherington place,49.205653,-122.849334
55,Chetwynd Hospital and Health Centre,0.0,922CD,Northern Health,5500 Hospital road,Chetwynd,V0C1J0,(250) 788-2236,1971,No Councils,Accredited,0,7,7,7,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0.886,0.364,0.091,897,0.591,0.273,0.136,0.182,0,3.5,0.318,0.6,0.091,0.045,0,0.636,0.261,0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,no,no,no,yes,health_authority,49.0,chetwynd hospital and health centre,55.695633,-121.645304
56,Christenson Village,0.0,92I30,Vancouver Coastal Health,585 Shaw Road,Gibsons,V0N1V8,(604) 886-8747,2006,"Resident Council, Family Council",Accredited,0,80,80,80,0,0,0,0,0,0,10,0,0,0,0,0,0,0,12.5,0,0,0,0,0,86,0.77,0.671,0.021,1077,0.293,0.323,0.495,0.758,0.079,2.6,0.544,0.57,0.085,0.048,0,0.659,0.156,0.143,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,no,yes,yes,yes,non-profit,14.0,christenson village,49.4045,-123.519
57,Columbia Garden Village,0.0,93DHA,Interior Health,"800-10 Ave., Box 578",Invermere,V0A1K0,(250) 341-3350,2005,Resident Council,Accredited,0,34,34,34,0,0,1,0,0,1,8,0,0,0,3,2,0,2.9,23.5,0,0,0,8.8,5.9,81,0.616,0.55,0.126,300,0.148,0.185,0.2,0.637,0.096,2.4,0.496,0.5,0.044,0.556,0,0.437,0.289,0.032,1.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,yes,no,yes,for-profit,15.0,columbia garden village,,
58,Columbia House - Invermere District Hospital,0.0,915C7,Interior Health,1030 - 10th Street,Invermere,V0A1K0,(250) 342-2329,1994,"Resident Council, Family Council",Accredited,0,35,35,35,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2.9,0,0,0,0,2.9,84,0.619,0.589,0.089,1116,0.231,0.214,0.205,0.675,0.043,2.8,0.462,0.56,0.325,0.709,0.043,0.137,0.057,0.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,health_authority,26.0,columbia house - invermere district hospital,50.5060821,-116.0328794
59,Columbia View Lodge,0.0,98H3C,Interior Health,2920 Laburnum Dr,Trail,V1R4N2,(250) 364-1271,1979,"Resident Council, Family Council",Accredited,0,76,76,76,0,0,0,0,0,2,3,0,0,3,3,1,0,2.6,3.9,0,0,3.9,3.9,1.3,85,0.704,0.595,0.05,969,0.341,0.319,0.405,0.738,0.05,3.2,0.348,0.57,0.387,0.713,0.265,0.731,0.144,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,health_authority,41.0,columbia view lodge,49.09953,-117.6793694
60,Columbus Residence,0.0,9BHG7,Vancouver Coastal Health,704 West 69th Avenue,Vancouver,V6P2W3,(604) 321-4405,1990,"Resident Council, Family Council",Accredited,0,76,76,74,1,0,1,0,0,0,3,0,0,1,1,0,0,0,3.9,0,0,1.3,1.3,0,85,0.776,0.604,0.009,1120,0.188,0.356,0.257,0.693,0.076,3.3,0.356,0.54,0.142,0.601,0.007,0.353,0.236,0.204,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,non-profit,30.0,columbus residence,49.208775,-123.121
61,Comox Valley Seniors Village,0.0,936F0,Vancouver Island Health,4640 Headquarters Rd.,Courtenay,V9N7J3,(250) 897-1033,2009,"Resident Council, Family Council",Accredited,15,121,136,128,4,0,17,4,1,3,10,0,0,0,3,0,0.7,2.2,7.4,0,0,0,2.2,0,83,0.597,0.507,0.042,858,0.318,0.222,0.217,0.658,0.133,3.2,0.364,0.55,0.077,0.241,0.005,0.501,0.393,0.118,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,for-profit,11.0,comox valley seniors village,49.702595,-124.99339
62,Cormorant Island Health Centre,0.0,9A72D,Vancouver Island Health,49 School Road,Alert Bay,V0N1A0,(250) 974-5585,2000,Resident & Family Council (combined),Accredited,0,10,10,10,0,0,0,0,,,,,,,,,,,,,,,,,80,0.714,0.643,0.19,1107,0.231,0.205,0.179,0.462,0.051,3.7,0.256,0.48,0.026,0,0,0.282,0.164,0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,yes,yes,yes,health_authority,20.0,cormorant island health centre,50.594297,-126.9423575
63,Cottonwoods Care Centre,0.0,9A6EF,Interior Health,2255 Ethel Street,Kelowna,V1Y2Z9,(250) 862-4100,1976,Resident & Family Council (combined),Accredited,0,221,221,34,29,33,0,0,4,3,22,0,1,41,11,0,1.8,1.4,10,0,0.5,18.6,5,0,85,0.662,0.64,0.063,668,0.281,0.311,0.301,0.607,0.067,2.9,0.387,0.61,0.06,0.366,0.254,0.392,0.258,0.043,1.0,5.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,health_authority,44.0,cottonwoods care centre,49.8729257,-119.482555
64,Creekside Landing,0.0,934BA,Interior Health,6190 Okanagan Landing Rd,Vernon,V1H1M3,(250) 549-9550,2008,Resident & Family Council (combined),Accredited,0,70,70,70,0,0,1,1,0,0,8,0,0,1,3,0,0,0,11.4,0,0,1.4,4.3,0,84,0.577,0.574,0.036,1037,0.523,0.212,0.367,0.664,0.021,2.7,0.456,0.7,0.049,0.576,0.021,0.64,0.231,0.019,2.0,6.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,no,yes,yes,yes,for-profit,12.0,creekside landing,50.2465633,-119.3223493
65,Crescent Gardens,0.0,91GD7,Fraser Health,1222 King George Boulevard,Surrey,V4A9W6,(604) 541-8861,1997,"Resident Council, Family Council",Unknown,22,53,75,69,3,0,2,0,2,0,9,0,0,1,1,1,2.7,0,12,0,0,1.3,1.3,1.3,89,0.706,0.727,0.017,638,0.08,0.137,0.09,0.44,0.067,2.6,0.513,0.54,0.01,0.013,0,0.347,0.222,0.055,3.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,unknown,for-profit,23.0,crescent gardens,49.024671,-122.765236
66,Crest View Village,0.0,92DG0,Interior Health,800 Cavell Street,Creston,V0B1G4,(250) 428-9986,2005,"Resident Council, Family Council",Accredited,2,30,32,32,0,0,0,0,1,1,1,0,0,0,1,0,3.1,3.1,3.1,0,0,0,3.1,0,88,0.631,0.78,0,534,0.333,0.289,0.119,0.667,0.044,2.9,0.393,0.56,0.007,0.022,0.007,0.378,0.233,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,for-profit,15.0,crest view village,49.1042985,-116.5148918
67,Cumberland Lodge,0.0,995I0,Vancouver Island Health,2696 Windermere Ave,Cumberland,V0R1S0,(250) 331-8505 x 68321,1977,Resident Council,Accredited,0,66,66,40,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0.708,0.629,0.021,730,0.31,0.295,0.179,0.664,0.067,4.2,0.168,0.57,0.269,0.377,0.022,0.563,0.269,0.113,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,no,yes,health_authority,43.0,cumberland lodge,49.62206725,-125.031025868366
68,Czorny Alzheimer Centre,0.0,9327A,Fraser Health,16850 66th Avenue,Surrey,V3S5M1,(604) 575-6700 ,2007,No Councils,Unknown,0,72,72,72,0,0,0,0,0,0,8,0,0,0,3,0,0,0,11.1,0,0,0,4.2,0,83,0.543,0.404,0.022,656,0.046,0.272,0.602,0.651,0.126,1.5,0.743,0.53,0.008,0.594,0,0.349,0.457,0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,unknown,health_authority,13.0,czorny alzheimer centre,,
69,Dania Home,0.0,99C1E,Fraser Health,4175 Norland Avenue,Burnaby,V5G3S7,(604) 299-2414,2015,"Resident Council, Family Council",Accredited,0,102,102,102,0,0,1,0,1,2,6,0,0,0,1,0,1,2,5.9,0,0,0,1,0,83,0.647,0.563,0.099,1356,0.193,0.167,0.141,0.59,0.05,2.9,0.402,0.61,0.154,0.567,0.003,0.41,0.131,0.124,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,non-profit,5.0,dania home,49.247584,-122.975187
70,David Lloyd Jones Home,0.0,99127,Interior Health,934 Bernard Ave,Kelowna,V1Y6P8,(250) 762-2706,1979,Resident & Family Council (combined),Accredited,0,64,64,64,0,0,0,0,3,3,1,1,0,1,1,0,4.7,4.7,1.6,1.6,0,1.6,1.6,0,86,0.653,0.633,0.055,625,0.332,0.43,0.262,0.703,0.086,2.9,0.375,0.57,0.027,0.199,0.297,0.547,0.358,0.039,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,yes,yes,yes,health_authority,41.0,david lloyd jones home,49.8869222,-119.4815286
71,Delta View Habilitation Centre,0.0,9C280,Fraser Health,9341 Burns Drive,Delta,V4K3N3,(604) 596-8842,1991,"Resident Council, Family Council",Accredited,9,71,80,72,4,0,0,0,0,0,4,0,0,1,0,0,0,0,5,0,0,1.3,0,0,79,0.667,0.333,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,for-profit,29.0,delta view habilitation centre,49.0922042,-122.96504725675072
72,Delta View Life Enrichment Centre,0.0,9940H,Fraser Health,9321 Burns Drive,Delta,V4K3N3,(604) 501-6700,2004,"Resident Council, Family Council",Accredited,62,150,212,172,20,0,0,0,0,0,13,0,0,0,1,0,0,0,6.1,0,0,0,0.5,0,85,0.662,0.55,0.028,942,0.264,0.397,0.484,0.739,0.187,1.9,0.696,0.61,0.382,0,0,0.47,0.159,0.003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,for-profit,16.0,delta view life enrichment centre,49.09130415,-122.96486604215154
73,Deni House,0.0,93B40,Interior Health,517 6th Ave N.,Williams Lake,V2G2G8,(250) 302-3208,2011,Resident Council (family can attend),Accredited,0,28,28,13,0,5,0,0,0,1,8,0,0,2,0,0,0,3.6,28.6,0,0,7.1,0,0,80,0.433,0.484,0.178,381,0.234,0.299,0.39,0.61,0.052,3.7,0.273,0.58,0,0.247,0,0.519,0.41,0.088,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,no,yes,health_authority,9.0,deni house,52.1378197,-122.1436286
74,Discovery Harbour Seniors Community,0.0,9353A,Vancouver Island Health,850 14th Avenue,Campbell River,V9W4H4,(250) 287-7166,2008,"Resident Council, Family Council",Unknown,0,142,142,90,4,0,16,9,1,9,21,0,1,6,0,7,0.7,6.3,14.8,0,0.7,4.2,0,4.9,84,0.576,0.564,0.025,912,0.268,0.22,0.313,0.739,0.097,1.2,0.815,0.62,0.006,0,0.002,0.588,0.282,0.099,5.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,no,yes,yes,unknown,for-profit,12.0,discovery harbour seniors community,50.0293746,-125.2748504
75,Dogwood Lodge,0.0,999F1,Vancouver Coastal Health,500 West 57th Avenue,Vancouver,V6P6E8,(604) 324-6882,1979,"Resident Council, Family Council",Accredited,0,83,83,83,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3.6,0,0,0,0,0,84,0.78,0.56,0.016,914,0.259,0.435,0.423,0.617,0.068,2.6,0.534,0.54,0.358,0.022,0.003,0.444,0.204,0.009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,health_authority,41.0,dogwood lodge,49.218578,-123.118
76,Dr. Andrew Pavilion - Summerland Health Centre,0.0,9AJF4,Interior Health,12815 Atkinson Rd.,Summerland,V0H1Z0,(250)  404-8020,1984,"Resident Council, Family Council",Accredited,0,50,50,4,5,8,0,0,1,1,1,0,0,0,0,0,2,2,2,0,0,0,0,0,89,0.755,0.767,0.004,619,0.223,0.451,0.187,0.715,0.01,2.2,0.601,0.58,0,0,0,0.347,0.237,0.067,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,health_authority,36.0,dr. andrew pavilion - summerland health centre,49.6027035,-119.6679222
77,Dr. F. W. Green Memorial Home,0.0,98F1A,Interior Health,1700 4th Street St. South,Cranbrook,V1C6E1,(250) 426-3710,1979,Family Council,Accredited,0,58,58,60,0,0,0,0,1,0,6,0,0,2,1,0,1.7,0,10.3,0,0,3.4,1.7,0,84,0.629,0.595,0.079,1033,0.291,0.455,0.307,0.852,0.042,2.3,0.556,0.59,0,0,0,0.476,0.256,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no,yes,yes,health_authority,41.0,dr. f. w. green memorial home,,
78,Dufferin Place,0.0,9A6D2,Vancouver Island Health,1200 Dufferin Crescent,Nanaimo,V9S2B7,(250) 755-7632,1987,"Resident Council, Family Council",Accredited,0,146,146,14,8,29,1,0,,,,,,,,,,,,,,,,,84,0.745,0.555,0.044,463,0.374,0.264,0.227,0.446,0.025,3.8,0.264,0.58,0.444,0,0.301,0.542,0.061,0.02,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,health_authority,33.0,dufferin place,49.184874300000004,-123.96984534779168
79,Dunrovin Park Lodge,0.0,99617,Northern Health,900 St Laurent Avenue,Quesnel,V2J3S3,(250) 985-5800,2010,"Resident Council, Family Council",Accredited,0,117,117,107,3,0,1,1,0,1,9,0,0,2,1,0,0,0.9,7.7,0,0,1.7,0.9,0,82,0.644,0.482,0.122,885,0.341,0.332,0.341,0.721,0.173,2.6,0.519,0.56,0.125,0.375,0.058,0.673,0.328,0.136,1.0,13.0,1.0,4.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,no,yes,yes,yes,health_authority,10.0,dunrovin park lodge,52.979626,-122.48601
80,Eagle Park Health Care Facility,0.0,9154A,Vancouver Island Health,777 Jones St,Qualicum Beach,V9K2L1,(250) 947-8220,1994,"Resident Council, Family Council",Accredited,0,75,75,55,20,0,1,0,,,,,,,,,,,,,,,,,83,0.626,0.512,0.055,463,0.274,0.267,0.358,0.761,0.046,3.7,0.284,0.58,0.007,0.004,0.712,0.572,0.534,0.109,1.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,health_authority,26.0,eagle park health care facility,49.3409296,-124.4492447
81,Eagle Ridge Manor - Port Hardy,0.0,923C0,Vancouver Island Health,9120 Granville Street,Port Hardy,V0N2P0,(250) 902-6043,2000,"Resident Council, Family Council",Accredited,0,22,22,22,0,0,0,0,,,,,,,,,,,,,,,,,83,0.585,0.468,0.043,1126,0.11,0.195,0.293,0.744,0.085,2.9,0.402,0.56,0.012,0.012,0,0.5,0.304,0.143,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,yes,yes,yes,health_authority,20.0,eagle ridge manor - port hardy,50.71997325,-127.50285126402541
82,Eagle Ridge Manor - Port Moody,0.0,9C6EC,Fraser Health,475 Guildford Way,Port Moody,V3H3W9,(604) 469-3211,,Resident & Family Council (combined),Unknown,0,75,75,39,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0.557,0.611,0.03,1103,0.316,0.525,0.338,0.487,0.019,3.6,0.3,0.63,0.262,0.574,0.076,0.418,0.14,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,unknown,health_authority,,eagle ridge manor - port moody,49.28553745,-122.82369973641946
83,Echo Village,0.0,9C2F7,Vancouver Island Health,4200 10th Avenue,Port Alberni,V9Y4X3,(250) 724-1090,1992,Resident Council,Accredited,2,65,67,67,0,0,2,0,,,,,,,,,,,,,,,,,83,0.612,0.527,0.078,443,0.154,0.391,0.263,0.624,0.03,3.8,0.216,0.59,0,0,0,0.541,0.292,0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,no,yes,non-profit,28.0,echo village,49.2367453,-124.7978368
