,FACILITY_NAME,Number of dead,HCC_CODE,HLTH_AUTH,STREET_ADDRESS,CITY,POSTAL,PHONE,OPEN_DATE,COUNCIL,ACCRED_STATUS,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,outbreak_status,residents_council,family_council,accreditation,home_type,years_operating,facility_name,index,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,address,location,point,geo_lat,geo_lon
83,Echo Village,0,9C2F7,Vancouver Island Health,4200 10th Avenue,Port Alberni,V9Y4X3,(250) 724-1090,1992,Resident Council,Accredited,2,65,67,67,0,0,2,0,,,,,,,,,,,,,,,,,83,0.612,0.527,0.078,443,0.154,0.391,0.263,0.624,0.03,3.8,0.216,0.59,0,0,0,0.541,0.292,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,no,yes,no,yes,non-profit,28,echo village,,,,,,,,,,,,,,,49.2367453,-124.7978368,"4200 10th Avenue, Port Alberni, British Columbia, Canada","10th Avenue, Cameron Heights, Alberni, Port Alberni, Alberni-Clayoquot Regional District, British Columbia, V9Y 2K5, Canada","(49.2367453, -124.7978368, 0.0)",49.2367453,-124.7978368
85,Elim Village - The Harrison / Harrison West,0,9371A,Fraser Health,9025 160 Street,Surrey,V4N2X7,(604) 587-8999,2009 / 2016,"Resident Council, Family Council",Accredited,18,176,194,181,6,0,2,0,4,1,17,0,0,1,1,0,2.1,0.5,8.8,0,0,0.5,0.5,0,87,0.675,0.672,0.021,772,0.229,0.368,0.235,0.632,0.118,2.8,0.465,0.61,0.007,0.064,0,0.426,0.242,0.042,6,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,yes,yes,non-profit,,elim village - the harrison / harrison west,,,,,,,,,,,,,,,49.167023,-122.7815006,"9025 160 Street, Surrey, British Columbia, Canada","Rexall, 9025, 160 Street, Fleetwood, Surrey, Metro Vancouver Regional District, British Columbia, V4N 3A5, Canada","(49.167023, -122.7815006, 0.0)",49.167023,-122.7815006
86,Evergreen - The Terraces / The Pointe,0,99420,Fraser Health,1550 Oxford St,White Rock,V4B3R5,(604) 536-3344,1996,"Resident Council, Family Council",Accredited,3,249,252,252,0,0,4,1,6,2,31,0,0,2,3,2,2.4,0.8,12.3,0,0,0.8,1.2,0.8,87,0.651,0.647,0.012,861,0.123,0.181,0.212,0.663,0.147,2.5,0.532,0.56,0.003,0,0,0.501,0.339,0.083,12,3,0,0,0,1,1,0,0,0,0,1,0,0,no,yes,yes,yes,non-profit,24,evergreen - the terraces / the pointe,,,,,,,,,,,,,,,49.0264665,-122.8122029,"1550 Oxford St, White Rock, British Columbia, Canada","Oxford Street, Five Corners, West Beach, White Rock, Metro Vancouver Regional District, British Columbia, V4B 3R2, Canada","(49.0264665, -122.8122029, 0.0)",49.0264665,-122.8122029
87,Evergreen Extended Care - Powell River Hospital,0,9A551,Vancouver Coastal Health,4970 Joyce Ave.,Powell River,V8A5P2,(604) 485-2208,1980,"Resident Council, Family Council",Accredited,0,75,75,6,4,15,0,0,1,0,3,0,0,0,0,0,1.3,0,4,0,0,0,0,0,84,0.631,0.611,0.041,777,0.113,0.325,0.274,0.42,0.057,2.2,0.59,0.58,0.019,0.005,0.005,0.509,0.348,0.244,2,4,0,3,0,0,0,0,0,0,0,1,0,0,no,yes,yes,yes,health_authority,40,evergreen extended care - powell river hospital,,,,,,,,,,,,,,,49.8489957,-124.5226255,"4970 Joyce Ave., Powell River, British Columbia, Canada","Joyce Avenue, Powell River, qathet Regional District, British Columbia, V8A 5P4, Canada","(49.8489957, -124.5226255, 0.0)",49.8489957,-124.5226255
89,Fair Haven - Burnaby,0,99C49,Fraser Health,7557 Sussex Ave.,Burnaby,V5J3V6,(604) 435-0525,1994,"Resident Council, Family Council",Accredited,0,100,100,100,0,0,2,1,1,5,12,0,0,0,2,6,1,5,12,0,0,0,2,6,87,0.668,0.637,0.008,1698,0.167,0.438,0.487,0.578,0.114,2.2,0.585,0.57,0.092,0.843,0,0.366,0.254,0.126,3,5,0,1,0,1,0,1,0,0,0,1,1,0,no,yes,yes,yes,non-profit,26,fair haven - burnaby,,,,,,,,,,,,,,,49.21526995,-123.0059057,"7557 Sussex Ave., Burnaby, British Columbia, Canada","Fair Haven United Church Home, 7557, Sussex Avenue, Fairways at Nelson, South Slope, Burnaby, Metro Vancouver Regional District, British Columbia, V5J 5C2, Canada","(49.21526995, -123.00590568055972, 0.0)",49.21526995,-123.0059057
90,Fair Haven - Vancouver,0,999HG,Vancouver Coastal Health,2720 East 48th Ave.,Vancouver,V5S1G7,(604) 433-2939,1979,"Resident Council, Family Council",Accredited,0,82,82,70,6,0,1,1,0,0,9,0,0,2,1,0,0,0,11,0,0,2.4,1.2,0,84,0.658,0.548,0.026,1174,0.192,0.433,0.329,0.716,0.113,2.9,0.454,0.59,0.098,0.677,0.037,0.457,0.258,0.141,3,8,0,1,1,2,4,0,0,0,0,0,0,0,no,yes,yes,yes,non-profit,41,fair haven - vancouver,,,,,,,,,,,,,,,49.225452,-123.0365843,"2720 East 48th Ave., Vancouver, British Columbia, Canada","East 48th Avenue, Killarney, Vancouver, Metro Vancouver Regional District, British Columbia, V5S, Canada","(49.225452, -123.0365843, 0.0)",49.225452,-123.0365843
91,Fair Haven - Vancouver - Special Unit,0,93860,Vancouver Coastal Health,2720 East 48th Ave.,Vancouver,V5S1G7,(604) 433-2939,1979,"Resident Council, Family Council",Accredited,0,19,19,19,0,0,,,,,,,,,,,,,,,,,,,80,0.275,0.297,0.014,273,0.078,0.195,0.662,0.857,0.195,2,0.584,0.54,0.013,0.597,0,0.766,0.754,0.091,,,,,,,,,,,,,,,no,yes,yes,yes,non-profit,41,fair haven - vancouver - special unit,,,,,,,,,,,,,,,49.225452,-123.0365843,"2720 East 48th Ave., Vancouver, British Columbia, Canada","East 48th Avenue, Killarney, Vancouver, Metro Vancouver Regional District, British Columbia, V5S, Canada","(49.225452, -123.0365843, 0.0)",49.225452,-123.0365843
92,Fellburn Care Centre,0,9A575,Fraser Health,6050 Hastings St.,Burnaby,V5B1R6,(604) 412-6503,1964,Resident & Family Council (combined),Accredited,0,81,81,10,16,10,3,0,0,3,0,0,1,0,0,0,0,3.7,0,0,1.2,0,0,0,87,0.668,0.646,0.073,606,0.154,0.43,0.355,0.515,0.14,2.2,0.597,0.65,0.147,0.396,0.044,0.317,0.104,0.024,2,5,0,1,0,1,0,1,0,0,0,2,0,0,no,yes,yes,yes,health_authority,56,fellburn care centre,,,,,,,,,,,,,,,49.2803168,-122.9624341,"6050 Hastings St., Burnaby, British Columbia, Canada","Hastings Street, Westridge, Burnaby, Metro Vancouver Regional District, British Columbia, V5B 1S0, Canada","(49.2803168, -122.9624341, 0.0)",49.2803168,-122.9624341
95,Fischer Place/Mill Site Lodge,0,9B9DF,Interior Health,555 Cedar Ave. South,100 Mile House,V0K2E0,(250) 395-7696,1987,Resident Council,Accredited,0,93,93,93,0,0,0,0,0,0,13,0,0,1,6,0,0,0,14,0,0,1.1,6.5,0,84,0.649,0.531,0.038,761,0.481,0.267,0.267,0.745,0.073,2.8,0.413,0.57,0.003,0.37,0.003,0.604,0.29,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,yes,health_authority,33,fischer place/mill site lodge,,,,,,,,,,,,,,,51.6444141,-121.2939045,"555 Cedar Ave. South, 100 Mile House, British Columbia, Canada","Cedar Avenue South, 100 Mile House, Cariboo Regional District, British Columbia, V0K 3E0, Canada","(51.6444141, -121.2939045, 0.0)",51.6444141,-121.2939045
97,Forest View Place,0,92960,Interior Health,640 Park Dr.,Clearwater,V0E1N1,(250) 674-2244,2002,"Resident Council, Family Council",Accredited,0,21,21,21,0,0,0,0,0,0,2,0,0,0,0,1,0,0,9.5,0,0,0,0,4.8,90,0.529,0.665,0.024,1317,0.263,0.123,0.14,0.754,0.088,2.7,0.526,0.53,0,0.018,0,0.456,0.352,0.063,0,7,0,0,1,0,3,0,0,0,0,3,0,0,no,yes,yes,yes,health_authority,18,forest view place,795,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V0E1N0,clearwater,bc,,Clearwater,,59,51.64507195,-120.0177478,"640 Park Dr., Clearwater, British Columbia, Canada","Dr. Helmcken Memorial Hospital, 640, Park Drive, Clearwater, Thompson-Nicola Regional District, British Columbia, V0E 3Z0, Canada","(51.64507195, -120.01774781423934, 0.0)",51.64507195,-120.0177478
98,Fort Langley Seniors Community,0,9ACEC,Fraser Health,8838 Glover Road,Langley,V1M2R4,(604) 888-0711,2008,"Resident Council, Family Council",Unknown,5,91,96,68,14,0,4,1,0,0,10,0,0,0,1,1,0,0,10.4,0,0,0,1,1,90,0.662,0.757,0.004,1120,0.17,0.383,0.316,0.735,0.053,2.6,0.377,0.6,0.254,0.698,0,0.475,0.201,0,10,4,0,1,0,1,1,1,0,0,0,0,0,0,no,yes,yes,unknown,for-profit,12,fort langley seniors community,,,,,,,,,,,,,,,49.1132513,-122.6442649,"8838 Glover Road, Langley, British Columbia, Canada","Glover Road, City of Langley, Metro Vancouver Regional District, British Columbia, V3A 0A3, Canada","(49.1132513, -122.6442649, 0.0)",49.1132513,-122.6442649
99,Fort Nelson Multi Level Unit,0,91552,Northern Health,5315 Liard St,Fort Nelson,V0C1R0,(250) 774-8100,1963,No Councils,Accredited,0,7,7,7,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0.576,0.333,0.03,3872,0.125,0.125,0,0.25,0,3.6,0.25,0.5,0,0,0,0.25,0.085,0.119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,yes,health_authority,57,fort nelson multi level unit,800,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V0C1R0,fort nelson,bc,,,,59,58.8089455,-122.7049735,"5315 Liard St, Fort Nelson, British Columbia, Canada","Fort Nelson General Hospital, 5315, Liard Street, Fort Nelson, Northern Rockies Regional Municipality, British Columbia, V0C 1R0, Canada","(58.8089455, -122.7049735049242, 0.0)",58.8089455,-122.7049735
101,Fraser Hope Lodge,0,9BJC6,Fraser Health,1275-7th Avenue,Hope,V0X1L4,(604) 860-7706,1991,"Resident Council, Family Council",Unknown,0,50,50,46,2,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,89,0.536,0.7,0.037,,0.346,0.187,0.33,0.67,0.088,3.1,0.473,0.59,0.22,0.67,0.049,0.588,0.225,0.021,1,3,0,0,1,1,0,0,0,0,0,1,0,0,no,yes,yes,unknown,health_authority,29,fraser hope lodge,809,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V0X1L4,hope,bc,,Hope,,59,49.3773925,-121.4237846,"1275-7th Avenue, Hope, British Columbia, Canada","1275, 7th Avenue, Hope, British Columbia, V0X 1L4, Canada","(49.3773925, -121.42378463532327, 0.0)",49.3773925,-121.4237846
102,Fraserview,0,99BEI,Vancouver Coastal Health,9580 Williams Road,Richmond,V7A1H2,(604) 274-3510,1992,"Resident Council, Family Council",Accredited,0,101,101,33,37,0,0,0,1,0,4,0,0,3,0,0,1,0,4,0,0,3,0,0,90,0.837,0.807,0.002,1181,0.185,0.49,0.19,0.751,0.033,1.9,0.711,0.57,0.018,0.01,0,0.211,0.231,0.031,3,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,yes,yes,for-profit,28,fraserview,,,,,,,,,,,,,,,49.1407897,-123.1141556,"9580 Williams Road, Richmond, British Columbia, Canada","Williams Road, Woodward's Landing, Southarm, Richmond, Metro Vancouver Regional District, British Columbia, V7A 1H4, Canada","(49.1407897, -123.1141556, 0.0)",49.1407897,-123.1141556
103,Gateway Lodge Residential Care,0,937I0,Northern Health,1488 20th Ave.,Prince George,V2L0A5,(250) 645-6100,2010,"Resident Council, Family Council",Accredited,0,120,120,120,0,0,1,1,0,0,4,0,1,0,1,0,0,0,3.3,0,0.8,0,0.8,0,80,0.528,0.359,0.12,1406,0.256,0.228,0.268,0.481,0.052,2.8,0.441,0.55,0.006,0.441,0.012,0.622,0.342,0.066,3,1,0,0,0,0,0,0,0,0,0,1,0,0,no,yes,yes,yes,health_authority,10,gateway lodge residential care,,,,,,,,,,,,,,,53.905584,-122.7520213,"1488 20th Ave., Prince George, British Columbia, Canada","1488, 20th Avenue, College Heights, Prince George, Regional District of Fraser-Fort George, British Columbia, V2L 1M1, Canada","(53.905584, -122.7520213, 0.0)",53.905584,-122.7520213
111,Glenwarren Lodge,0,9B7A0,Vancouver Island Health,1230 Balmoral Rd,Victoria,V8T1B3,(250) 383-2323,1967,"Resident Council, Family Council",Accredited,0,104,104,46,20,11,1,0,,,,,,,,,,,,,,,,,86,0.859,0.628,0.029,514,0.253,0.311,0.393,0.704,0.087,3.1,0.347,0.6,0.01,0.108,0,0.542,0.197,0.042,1,2,0,0,1,0,1,0,0,0,0,0,0,0,no,yes,yes,yes,for-profit,53,glenwarren lodge,,,,,,,,,,,,,,,48.4283883,-123.3486649,"1230 Balmoral Rd, Victoria, British Columbia, Canada","1230, Balmoral Road, Fernwood, Victoria, Capital Regional District, British Columbia, V8R 1L6, Canada","(48.4283883, -123.3486649, 0.0)",48.4283883,-123.3486649
113,Gorge Road Hospital,0,93000,Vancouver Island Health,63 Gorge Road East,Victoria,V9A1L2,Arbutus View: (250) 519-3510 / Water View: (250) 519-3514,1953,"Resident Council, Family Council",Accredited,0,111,111,11,4,27,5,0,,,,,,,,,,,,,,,,,83,0.564,0.513,0.081,332,0.256,0.29,0.263,0.535,0.083,3.4,0.362,0.58,0.012,0.677,0.507,0.442,0.251,0.077,1,3,0,0,0,0,1,0,0,0,0,2,0,0,no,yes,yes,yes,health_authority,67,gorge road hospital,866,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,V9A1L2,victoria,bc,,Victoria,,59,48.44178385,-123.3881016,"63 Gorge Road East, Victoria, British Columbia, Canada","Gorge Road Hospital, 63, Gorge Road East, Burnside, Victoria, Capital Regional District, British Columbia, V8T 5K3, Canada","(48.44178385, -123.38810164430217, 0.0)",48.44178385,-123.3881016
119,Harmony Court Care Centre  - Special Unit,0,93A2A,Fraser Health,7195 Canada Way,Burnaby,V5E3R7,(604) 527-3300,2011,Family Council,Unknown,0,25,25,25,0,0,,,,,,,,,,,,,,,,,,,84,0.872,0.569,0.046,705,0.136,0,0.01,0.951,0.019,2.7,0.505,0.44,0.019,0.417,0,0.35,0.31,0,,,,,,,,,,,,,,,no,no,yes,unknown,for-profit,9,harmony court care centre  - special unit,,,,,,,,,,,,,,,49.2534087,-122.989119,"7195 Canada Way, Burnaby, British Columbia, Canada","Canada Way, Discovery Park, Burnaby, Metro Vancouver Regional District, British Columbia, V5G 1G1, Canada","(49.2534087, -122.989119, 0.0)",49.2534087,-122.989119
121,Hawthorne Seniors Care Community,0,992JA,Fraser Health,2111 Hawthorne Ave,Port Coquitlam,V3C1W3,(604) 941-4051,,"Resident Council, Family Council",Unknown,0,131,131,115,8,0,0,0,1,0,26,0,0,0,2,0,0.8,0,19.8,0,0,0,1.5,0,82,0.555,0.49,0.066,772,0.122,0.419,0.441,0.537,0.128,2.2,0.656,0.59,0,0.569,0,0.419,0.327,0.022,1,9,0,3,2,1,1,1,0,1,0,0,0,0,no,yes,yes,unknown,non-profit,,hawthorne seniors care community,908,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V3C1W3,port coquitlam,bc,,Port Coquitlam,,59,49.2570112,-122.7792222,"2111 Hawthorne Ave, Port Coquitlam, British Columbia, Canada","Hawthorne Avenue, Mary Hill, Port Coquitlam, Metro Vancouver Regional District, British Columbia, V3C 3B7, Canada","(49.2570112, -122.7792222, 0.0)",49.2570112,-122.7792222
122,Henry Durand Manor,0,9A7GF,Interior Health,803 9th St South,Golden,V0A1H0,(250) 344-3402,1980,Resident & Family Council (combined),Accredited,0,28,28,28,0,0,0,0,0,0,12,0,0,0,3,1,0,0,42.9,0,0,0,10.7,3.6,85,0.647,0.676,0.063,573,0.294,0.333,0.382,0.735,0.029,2.1,0.598,0.57,0.088,0.382,0,0.569,0.253,0.093,2,10,1,2,1,0,2,0,0,0,1,2,1,0,no,yes,yes,yes,health_authority,40,henry durand manor,,,,,,,,,,,,,,,51.2961409,-116.9734392,"803 9th St South, Golden, British Columbia, Canada","9th Street South, Golden, Columbia-Shuswap Regional District, British Columbia, V0A 1H0, Canada","(51.2961409, -116.9734392, 0.0)",51.2961409,-116.9734392
124,Heritage Village,0,9C5BC,Fraser Health,7525 Topaz Dr,Chilliwack,V2R3C9,(604) 858-1833,1993,Resident & Family Council (combined),Accredited,0,100,100,64,12,3,0,0,2,1,21,0,0,0,3,0,2,1,21,0,0,0,3,0,85,0.544,0.584,0.034,940,0.118,0.31,0.434,0.648,0.127,2.3,0.552,0.57,0.034,0.58,0,0.549,0.273,0.034,2,10,0,1,1,1,3,1,0,0,0,3,0,0,no,yes,yes,yes,health_authority,27,heritage village,919,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V2R3C9,chilliwack,bc,,Chilliwack,,59,49.1407098,-121.9665418,"7525 Topaz Dr, Chilliwack, British Columbia, Canada","Topaz Drive, Chilliwack, British Columbia, V2R 3S9, Canada","(49.1407098, -121.9665418, 0.0)",49.1407098,-121.9665418
128,Hilton Villa Seniors Community,0,917D8,Fraser Health,13525 Hilton Rd,Surrey,V3R5J3,(604) 588-3424,1974,"Resident Council, Family Council",Accredited,3,154,157,83,36,0,3,1,3,1,18,0,0,0,3,0,1.9,0.6,11.5,0,0,0,1.9,0,86,0.698,0.629,0.051,749,0.207,0.332,0.375,0.665,0.127,2.9,0.431,0.59,0.453,0.038,0,0.458,0.102,0.067,10,1,0,1,0,0,0,0,0,0,0,0,0,0,no,yes,yes,yes,for-profit,46,hilton villa seniors community,,,,,,,,,,,,,,,49.20242145,-122.8467273,"13525 Hilton Rd, Surrey, British Columbia, Canada","13525, Hilton Road, Bridgeview, Surrey, Metro Vancouver Regional District, British Columbia, V3T 2X6, Canada","(49.20242145, -122.84672725264093, 0.0)",49.20242145,-122.8467273
129,Hogg and Weatherby Pavilions - Peace Arch Hospital,0,9A58I,Fraser Health,15521 Russell Ave.,White Rock,V4B2R4,(604) 541-5837,1987,"Resident Council, Family Council",Unknown,0,234,234,30,78,12,2,0,2,0,24,0,0,1,2,0,0.9,0,10.3,0,0,0.4,0.9,0,90,0.739,0.769,0.022,785,0.177,0.28,0.242,0.483,0.086,2.6,0.523,0.57,0.155,0.67,0.124,0.482,0.188,0.032,2,3,1,1,1,0,0,0,0,0,0,0,0,0,no,yes,yes,unknown,health_authority,33,hogg and weatherby pavilions - peace arch hospital,,,,,,,,,,,,,,,49.03015955,-122.7923695,"15521 Russell Ave., White Rock, British Columbia, Canada","Peace Arch Hospital, 15521, Russell Avenue, Uptown, White Rock, Metro Vancouver Regional District, British Columbia, V4B 2T4, Canada","(49.03015955, -122.79236954999999, 0.0)",49.03015955,-122.7923695
130,Holyrood Manor,0,91842,Fraser Health,22710 Holyrood Ave,Maple Ridge,V2X3E6,(604) 467-8831,,Family Council,Accredited,2,123,125,0,0,0,0,0,1,2,15,0,0,0,4,1,0.8,1.6,12,0,0,0,3.2,0.8,86,0.815,0.583,0.033,1196,0.31,0.199,0.252,0.719,0.119,2.3,0.528,0.61,0,0.706,0,0.501,0.2,0.012,1,3,0,0,1,1,0,1,0,0,0,0,0,0,no,no,yes,yes,for-profit,,holyrood manor,,,,,,,,,,,,,,,49.2122959,-122.5939042,"22710 Holyrood Ave, Maple Ridge, British Columbia, Canada","Holyrood Avenue, Yennadon, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 2V6, Canada","(49.2122959, -122.5939042, 0.0)",49.2122959,-122.5939042
136,Joseph Creek Village,0,92IJA,Interior Health,1901 Willowbrook Dr,Cranbrook,V1C6S4,(250) 417-0666,2003,"Resident Council, Family Council",Unknown,2,100,102,102,0,0,4,1,0,2,9,0,0,5,2,0,0,2,8.8,0,0,4.9,2,0,80,0.643,0.393,0.113,1311,0.258,0.24,0.293,0.568,0.05,3.3,0.315,0.61,0.298,0.728,0.42,0.45,0.298,0.052,8,15,1,1,5,2,2,0,1,1,0,2,0,0,no,yes,yes,unknown,for-profit,17,joseph creek village,,,,,,,,,,,,,,,49.5270986,-115.7452938,"1901 Willowbrook Dr, Cranbrook, British Columbia, Canada","Willowbrook Drive, Cranbrook, Regional District of East Kootenay, British Columbia, V1C 3S9, Canada","(49.5270986, -115.7452938, 0.0)",49.5270986,-115.7452938
137,Jubilee Lodge,0,9A69E,Northern Health,1475 Edmonton Street,Prince George,V2M1S2,(250) 565-2286,1979,"Resident Council, Family Council",Accredited,0,66,66,4,3,14,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0.501,0.489,0.052,1131,0.178,0.382,0.408,0.658,0.033,2.5,0.474,0.59,0,0.612,0.013,0.428,0.246,0.165,1,6,0,3,0,0,0,0,0,0,0,2,1,0,no,yes,yes,yes,health_authority,41,jubilee lodge,,,,,,,,,,,,,,,53.9120966,-122.7626315,"1475 Edmonton Street, Prince George, British Columbia, Canada","1475, Edmonton Street, College Heights, Prince George, Regional District of Fraser-Fort George, British Columbia, V2L 3X3, Canada","(53.9120966, -122.7626315, 0.0)",53.9120966,-122.7626315
138,Jubilee Multi Generational Housing Society,0,99C25,Fraser Health,3460 Kalyk Avenue,Burnaby,V5G3B2,(604) 434-2666,1975,"Resident Council, Family Council",Not Accredited,0,60,60,12,18,3,3,1,2,3,7,0,0,2,0,1,3.3,5,11.7,0,0,3.3,0,1.7,89,0.689,0.716,0,656,0.209,0.378,0.474,0.283,0.043,3.4,0.335,0.59,0.126,0.013,0,0.4,0.077,0.013,3,11,0,4,3,0,0,3,0,0,0,1,0,0,no,yes,yes,no,non-profit,45,jubilee multi generational housing society,,,,,,,,,,,,,,,49.2528169,-123.0130025,"3460 Kalyk Avenue, Burnaby, British Columbia, Canada","Kalyk Avenue, Discovery Park, Burnaby, Metro Vancouver Regional District, British Columbia, V5G 0A4, Canada","(49.2528169, -123.0130025, 0.0)",49.2528169,-123.0130025
144,Kiwanis Pavilion,0,9AC36,Vancouver Island Health,3034 Cedar Hill Road,Victoria,V8T3J3,(250) 598-2022,1982,Family Council (residents can attend),Accredited,6,116,122,122,0,0,0,0,1,0,14,0,0,0,1,2,0.8,0,11.5,0,0,0,0.8,1.6,83,0.666,0.548,0.038,700,0.269,0.285,0.396,0.869,0.138,2.8,0.506,0.6,0.206,0.177,0.029,0.61,0.159,0.038,2,5,0,1,0,0,2,1,0,0,0,1,0,0,no,no,yes,yes,non-profit,38,kiwanis pavilion,,,,,,,,,,,,,,,48.4464163,-123.3467929,"3034 Cedar Hill Road, Victoria, British Columbia, Canada","3034, Cedar Hill Road, Oaklands, Victoria, Capital Regional District, British Columbia, V8T 3J4, Canada","(48.4464163, -123.3467929, 0.0)",48.4464163,-123.3467929
149,Lakeshore Care Centre,0,992HG,Fraser Health,657 Gatensbury Street,Coquitlam,V3J5G9,(604) 939-9277,,"Resident Council, Family Council",Not Accredited,21,35,56,42,7,0,1,1,0,1,1,0,0,0,0,0,0,1.8,1.8,0,0,0,0,0,85,0.704,0.645,0.065,1526,0.217,0.434,0.448,0.783,0.126,2.2,0.601,0.6,0.007,0.119,0,0.364,0.17,0.112,2,3,0,0,2,0,0,0,0,0,0,1,0,0,no,yes,yes,no,for-profit,,lakeshore care centre,,,,,,,,,,,,,,,49.2595472,-122.8563516,"657 Gatensbury Street, Coquitlam, British Columbia, Canada","Gatensbury Street, Harbour Chines, Coquitlam, Metro Vancouver Regional District, British Columbia, V3J 3B7, Canada","(49.2595472, -122.8563516, 0.0)",49.2595472,-122.8563516
150,Lakeview Care Centre,0,9C477,Vancouver Coastal Health,3490 Porter Street,Vancouver,V5N5W4,(604) 874-2803,1993,"Resident Council, Family Council",Accredited,0,177,177,105,36,0,0,0,2,0,10,0,0,2,0,0,1.1,0,5.6,0,0,1.1,0,0,87,0.643,0.693,0.016,1143,0.238,0.218,0.293,0.585,0.096,4.1,0.2,0.56,0,0.023,0,0.347,0.106,0.014,4,7,0,3,0,0,1,1,0,1,0,1,0,0,no,yes,yes,yes,for-profit,27,lakeview care centre,,,,,,,,,,,,,,,49.25348995,-123.0664881,"3490 Porter Street, Vancouver, British Columbia, Canada","Lakeview Care Centre, 3490, Porter Street, Renfrew-Collingwood, Vancouver, Metro Vancouver Regional District, British Columbia, V5N, Canada","(49.25348995, -123.06648814723717, 0.0)",49.25348995,-123.0664881
153,Langley Memorial Hospital ECU,0,9A5E0,Fraser Health,22051 Fraser Hwy,Langley,V3A4H4,(604) 514-6026,,Resident Council,Unknown,0,230,230,8,4,44,5,1,1,0,1,0,0,3,0,0,0.4,0,0.4,0,0,1.3,0,0,89,0.721,0.712,0.03,597,0.137,0.269,0.258,0.542,0.071,2.6,0.531,0.57,0.065,0.523,0.04,0.467,0.233,0.024,6,10,0,2,1,0,3,1,0,0,1,2,0,0,no,yes,no,unknown,health_authority,,langley memorial hospital ecu,,,,,,,,,,,,,,,49.0944775,-122.6116674,"22051 Fraser Hwy, Langley, British Columbia, Canada","Langley Memorial Hospital, 22051, Fraser Highway, Murrayville, Township of Langley, Metro Vancouver Regional District, British Columbia, V3A 4H1, Canada","(49.094477499999996, -122.61166744542867, 0.0)",49.0944775,-122.6116674
154,Laurel Place,0,9359A,Fraser Health,9688 137A St,Surrey,V3T4H9,(604) 582-6336,2008,"Resident & Family Council (combined), Food Council",Accredited,13,202,215,207,4,0,1,0,0,0,17,0,0,0,2,0,0,0,7.9,0,0,0,0.9,0,85,0.584,0.604,0.059,899,0.189,0.379,0.252,0.58,0.061,2.4,0.607,0.6,0.167,0.017,0.002,0.396,0.156,0.166,4,2,0,1,0,0,1,0,0,0,0,0,0,0,no,yes,yes,yes,for-profit,12,laurel place,1051,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V3T4H9,surrey,bc,,Surrey,,59,49.1784219,-122.8417807,"9688 137A St, Surrey, British Columbia, Canada","9688, 137A Street, Whalley, Surrey, Metro Vancouver Regional District, British Columbia, V3T 0M1, Canada","(49.1784219, -122.8417807, 0.0)",49.1784219,-122.8417807
