facility_name,Number of dead,HCC_CODE,HLTH_AUTH,STREET_ADDRESS,CITY,POSTAL,PHONE,OPEN_DATE,COUNCIL,ACCRED_STATUS,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,outbreak_status,location,point,latitude,longitude,residents_council,family_council,accreditation,home_type,years_operating,LONGITUDE,LATITUDE
delta view habilitation centre,0.0,9C280,Fraser Health,9341 Burns Drive,Delta,V4K3N3,(604) 596-8842,1991,"Resident Council, Family Council",Accredited,9.0,71.0,80.0,72.0,4.0,0.0,0,0,0,0,4,0,0,1,0,0,0,0,5,0,0,1.3,0,0,79,0.667,0.333,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"9341, Burns Drive, Delta, Metro Vancouver Regional District, British Columbia, V4K 3N3, Canada","(49.0922042, -122.96504725675072, 0.0)",49.092204200000005,-122.96504725675072,yes,yes,yes,for-profit,29.0,-122.96504725675072,49.092204200000005
delta view life enrichment centre,0.0,9940H,Fraser Health,9321 Burns Drive,Delta,V4K3N3,(604) 501-6700,2004,"Resident Council, Family Council",Accredited,62.0,150.0,212.0,172.0,20.0,0.0,0,0,0,0,13,0,0,0,1,0,0,0,6.1,0,0,0,0.5,0,85,0.662,0.55,0.028,942,0.264,0.397,0.484,0.739,0.187,1.9,0.696,0.61,0.382,0,0,0.47,0.159,0.003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Delta View Life Enrichment Centre, 9321, Burns Drive, Delta, Metro Vancouver Regional District, British Columbia, V4K 3N3, Canada","(49.09130415, -122.96486604215154, 0.0)",49.09130415,-122.96486604215154,yes,yes,yes,for-profit,16.0,-122.96486604215154,49.09130415
deni house,0.0,93B40,Interior Health,517 6th Ave N.,Williams Lake,V2G2G8,(250) 302-3208,2011,Resident Council (family can attend),Accredited,0.0,28.0,28.0,13.0,0.0,5.0,0,0,0,1,8,0,0,2,0,0,0,3.6,28.6,0,0,7.1,0,0,80,0.433,0.484,0.178,381,0.234,0.299,0.39,0.61,0.052,3.7,0.273,0.58,0,0.247,0,0.519,0.41,0.088,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Canadian Red Cross Williams Lake Office, 517, 6th Avenue North, Williams Lake, Cariboo Regional District, British Columbia, V2G 2G8, Canada","(52.1378197, -122.1436286, 0.0)",52.1378197,-122.14362859999999,yes,no,yes,health_authority,9.0,-122.14362859999999,52.1378197
discovery harbour seniors community,0.0,9353A,Vancouver Island Health,850 14th Avenue,Campbell River,V9W4H4,(250) 287-7166,2008,"Resident Council, Family Council",Unknown,0.0,142.0,142.0,90.0,4.0,0.0,16,9,1,9,21,0,1,6,0,7,0.7,6.3,14.8,0,0.7,4.2,0,4.9,84,0.576,0.564,0.025,912,0.268,0.22,0.313,0.739,0.097,1.2,0.815,0.62,0.006,0,0.002,0.588,0.282,0.099,5.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,no,"14th Avenue, Campbell River, Strathcona Regional District, British Columbia, V9W 8E8, Canada","(50.0293746, -125.2748504, 0.0)",50.029374600000004,-125.27485039999999,yes,yes,unknown,for-profit,12.0,-125.25376509999998,50.0297507
dogwood lodge,0.0,999F1,Vancouver Coastal Health,500 West 57th Avenue,Vancouver,V6P6E8,(604) 324-6882,1979,"Resident Council, Family Council",Accredited,0.0,83.0,83.0,83.0,0.0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,3.6,0,0,0,0,0,84,0.78,0.56,0.016,914,0.259,0.435,0.423,0.617,0.068,2.6,0.534,0.54,0.358,0.022,0.003,0.444,0.204,0.009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Dogwood Lodge, 500, West 57th Avenue, Oakridge, Vancouver, Metro Vancouver Regional District, British Columbia, V6P 1R0, Canada","(49.21829265, -123.11773071269863, 0.0)",49.21829265,-123.11773071269863,yes,yes,yes,health_authority,41.0,-123.117928,49.2183308
dr. andrew pavilion - summerland health centre,0.0,9AJF4,Interior Health,12815 Atkinson Rd.,Summerland,V0H1Z0,(250)  404-8020,1984,"Resident Council, Family Council",Accredited,0.0,50.0,50.0,4.0,5.0,8.0,0,0,1,1,1,0,0,0,0,0,2,2,2,0,0,0,0,0,89,0.755,0.767,0.004,619,0.223,0.451,0.187,0.715,0.01,2.2,0.601,0.58,0,0,0,0.347,0.237,0.067,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"12815, Atkinson Road, Summerland, Regional District of Okanagan-Similkameen, British Columbia, V0H 1Z0, Canada","(49.6027035, -119.6679222, 0.0)",49.6027035,-119.6679222,yes,yes,yes,health_authority,36.0,-119.6835172,49.5979603
dr. f. w. green memorial home,0.0,98F1A,Interior Health,1700 4th Street St. South,Cranbrook,V1C6E1,(250) 426-3710,1979,Family Council,Accredited,0.0,58.0,58.0,60.0,0.0,0.0,0,0,1,0,6,0,0,2,1,0,1.7,0,10.3,0,0,3.4,1.7,0,84,0.629,0.595,0.079,1033,0.291,0.455,0.307,0.852,0.042,2.3,0.556,0.59,0,0,0,0.476,0.256,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,,"(49.106144, -122.6498551, 0.0)",49.106144,-122.6498551,no,yes,yes,health_authority,41.0,-115.7573544,49.5052761
dufferin place,0.0,9A6D2,Vancouver Island Health,1200 Dufferin Crescent,Nanaimo,V9S2B7,(250) 755-7632,1987,"Resident Council, Family Council",Accredited,0.0,146.0,146.0,14.0,8.0,29.0,1,0,,,,,,,,,,,,,,,,,84,0.745,0.555,0.044,463,0.374,0.264,0.227,0.446,0.025,3.8,0.264,0.58,0.444,0,0.301,0.542,0.061,0.02,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Nanaimo Regional General Hospital, 1200, Dufferin Crescent, Brechin Hill, Nanaimo, Regional District of Nanaimo, British Columbia, V9S 2B7, Canada","(49.184874300000004, -123.96984534779168, 0.0)",49.1848743,-123.96984534779169,yes,yes,yes,health_authority,33.0,-123.96984534779169,49.1848743
dunrovin park lodge,0.0,99617,Northern Health,900 St Laurent Avenue,Quesnel,V2J3S3,(250) 985-5800,2010,"Resident Council, Family Council",Accredited,0.0,117.0,117.0,107.0,3.0,0.0,1,1,0,1,9,0,0,2,1,0,0,0.9,7.7,0,0,1.7,0.9,0,82,0.644,0.482,0.122,885,0.341,0.332,0.341,0.721,0.173,2.6,0.519,0.56,0.125,0.375,0.058,0.673,0.328,0.136,1.0,13.0,1.0,4.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,no,"St Laurent Avenue, West Quesnel, Quesnel, Cariboo Regional District, British Columbia, V2J 2C0, Canada","(52.9790394, -122.4961502, 0.0)",52.9790394,-122.4961502,yes,yes,yes,health_authority,10.0,-122.4873449,52.9794961
eagle park health care facility,0.0,9154A,Vancouver Island Health,777 Jones St,Qualicum Beach,V9K2L1,(250) 947-8220,1994,"Resident Council, Family Council",Accredited,0.0,75.0,75.0,55.0,20.0,0.0,1,0,,,,,,,,,,,,,,,,,83,0.626,0.512,0.055,463,0.274,0.267,0.358,0.761,0.046,3.7,0.284,0.58,0.007,0.004,0.712,0.572,0.534,0.109,1.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,no,"Jones Street, Qualicum Beach, Regional District of Nanaimo, British Columbia, V9K 1S4, Canada","(49.3409296, -124.4492447, 0.0)",49.3409296,-124.4492447,yes,yes,yes,health_authority,26.0,-124.4492447,49.3409296
eagle ridge manor - port hardy,0.0,923C0,Vancouver Island Health,9120 Granville Street,Port Hardy,V0N2P0,(250) 902-6043,2000,"Resident Council, Family Council",Accredited,0.0,22.0,22.0,22.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,83,0.585,0.468,0.043,1126,0.11,0.195,0.293,0.744,0.085,2.9,0.402,0.56,0.012,0.012,0,0.5,0.304,0.143,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"Port Hardy Hospital, 9120, Granville Street, Port Hardy, Regional District of Mount Waddington, British Columbia, V0N 2V0, Canada","(50.71997325, -127.50285126402541, 0.0)",50.71997325,-127.5028512640254,yes,yes,yes,health_authority,20.0,-127.5028512640254,50.71997325
eagle ridge manor - port moody,0.0,9C6EC,Fraser Health,475 Guildford Way,Port Moody,V3H3W9,(604) 469-3211,,Resident & Family Council (combined),Unknown,0.0,75.0,75.0,39.0,18.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0.557,0.611,0.03,1103,0.316,0.525,0.338,0.487,0.019,3.6,0.3,0.63,0.262,0.574,0.076,0.418,0.14,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Eagle Ridge Hospital, 475, Guildford Way, Eagle Ridge, Port Moody, Metro Vancouver Regional District, British Columbia, V3H 3W9, Canada","(49.28553745, -122.82369973641946, 0.0)",49.28553745,-122.82369973641944,yes,yes,unknown,health_authority,4.0,-122.82369973641944,49.28553745
echo village,0.0,9C2F7,Vancouver Island Health,4200 10th Avenue,Port Alberni,V9Y4X3,(250) 724-1090,1992,Resident Council,Accredited,2.0,65.0,67.0,67.0,0.0,0.0,2,0,,,,,,,,,,,,,,,,,83,0.612,0.527,0.078,443,0.154,0.391,0.263,0.624,0.03,3.8,0.216,0.59,0,0,0,0.541,0.292,0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"10th Avenue, Cameron Heights, Alberni, Port Alberni, Alberni-Clayoquot Regional District, British Columbia, V9Y 2K5, Canada","(49.2367453, -124.7978368, 0.0)",49.236745299999995,-124.7978368,yes,no,yes,non-profit,28.0,-124.7978368,49.236745299999995
eden gardens,0.0,9951E,Vancouver Island Health,1917 Northfield Road,Nanaimo,V9S3B6,(250) 758-4676,2017,"Resident Council, Family Council",Unknown,0.0,130.0,130.0,130.0,0.0,0.0,8,2,0,5,13,0,0,2,1,4,0,3.8,10,0,0,1.5,0.8,3.1,83,0.64,0.47,0.027,778,0.224,0.318,0.433,0.898,0.086,2,0.638,0.57,0.008,0.042,0.01,0.575,0.365,0.104,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"Northfield Road, Northfield, Nanaimo, Regional District of Nanaimo, British Columbia, V9S 1H0, Canada","(49.192006, -123.9905644, 0.0)",49.192006,-123.99056440000001,yes,yes,unknown,non-profit,3.0,-123.9831258,49.1918277
elim village - the harrison / harrison west,0.0,9371A,Fraser Health,9025 160 Street,Surrey,V4N2X7,(604) 587-8999,2009 / 2016,"Resident Council, Family Council",Accredited,18.0,176.0,194.0,181.0,6.0,0.0,2,0,4,1,17,0,0,1,1,0,2.1,0.5,8.8,0,0,0.5,0.5,0,87,0.675,0.672,0.021,772,0.229,0.368,0.235,0.632,0.118,2.8,0.465,0.61,0.007,0.064,0,0.426,0.242,0.042,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Rexall, 9025, 160 Street, Fleetwood, Surrey, Metro Vancouver Regional District, British Columbia, V4N 3A5, Canada","(49.167023, -122.7815006, 0.0)",49.167023,-122.7815006,yes,yes,yes,non-profit,4.0,-122.78132509999999,49.1669154
evergreen - the terraces / the pointe,0.0,99420,Fraser Health,1550 Oxford St,White Rock,V4B3R5,(604) 536-3344,1996,"Resident Council, Family Council",Accredited,3.0,249.0,252.0,252.0,0.0,0.0,4,1,6,2,31,0,0,2,3,2,2.4,0.8,12.3,0,0,0.8,1.2,0.8,87,0.651,0.647,0.012,861,0.123,0.181,0.212,0.663,0.147,2.5,0.532,0.56,0.003,0,0,0.501,0.339,0.083,12.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"Oxford Street, Five Corners, West Beach, White Rock, Metro Vancouver Regional District, British Columbia, V4B 3R2, Canada","(49.0264665, -122.8122029, 0.0)",49.0264665,-122.8122029,yes,yes,yes,non-profit,24.0,-122.8107662,49.029566700000004
evergreen extended care - powell river hospital,0.0,9A551,Vancouver Coastal Health,4970 Joyce Ave.,Powell River,V8A5P2,(604) 485-2208,1980,"Resident Council, Family Council",Accredited,0.0,75.0,75.0,6.0,4.0,15.0,0,0,1,0,3,0,0,0,0,0,1.3,0,4,0,0,0,0,0,84,0.631,0.611,0.041,777,0.113,0.325,0.274,0.42,0.057,2.2,0.59,0.58,0.019,0.005,0.005,0.509,0.348,0.244,2.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"Joyce Avenue, Powell River, qathet Regional District, British Columbia, V8A 5P4, Canada","(49.8489957, -124.5226255, 0.0)",49.8489957,-124.52262549999999,yes,yes,yes,health_authority,40.0,-124.51982890000001,49.850446399999996
evergreen seniors home,0.0,92J70,Vancouver Island Health,635 Evergreen Rd,Campbell River,V9W3R7,(250) 286-7274,2005,"Resident Council, Family Council",Accredited,42.0,22.0,64.0,60.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1.6,0,0,0,0,0,84,0.586,0.596,0.04,789,0.102,0.25,0.216,0.602,0.091,4.1,0.148,0.55,0.216,0.42,0.068,0.5,0.183,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Evergreen Seniors Home, 635, Evergreen Road, Quinsam Heights, Campbell River, Strathcona Regional District, British Columbia, V9W 3R7, Canada","(50.00703765, -125.24802816468468, 0.0)",50.00703765,-125.2480281646847,yes,yes,yes,for-profit,15.0,-125.24802439999999,50.00714489999999
fair haven - burnaby,0.0,99C49,Fraser Health,7557 Sussex Ave.,Burnaby,V5J3V6,(604) 435-0525,1994,"Resident Council, Family Council",Accredited,0.0,100.0,100.0,100.0,0.0,0.0,2,1,1,5,12,0,0,0,2,6,1,5,12,0,0,0,2,6,87,0.668,0.637,0.008,1698,0.167,0.438,0.487,0.578,0.114,2.2,0.585,0.57,0.092,0.843,0,0.366,0.254,0.126,3.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,no,"Fair Haven United Church Home, 7557, Sussex Avenue, Fairways at Nelson, South Slope, Burnaby, Metro Vancouver Regional District, British Columbia, V5J 5C2, Canada","(49.21526995, -123.00590568055972, 0.0)",49.21526995,-123.0059056805597,yes,yes,yes,non-profit,26.0,-123.0058287,49.2152662
fair haven - vancouver,0.0,999HG,Vancouver Coastal Health,2720 East 48th Ave.,Vancouver,V5S1G7,(604) 433-2939,1979,"Resident Council, Family Council",Accredited,0.0,82.0,82.0,70.0,6.0,0.0,1,1,0,0,9,0,0,2,1,0,0,0,11,0,0,2.4,1.2,0,84,0.658,0.548,0.026,1174,0.192,0.433,0.329,0.716,0.113,2.9,0.454,0.59,0.098,0.677,0.037,0.457,0.258,0.141,3.0,8.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"East 48th Avenue, Killarney, Vancouver, Metro Vancouver Regional District, British Columbia, V5S, Canada","(49.225452, -123.0365843, 0.0)",49.225452000000004,-123.03658429999999,yes,yes,yes,non-profit,41.0,-123.05136940000001,49.225367799999994
fair haven - vancouver - special unit,0.0,93860,Vancouver Coastal Health,2720 East 48th Ave.,Vancouver,V5S1G7,(604) 433-2939,1979,"Resident Council, Family Council",Accredited,0.0,19.0,19.0,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,80,0.275,0.297,0.014,273,0.078,0.195,0.662,0.857,0.195,2,0.584,0.54,0.013,0.597,0,0.766,0.754,0.091,,,,,,,,,,,,,,,no,"East 48th Avenue, Killarney, Vancouver, Metro Vancouver Regional District, British Columbia, V5S, Canada","(49.225452, -123.0365843, 0.0)",49.225452000000004,-123.03658429999999,yes,yes,yes,non-profit,41.0,-123.05136940000001,49.225367799999994
fellburn care centre,0.0,9A575,Fraser Health,6050 Hastings St.,Burnaby,V5B1R6,(604) 412-6503,1964,Resident & Family Council (combined),Accredited,0.0,81.0,81.0,10.0,16.0,10.0,3,0,0,3,0,0,1,0,0,0,0,3.7,0,0,1.2,0,0,0,87,0.668,0.646,0.073,606,0.154,0.43,0.355,0.515,0.14,2.2,0.597,0.65,0.147,0.396,0.044,0.317,0.104,0.024,2.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,no,"Hastings Street, Westridge, Burnaby, Metro Vancouver Regional District, British Columbia, V5B 1S0, Canada","(49.2803168, -122.9624341, 0.0)",49.280316799999994,-122.9624341,yes,yes,yes,health_authority,56.0,-122.9624341,49.280316799999994
finnish home,0.0,999CF,Vancouver Coastal Health,2288 Harrison Drive,Vancouver,V5P2P6,(604) 325-8241,1979,Resident & Family Council (combined),Not Accredited,0.0,64.0,64.0,64.0,0.0,0.0,0,0,1,0,7,0,0,1,0,0,1.6,0,10.9,0,0,1.6,0,0,86,0.667,0.601,0.011,902,0.304,0.365,0.277,0.627,0.054,2.2,0.612,0.59,0.204,0,0.004,0.546,0.254,0.063,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Harrison Drive, Victoria-Fraserview, Vancouver, Metro Vancouver Regional District, British Columbia, V5P, Canada","(49.2106226, -123.066815, 0.0)",49.2106226,-123.06681499999999,yes,yes,no,non-profit,41.0,-123.0651145,49.2098793
finnish home,0.0,999CF,Vancouver Coastal Health,2288 Harrison Drive,Vancouver,V5P2P6,(604) 325-8241,1979,Resident & Family Council (combined),Not Accredited,0.0,64.0,64.0,64.0,0.0,0.0,0,0,1,0,7,0,0,1,0,0,1.6,0,10.9,0,0,1.6,0,0,86,0.667,0.601,0.011,902,0.304,0.365,0.277,0.627,0.054,2.2,0.612,0.59,0.204,0,0.004,0.546,0.254,0.063,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Harrison Drive, Victoria-Fraserview, Vancouver, Metro Vancouver Regional District, British Columbia, V5P, Canada","(49.2106226, -123.066815, 0.0)",49.2106226,-123.06681499999999,yes,yes,no,non-profit,41.0,-123.06074540000002,49.20822879999999
fir park village,0.0,9A919,Vancouver Island Health,4411 Wallace Street,Port Alberni,V9Y7Y5,(250) 724-6541,1981,Resident Council,Accredited,1.0,65.0,66.0,66.0,0.0,0.0,1,0,2,0,13,0,0,1,1,0,3,0,19.7,0,0,1.5,1.5,0,86,0.679,0.589,0,885,0.316,0.249,0.13,0.632,0.049,4.7,0.108,0.55,0,0,0,0.651,0.325,0.007,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,no,"Wallace Street, Alberni, Port Alberni, Alberni-Clayoquot Regional District, British Columbia, V9Y 3R4, Canada","(49.250624, -124.7947646, 0.0)",49.250624,-124.7947646,yes,no,yes,non-profit,39.0,-124.79559590000001,49.26003060000001
fischer place/mill site lodge,0.0,9B9DF,Interior Health,555 Cedar Ave. South,100 Mile House,V0K2E0,(250) 395-7696,1987,Resident Council,Accredited,0.0,93.0,93.0,93.0,0.0,0.0,0,0,0,0,13,0,0,1,6,0,0,0,14,0,0,1.1,6.5,0,84,0.649,0.531,0.038,761,0.481,0.267,0.267,0.745,0.073,2.8,0.413,0.57,0.003,0.37,0.003,0.604,0.29,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Cedar Avenue South, 100 Mile House, Cariboo Regional District, British Columbia, V0K 3E0, Canada","(51.6444141, -121.2939045, 0.0)",51.6444141,-121.2939045,yes,no,yes,health_authority,33.0,-121.2939045,51.6444141
fleetwood place,0.0,993E2,Fraser Health,16011 83rd Ave,Surrey,V4N0N2,(604) 590-6860,2004,"Resident Council, Family Council",Accredited,13.0,98.0,111.0,108.0,0.0,0.0,1,0,0,1,12,0,0,0,0,0,0,0.9,10.8,0,0,0,0,0,88,0.617,0.667,0.022,1327,0.095,0.378,0.381,0.5,0.074,2.6,0.537,0.58,0.503,0.659,0.005,0.548,0.282,0.19,2.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,,"(49.1631226, -123.18742935, 0.0)",49.1631226,-123.18742935,yes,yes,yes,for-profit,16.0,-122.77798429999999,49.153786
forest view place,0.0,92960,Interior Health,640 Park Dr.,Clearwater,V0E1N1,(250) 674-2244,2002,"Resident Council, Family Council",Accredited,0.0,21.0,21.0,21.0,0.0,0.0,0,0,0,0,2,0,0,0,0,1,0,0,9.5,0,0,0,0,4.8,90,0.529,0.665,0.024,1317,0.263,0.123,0.14,0.754,0.088,2.7,0.526,0.53,0,0.018,0,0.456,0.352,0.063,0.0,7.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,no,"Dr. Helmcken Memorial Hospital, 640, Park Drive, Clearwater, Thompson-Nicola Regional District, British Columbia, V0E 3Z0, Canada","(51.64507195, -120.01774781423934, 0.0)",51.64507195,-120.01774781423934,yes,yes,yes,health_authority,18.0,-120.01774781423934,51.64507195
fort langley seniors community,0.0,9ACEC,Fraser Health,8838 Glover Road,Langley,V1M2R4,(604) 888-0711,2008,"Resident Council, Family Council",Unknown,5.0,91.0,96.0,68.0,14.0,0.0,4,1,0,0,10,0,0,0,1,1,0,0,10.4,0,0,0,1,1,90,0.662,0.757,0.004,1120,0.17,0.383,0.316,0.735,0.053,2.6,0.377,0.6,0.254,0.698,0,0.475,0.201,0,10.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Glover Road, City of Langley, Metro Vancouver Regional District, British Columbia, V3A 0A3, Canada","(49.1132513, -122.6442649, 0.0)",49.113251299999995,-122.6442649,yes,yes,unknown,for-profit,12.0,-122.6442649,49.113251299999995
fort nelson multi level unit,0.0,91552,Northern Health,5315 Liard St,Fort Nelson,V0C1R0,(250) 774-8100,1963,No Councils,Accredited,0.0,7.0,7.0,7.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0.576,0.333,0.03,3872,0.125,0.125,0,0.25,0,3.6,0.25,0.5,0,0,0,0.25,0.085,0.119,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Fort Nelson General Hospital, 5315, Liard Street, Fort Nelson, Northern Rockies Regional Municipality, British Columbia, V0C 1R0, Canada","(58.8089455, -122.7049735049242, 0.0)",58.80894549999999,-122.7049735049242,no,no,yes,health_authority,57.0,-122.7049735049242,58.80894549999999
foyer maillard,0.0,992J9,Fraser Health,1010 Alderson Avenue,Coquitlam,V3K1W1,(604) 937-5578,2016,"Resident Council, Family Council",Not Accredited,0.0,125.0,125.0,125.0,0.0,0.0,0,0,0,1,3,0,0,0,0,0,0,0.8,2.4,0,0,0,0,0,87,0.694,0.62,0.01,570,0.324,0.245,0.245,0.641,0.104,2.6,0.506,0.56,0.243,0.276,0.004,0.432,0.262,0.045,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Alderson Avenue, Maillardville, Coquitlam, Metro Vancouver Regional District, British Columbia, V3K 1E0, Canada","(49.2397141, -122.8650389, 0.0)",49.2397141,-122.8650389,yes,yes,no,non-profit,4.0,-122.8662457,49.23926289999999
fraser hope lodge,0.0,9BJC6,Fraser Health,1275-7th Avenue,Hope,V0X1L4,(604) 860-7706,1991,"Resident Council, Family Council",Unknown,0.0,50.0,50.0,46.0,2.0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,89,0.536,0.7,0.037,,0.346,0.187,0.33,0.67,0.088,3.1,0.473,0.59,0.22,0.67,0.049,0.588,0.225,0.021,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"1275, 7th Avenue, Hope, British Columbia, V0X 1L4, Canada","(49.3773925, -121.42378463532327, 0.0)",49.3773925,-121.42378463532327,yes,yes,unknown,health_authority,29.0,-121.42378463532327,49.3773925
fraserview,0.0,99BEI,Vancouver Coastal Health,9580 Williams Road,Richmond,V7A1H2,(604) 274-3510,1992,"Resident Council, Family Council",Accredited,0.0,101.0,101.0,33.0,37.0,0.0,0,0,1,0,4,0,0,3,0,0,1,0,4,0,0,3,0,0,90,0.837,0.807,0.002,1181,0.185,0.49,0.19,0.751,0.033,1.9,0.711,0.57,0.018,0.01,0,0.211,0.231,0.031,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Williams Road, Woodward's Landing, Southarm, Richmond, Metro Vancouver Regional District, British Columbia, V7A 1H4, Canada","(49.1407897, -123.1141556, 0.0)",49.140789700000006,-123.11415559999999,yes,yes,yes,for-profit,28.0,-123.11747659999999,49.1398092
gateway lodge residential care,0.0,937I0,Northern Health,1488 20th Ave.,Prince George,V2L0A5,(250) 645-6100,2010,"Resident Council, Family Council",Accredited,0.0,120.0,120.0,120.0,0.0,0.0,1,1,0,0,4,0,1,0,1,0,0,0,3.3,0,0.8,0,0.8,0,80,0.528,0.359,0.12,1406,0.256,0.228,0.268,0.481,0.052,2.8,0.441,0.55,0.006,0.441,0.012,0.622,0.342,0.066,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"1488, 20th Avenue, College Heights, Prince George, Regional District of Fraser-Fort George, British Columbia, V2L 1M1, Canada","(53.905584, -122.7520213, 0.0)",53.905584,-122.7520213,yes,yes,yes,health_authority,10.0,-122.75348899999999,53.905998
