,Facility,Location,Prov.,Number of dead,Number of beds (appx),%,Public or private,Link,Street address,city/postal,phone,Health authority,Accreditation status,Councils,Private beds (not publicly funded),Publicly funded beds (short- and long-term),Total beds,Private rooms,Semi-private rooms,Multi-person rooms,Total direct care hours (hours per resident per day),Number of licensing complaints,Number substantiated licensing complaints,Number of Inspections,Number of licensing infractions found,Hygiene & communicable disease control,Average age of population,outbreak_status,residents_council,family_council,accreditation
90,Fellburn Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A575, 6050 Hastings St., Burnaby V5B1R6, (604) 412-6503,Fraser Health,Accredited,Resident & Family Council (combined),0,81,81,10,16,10,3.43,3,0,2,5,1,87,no,yes,yes,yes
91,Fair Haven - Vancouver - Special Unit,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93860, 2720 East 48th Ave., Vancouver V5S1G7, (604) 433-2939,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,19,19,19,0,0,4.18,n/a,n/a,n/a,n/a,n/a,80,no,yes,yes,yes
92,Fair Haven - Burnaby,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/99C49, 7557 Sussex Ave., Burnaby V5J3V6, (604) 435-0525,Fraser Health,Accredited,"Resident Council, Family Council",0,100,100,100,0,0,3,2,1,3,5,1,87,no,yes,yes,yes
93,Fleetwood Place,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/993E2, 16011 83rd Ave, Surrey V4N0N2, (604) 590-6860,Fraser Health,Accredited,"Resident Council, Family Council",13,98,111,108,0,0,2.79,1,0,2,4,0,88,no,yes,yes,yes
94,Fir Park Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A919, 4411 Wallace Street, Port Alberni V9Y7Y5, (250) 724-6541,Vancouver Island Health,Accredited,Resident Council,1,65,66,66,0,0,3.17,1,0,5,3,0,86,no,yes,no,yes
95,Fischer Place/Mill Site Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9B9DF, 555 Cedar Ave. South, 100 Mile House V0K2E0, (250) 395-7696,Interior Health,Accredited,Resident Council,0,93,93,93,0,0,3.3,0,0,0,0,0,84,no,yes,no,yes
96,Finnish Home,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/999CF, 2288 Harrison Drive, Vancouver V5P2P6, (604) 325-8241,Vancouver Coastal Health,Not Accredited,Resident & Family Council (combined),0,64,64,64,0,0,2.83,0,0,1,1,0,86,no,yes,yes,no
97,Fort Nelson Multi Level Unit,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/91552, 5315 Liard St, Fort Nelson V0C1R0, (250) 774-8100,Northern Health,Accredited,No Councils,0,7,7,7,0,0,3.32,n/a,n/a,1,0,0,78,no,no,no,yes
98,Forest View Place,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/92960, 640 Park Dr., Clearwater V0E1N1, (250) 674-2244,Interior Health,Accredited,"Resident Council, Family Council",0,21,21,21,0,0,3.29,0,0,0,7,0,90,no,yes,yes,yes
99,Foyer Maillard,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/992J9, 1010 Alderson Avenue, Coquitlam V3K1W1, (604) 937-5578,Fraser Health,Not Accredited,"Resident Council, Family Council",0,125,125,125,0,0,3.36,0,0,1,1,0,87,no,yes,yes,no
100,Fort Langley Seniors Community,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9ACEC, 8838 Glover Road, Langley V1M2R4, (604) 888-0711,Fraser Health,Unknown,"Resident Council, Family Council",5,91,96,68,14,0,2.86,4,1,10,4,1,90,no,yes,yes,unknown
101,Fraser Hope Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9BJC6, 1275-7th Avenue, Hope V0X1L4, (604) 860-7706,Fraser Health,Unknown,"Resident Council, Family Council",0,50,50,46,2,0,3.17,0,0,1,3,0,89,no,yes,yes,unknown
102,Fraserview,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/99BEI, 9580 Williams Road, Richmond V7A1H2, (604) 274-3510,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,101,101,33,37,0,2.77,0,0,3,0,0,90,no,yes,yes,yes
103,George Derby Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9BC9J, 7550 Cumberland St, Burnaby V3N3X5, (604) 521-2676,Fraser Health,Accredited,"Resident Council, Family Council",0,300,300,284,8,0,2.87,5,2,9,34,2,87,no,yes,yes,yes
104,Gateway Lodge Residential Care,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/937I0, 1488 20th Ave., Prince George V2L0A5, (250) 645-6100,Northern Health,Accredited,"Resident Council, Family Council",0,120,120,120,0,0,3.72,1,1,3,1,0,80,no,yes,yes,yes
105,George Pearson Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A5BF, 700 West 57th Ave., Vancouver V6P1S1, (604) 321-3231,Vancouver Coastal Health,Accredited,Resident Council,0,114,114,54,13,7,5.71,1,1,3,8,0,59,no,yes,no,yes
106,German Canadian Care Home,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/999D6, 2010 Harrison Drive, Vancouver V5P2P6, (604) 713-6500,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,132,132,76,29,0,2.84,0,0,7,1,0,83,no,yes,yes,yes
107,Glacier View Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/99605, 2450 Back Road, Courtenay V9N8B5, (250) 338-1451,Vancouver Island Health,Accredited,"Resident Council, Family Council",0,102,102,102,0,0,3.02,2,1,4,8,0,81,no,yes,yes,yes
108,Gillis House,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9AAGI, 1699 Tutill Court, Merritt V1K1C6, (250) 378-3271,Interior Health,Accredited,"Resident Council, Family Council",0,74,74,52,7,2,3.2,2,1,0,2,0,83,no,yes,yes,yes
109,Glenwood Seniors Community,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/923FA, 1458 Glenwood Dr, Agassiz V0M1A3, (604) 796-9202,Fraser Health,Unknown,"Resident Council, Family Council",8,36,44,37,0,0,2.82,1,0,4,10,0,89,no,yes,yes,unknown
110,Glenmore Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93GE4, 325 Drysdale Blvd., Kelowna V1V1P5, (236) 420-1717,Interior Health,Unknown,n/a,18,100,118,0,0,0,3.15,1,0,1,2,0,85,no,no,no,unknown
111,Glengarry Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A60F, 1780 Fairfield Rd., Victoria V8S1G7, (250) 370-8699,Vancouver Island Health,Accredited,Family Council,0,135,135,10,18,34,3.24,1,0,1,2,0,82,no,no,yes,yes
112,Glenwarren Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9B7A0, 1230 Balmoral Rd, Victoria V8T1B3, (250) 383-2323,Vancouver Island Health,Accredited,"Resident Council, Family Council",0,104,104,46,20,11,3.16,1,0,1,2,0,86,no,yes,yes,yes
113,Greenwoods,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/99DD4, 133 Blain Road, Salt Spring Island V8K1Z9, (250) 537-5561,Vancouver Island Health,Accredited,"Family Council, Advisory Council",0,51,51,51,0,0,3.14,14,9,18,11,0,88,no,no,yes,yes
114,Guildford Seniors Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/926CA, 14568 104a Ave., Surrey V3R1R3, (604) 582-0808,Fraser Health,Accredited,"Resident Council, Family Council",38,63,101,98,0,0,2.73,0,0,7,0,0,83,no,yes,yes,yes
115,Gorge Road Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93000, 63 Gorge Road East, Victoria V9A1L2, Arbutus View: (250) 519-3510 / Water View: (250) 519-3514,Vancouver Island Health,Accredited,"Resident Council, Family Council",0,111,111,11,4,27,3.25,5,0,1,3,0,83,no,yes,yes,yes
116,Haida Gwaii Hospital and Health Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A76C, 3209 Oceanview Drive, Queen Charlotte V0T1S0, (250) 559-4900,Northern Health,Accredited,No Councils,0,8,8,0,2,2,3.7,n/a,n/a,1,4,0,83,no,no,no,yes
117,Harmony Court Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/91BCE, 7195 Canada Way, Burnaby V5E3R7, (604) 527-3300,Fraser Health,Unknown,Family Council,0,55,55,7,24,0,2.73,2,0,2,0,0,85,no,no,yes,unknown
118,Hardy View Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9ADB9, 7649 22nd St., Grand Forks V0H1H2, (250) 443-2100,Interior Health,Accredited,"Resident Council, Family Council",0,80,80,78,2,0,3.28,0,0,1,3,0,85,no,yes,yes,yes
119,Harmony Court Care Centre  - Special Unit,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93A2A, 7195 Canada Way, Burnaby V5E3R7, (604) 527-3300,Fraser Health,Unknown,Family Council,0,25,25,25,0,0,2.07,n/a,n/a,n/a,n/a,n/a,84,no,no,yes,unknown
120,Hawthorne Seniors Care Community,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/992JA, 2111 Hawthorne Ave, Port Coquitlam V3C1W3, (604) 941-4051,Fraser Health,Unknown,"Resident Council, Family Council",0,131,131,115,8,0,3.16,0,0,1,9,1,82,no,yes,yes,unknown
121,Henry Durand Manor,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A7GF, 803 9th St South, Golden V0A1H0, (250) 344-3402,Interior Health,Accredited,Resident & Family Council (combined),0,28,28,28,0,0,3.17,0,0,2,10,0,85,no,yes,yes,yes
122,Haven Hill Retirement Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9C2CB, 415 Haven Hill Road, Penticton V2A4E9, (250) 492-2600,Interior Health,Accredited,"Resident Council, Family Council",4,148,152,152,0,0,3.15,10,2,3,17,1,86,no,yes,yes,yes
123,Heritage Square,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9BI83, 3904 27th St., Vernon V1T4X7, (250) 545-2060,Interior Health,Accredited,Resident & Family Council (combined),0,50,50,50,0,0,3.15,0,1,1,4,0,86,no,yes,yes,yes
124,Hilltop House,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9AIC3, 38146 Behrner Drive, Squamish V8B0C8, (604) 892-9337,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,86,86,82,2,0,3.34,0,0,3,4,0,80,no,yes,yes,yes
125,Heron Grove,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/92IIA, 4900 - 20th Street, Vernon V1T9W3, (250) 542-6101,Interior Health,Accredited,"Resident Council, Family Council",0,76,76,76,0,0,3.15,0,0,2,2,0,83,no,yes,yes,yes
126,Hillside Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/92FC0, 2891 15 Ave NE, Salmon Arm V1E2B8, (250) 833-5877,Interior Health,Accredited,"Resident Council, Family Council",0,112,112,112,0,0,3.15,1,0,1,4,0,86,no,yes,yes,yes
127,Heritage Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9C5BC, 7525 Topaz Dr, Chilliwack V2R3C9, (604) 858-1833,Fraser Health,Accredited,Resident & Family Council (combined),0,100,100,64,12,3,3.22,0,0,2,10,1,85,no,yes,yes,yes
128,Holyrood Manor,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/91842, 22710 Holyrood Ave, Maple Ridge V2X3E6, (604) 467-8831,Fraser Health,Accredited,Family Council,2,123,125,0,0,0,3.12,0,0,1,3,1,86,no,no,yes,yes
129,Hilton Villa Seniors Community,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/917D8, 13525 Hilton Rd, Surrey V3R5J3, (604) 588-3424,Fraser Health,Accredited,"Resident Council, Family Council",3,154,157,83,36,0,2.73,3,1,10,1,0,86,no,yes,yes,yes
130,Hogg and Weatherby Pavilions - Peace Arch Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A58I, 15521 Russell Ave., White Rock V4B2R4, (604) 541-5837,Fraser Health,Unknown,"Resident Council, Family Council",0,234,234,30,78,12,3.39,2,0,2,3,0,90,no,yes,yes,unknown
131,Houston Health Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/937C0, 3202 - 14th St, Houston V0J1Z0, (250) 845-2294,Northern Health,Accredited,No Councils,0,6,6,6,0,0,5.26,0,0,2,13,0,82,no,no,no,yes
132,Jackson House - Ashcroft Hospital and Health Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A6I3, 700 Ash-Cache Creek Hwy, Ashcroft V0K1A0, (250) 453-2211,Interior Health,Accredited,Resident & Family Council (combined),0,22,22,20,1,1,3.31,0,0,1,5,0,87,no,yes,yes,yes
133,Jackman Manor,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9ADHD, 27477 28 Ave, Aldergrove V4W3L9, (604) 856-4161,Fraser Health,Not Accredited,Resident & Family Council (combined),0,88,88,88,0,0,2.79,2,1,3,9,0,88,no,yes,yes,no
134,Inglewood Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/999J9, 725 Inglewood Avenue, West Vancouver V7T1X5, (604) 922-9394,Vancouver Coastal Health,Unknown,"Resident Council, Family Council",0,230,230,196,17,0,2.93,5,4,13,8,0,86,no,yes,yes,unknown
135,James Bay Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9C426, 336 Simcoe St., Victoria V8V1L2, (250) 388-6457,Vancouver Island Health,Accredited,Resident Council,0,115,115,95,10,0,3.1,1,0,2,5,0,85,no,yes,no,yes
136,Joseph Creek Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/92IJA, 1901 Willowbrook Dr, Cranbrook V1C6S4, (250) 417-0666,Interior Health,Unknown,"Resident Council, Family Council",2,100,102,102,0,0,3.15,4,1,8,15,0,80,no,yes,yes,unknown
137,Jubilee Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A69E, 1475 Edmonton Street, Prince George V2M1S2, (250) 565-2286,Northern Health,Accredited,"Resident Council, Family Council",0,66,66,4,3,14,3.11,n/a,n/a,1,6,0,83,no,yes,yes,yes
138,Jubilee Multi Generational Housing Society,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/99C25, 3460 Kalyk Avenue, Burnaby V5G3B2, (604) 434-2666,Fraser Health,Not Accredited,"Resident Council, Family Council",0,60,60,12,18,3,2.79,3,1,3,11,3,89,no,yes,yes,no
139,Kimberley Special Care Home,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/91711, 386 2nd Ave, Kimberley V1A2Z8, (250) 427-4807,Interior Health,Accredited,"Resident Council, Family Council",0,55,55,49,3,0,3.25,0,0,1,3,0,87,no,yes,yes,yes
140,KinVillage West Court,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A4JH, 5410 10th Ave., Delta V4M3X8, (604) 943-0155,Fraser Health,Accredited,Resident Council,0,100,100,100,0,0,2.89,1,0,0,0,0,90,no,yes,no,yes
141,Kinsmen Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9942B, 9650 137A Street, Surrey V3T4H9, (604) 588-0445,Fraser Health,Accredited,Resident & Family Council (combined),0,157,157,143,7,0,2.8,3,0,6,0,0,86,no,yes,yes,yes
142,Kamloops Seniors Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/92DCA, 1220 Hugh Allan Dr., Kamloops V1S2B3, (250) 571-1800,Interior Health,Accredited,"Resident Council, Family Council",14,100,114,114,0,0,3.15,1,0,0,0,0,85,no,yes,yes,yes
143,Kiwanis Village Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/995AE, 1221 Kiwanis Crescent, Nanaimo V9S5Y1, (250) 753-6471,Vancouver Island Health,Unknown,"Resident Council, Family Council",0,75,75,75,0,0,2.97,4,3,7,2,0,85,no,yes,yes,unknown
144,Kiwanis Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9AD1I, 35 Clute Street, New Westminster V3L1Z5, (604) 525-6471,Fraser Health,Accredited,"Resident Council, Family Council",0,75,75,59,8,0,2.79,0,0,1,1,0,88,no,yes,yes,yes
145,Kiwanis Pavilion,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9AC36, 3034 Cedar Hill Road, Victoria V8T3J3, (250) 598-2022,Vancouver Island Health,Accredited,Family Council (residents can attend),6,116,122,122,0,0,3.27,0,0,2,5,1,83,no,no,yes,yes
146,Kopernik Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/99A2I, 3150 Rosemont Drive, Vancouver V5S2C9, (604) 438-2474,Vancouver Coastal Health,Not Accredited,"Resident Council, Family Council",0,87,87,45,21,0,2.89,2,1,3,4,0,87,no,yes,yes,no
147,Lakeshore Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/992HG, 657 Gatensbury Street, Coquitlam V3J5G9, (604) 939-9277,Fraser Health,Not Accredited,"Resident Council, Family Council",21,35,56,42,7,0,2.94,1,1,2,3,0,85,no,yes,yes,no
148,Lady Minto Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A5G5, 135 Crofton Rd, Salt Spring Island V8K1T1, (250) 538-4804,Vancouver Island Health,Accredited,"Resident Council, Family Council",0,29,29,1,4,5,3.06,0,0,1,2,0,88,no,yes,yes,yes
149,Lake Country Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9B969, 100-10163 Konschuh Rd, Winfield V4V2M2, (250) 766-3007,Interior Health,Unknown,"Resident Council, Family Council",4,45,49,41,4,0,3.15,0,0,1,3,0,87,no,yes,yes,unknown
150,Lakeview Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9C477, 3490 Porter Street, Vancouver V5N5W4, (604) 874-2803,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,177,177,105,36,0,2.77,0,0,4,7,1,87,no,yes,yes,yes
151,Lakeview Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93DAA, 2337 Butt Road, West Kelowna V4T3L3, (250) 768-3802,Interior Health,Unknown,Resident & Family Council (combined),14,100,114,114,0,0,3.15,0,0,1,0,0,85,no,yes,yes,unknown
152,Langley Gardens,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/925CA, 8888 202nd Street, Langley V1M4A7, (604) 888-0228,Fraser Health,Accredited,"Resident Council, Family Council",19,73,92,86,6,0,2.74,1,0,4,1,0,89,no,yes,yes,yes
153,Langley Memorial Hospital ECU,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A5E0, 22051 Fraser Hwy, Langley V3A4H4, (604) 514-6026,Fraser Health,Unknown,Resident Council,0,230,230,8,4,44,3.26,5,1,6,10,1,89,no,yes,no,unknown
154,Luther Court,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/99DIG, 1525 Cedar Hill Cross Rd, Victoria V8P5M1, (250) 477-7241,Vancouver Island Health,Accredited,No Councils,0,60,60,60,0,0,3.01,0,0,2,1,0,84,no,no,no,yes
155,Little Mountain Place,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9BA01, 330 East 36th Avenue, Vancouver V5W3Z4, (604) 325-2298,Vancouver Coastal Health,Not Accredited,Resident & Family Council (combined),0,117,117,117,0,0,2.77,1,0,3,2,0,84,no,yes,yes,no
156,Louis Brier Home and Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/999G3, 1055 West 41st Ave, Vancouver V6M1W9, (604) 261-9376,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,215,215,149,33,0,2.86,1,1,6,16,0,85,no,yes,yes,yes
157,Laurel Place,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9359A, 9688 137A St, Surrey V3T4H9, (604) 582-6336,Fraser Health,Accredited,"Resident & Family Council (combined), Food Council",13,202,215,207,4,0,2.8,1,0,4,2,0,85,no,yes,yes,yes
158,MSA Manor,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/98H7B, 2510 Gladwin Rd, Abbotsford V2T3N9, (604) 853-5831,Fraser Health,Accredited,Resident Council,0,34,34,34,0,0,2.73,0,0,1,3,1,90,no,yes,no,yes
159,Mackenzie and District Hospital and Health Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93790, 45 Centennial Drive, Mackenzie V0J2C0, (250) 997-3263,Northern Health,Accredited,No Councils,0,5,5,4,0,0,3.31,suppressed,suppressed,1,2,0,suppressed,no,no,no,yes
160,Malaspina Gardens,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/99I1B, 100 Eleventh Street, Nanaimo V9R6R6, (250) 745-7711,Vancouver Island Health,Accredited,"Resident Council, Family Council",1,135,136,136,0,0,3.07,1,0,1,0,0,81,no,yes,yes,yes
161,Mariposa Gardens,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/935JA, 8816 97th Street (highway 97), Osoyoos V0H1V5, (250) 495-8124,Interior Health,Unknown,"Resident Council, Family Council",5,104,109,97,6,0,3.15,2,1,3,10,0,86,no,yes,yes,unknown
162,Maple Ridge Seniors Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9376A, 22141 - 119th Avenue, Maple Ridge V2X2Y7, (604) 466-3053,Fraser Health,Accredited,"Resident Council, Family Council",18,90,108,108,0,0,2.89,7,3,6,2,0,85,no,yes,yes,yes
163,Maplewood House,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9BE34, 1919 Jackson St., Abbotsford V2S2Z8, (604) 853-5585,Fraser Health,Accredited,Resident Council,0,78,78,78,0,0,2.79,1,0,3,3,1,85,no,yes,no,yes
164,McBride and District Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A681, 1136 5th Avenue, McBride V0J2E0, (250) 569-2251,Northern Health,Accredited,n/a,0,9,9,7,1,0,3.15,n/a,n/a,1,9,0,93,no,no,no,yes
165,McKinney Place - South Okanagan General Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A722, 911 McKinney Road, Oliver V0H1T3, (250) 498-5040,Interior Health,Accredited,"Resident Council, Family Council",0,75,75,7,4,15,3.19,0,0,0,0,0,86,no,yes,yes,yes
166,Menno Home,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/98H8D, 32910 Brundige Ave, Abbotsford V2S1N2, (604) 853 -2411,Fraser Health,Accredited,"Resident Council, Family Council",0,196,196,186,5,0,2.79,2,0,3,0,0,87,no,yes,yes,yes
167,Minoru Residence,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A5B4, 7333 Gollner Avenue, Richmond V6Y0J1, (604) 244-5300,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,250,250,70,90,0,3.24,0,0,2,8,0,84,no,yes,yes,yes
168,Menno Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A6H1, 32945 Marshall Road, Abbotsford V2S1K1, (604) 859-7631,Fraser Health,Accredited,"Resident Council, Family Council",0,151,151,59,43,2,3.37,0,0,0,0,0,88,no,yes,yes,yes
169,Mission Creek Landing,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/98J5G, 3081 Hall Rd, Kelowna V1W2R5, (250) 860-2330,Interior Health,Accredited,"Resident Council, Family Council",4,100,104,94,5,0,3.15,0,2,5,17,2,88,no,yes,yes,yes
170,Morgan Place,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/926A0, 3288 156a St, Surrey V3Z9T1, (604) 535-7328,Fraser Health,Accredited,"Resident Council, Family Council",13,128,141,111,5,0,2.79,0,0,1,0,0,90,no,yes,yes,yes
171,Minto House - Arrow Lakes Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A5A2, 97 1st Avenue NE, Nakusp V0G1R0, (250) 265-5233,Interior Health,Accredited,"Resident Council, Family Council",0,16,16,15,0,0,3.46,0,0,0,0,0,86,no,yes,yes,yes
172,Monashee Mews,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93D80, 2165 Norris Avenue, Lumby V0E2G5, (778) 473-0100,Interior Health,Accredited,"Resident Council, Family Council",0,46,46,46,0,0,3.15,0,0,1,4,0,85,no,yes,yes,yes
173,Mount St. Mary Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A6A6, 861 Fairfield Rd., Victoria V8V5A9, (250) 480-3103,Vancouver Island Health,Unknown,Resident & Family Council (combined),0,200,200,184,8,0,3,5,0,1,2,0,83,no,yes,yes,unknown
174,Mount Cartier Court - Queen Victoria Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/92JJ0, 1200 Newlands Rd, Revelstoke V0E2S1, (250) 814-2232,Interior Health,Accredited,"Resident Council, Family Council",0,44,44,38,6,0,3.4,0,0,0,0,0,87,no,yes,yes,yes
175,Mount Ida Mews,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93D60, 100 5th Avenue SE, Salmon Arm V1E4H4, (250) 833-9623,Interior Health,Accredited,Resident & Family Council (combined),1,131,132,72,0,0,3.15,1,0,2,2,0,86,no,yes,yes,yes
176,Mount Saint Joseph Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A54J, 3080 Prince Edward Street, Vancouver V5T3N4, (604) 874-1141,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,99,99,16,8,17,3.17,0,0,1,0,0,88,no,yes,yes,yes
177,Mount Tolmie Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A5JC, 3690 Richmond Rd., Victoria V8P4R6, (250) 370-5757,Vancouver Island Health,Accredited,"Resident Council, Family Council",0,72,72,9,14,9,3.17,0,0,1,4,0,85,no,yes,yes,yes
178,Mountain Lake Seniors Community,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/92HIA, 908 11th St, Nelson V1L7A6, (250) 352-2600,Interior Health,Unknown,"Resident Council, Family Council",7,85,92,92,0,0,3.15,1,1,2,2,0,84,no,yes,yes,unknown
179,Mountain View Manor - Delta Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A56E, 5800 Mountain View Boulevard, Delta V4K3V6, (604) 940-3416 ext. 787340,Fraser Health,Unknown,"Resident Council, Family Council",0,92,92,12,4,18,3.41,0,0,1,0,0,90,no,yes,yes,unknown
180,Mountain View Lodge - Lillooet Hospital and Health Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A4E5, 951 Murray St., Lillooet V0K1V0, (250) 256-1312,Interior Health,Accredited,Resident & Family Council (combined),0,22,22,20,1,0,3.27,0,0,1,2,0,87,no,yes,yes,yes
181,Mountainview Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93240, 1540 K.L.O. Road, Kelowna V1W3P6, (250) 469-6935,Interior Health,Accredited,Resident & Family Council (combined),0,90,90,90,0,0,3.15,0,0,1,3,0,84,no,yes,yes,yes
182,Mountainview Lodge - Kitimat General Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A630, 920 Lahakas Blvd. S, Kitimat V8C2S3, (250) 632-8357,Northern Health,Accredited,"Resident Council, Family Council",0,36,36,32,2,0,3.41,n/a,n/a,2,9,0,82,no,yes,yes,yes
183,Nanaimo Seniors Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9261A, 6085 Uplands Drive, Nanaimo V9V1T8, (250) 729-9524,Vancouver Island Health,Accredited,"Resident Council, Family Council",16,134,150,150,0,0,3.08,4,1,5,2,0,85,no,yes,yes,yes
