index,name,address,city_and_postal_code,LHIN,licensee,management,home_type,beds,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,number_of_beds,first_inspection_date,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders
91,CHARTWELL PARKHILL LONG TERM CARE RESIDENCE,250 Tain Street P.O. Box 129,"Parkhill, N0M2K0",South West,Chartwell Master Care Lp,,For-Profit,Home with approximately 59 beds,No,Yes,No,Yes,,Parkhill, N0M2K0,59,2010-10-19,22,15,11,5,4,3,7,4,3,4,3,3
92,CHARTWELL PINE GROVE LONG TERM CARE RESIDENCE,8403 Islington Avenue North,"Woodbridge, L4L1X3",Central West,Chartwell Master Care Lp,,For-Profit,Home with approximately 101 beds,Yes,Yes,Yes,Yes,,Woodbridge, L4L1X3,101,2011-07-25,16,11,6,6,1,1,4,4,3,1,1,1
93,CHARTWELL ROYAL OAK LONG TERM CARE RESIDENCE,1750 Division Road North,"Kingsville, N9Y4G7",Erie St. Clair,Chartwell Master Care Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Kingsville, N9Y4G7,160,2010-08-23,76,44,18,37,19,7,31,18,9,4,4,2
94,CHARTWELL TRILOGY LONG TERM CARE RESIDENCE,340 McCowan Road,"Scarborough, M1J3P4",Central East,Trilogy Ltc Inc.,,For-Profit,Home with approximately 197 beds,Yes,Yes,Yes,Yes,,Scarborough, M1J3P4,197,2011-06-15,33,21,11,12,7,5,15,9,4,4,4,2
95,CHARTWELL WATERFORD LONG TERM CARE RESIDENCE,2140 Baronwood Drive,"Oakville, L6M4V6",Mississauga Halton,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 168 beds,No,Yes,Yes,Yes,,Oakville, L6M4V6,168,2010-08-24,42,21,11,18,9,5,12,5,4,9,5,1
96,CHARTWELL WENLEIGH LONG TERM CARE RESIDENCE,2065 Leanne Boulevard,"Mississauga, L5K2L6",Mississauga Halton,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 161 beds,No,Yes,Yes,Yes,,Mississauga, L5K2L6,161,2010-11-16,27,13,7,13,5,3,8,4,3,2,2,
97,CHARTWELL WESTBURY LONG TERM CARE RESIDENCE,495 The West Mall,"Etobicoke, M9C5S3",Mississauga Halton,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 187 beds,No,Yes,Yes,Yes,,Etobicoke, M9C5S3,187,2010-10-28,21,13,4,10,6,1,4,3,3,2,,
98,CHARTWELL WESTMOUNT LONG TERM CARE RESIDENCE,200 David Bergey Drive,"Kitchener, N2E3Y4",Waterloo Wellington,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 161 beds,No,Yes,Yes,Yes,,Kitchener, N2E3Y4,161,2010-08-23,45,20,10,18,9,4,21,6,4,3,3,2
99,CHARTWELL WHITE EAGLE LONG TERM CARE RESIDENCE,138 Dowling Avenue,"Toronto, M6K3A6",Toronto Central,Chartwell Master Care Lp,,For-Profit,Home with approximately 57 beds,Yes,Yes,Yes,Yes,,Toronto, M6K3A6,57,2011-10-18,14,10,4,2,,,4,3,3,2,2,
100,CHARTWELL WILLOWGROVE LONG TERM CARE RESIDENCE,1217 Old Mohawk Road,"Ancaster, L9K1P6",Hamilton Niagara Haldimand Brant (Hnhb),Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 169 beds,No,Yes,Yes,Yes,,Ancaster, L9K1P6,169,2010-12-14,24,13,7,8,1,1,8,5,3,4,4,1
101,CHARTWELL WOODHAVEN LONG TERM CARE RESIDENCE,380 Church Street,"Markham, L6B1E1",Central,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 192 beds,Yes,No,Yes,Yes,,Markham, L6B1E1,192,2010-08-17,32,20,11,14,8,6,11,8,3,12,10,6
102,CHARTWELL WYNFIELD LONG TERM CARE RESIDENCE,451 Woodmount Drive,"Oshawa, L1G8E3",Central East,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 172 beds,No,Yes,Yes,Yes,,Oshawa, L1G8E3,172,2011-01-20,27,18,10,12,7,6,10,7,4,2,1,
103,CHATEAU PARK LONG TERM CARE HOME,2990 B Riverside Drive West,"Windsor, N9C1A2",Erie St. Clair,"Dtoc Long Term Care Lp, By Its General Partner, Dtoc Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Universalcare Canada Inc.,For-Profit,Home with approximately 59 beds,No,Yes,Yes,Yes,,Windsor, N9C1A2,59,2011-05-04,16,8,3,6,1,1,3,3,2,1,1,
104,CHELSEY PARK,310 Oxford Street West,"London, N6H4N6",South West,"Cvh (No. 3) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)","Diversicare Canada Management Services Co., Inc.",For-Profit,Home with approximately 247 beds,Yes,Yes,Yes,Yes,,London, N6H4N6,247,2010-11-02,75,38,18,25,13,4,39,20,12,5,2,1
105,CHELTENHAM CARE COMMUNITY,5935 Bathurst Street,"North York, M2R1Y8",Central,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Home with approximately 170 beds,Yes,Yes,Yes,Yes,,North York, M2R1Y8,170,2011-03-03,30,16,9,12,5,3,9,6,5,9,5,2
106,CHESTER VILLAGE,3555 Danforth Avenue,"Toronto, M1L1E3",Toronto Central,Broadview Foundation,,Non-Profit,Home with approximately 203 beds,No,Yes,Yes,Yes,,Toronto, M1L1E3,203,2010-10-19,24,8,5,10,1,1,7,4,4,5,2,2
108,CLARION NURSING HOME,337 Highway #8,"Stoney Creek, L8G1E7",Hamilton Niagara Haldimand Brant (Hnhb),Clarion Nursing Homes Limited,,For-Profit,Home with approximately 100 beds,No,Yes,Yes,Yes,,Stoney Creek, L8G1E7,100,2011-01-10,22,14,7,5,2,2,5,3,3,8,5,1
109,COLEMAN CARE CENTRE,140 Cundles Road West,"Barrie, L4N9X8",North Simcoe Muskoka,Oakwood Retirement Communities Inc.,,For-Profit,Home with approximately 112 beds,No,Yes,Yes,Yes,,Barrie, L4N9X8,112,2011-05-26,21,12,9,7,2,2,6,5,5,3,2,1
110,COLLINGWOOD NURSING HOME,250 Campbell Street,"Collingwood, L9Y4J9",North Simcoe Muskoka,Collingwood Nursing Home Limited,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,No,,Collingwood, L9Y4J9,60,2011-03-17,24,16,14,8,3,3,6,5,5,7,6,6
111,COLUMBIA FOREST,650 Mountain Maple Avenue,"Waterloo, N2V2P7",Waterloo Wellington,Revera Long Term Care Inc.,,For-Profit,Home with approximately 156 beds,No,Yes,Yes,Yes,,Waterloo, N2V2P7,156,2010-08-06,47,15,8,15,4,2,23,6,5,7,5,1
112,COOKSVILLE CARE CENTRE,55 The Queensway West,"Mississauga, L5B1B5",Mississauga Halton,Rykka Care Centres Lp,,For-Profit,Home with approximately 192 beds,Yes,Yes,Yes,Yes,,Mississauga, L5B1B5,192,2010-08-11,70,29,16,38,11,7,18,8,7,13,6,1
113,COPERNICUS LODGE,66 Roncesvalles Avenue,"Toronto, M6R3A7",Toronto Central,Copernicus Lodge,,Non-Profit,Home with approximately 228 beds,Yes,Yes,Yes,No,,Toronto, M6R3A7,228,2011-04-27,24,18,9,12,10,6,4,3,2,5,4,1
114,COPPER TERRACE,91 Tecumseh Road,"Chatham, N7M1B3",Erie St. Clair,Copper Terrace Limited,Apans Inc.,For-Profit,Home with approximately 138 beds,Yes,Yes,Yes,Yes,,Chatham, N7M1B3,138,2010-07-28,97,53,23,33,19,9,45,23,7,14,11,8
115,COUNTRY LANE LONG TERM CARE RESIDENCE,"R. R. #3, 317079 Hwy 6 & 10","Chatsworth, N0H1G0",South West,Grosvenor Health Care Partnership (No. 3),Revera Long Term Care Inc.,For-Profit,Home with approximately 34 beds,No,Yes,Yes,Yes,,Chatsworth, N0H1G0,34,2011-04-14,21,8,2,5,1,,6,1,1,7,3,
116,COUNTRY TERRACE,10072 Oxbow Drive R.R. #3,"Komoka, N0L1R0",South West,Omni Healthcare (Ct) Gpco Ltd. As General Partner Of Omni Healthcare (Country Terrace) Limited Partnershippartner,,For-Profit,Home with approximately 120 beds,Yes,Yes,No,Yes,,Komoka, N0L1R0,120,2010-07-22,86,33,14,32,14,5,42,11,6,5,4,2
117,COUNTRY VILLAGE HOMES - WOODSLEE,440 County Road 8 R. R. #2,"Woodslee, N0R1V0",Erie St. Clair,"Cvh (No. 5) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",Kanata Living Inc.,For-Profit,Home with approximately 104 beds,No,Yes,Yes,Yes,,Woodslee, N0R1V0,104,2010-10-12,63,26,10,34,13,5,17,9,3,6,2,1
118,CRAIGHOLME,221 Main Street R. R. #1,"Ailsa Craig, N0M1A0",South West,Craigwiel Gardens,,Non-Profit,Home with approximately 83 beds,Yes,Yes,Yes,No,stutti@craigwielgardens.on.ca   ,Ailsa Craig, N0M1A0,83,2010-11-18,56,26,15,18,11,6,31,9,5,5,5,5
119,CRAIGLEE NURSING HOME,102 Craiglee Drive,"Scarborough, M1N2M7",Central East,Craiglee Nursing Home Limited,Extendicare (Canada) Inc.,For-Profit,Home with approximately 169 beds,No,Yes,Yes,Yes,,Scarborough, M1N2M7,169,2010-07-28,67,28,19,36,16,12,19,5,5,13,9,7
120,CREEDAN VALLEY CARE COMMUNITY,143 Mary Street,"Creemore, L0M1G0",North Simcoe Muskoka,2063412 Ontario Limited As General Partner Of 2063412 Investment Lp,,For-Profit,Home with approximately 95 beds,No,Yes,Yes,Yes,,Creemore, L0M1G0,95,2010-09-28,30,20,15,8,3,3,6,3,3,13,12,10
121,CREEK WAY VILLAGE,5200 Corporate Drive,"Burlington, L7L7G7",Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Halton,,Municipal,Home with approximately 144 beds,No,Yes,Yes,Yes,,Burlington, L7L7G7,144,2010-09-24,31,16,8,13,5,3,12,6,4,8,6,3
122,CRESCENT PARK LODGE,4 Hagey Avenue,"Fort Erie, L2A5M5",Hamilton Niagara Haldimand Brant (Hnhb),955464 Ontario Limited,,For-Profit,Home with approximately 68 beds,Yes,Yes,Yes,Yes,,Fort Erie, L2A5M5,68,2011-04-05,26,17,8,10,6,3,7,5,4,5,3,
123,CROWN RIDGE PLACE,106 Crown Street,"Trenton, K8V6R3",South East,Crown Ridge Health Care Services Inc.,,For-Profit,Home with approximately 116 beds,Yes,Yes,Yes,Yes,,Trenton, K8V6R3,116,2010-09-15,26,18,6,6,3,1,12,10,5,2,1,
124,CUMMER LODGE,205 Cummer Avenue,"North York, M2M2E8",Central,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 391 beds,Yes,Yes,Yes,Yes,,North York, M2M2E8,391,2010-09-21,50,27,13,25,12,6,16,9,6,8,5,3
126,DEARNESS HOME FOR SENIOR CITIZENS,710 Southdale Road East,"London, N6E1R8",South West,The Corporation Of The City Of London,,Municipal,Home with approximately 243 beds,Yes,Yes,Yes,Yes,"datars bere, dearness home managing director ",London, N6E1R8,243,2010-07-27,76,33,16,30,12,6,39,18,10,3,1,
127,DEER PARK VILLA,150 Central Avenue,"Grimsby, L3M4Z3",Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Niagara,,Municipal,Home with approximately 39 beds,No,Yes,No,Yes,,Grimsby, L3M4Z3,39,2010-11-02,15,9,5,3,1,1,4,3,3,1,1,1
128,DEERWOOD CREEK CARE COMMUNITY,70 Humberline Drive,"Etobicoke, M9W7H3",Central West,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Etobicoke, M9W7H3,160,2010-12-10,35,21,13,18,10,6,9,5,5,6,3,2
129,DELHI LONG TERM CARE CENTRE,750 Gibraltar Street,"Delhi, N4B3B3",Hamilton Niagara Haldimand Brant (Hnhb),Delhi Nursing Home Ltd.,,For-Profit,Home with approximately 60 beds,No,Yes,No,Yes,,Delhi, N4B3B3,60,2010-11-23,27,13,3,5,3,,8,4,1,11,6,1
130,DERBECKER'S HERITAGE HOUSE,54 Eby Street,"St. Jacobs, N0B2N0",Waterloo Wellington,Derbecker's Heritage House Limited,,For-Profit,Home with approximately 73 beds,No,Yes,No,No,,St. Jacobs, N0B2N0,73,2011-09-12,11,7,4,2,2,2,4,2,2,,,
131,DOM LIPA,52 Neilson Drive,"Etobicoke, M9C1V7",Mississauga Halton,Slovenian Linden Foundation,,Non-Profit,Home with approximately 66 beds,No,Yes,No,No,,Etobicoke, M9C1V7,66,2011-11-14,12,8,4,1,,,4,4,4,2,2,1
132,DOUGLAS H. RAPELJE LODGE,277 Plymouth Road,"Welland, L3B6E3",Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Niagara,,Municipal,Home with approximately 120 beds,Yes,Yes,Yes,Yes,,Welland, L3B6E3,120,2010-08-17,33,11,8,15,5,5,12,3,2,4,1,
133,DOVER CLIFFS,501 St George Street P.O. BOX 430,"Port Dover, N0A1N0",Hamilton Niagara Haldimand Brant (Hnhb),Dover Cliffs Operating Inc.,,For-Profit,Home with approximately 70 beds,Yes,Yes,Yes,Yes,,Port Dover, N0A1N0,70,2010-09-09,41,19,10,11,6,3,11,6,4,9,5,2
134,DOWNSVIEW LONG TERM CARE CENTRE,3595 Keele Street,"North York, M3J1M7",Central,Gem Health Care Group Limited,Humber River Hospital,For-Profit,Home with approximately 252 beds,Yes,Yes,Yes,Yes,,North York, M3J1M7,252,2011-06-10,72,31,15,43,15,10,9,4,3,19,10,3
135,DUFFERIN OAKS,151 Centre Street,"Shelburne, L0N1S4",Central West,Corporation Of The County Of Dufferin,,Municipal,Home with approximately 160 beds,No,Yes,Yes,No,,Shelburne, L0N1S4,160,2010-09-28,24,14,6,8,6,3,8,4,3,2,2,
136,DUNDAS MANOR NURSING HOME,533 Clarence Street P.O. Box 970,"Winchester, K0C2K0",Champlain,Rural Healthcare Innovations Inc.,Winchester District Memorial Hospital,Non-Profit,Home with approximately 98 beds,No,Yes,Yes,Yes,,Winchester, K0C2K0,98,2011-06-28,42,28,16,10,5,4,18,14,10,8,4,1
137,DUNDURN PLACE CARE CENTRE,39 Mary Street,"Hamilton, L8R3L8",Hamilton Niagara Haldimand Brant (Hnhb),Rykka Care Centres Lp,,For-Profit,Home with approximately 201 beds,Yes,Yes,Yes,Yes,,Hamilton, L8R3L8,201,2010-08-19,53,22,9,24,7,2,15,8,6,12,5,1
138,E. J. MCQUIGGE LODGE,38 Black Diamond Road P.O. Box 68,"Cannifton, K0K1K0",South East,Keay Nursing Homes Inc.,,For-Profit,Home with approximately 57 beds,Yes,Yes,No,Yes,,Cannifton, K0K1K0,57,2011-10-19,24,10,5,9,2,2,8,5,3,1,,
139,EAGLE TERRACE,329 Eagle Street,"Newmarket, L3Y1K3",Central,Revera Long Term Care Inc.,,For-Profit,Home with approximately 70 beds,No,Yes,Yes,Yes,,Newmarket, L3Y1K3,70,2011-07-07,13,6,2,4,,,3,2,2,,,
140,EARLS COURT VILLAGE,"1390 Highbury Avenue, North","London, N5Y0B6",South West,Sharon Farms & Enterprises Limited,Responsive Health Management Inc.,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,London, N5Y0B6,128,2014-10-21,94,87,25,53,47,10,18,18,7,31,30,12
141,EASTHOLME HOME FOR THE AGED,62 Big Bend Avenue P.O. Box 400,"Powassan, P0H1Z0",North East,East District Of Parry Sound Home For The Aged,,Municipal,Home with approximately 128 beds,No,Yes,Yes,No,,Powassan, P0H1Z0,128,2011-09-12,20,14,6,4,2,,10,7,4,3,3,3
142,EATONVILLE CARE CENTRE,420 The East Mall,"Etobicoke, M9B3Z9",Mississauga Halton,Rykka Care Centres Lp,,For-Profit,Home with approximately 247 beds,No,Yes,Yes,Yes,,Etobicoke, M9B3Z9,247,2009-12-13,45,23,14,24,9,6,13,8,7,4,3,1
143,EDEN HOUSE NURSING HOME,5016 Wellington County Road 29 R. R. #2,"Guelph, N1H6H8",Waterloo Wellington,Eden House Care Facility Inc.,Assured Care Consulting Inc.,For-Profit,Home with approximately 59 beds,No,Yes,Yes,Yes,,Guelph, N1H6H8,59,2011-02-28,18,13,8,3,3,2,4,4,3,3,2,
144,EDGEWATER GARDENS LONG TERM CARE CENTRE,428 Broad Street West,"Dunnville, N1A1T3",Hamilton Niagara Haldimand Brant (Hnhb),Haldimand War Memorial Hospital,,Non-Profit,Home with approximately 64 beds,No,Yes,Yes,Yes,,Dunnville, N1A1T3,64,2010-12-07,21,15,10,10,6,5,3,2,2,6,5,2
145,EHATARE NURSING HOME,40 Old Kingston Road,"Scarborough, M1E3J5",Central East,Estonian Relief Committee In Canada,,Non-Profit,Home with approximately 32 beds,No,Yes,Yes,No,,Scarborough, M1E3J5,32,2011-09-21,9,5,2,1,,,1,1,1,1,,
146,ELGIN ABBEY NURSING HOME,380 First Avenue North P.O. Box 7,"Chesley, N0G1L0",South West,Capricorn Investments Corporation Limited,Extendicare (Canada) Inc.,For-Profit,Home with approximately 27 beds,No,Yes,No,Yes,,Chesley, N0G1L0,27,2010-09-09,34,21,8,8,4,2,5,3,2,19,11,6
147,ELGIN MANOR,39262 Fingal Line R. R. #1,"St. Thomas, N5P3S5",South West,The Corporation Of The County Of Elgin Municipal Homes,,Municipal,Home with approximately 90 beds,Yes,Yes,Yes,No,,St. Thomas, N5P3S5,90,2010-11-05,36,17,12,2,2,2,29,12,10,,,
148,ELGINWOOD,182 Yorkland Street,"Richmond Hill, L4S2M9",Central,Axr Operating (National) Lp,,For-Profit,Home with approximately 124 beds,Yes,Yes,Yes,Yes,,Richmond Hill, L4S2M9,124,2010-10-04,25,17,12,11,6,5,7,6,4,3,2,2
149,ÉLISABETH-BRUYÈRE RESIDENCE,75 Bruyere Street,"Ottawa, K1N5C8",Champlain,Bruyère Continuing Care Inc.,,Non-Profit,Home with approximately 71 beds,No,Yes,Yes,Yes,,Ottawa, K1N5C8,71,2010-08-09,66,52,24,20,13,4,20,15,10,14,12,6
150,ELIZABETH CENTRE,2100 Main Street,"Val Caron, P3N1S7",North East,Valley East Long Term Care Centre Inc.,,For-Profit,Home with approximately 128 beds,Yes,Yes,Yes,Yes,,Val Caron, P3N1S7,128,2010-07-05,54,32,20,21,10,5,17,9,6,15,12,8
151,ELM GROVE LIVING CENTRE,35 Elm Grove Avenue,"Toronto, M6K2J2",Toronto Central,Elm Grove Living Centre Inc.,,For-Profit,Home with approximately 126 beds,No,Yes,No,Yes,,Toronto, M6K2J2,126,2011-06-27,15,10,5,7,2,2,3,3,2,1,1,1
152,ELMWOOD PLACE,46 Elmwood Place West,"London, N6J1J2",South West,Revera Long Term Care Inc.,,For-Profit,Home with approximately 78 beds,No,Yes,Yes,Yes,,London, N6J1J2,78,2010-04-04,50,20,11,18,8,3,20,6,5,5,3,2
153,EMO HEALTH CENTRE,170 Front Street P. O. Box 390,"Emo, P0W1E0",North West,Riverside Health Care Facilities Inc.,,Non-Profit,Home with approximately 12 beds,No,Yes,No,Yes,,Emo, P0W1E0,12,2011-11-04,9,5,2,,,,,,,2,2,
154,ERIN MILLS LODGE NURSING HOME,2132 Dundas Street West,"Mississauga, L5K2K7",Mississauga Halton,Schlegel Villages Inc.,,For-Profit,Home with approximately 86 beds,No,Yes,Yes,Yes,,Mississauga, L5K2K7,86,2010-10-06,35,21,6,13,6,1,6,4,2,7,6,1
155,ERRINRUNG LONG TERM CARE HOME,67 Bruce Street P.O. Box 7069,"Thornbury, N0H2P0",South West,"Cvh (No. 8) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 60 beds,Yes,Yes,Yes,Yes,,Thornbury, N0H2P0,60,2010-11-12,30,13,5,19,7,2,3,1,1,2,2,2
156,ESPANOLA GENERAL HOSPITAL (OPERATING AS ESPANOLA NURSING HOME-ELDCAP),825  Mckinnon Drive,"Espanola, P5E1R4",North East,Espanola General Hospital,,Non-Profit,Home with approximately 30 beds,No,Yes,Yes,Yes,,Espanola, P5E1R4,30,2011-09-29,11,7,4,,,,6,2,2,1,1,
157,ESPANOLA GENERAL HOSPITAL (OPERATING AS ESPANOLA NURSING HOME-LTC),825 Mckinnon Drive,"Espanola, P5E1R4",North East,Espanola General Hospital,,Non-Profit,Home with approximately 32 beds,No,Yes,Yes,Yes,,Espanola, P5E1R4,32,2011-09-29,17,13,5,2,2,1,8,4,3,3,3,
158,EXETER VILLA,155 John Street East,"Exeter, N0M1S1",South West,Atk Care Inc.,,For-Profit,Home with approximately 47 beds,Yes,Yes,No,Yes,,Exeter, N0M1S1,47,2011-02-15,20,13,9,6,4,4,8,5,4,1,1,1
159,EXTENDICARE BAYVIEW,550 Cummer Avenue,"North York, M2K2M2",Central,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 205 beds,Yes,Yes,Yes,Yes,,North York, M2K2M2,205,2010-09-08,34,11,4,13,3,1,11,2,2,5,2,
160,EXTENDICARE BRAMPTON,7891 Mclaughlin Road,"Brampton, L6Y5H8",Central West,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 150 beds,No,Yes,Yes,Yes,,Brampton, L6Y5H8,150,2010-09-01,26,17,10,13,6,4,3,3,3,8,7,4
161,EXTENDICARE COBOURG,130 New Densmore Road,"Cobourg, K9A5W2",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 69 beds,No,Yes,Yes,Yes,,Cobourg, K9A5W2,69,2011-07-26,43,21,8,21,10,4,11,6,3,5,,
162,EXTENDICARE FALCONBRIDGE,281 Falconbridge Road,"Sudbury, P3A5K4",North East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 234 beds,Yes,Yes,Yes,Yes,,Sudbury, P3A5K4,234,2010-10-05,70,43,22,25,16,8,23,14,8,18,13,6
163,EXTENDICARE GUILDWOOD,60 Guildwood Parkway,"Scarborough, M1E1N9",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 169 beds,Yes,Yes,Yes,Yes,,Scarborough, M1E1N9,169,2010-07-19,42,21,13,18,4,4,13,7,4,14,12,7
164,EXTENDICARE HALIBURTON,167 Park Street P.O. Box 780,"Haliburton, K0M1S0",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Haliburton, K0M1S0,60,2011-11-10,20,13,6,6,2,2,4,4,3,8,5,2
165,EXTENDICARE HALTON HILLS,9 Lindsay Court,"Georgetown, L7G6G9",Mississauga Halton,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 130 beds,No,Yes,Yes,Yes,,Georgetown, L7G6G9,130,2010-11-19,48,26,12,28,13,5,9,4,3,14,12,8
166,EXTENDICARE HAMILTON,90 Chedmac Drive,"Hamilton, L9C7S6",Hamilton Niagara Haldimand Brant (Hnhb),Extendicare (Canada) Inc.,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Hamilton, L9C7S6,160,2010-09-30,42,20,8,20,7,2,10,4,4,9,6,1
167,EXTENDICARE KAPUSKASING,45 Ontario Street P.O. Box 460,"Kapuskasing, P5N2Y5",North East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 61 beds,Yes,Yes,Yes,Yes,,Kapuskasing, P5N2Y5,61,2011-11-15,29,21,13,9,8,6,11,7,7,1,1,1
168,EXTENDICARE KAWARTHA LAKES,125 Colborne Street East,"Lindsay, K0L2V0",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 64 beds,No,Yes,No,Yes,,Lindsay, K0L2V0,64,2010-11-08,15,10,4,3,1,,6,5,3,1,1,
169,EXTENDICARE KINGSTON,309 Queen Mary Road,"Kingston, K7M6P4",South East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 150 beds,No,Yes,Yes,Yes,,Kingston, K7M6P4,150,2011-10-17,28,15,4,7,2,1,12,7,2,4,2,
170,EXTENDICARE KIRKLAND LAKE,155 Government Road East,"Kirkland Lake, P2N3P4",North East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 100 beds,Yes,Yes,Yes,Yes,,Kirkland Lake, P2N3P4,100,2011-06-14,23,17,6,5,3,1,9,6,3,3,3,
171,EXTENDICARE LAKEFIELD,19 Fraser Street,"Lakefield, K0L2H0",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 100 beds,Yes,Yes,Yes,Yes,,Lakefield, K0L2H0,100,2010-11-25,19,13,4,6,5,2,5,2,1,5,2,
172,EXTENDICARE LAURIER MANOR,1715 Montreal Road,"Gloucester, K1J6N4",Champlain,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 242 beds,No,Yes,Yes,Yes,,Gloucester, K1J6N4,242,2010-09-10,87,54,17,43,26,8,34,20,8,7,7,2
173,EXTENDICARE LONDON,860 Waterloo Street,"London, N6A3W6",South West,Extendicare Toronto Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 170 beds,Yes,Yes,Yes,Yes,,London, N6A3W6,170,2010-09-02,62,26,13,29,10,3,25,12,8,3,1,1
174,EXTENDICARE MAPLE VIEW OF SAULT STE. MARIE,650 Northern Avenue,"Sault Ste. Marie, P6B4J3",North East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 256 beds,No,Yes,Yes,Yes,,Sault Ste. Marie, P6B4J3,256,2013-12-17,48,41,26,17,15,11,16,12,7,17,15,7
175,EXTENDICARE MEDEX,1865 Baseline Road,"Ottawa, K2C3K6",Champlain,Extendicare Northeastern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 193 beds,No,Yes,No,Yes,,Ottawa, K2C3K6,193,2010-08-13,64,38,20,24,14,8,28,19,9,6,4,2
176,EXTENDICARE MISSISSAUGA,855 John Watt Boulevard,"Mississauga, L5W1G2",Mississauga Halton,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 140 beds,No,Yes,Yes,Yes,,Mississauga, L5W1G2,140,2010-08-11,23,13,7,10,5,3,9,5,4,3,1,
177,EXTENDICARE NEW ORCHARD LODGE,99 New Orchard Avenue,"Ottawa, K2B5E6",Champlain,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 111 beds,No,Yes,No,Yes,,Ottawa, K2B5E6,111,2011-05-30,30,18,6,12,9,3,14,6,3,,,
178,EXTENDICARE OSHAWA,82 Park Road North,"Oshawa, L1J4L1",Central East,Extendicare Central Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 175 beds,Yes,Yes,Yes,Yes,,Oshawa, L1J4L1,175,2011-03-02,41,28,8,13,9,4,18,11,3,5,2,
179,EXTENDICARE PETERBOROUGH,80 Alexander Avenue,"Peterborough, K9J6B4",Central East,Extendicare Central Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 174 beds,Yes,Yes,Yes,Yes,,Peterborough, K9J6B4,174,2011-06-02,31,20,11,13,7,4,10,7,5,3,2,1
